,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,NETWORK,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz
,0c:73:eb:d0:7c:48,74:da:da:c1:4a:f5,74:da:da:c1:4b:01,0c:73:eb:d0:7c:18,74:da:da:c1:3c:dd,74:da:da:98:8d:78,74:da:da:c1:4a:ed,74:da:da:c1:3c:f9,74:da:da:98:74:94,0c:73:eb:d0:7c:30,74:da:da:c1:4b:05,74:da:da:c1:4b:02,74:da:da:c1:3c:f5,74:da:da:c1:4a:f6,bc:d1:77:5f:6a:b4,0c:73:eb:d0:7c:10,0c:73:eb:d0:11:f0,74:da:da:c1:4b:59,74:da:da:c1:3c:de,74:da:da:c1:3c:99,74:da:da:98:7a:6c,74:da:da:98:7a:50,74:da:da:98:8d:79,74:da:da:c1:4a:ee,0c:73:eb:d0:11:e8,74:da:da:c1:4b:06,0c:73:eb:d0:13:c0,74:da:da:98:7a:4c,74:da:da:c1:3c:f6,74:da:da:98:74:95,74:da:da:c1:3c:fa,74:da:da:c1:3c:d1,0c:73:eb:d0:7f:18,74:da:da:98:7a:60,74:da:da:c1:3c:91,74:da:da:98:7a:68,0c:73:eb:d0:11:b0,74:da:da:c1:3b:49,74:da:da:c0:f3:01,74:da:da:c1:3c:e1,0c:73:eb:d0:7c:00,0c:73:eb:d0:11:b8,74:da:da:c1:4b:5a
1526455325918,-28,-35,-37,-38,-41,-44,-46,-48,-49,-51,-53,-55,-57,-58,-60,-61,-63,-63,-64,-68,-68,-74,-75,-77,-78,-78,-78,-79,-81,-81,-86,-88,-90,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455328928,-34,-28,-33,-39,-38,-47,-37,-54,-36,-60,-49,-55,-57,-60,-59,-63,-62,-63,-66,-68,-68,-74,-77,-72,-74,-84,-78,-80,-88,-66,-88,-88,-90,-93,-81,-92,-200,-200,-200,-200,-200,-200,-200
1526455331952,-34,-28,-33,-39,-38,-47,-37,-54,-36,-60,-49,-55,-57,-60,-59,-63,-62,-63,-66,-68,-68,-74,-77,-72,-74,-84,-78,-80,-88,-66,-88,-88,-90,-93,-81,-92,-200,-200,-200,-200,-200,-200,-200
1526455334969,-27,-30,-33,-38,-42,-47,-41,-54,-32,-56,-52,-53,-61,-60,-63,-63,-67,-57,-63,-68,-68,-61,-73,-72,-78,-82,-78,-75,-87,-59,-88,-88,-90,-93,-80,-92,-66,-78,-86,-200,-200,-200,-200
1526455337993,-27,-30,-33,-38,-42,-47,-41,-54,-32,-56,-52,-53,-61,-60,-63,-63,-67,-57,-63,-68,-68,-61,-73,-72,-78,-82,-78,-75,-87,-59,-88,-88,-90,-93,-80,-92,-66,-78,-86,-200,-200,-200,-200
1526455341023,-22,-30,-34,-42,-43,-49,-43,-54,-31,-55,-52,-52,-61,-60,-65,-63,-68,-57,-63,-200,-68,-60,-71,-73,-78,-82,-78,-75,-87,-58,-86,-88,-90,-91,-80,-88,-66,-78,-86,-200,-200,-200,-200
1526455344033,-22,-30,-34,-42,-43,-49,-43,-54,-31,-55,-52,-52,-61,-60,-65,-63,-68,-57,-63,-200,-68,-60,-71,-73,-78,-82,-78,-75,-87,-58,-86,-88,-90,-91,-80,-88,-66,-78,-86,-200,-200,-200,-200
1526455347045,-22,-29,-34,-40,-43,-53,-43,-53,-31,-54,-53,-53,-61,-53,-62,-63,-68,-57,-63,-200,-68,-59,-72,-70,-75,-85,-78,-75,-86,-62,-86,-88,-90,-91,-80,-84,-66,-78,-86,-200,-200,-200,-200
1526455350056,-22,-29,-34,-40,-43,-53,-43,-53,-31,-54,-53,-53,-61,-53,-62,-63,-68,-57,-63,-200,-68,-59,-72,-70,-75,-85,-78,-75,-86,-62,-86,-88,-90,-91,-80,-84,-66,-78,-86,-200,-200,-200,-200
1526455353067,-24,-28,-34,-43,-43,-53,-43,-53,-31,-56,-55,-52,-61,-53,-62,-64,-68,-61,-61,-200,-68,-59,-74,-78,-75,-86,-200,-75,-87,-62,-86,-200,-200,-91,-80,-84,-66,-78,-86,-82,-200,-200,-200
1526455356081,-24,-28,-34,-43,-43,-53,-43,-53,-31,-56,-55,-52,-61,-53,-62,-64,-68,-61,-61,-200,-68,-59,-74,-78,-75,-86,-200,-75,-87,-62,-86,-200,-200,-91,-80,-84,-66,-78,-86,-82,-200,-200,-200
1526455359098,-24,-28,-34,-43,-39,-53,-38,-53,-31,-55,-54,-56,-61,-58,-66,-64,-68,-57,-65,-200,-67,-57,-71,-73,-75,-84,-200,-76,-86,-62,-86,-200,-200,-91,-80,-84,-66,-78,-86,-82,-76,-200,-200
1526455362114,-24,-28,-34,-43,-39,-53,-38,-53,-31,-55,-54,-56,-61,-58,-66,-64,-68,-57,-65,-200,-67,-57,-71,-73,-75,-84,-200,-76,-86,-62,-86,-200,-200,-91,-80,-84,-66,-78,-86,-82,-76,-200,-200
1526455365141,-20,-28,-40,-41,-39,-53,-38,-53,-31,-54,-58,-56,-61,-62,-68,-64,-66,-62,-65,-200,-65,-57,-72,-70,-73,-80,-200,-78,-84,-61,-89,-200,-200,-91,-80,-84,-56,-200,-200,-82,-76,-200,-200
1526455368151,-20,-28,-40,-41,-39,-53,-38,-53,-31,-54,-58,-56,-200,-62,-68,-64,-66,-62,-65,-200,-65,-57,-72,-70,-73,-80,-200,-78,-84,-61,-89,-200,-200,-200,-200,-84,-56,-200,-200,-82,-76,-200,-200
1526455371169,-23,-52,-35,-40,-39,-53,-39,-55,-32,-53,-58,-59,-200,-55,-63,-64,-66,-62,-68,-67,-69,-57,-75,-69,-73,-80,-200,-78,-84,-62,-86,-200,-200,-200,-200,-84,-68,-200,-200,-82,-76,-77,-92
1526455374186,-23,-52,-35,-40,-39,-200,-39,-55,-32,-53,-58,-59,-200,-55,-63,-64,-66,-62,-68,-67,-69,-57,-75,-69,-73,-80,-200,-78,-84,-62,-86,-200,-200,-200,-200,-200,-68,-200,-200,-82,-76,-77,-92
1526455377192,-25,-30,-35,-40,-39,-46,-39,-55,-32,-55,-54,-55,-200,-53,-60,-64,-66,-62,-61,-67,-69,-58,-75,-74,-75,-81,-200,-75,-84,-60,-90,-200,-200,-200,-200,-86,-68,-200,-200,-82,-76,-77,-92
1526455380203,-25,-30,-35,-40,-39,-46,-39,-55,-32,-55,-54,-55,-200,-53,-60,-64,-66,-62,-61,-67,-69,-58,-75,-74,-75,-81,-200,-75,-84,-60,-90,-200,-200,-200,-200,-86,-68,-200,-200,-82,-76,-77,-92
1526455383227,-20,-30,-35,-38,-41,-50,-41,-55,-31,-55,-54,-57,-200,-51,-60,-64,-68,-62,-64,-67,-69,-58,-75,-74,-75,-81,-200,-75,-87,-62,-90,-200,-200,-200,-79,-86,-68,-200,-200,-200,-76,-77,-92
1526455386249,-20,-30,-35,-38,-41,-50,-41,-55,-31,-55,-54,-57,-200,-51,-60,-64,-68,-62,-64,-67,-69,-58,-75,-74,-75,-81,-200,-75,-87,-62,-90,-200,-200,-200,-79,-86,-68,-200,-200,-200,-76,-77,-92
