,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018
,0c:73:eb:d0:7c:48,74:da:da:98:74:94,74:da:da:c1:4a:ed,74:da:da:c1:4b:01,0c:73:eb:d0:7c:30,74:da:da:98:8d:78,74:da:da:98:74:95,74:da:da:c1:3c:f9,74:da:da:c1:4a:f5,0c:73:eb:d0:11:b0,bc:d1:77:5f:6a:b4,74:da:da:c1:4b:05,74:da:da:98:7a:60,74:da:da:c1:3c:dd,74:da:da:c1:3c:99,74:da:da:98:8d:79,74:da:da:98:7a:50,0c:73:eb:d0:11:f0,74:da:da:c1:4a:f6,74:da:da:c1:3c:91,74:da:da:c1:3c:f5,0c:73:eb:d0:7c:18,74:da:da:98:7a:4c,74:da:da:c0:e0:81,74:da:da:c1:4a:ee,74:da:da:98:7a:6c,0c:73:eb:d0:11:b8,74:da:da:c1:4b:02,74:da:da:c1:4b:06,74:da:da:c1:3a:81,74:da:da:c1:3c:fa,74:da:da:c1:3c:de,74:da:da:c1:3b:e9,74:da:da:c1:56:ed,74:da:da:c1:4b:59,0c:73:eb:d0:7c:10,74:da:da:c0:e0:71,0c:73:eb:d0:13:c0
1526455857894,-31,-34,-39,-46,-47,-48,-53,-53,-54,-58,-63,-64,-65,-66,-67,-68,-68,-69,-70,-71,-71,-72,-72,-73,-74,-74,-74,-77,-82,-83,-86,-90,-91,-200,-200,-200,-200,-200
1526455860912,-34,-28,-35,-43,-48,-48,-57,-200,-46,-58,-72,-62,-65,-200,-200,-66,-63,-69,-77,-75,-71,-72,-72,-62,-77,-74,-200,-77,-86,-200,-86,-88,-91,-89,-200,-200,-200,-200
1526455863924,-34,-28,-35,-43,-48,-48,-57,-200,-46,-58,-72,-62,-65,-200,-200,-66,-63,-69,-77,-75,-71,-72,-72,-62,-77,-74,-200,-77,-86,-200,-86,-88,-91,-89,-200,-200,-200,-200
1526455866942,-35,-28,-33,-44,-48,-48,-57,-55,-46,-58,-72,-62,-65,-200,-200,-70,-63,-61,-77,-75,-71,-72,-72,-62,-77,-74,-200,-78,-86,-200,-90,-88,-91,-89,-200,-200,-200,-200
1526455869952,-35,-28,-33,-44,-48,-48,-57,-55,-46,-58,-72,-62,-65,-200,-200,-70,-63,-61,-77,-75,-71,-72,-72,-62,-77,-74,-200,-78,-86,-200,-90,-88,-91,-89,-200,-200,-200,-200
1526455872969,-35,-25,-35,-40,-50,-48,-61,-53,-42,-58,-74,-62,-65,-200,-200,-71,-60,-61,-77,-75,-200,-70,-72,-62,-77,-200,-200,-82,-86,-200,-88,-88,-200,-89,-74,-78,-200,-200
1526455875986,-35,-25,-35,-40,-50,-48,-61,-53,-42,-58,-74,-62,-65,-200,-200,-71,-60,-61,-77,-75,-200,-70,-72,-62,-77,-200,-200,-82,-86,-200,-88,-88,-200,-89,-74,-78,-200,-200
1526455879004,-34,-29,-33,-40,-48,-49,-55,-53,-47,-58,-73,-61,-65,-200,-200,-69,-60,-61,-77,-75,-200,-70,-72,-62,-79,-200,-67,-79,-86,-200,-86,-88,-200,-89,-74,-78,-200,-200
1526455882013,-34,-29,-33,-40,-48,-49,-55,-53,-47,-58,-73,-61,-65,-200,-200,-69,-60,-61,-77,-75,-200,-70,-72,-62,-79,-200,-67,-79,-86,-200,-86,-88,-200,-89,-74,-78,-200,-200
1526455885036,-31,-30,-34,-44,-52,-53,-59,-53,-46,-56,-76,-64,-71,-200,-200,-68,-60,-61,-76,-77,-200,-70,-76,-59,-75,-200,-67,-83,-86,-83,-86,-89,-200,-89,-74,-78,-78,-200
1526455888055,-31,-30,-34,-44,-52,-53,-59,-53,-46,-56,-76,-64,-71,-200,-200,-68,-60,-61,-76,-77,-200,-70,-76,-59,-75,-200,-67,-83,-86,-83,-86,-89,-200,-89,-74,-78,-78,-200
1526455891065,-34,-27,-34,-48,-46,-53,-59,-49,-46,-56,-69,-64,-69,-200,-61,-73,-60,-67,-76,-74,-200,-71,-77,-59,-75,-200,-67,-78,-86,-83,-85,-90,-200,-200,-74,-78,-78,-200
1526455894088,-34,-27,-34,-48,-46,-53,-59,-49,-46,-56,-69,-64,-69,-200,-61,-73,-60,-67,-76,-74,-200,-71,-77,-59,-75,-200,-67,-78,-86,-83,-85,-90,-200,-200,-74,-78,-78,-200
1526455897100,-32,-34,-42,-48,-47,-52,-59,-49,-49,-56,-69,-61,-66,-59,-59,-73,-61,-67,-77,-70,-200,-71,-70,-59,-75,-200,-67,-78,-86,-83,-79,-90,-200,-200,-74,-78,-78,-200
1526455900123,-32,-34,-42,-48,-47,-52,-59,-49,-49,-56,-69,-61,-66,-59,-59,-73,-61,-67,-77,-70,-200,-71,-70,-59,-75,-200,-67,-78,-86,-83,-79,-90,-200,-200,-74,-78,-78,-200
1526455903130,-59,-31,-42,-48,-51,-52,-58,-49,-45,-59,-69,-60,-66,-59,-59,-71,-60,-67,-77,-74,-200,-71,-70,-59,-75,-200,-67,-79,-83,-83,-85,-90,-200,-200,-200,-200,-78,-200
1526455906147,-59,-31,-42,-48,-51,-52,-58,-49,-45,-59,-69,-60,-66,-59,-59,-71,-60,-67,-77,-74,-200,-71,-70,-59,-75,-200,-67,-79,-83,-83,-85,-90,-200,-200,-200,-200,-78,-200
1526455909174,-39,-28,-38,-45,-44,-52,-56,-49,-45,-59,-69,-60,-66,-59,-59,-78,-60,-67,-77,-74,-200,-71,-70,-59,-76,-200,-200,-76,-82,-83,-85,-91,-200,-200,-200,-79,-78,-75
1526455912194,-39,-28,-38,-45,-44,-52,-56,-49,-45,-59,-69,-60,-66,-59,-59,-78,-60,-67,-77,-74,-200,-71,-70,-59,-76,-200,-200,-76,-82,-83,-85,-91,-200,-200,-200,-79,-78,-75
1526455915208,-46,-28,-38,-45,-44,-52,-54,-49,-45,-58,-79,-60,-63,-59,-59,-77,-60,-59,-81,-71,-200,-71,-71,-58,-76,-200,-66,-75,-82,-200,-85,-91,-200,-200,-200,-79,-200,-75
1526455918226,-46,-28,-38,-45,-44,-52,-54,-49,-45,-58,-79,-60,-63,-59,-59,-77,-60,-59,-81,-71,-200,-71,-71,-58,-76,-200,-66,-75,-82,-200,-85,-91,-200,-200,-200,-79,-200,-75
