,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
,0c:73:eb:d0:7c:10,74:da:da:c1:4b:59,74:da:da:c1:3c:dd,74:da:da:c1:3c:f5,74:da:da:c1:4b:05,74:da:da:98:8d:78,0c:73:eb:d0:7c:18,0c:73:eb:d0:11:f0,0c:73:eb:d0:11:e8,74:da:da:c1:3b:49,bc:d1:77:5f:6a:b4,74:da:da:c1:4a:f5,74:da:da:c1:4b:01,0c:73:eb:d0:7c:48,74:da:da:c0:f2:fd,0c:73:eb:d0:7c:00,74:da:da:c1:3c:f9,0c:73:eb:d0:7e:d8,74:da:da:c1:3c:d1,74:da:da:98:74:94,0c:73:eb:d0:7c:30,74:da:da:c1:3c:ad,74:da:da:c1:3c:99,74:da:da:c1:14:99,74:da:da:c1:4a:ed,0c:73:eb:d0:13:d0
1526459123986,-27,-49,-55,-59,-60,-67,-69,-72,-72,-73,-74,-75,-76,-79,-79,-81,-83,-85,-87,-88,-91,-200,-200,-200,-200,-200
1526459127013,-27,-49,-55,-59,-60,-67,-69,-72,-72,-73,-74,-75,-76,-200,-79,-81,-83,-85,-87,-88,-91,-200,-200,-200,-200,-200
1526459130050,-27,-49,-55,-59,-60,-67,-69,-72,-72,-73,-74,-75,-76,-200,-79,-81,-83,-85,-87,-88,-91,-200,-200,-200,-200,-200
1526459133076,-27,-49,-55,-59,-60,-67,-69,-72,-72,-73,-74,-75,-76,-200,-79,-81,-83,-85,-87,-88,-91,-200,-200,-200,-200,-200
1526459136107,-34,-43,-61,-55,-43,-62,-71,-80,-70,-80,-73,-87,-70,-76,-200,-200,-200,-82,-200,-88,-82,-82,-87,-93,-200,-200
1526459139132,-37,-43,-59,-54,-45,-63,-68,-80,-70,-81,-72,-87,-66,-76,-200,-200,-80,-82,-200,-88,-82,-82,-87,-93,-200,-200
1526459142161,-37,-43,-59,-54,-45,-63,-68,-80,-70,-81,-72,-87,-66,-76,-200,-200,-80,-82,-200,-88,-82,-82,-87,-93,-200,-200
1526459145192,-37,-43,-59,-54,-45,-63,-68,-80,-70,-81,-72,-87,-66,-76,-200,-200,-80,-82,-200,-88,-82,-82,-87,-93,-200,-200
1526459148228,-33,-45,-68,-55,-46,-64,-74,-73,-65,-85,-70,-79,-70,-200,-200,-200,-80,-200,-200,-200,-89,-200,-200,-200,-200,-200
1526459151253,-33,-45,-68,-55,-44,-64,-70,-73,-70,-83,-68,-79,-72,-200,-81,-87,-81,-200,-200,-200,-89,-200,-86,-200,-93,-200
1526459154279,-33,-45,-68,-55,-44,-64,-70,-73,-70,-83,-68,-79,-72,-200,-81,-87,-81,-200,-200,-200,-89,-200,-86,-200,-93,-200
1526459157308,-33,-45,-68,-55,-44,-64,-70,-73,-70,-83,-68,-79,-72,-200,-81,-87,-81,-200,-200,-200,-89,-200,-86,-200,-93,-200
1526459160346,-35,-45,-65,-56,-44,-63,-73,-73,-66,-82,-69,-78,-71,-82,-83,-84,-81,-88,-200,-92,-89,-200,-85,-200,-93,-87
1526459163383,-33,-44,-66,-56,-45,-65,-73,-73,-65,-82,-69,-82,-70,-82,-83,-84,-81,-84,-200,-92,-89,-200,-84,-200,-93,-89
1526459166397,-33,-44,-66,-56,-45,-65,-73,-73,-65,-82,-69,-82,-70,-82,-83,-84,-81,-84,-200,-92,-89,-200,-84,-200,-93,-89
1526459169403,-33,-44,-66,-56,-45,-65,-73,-73,-65,-82,-69,-82,-70,-82,-83,-84,-81,-84,-200,-92,-89,-200,-84,-200,-93,-89
1526459172448,-35,-48,-66,-57,-41,-65,-77,-73,-68,-85,-69,-82,-72,-75,-78,-200,-81,-81,-200,-200,-200,-200,-86,-200,-200,-89
1526459175471,-33,-46,-66,-56,-45,-63,-75,-73,-71,-83,-69,-82,-71,-84,-78,-200,-83,-85,-200,-200,-200,-200,-87,-200,-200,-89
1526459178499,-33,-46,-66,-56,-45,-63,-75,-73,-71,-83,-69,-82,-71,-84,-78,-200,-83,-85,-200,-200,-200,-200,-87,-200,-200,-89
1526459181526,-33,-46,-66,-56,-45,-63,-75,-73,-71,-83,-69,-82,-71,-84,-78,-200,-83,-85,-200,-200,-200,-200,-87,-200,-200,-89
1526459184553,-30,-56,-65,-65,-51,-64,-76,-76,-83,-73,-71,-74,-70,-75,-79,-200,-83,-78,-200,-87,-81,-78,-87,-200,-92,-200
