,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,NETWORK,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
,0c:73:eb:d0:11:d0,74:da:da:c1:3c:91,74:da:da:98:7a:50,74:da:da:98:7a:6c,74:da:da:c1:3b:e9,0c:73:eb:d0:11:b0,0c:73:eb:d0:13:c0,74:da:da:c1:3c:d2,74:da:da:98:7a:60,0c:73:eb:d0:7e:d8,74:da:da:c1:3c:d1,74:da:da:c1:3c:92,74:da:da:98:7a:68,0c:73:eb:d0:11:b8,74:da:da:c1:3c:e1,0c:73:eb:d0:19:b0,74:da:da:c1:3c:ad,74:da:da:98:7a:4c,74:da:da:c1:3c:6d,74:da:da:98:7a:6d,74:da:da:c1:3c:e2,74:da:da:98:7a:51,74:da:da:c0:e0:71,74:da:da:c1:3b:49,74:da:da:c1:61:69,74:da:da:98:db:44,74:da:da:98:8d:78,74:da:da:c0:d7:09,0c:73:eb:d0:76:20,0c:73:eb:d0:2a:18,74:da:da:c1:4a:f5,0c:73:eb:d0:7e:f0,74:da:da:c1:4b:59,74:da:da:c1:3b:4d,74:da:da:98:7a:4d,0c:73:eb:d0:7c:48,bc:d1:77:5f:6a:b4,0c:73:eb:d0:7c:38,74:da:da:c1:3c:dd,74:da:da:c1:3c:ae,0c:73:eb:d0:2a:38,74:da:da:c1:4b:01,74:da:da:c1:3b:85,74:da:da:c1:14:99,0c:73:eb:d0:76:40,74:da:da:98:8f:64,0c:73:eb:d0:7e:e8,74:da:da:98:ea:4c,74:da:da:c1:3c:f9,74:da:da:c1:3b:45,74:da:da:c1:4a:7d,0c:73:eb:d0:2a:28,74:da:da:c0:d7:ed,74:da:da:98:7a:61,74:da:da:c1:3c:51,0c:73:eb:d0:2a:20,74:da:da:c0:f2:fd,0c:73:eb:d0:11:e0,74:da:da:c1:02:95,0c:73:eb:d0:7c:18,74:da:da:98:74:94,74:da:da:c1:4a:c9,74:da:da:c1:3b:9d,0c:73:eb:d0:19:a8,0c:73:eb:d0:7f:10,74:da:da:98:8f:3c,74:da:da:c1:3c:99,0c:73:eb:d0:7c:30,0c:73:eb:d0:76:58,74:da:da:c1:3d:09,74:da:da:c0:d7:b9,74:da:da:c1:4b:05,0c:73:eb:d0:13:a8,0c:73:eb:d0:19:98,74:da:da:c0:e0:69,74:da:da:c1:4a:ed,74:da:da:c1:4a:a5,74:da:da:c0:e0:81,0c:73:eb:d0:7c:10,0c:73:eb:d0:2a:48,74:da:da:c1:3b:79,74:da:da:c1:3b:65,0c:73:eb:d0:7e:e0
1526443633213,-36,-37,-49,-50,-51,-54,-54,-55,-56,-58,-58,-59,-61,-62,-62,-64,-64,-66,-66,-71,-72,-73,-73,-73,-73,-74,-74,-75,-75,-78,-78,-79,-79,-79,-79,-80,-80,-80,-80,-81,-81,-82,-82,-82,-84,-84,-86,-86,-86,-87,-87,-87,-87,-88,-88,-88,-89,-89,-89,-90,-90,-90,-90,-91,-91,-92,-92,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443636249,-35,-38,-54,-59,-56,-47,-59,-54,-74,-58,-49,-60,-68,-60,-62,-59,-57,-67,-66,-74,-72,-71,-73,-85,-73,-80,-76,-73,-83,-78,-78,-86,-79,-76,-79,-76,-81,-80,-88,-81,-81,-76,-82,-82,-83,-81,-86,-86,-86,-90,-87,-89,-90,-88,-92,-91,-89,-90,-89,-90,-87,-90,-88,-90,-91,-92,-92,-92,-88,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443639278,-36,-38,-50,-63,-59,-49,-57,-59,-69,-58,-47,-62,-68,-71,-59,-61,-59,-67,-69,-77,-73,-71,-71,-81,-81,-82,-73,-74,-83,-200,-200,-79,-85,-76,-82,-75,-82,-200,-90,-81,-83,-75,-82,-200,-83,-81,-200,-200,-86,-90,-200,-89,-88,-200,-92,-89,-90,-90,-89,-200,-85,-200,-90,-90,-200,-200,-92,-90,-88,-89,-91,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443642306,-34,-40,-51,-63,-57,-49,-57,-57,-67,-61,-51,-62,-66,-69,-59,-60,-59,-59,-65,-73,-74,-69,-71,-83,-71,-84,-77,-73,-83,-90,-200,-78,-83,-71,-83,-77,-86,-200,-90,-80,-83,-75,-84,-200,-83,-81,-200,-200,-200,-90,-200,-89,-88,-200,-92,-91,-90,-91,-200,-200,-88,-200,-88,-90,-200,-200,-92,-90,-88,-89,-91,-77,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443645337,-36,-38,-53,-63,-58,-49,-58,-57,-73,-63,-50,-62,-70,-69,-60,-59,-64,-59,-64,-72,-74,-69,-71,-81,-71,-84,-77,-75,-82,-90,-200,-78,-89,-84,-81,-78,-83,-85,-90,-81,-91,-77,-84,-200,-90,-81,-200,-200,-200,-90,-90,-89,-88,-200,-92,-90,-90,-91,-200,-93,-90,-200,-88,-90,-200,-200,-92,-90,-84,-89,-91,-77,-91,-84,-85,-89,-200,-200,-200,-200,-200,-200,-200
1526443648351,-35,-40,-54,-53,-58,-49,-58,-57,-73,-62,-49,-59,-69,-63,-65,-56,-57,-67,-66,-75,-72,-69,-72,-80,-70,-80,-78,-71,-82,-89,-200,-75,-86,-81,-80,-76,-81,-85,-90,-80,-83,-76,-84,-200,-86,-81,-200,-200,-200,-88,-90,-88,-88,-200,-89,-90,-90,-89,-200,-93,-90,-200,-88,-90,-200,-200,-90,-90,-84,-89,-200,-77,-90,-84,-85,-89,-77,-200,-200,-200,-200,-200,-200
1526443651381,-34,-48,-63,-67,-63,-49,-61,-56,-71,-61,-71,-62,-70,-61,-71,-59,-65,-67,-64,-75,-73,-71,-72,-76,-70,-81,-78,-73,-82,-90,-200,-79,-86,-70,-78,-76,-81,-85,-200,-83,-84,-75,-85,-200,-85,-80,-89,-200,-200,-91,-86,-89,-89,-200,-87,-87,-200,-89,-200,-89,-87,-200,-90,-93,-200,-200,-90,-200,-84,-89,-200,-200,-92,-84,-85,-89,-78,-83,-88,-200,-200,-200,-200
1526443654413,-34,-39,-45,-60,-59,-48,-58,-57,-75,-58,-50,-60,-65,-57,-61,-63,-64,-61,-65,-73,-72,-70,-74,-81,-82,-85,-79,-74,-82,-90,-200,-77,-86,-83,-78,-75,-81,-85,-89,-83,-82,-73,-85,-200,-85,-80,-89,-200,-200,-88,-86,-89,-89,-200,-87,-87,-200,-89,-200,-89,-87,-200,-90,-93,-200,-200,-90,-89,-85,-91,-95,-200,-92,-84,-85,-87,-78,-75,-88,-92,-200,-200,-200
1526443657428,-35,-39,-53,-70,-66,-54,-63,-56,-84,-60,-59,-60,-65,-60,-61,-60,-72,-74,-65,-71,-72,-69,-79,-81,-81,-85,-83,-68,-85,-90,-90,-83,-86,-83,-79,-78,-83,-200,-87,-83,-82,-75,-83,-200,-85,-82,-90,-200,-200,-88,-86,-89,-91,-200,-87,-84,-200,-89,-200,-89,-87,-200,-86,-93,-200,-200,-91,-89,-85,-91,-95,-200,-92,-200,-200,-87,-78,-75,-88,-92,-90,-91,-200
