,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,WHU-2018,DLINK_D07F10,DLINK_D02A28,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c1:3c:91,0c:73:eb:d0:11:b0,0c:73:eb:d0:11:d0,74:da:da:98:7a:50,74:da:da:c1:3c:92,74:da:da:c1:3b:e9,74:da:da:c1:3c:d1,74:da:da:98:7a:6c,74:da:da:98:7a:4c,0c:73:eb:d0:19:b0,74:da:da:c1:3c:d2,0c:73:eb:d0:7e:d8,0c:73:eb:d0:13:c0,74:da:da:98:7a:51,0c:73:eb:d0:11:b8,74:da:da:c1:3c:e1,74:da:da:98:8d:78,74:da:da:c1:3c:ad,74:da:da:98:7a:6d,74:da:da:c1:61:69,0c:73:eb:d0:7e:f0,74:da:da:98:7a:60,74:da:da:c1:3b:4d,74:da:da:c0:e0:71,74:da:da:c1:3c:6d,74:da:da:c1:3b:85,0c:73:eb:d0:2a:38,74:da:da:c1:4b:05,0c:73:eb:d0:76:40,74:da:da:98:7a:61,0c:73:eb:d0:7c:48,74:da:da:c1:3b:49,74:da:da:98:7a:68,74:da:da:c1:4b:01,bc:d1:77:5f:6a:b4,74:da:da:98:7a:4d,74:da:da:c1:4a:f5,0c:73:eb:d0:76:58,74:da:da:98:8f:64,74:da:da:c1:3c:e2,74:da:da:98:74:94,74:da:da:c1:4a:a5,0c:73:eb:d0:76:20,74:da:da:c1:3c:ae,74:da:da:c0:e0:81,0c:73:eb:d0:7c:38,74:da:da:c0:f4:69,74:da:da:98:db:44,74:da:da:c1:3c:dd,0c:73:eb:d0:19:98,74:da:da:c0:d7:09,0c:73:eb:d0:2a:20,74:da:da:c1:3b:9d,0c:73:eb:d0:13:a8,74:da:da:c1:4b:59,74:da:da:c0:f3:01,74:da:da:c1:4a:ed,0c:73:eb:d0:11:e0,74:da:da:98:8f:3d,0c:73:eb:d0:2a:18,0c:73:eb:d0:7e:e8,0c:73:eb:d0:7f:10,0c:73:eb:d0:2a:28,74:da:da:c1:3b:45,0c:73:eb:d0:7c:30,74:da:da:c1:4a:7d,0c:73:eb:d0:7c:18,74:da:da:c0:e0:69,0c:73:eb:d0:2a:48,74:da:da:c1:3c:f9,74:da:da:c1:3c:51,74:da:da:c1:3c:99,74:da:da:c1:3b:79,0c:73:eb:d0:11:f0,74:da:da:c0:f3:59,74:da:da:c1:4a:c9,74:da:da:98:92:14,74:da:da:c0:d8:7d,74:da:da:98:ea:4c
1526443757316,-36,-40,-43,-46,-51,-56,-57,-60,-61,-62,-62,-63,-63,-68,-69,-69,-69,-70,-71,-71,-73,-73,-74,-75,-75,-78,-79,-79,-80,-80,-80,-82,-82,-82,-82,-82,-82,-83,-83,-84,-84,-84,-84,-85,-86,-86,-86,-87,-87,-87,-88,-89,-89,-89,-90,-90,-90,-90,-90,-90,-91,-91,-91,-92,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443760359,-33,-40,-43,-41,-52,-68,-63,-53,-61,-58,-66,-63,-68,-67,-61,-69,-70,-70,-68,-71,-82,-73,-74,-75,-70,-78,-78,-79,-85,-80,-77,-77,-72,-82,-82,-77,-79,-87,-83,-82,-86,-73,-82,-89,-200,-86,-86,-87,-200,-87,-88,-84,-83,-87,-90,-200,-200,-90,-90,-90,-91,-91,-200,-92,-89,-84,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443763386,-40,-43,-39,-39,-52,-59,-58,-55,-61,-60,-65,-60,-64,-67,-62,-68,-72,-67,-69,-73,-69,-56,-74,-76,-70,-89,-82,-82,-74,-79,-79,-81,-78,-83,-200,-78,-80,-87,-87,-84,-85,-71,-82,-86,-200,-200,-200,-87,-200,-200,-85,-87,-82,-87,-90,-200,-89,-200,-200,-90,-91,-200,-200,-92,-91,-84,-89,-85,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443766415,-31,-47,-45,-40,-53,-61,-62,-52,-69,-65,-63,-62,-65,-66,-59,-67,-73,-76,-68,-73,-79,-61,-74,-74,-68,-89,-74,-82,-80,-79,-82,-83,-70,-83,-87,-77,-82,-87,-91,-83,-85,-74,-82,-89,-200,-200,-200,-87,-200,-200,-86,-85,-87,-87,-90,-200,-89,-200,-200,-90,-91,-200,-200,-90,-92,-88,-89,-87,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443769442,-31,-40,-45,-40,-53,-63,-59,-53,-69,-62,-63,-61,-65,-66,-61,-68,-72,-70,-67,-71,-71,-60,-70,-75,-69,-88,-77,-77,-78,-78,-78,-82,-71,-83,-87,-77,-82,-88,-85,-84,-89,-76,-82,-86,-200,-200,-200,-200,-200,-200,-85,-86,-83,-88,-89,-200,-89,-94,-200,-200,-91,-200,-200,-90,-91,-88,-89,-87,-91,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443772455,-32,-41,-41,-40,-52,-62,-61,-54,-64,-62,-63,-62,-65,-65,-58,-66,-74,-69,-68,-72,-76,-61,-86,-76,-64,-88,-75,-81,-78,-78,-80,-81,-70,-84,-87,-77,-80,-86,-86,-83,-86,-52,-87,-87,-80,-85,-200,-87,-200,-200,-86,-87,-82,-88,-90,-200,-91,-90,-200,-200,-91,-200,-200,-90,-90,-80,-200,-85,-91,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526443775485,-32,-40,-45,-41,-52,-62,-69,-62,-64,-63,-65,-69,-68,-65,-59,-75,-73,-77,-69,-75,-73,-70,-86,-76,-67,-88,-79,-81,-79,-78,-80,-84,-71,-84,-88,-78,-80,-86,-86,-83,-87,-52,-89,-87,-80,-85,-200,-87,-200,-200,-86,-87,-81,-93,-90,-200,-91,-90,-200,-200,-91,-200,-200,-200,-92,-82,-200,-85,-200,-91,-92,-89,-92,-200,-200,-200,-200,-200,-200
1526443778516,-35,-47,-40,-39,-53,-61,-59,-53,-62,-58,-65,-66,-62,-64,-63,-67,-68,-73,-68,-74,-69,-69,-73,-62,-65,-88,-76,-76,-78,-78,-78,-81,-71,-84,-83,-78,-79,-86,-86,-84,-85,-72,-89,-89,-80,-84,-200,-87,-90,-200,-86,-86,-82,-93,-90,-200,-91,-90,-200,-200,-91,-200,-90,-200,-92,-82,-200,-83,-200,-200,-92,-87,-92,-200,-200,-200,-200,-200,-200
1526443781550,-14,-39,-39,-41,-52,-59,-59,-53,-62,-60,-64,-67,-66,-65,-63,-68,-71,-72,-68,-74,-71,-69,-84,-70,-73,-88,-76,-80,-74,-78,-80,-81,-74,-81,-89,-78,-80,-88,-83,-84,-86,-72,-89,-88,-80,-84,-200,-87,-88,-200,-85,-87,-83,-93,-88,-200,-88,-200,-200,-200,-91,-200,-90,-91,-88,-82,-200,-83,-200,-200,-200,-89,-92,-200,-200,-200,-200,-200,-200
