,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro
,74:da:da:98:7a:60,0c:73:eb:d0:13:c0,74:da:da:98:7a:50,0c:73:eb:d0:11:b0,74:da:da:98:7a:61,74:da:da:98:7a:68,74:da:da:c0:e0:71,74:da:da:98:7a:69,74:da:da:98:7a:4c,0c:73:eb:d0:11:b8,0c:73:eb:d0:13:a8,74:da:da:98:7a:6d,74:da:da:c1:3c:e1,74:da:da:c1:56:ed,0c:73:eb:d0:7e:f0,0c:73:eb:d0:11:d0,74:da:da:c1:3c:91,0c:73:eb:d0:76:40,0c:73:eb:d0:11:e0,74:da:da:c0:e0:81,74:da:da:98:7a:51,74:da:da:98:7a:6c,0c:73:eb:d0:7c:38,74:da:da:c1:3c:d1,74:da:da:c0:e0:72,74:da:da:c1:3b:4d,74:da:da:c1:3c:ad,74:da:da:c0:e0:69,0c:73:eb:d0:7e:d8,74:da:da:c0:e0:82,74:da:da:c1:61:69,74:da:da:c1:3c:f9,0c:73:eb:d0:7f:10,74:da:da:c1:3c:99,74:da:da:98:8f:64,74:da:da:c1:3b:9d,74:da:da:98:85:4c,74:da:da:c1:3c:d2,0c:73:eb:d0:7c:30,0c:73:eb:d0:7e:e8,74:da:da:98:7a:4d,74:da:da:c1:56:a1,74:da:da:98:74:94,74:da:da:c1:3b:49,74:da:da:c1:3c:e2,74:da:da:c1:3c:6d,74:da:da:c1:3c:51,0c:73:eb:d0:19:b0,0c:73:eb:d0:19:a8,0c:73:eb:d0:11:f0,0c:73:eb:d0:7e:e0,74:da:da:c1:4a:ed,0c:73:eb:d0:7e:f8,74:da:da:98:8f:30,74:da:da:c1:4a:c9,0c:73:eb:d0:2a:48,74:da:da:c0:d7:b9,74:da:da:c0:d7:ed,74:da:da:c1:4b:01,74:da:da:c1:3c:92,0c:73:eb:d0:2a:20,74:da:da:98:db:44,74:da:da:c1:3c:ae,74:da:da:c1:3c:fa,0c:73:eb:d0:11:e8,74:da:da:98:8f:34,0c:73:eb:d0:76:48,74:da:da:98:ea:5c,74:da:da:c1:56:ee,0c:73:eb:d0:13:d0,74:da:da:98:92:14,74:da:da:98:91:d5,74:da:da:c0:e0:6a,74:da:da:98:85:1c,74:da:da:c1:3c:f5,0c:73:eb:d0:0e:d0,0c:73:eb:d0:2a:98,0c:73:eb:d0:76:58,74:da:da:c1:4a:f5,0c:73:eb:d0:76:30,74:da:da:c0:f3:02,74:da:da:98:8d:78,74:da:da:c1:3c:dd,74:da:da:98:91:d4,74:da:da:98:85:4d,74:da:da:98:92:15,74:da:da:c0:f4:69,74:da:da:c0:d7:ba,74:da:da:c1:47:cd,0c:73:eb:d0:76:20,0c:73:eb:d0:11:c0,74:da:da:c1:3c:8d,0c:73:eb:d0:2a:58,74:da:da:c1:4a:7d,0c:73:eb:d0:7a:68,74:da:da:c0:f3:01,74:da:da:98:ea:4c,74:da:da:c0:d8:59,74:da:da:c1:4b:59,74:da:da:c0:d7:19,0c:73:eb:d0:13:90,0c:73:eb:d0:7c:18,74:da:da:98:85:00
1526447286762,-22,-33,-37,-38,-41,-43,-44,-47,-48,-49,-52,-54,-54,-54,-55,-56,-60,-61,-62,-62,-63,-63,-65,-65,-65,-66,-66,-67,-69,-70,-70,-72,-75,-75,-75,-76,-76,-76,-77,-78,-78,-78,-78,-78,-79,-80,-80,-80,-81,-83,-83,-83,-83,-83,-83,-84,-84,-85,-86,-86,-86,-87,-88,-89,-90,-91,-92,-92,-94,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447289800,-31,-17,-42,-51,-46,-35,-46,-58,-53,-48,-64,-72,-52,-54,-54,-53,-68,-58,-72,-63,-56,-55,-68,-65,-70,-70,-67,-58,-65,-71,-79,-72,-69,-73,-75,-64,-200,-76,-77,-78,-79,-69,-79,-74,-80,-80,-80,-80,-75,-79,-86,-83,-74,-83,-83,-81,-80,-87,-80,-86,-90,-200,-200,-89,-200,-200,-200,-200,-89,-200,-77,-85,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447292833,-29,-34,-43,-49,-46,-37,-47,-56,-51,-47,-61,-71,-51,-60,-52,-53,-66,-57,-75,-63,-56,-57,-63,-52,-72,-70,-68,-53,-62,-69,-80,-76,-71,-73,-77,-66,-200,-85,-72,-69,-82,-68,-76,-75,-80,-79,-84,-78,-75,-80,-87,-84,-76,-85,-200,-81,-80,-87,-81,-86,-90,-200,-200,-200,-90,-86,-86,-200,-89,-200,-77,-85,-90,-90,-68,-78,-79,-81,-85,-89,-91,-92,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447295853,-16,-34,-53,-53,-45,-43,-53,-51,-55,-46,-63,-74,-61,-60,-55,-54,-66,-61,-69,-63,-55,-67,-65,-52,-71,-68,-71,-62,-61,-68,-80,-76,-71,-74,-77,-65,-200,-85,-74,-72,-83,-67,-77,-75,-81,-79,-84,-78,-75,-81,-78,-84,-76,-88,-200,-83,-80,-87,-82,-89,-90,-200,-200,-200,-90,-85,-86,-200,-89,-200,-77,-85,-90,-90,-68,-79,-77,-81,-85,-91,-88,-92,-92,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447298901,-34,-34,-44,-52,-46,-37,-51,-62,-55,-46,-62,-71,-56,-60,-55,-63,-66,-55,-63,-63,-59,-61,-62,-55,-71,-68,-69,-58,-69,-72,-81,-76,-72,-76,-77,-68,-200,-85,-71,-69,-83,-67,-77,-75,-80,-78,-89,-78,-75,-77,-79,-75,-76,-88,-200,-81,-80,-87,-84,-88,-90,-200,-88,-200,-90,-86,-91,-200,-89,-91,-77,-85,-90,-90,-68,-79,-77,-81,-85,-91,-88,-92,-89,-79,-85,-87,-87,-88,-89,-92,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447301927,-30,-35,-42,-48,-45,-36,-46,-53,-51,-47,-64,-75,-48,-57,-54,-55,-66,-53,-69,-56,-64,-59,-69,-55,-68,-69,-69,-59,-67,-71,-81,-82,-74,-72,-77,-69,-88,-85,-74,-68,-82,-67,-75,-75,-81,-87,-83,-78,-66,-81,-81,-86,-76,-88,-200,-84,-81,-200,-84,-87,-200,-200,-88,-200,-90,-86,-91,-200,-200,-91,-200,-200,-200,-200,-68,-78,-77,-81,-85,-91,-88,-92,-89,-79,-85,-87,-87,-88,-89,-92,-92,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447304960,-29,-35,-47,-48,-46,-35,-48,-53,-51,-52,-68,-73,-56,-58,-53,-56,-68,-54,-61,-57,-57,-59,-68,-53,-64,-65,-69,-60,-71,-77,-76,-81,-75,-74,-77,-69,-88,-200,-75,-68,-83,-71,-75,-200,-83,-85,-86,-200,-66,-92,-85,-86,-82,-85,-200,-78,-79,-200,-87,-88,-200,-90,-88,-200,-89,-86,-91,-200,-200,-91,-200,-200,-200,-200,-200,-78,-80,-200,-200,-91,-88,-200,-89,-79,-85,-88,-87,-89,-89,-89,-92,-86,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447307975,-33,-34,-43,-50,-48,-36,-45,-52,-53,-51,-68,-73,-54,-64,-56,-55,-67,-52,-62,-57,-59,-60,-60,-57,-66,-65,-79,-56,-63,-78,-74,-81,-67,-77,-85,-66,-88,-200,-80,-71,-87,-78,-73,-72,-85,-85,-83,-200,-79,-87,-86,-87,-82,-86,-200,-87,-82,-200,-87,-87,-200,-90,-88,-200,-89,-86,-91,-200,-200,-90,-200,-200,-200,-200,-67,-79,-80,-200,-200,-200,-200,-200,-89,-79,-85,-87,-85,-90,-89,-89,-92,-86,-86,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526447311020,-40,-31,-43,-50,-50,-43,-49,-55,-59,-48,-77,-71,-54,-63,-65,-56,-67,-52,-62,-69,-59,-69,-59,-57,-68,-75,-79,-65,-74,-80,-74,-81,-67,-75,-83,-66,-88,-81,-77,-70,-87,-78,-73,-79,-84,-85,-83,-200,-79,-87,-86,-87,-89,-86,-200,-87,-82,-85,-87,-88,-200,-90,-89,-200,-89,-89,-91,-200,-200,-90,-200,-200,-200,-200,-67,-79,-80,-200,-200,-200,-91,-200,-89,-200,-85,-87,-86,-90,-200,-89,-200,-88,-86,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200
