,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,NETWORK,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,DLINK_D02A88,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro
,0c:73:eb:d0:7e:d8,74:da:da:c1:3c:d1,74:da:da:c1:3c:e1,74:da:da:c1:3b:49,74:da:da:c1:3c:ad,74:da:da:c1:3c:ae,74:da:da:c0:e0:71,0c:73:eb:d0:11:d0,0c:73:eb:d0:7e:f0,74:da:da:c1:3c:91,74:da:da:c1:3b:85,74:da:da:c1:4b:05,74:da:da:c0:e0:69,0c:73:eb:d0:11:b0,74:da:da:c1:56:ed,74:da:da:c1:3c:6d,0c:73:eb:d0:7e:e8,74:da:da:c0:f2:fd,74:da:da:c1:3c:e2,74:da:da:c0:e0:72,74:da:da:98:7a:50,74:da:da:98:7a:68,74:da:da:c1:61:69,0c:73:eb:d0:13:c0,74:da:da:c0:e0:81,0c:73:eb:d0:76:20,0c:73:eb:d0:76:58,74:da:da:98:7a:6c,0c:73:eb:d0:7e:e0,74:da:da:c1:3c:d2,0c:73:eb:d0:11:b8,0c:73:eb:d0:13:a8,74:da:da:c1:3c:92,74:da:da:c1:3b:e9,74:da:da:c1:3b:4a,bc:d1:77:5f:6a:b4,74:da:da:c0:d7:09,0c:73:eb:d0:19:b0,74:da:da:98:8f:64,74:da:da:98:8d:78,0c:73:eb:d0:2a:28,74:da:da:c1:3c:51,74:da:da:c1:3b:45,0c:73:eb:d0:19:98,0c:73:eb:d0:7c:10,0c:73:eb:d0:11:f0,74:da:da:98:92:14,74:da:da:98:7a:60,74:da:da:c1:3b:65,74:da:da:c1:3c:99,0c:73:eb:d0:19:a8,74:da:da:c1:3c:dd,74:da:da:98:7a:4c,74:da:da:c1:4b:01,74:da:da:98:8f:3c,74:da:da:c1:3b:86,0c:73:eb:d0:7c:18,74:da:da:98:ea:4c,74:da:da:c0:f3:59,74:da:da:98:8f:34,74:da:da:c1:3c:f5,0c:73:eb:d0:2a:38,74:da:da:98:8f:30,74:da:da:c0:d8:25,74:da:da:c1:56:ee,74:da:da:c1:4a:a5,74:da:da:98:91:d4,74:da:da:c0:f3:01,0c:73:eb:d0:2a:18,74:da:da:c1:4a:7d,0c:73:eb:d0:7c:38,74:da:da:c1:5e:ed,74:da:da:c1:3b:79,0c:73:eb:d0:76:40,0c:73:eb:d0:0e:c0,74:da:da:c0:e0:82,74:da:da:98:7a:6d,74:da:da:c1:3d:09,0c:73:eb:d0:7c:30,0c:73:eb:d0:7f:18,74:da:da:c1:3c:f9,74:da:da:98:74:94,74:da:da:c1:3c:8d,0c:73:eb:d0:7c:00,0c:73:eb:d0:11:e8,0c:73:eb:d0:2a:20,74:da:da:c1:3b:69,74:da:da:c1:4b:59,74:da:da:98:db:44,74:da:da:c1:14:99,74:da:da:c0:d7:ed,74:da:da:c0:f4:69,74:da:da:98:66:cc,74:da:da:c1:02:95,74:da:da:c1:3b:19,74:da:da:c1:48:bd,74:da:da:c1:3d:05,74:da:da:c1:47:cd,74:da:da:c0:f3:05,74:da:da:98:90:2c,0c:73:eb:d0:76:48,0c:73:eb:d0:0e:b8,0c:73:eb:d0:2a:88,0c:73:eb:d0:76:38,74:da:da:c0:e0:6d,0c:73:eb:d0:7c:48,74:da:da:c1:3b:29,74:da:da:c1:4a:f5,0c:73:eb:d0:2a:60,74:da:da:c0:d8:3d,0c:73:eb:d0:2a:48,74:da:da:c1:03:61,0c:73:eb:d0:7f:10,74:da:da:c1:17:75
1526450912624,-29,-35,-40,-40,-42,-51,-53,-53,-55,-56,-58,-62,-63,-64,-66,-67,-67,-67,-68,-69,-69,-70,-70,-70,-70,-71,-71,-72,-72,-73,-73,-74,-75,-75,-75,-77,-77,-77,-78,-78,-78,-78,-79,-79,-79,-80,-80,-81,-81,-81,-81,-82,-83,-83,-83,-83,-84,-84,-84,-84,-85,-85,-85,-85,-86,-86,-86,-86,-87,-87,-88,-88,-88,-88,-88,-89,-89,-89,-90,-90,-90,-90,-91,-91,-91,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450915660,-7,-38,-50,-38,-38,-49,-56,-46,-51,-55,-43,-62,-67,-66,-66,-80,-75,-67,-63,-79,-74,-73,-86,-65,-74,-71,-78,-78,-72,-65,-83,-74,-72,-70,-76,-84,-78,-77,-81,-72,-81,-83,-79,-81,-79,-80,-80,-81,-81,-81,-81,-75,-89,-83,-83,-83,-80,-84,-85,-84,-85,-82,-85,-85,-82,-80,-89,-86,-87,-87,-88,-88,-84,-90,-88,-87,-83,-91,-90,-90,-91,-89,-200,-91,-91,-92,-92,-66,-71,-81,-83,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450918699,-19,-40,-48,-38,-39,-48,-58,-49,-59,-43,-56,-62,-67,-61,-66,-77,-75,-71,-63,-79,-66,-62,-86,-71,-80,-71,-80,-76,-72,-72,-81,-200,-73,-76,-74,-86,-78,-75,-76,-66,-79,-80,-86,-82,-76,-200,-85,-66,-89,-81,-88,-75,-79,-83,-83,-86,-82,-84,-85,-84,-88,-82,-200,-84,-88,-80,-88,-86,-87,-200,-87,-88,-84,-90,-88,-88,-89,-91,-200,-90,-91,-92,-200,-200,-91,-92,-92,-68,-71,-81,-83,-83,-87,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450921736,-25,-39,-45,-34,-39,-48,-62,-45,-59,-50,-59,-78,-73,-64,-200,-79,-71,-71,-65,-77,-66,-64,-86,-64,-80,-71,-80,-80,-200,-72,-82,-200,-73,-80,-75,-83,-83,-76,-77,-66,-81,-85,-86,-81,-76,-93,-85,-73,-89,-200,-86,-78,-77,-200,-200,-86,-78,-200,-85,-200,-88,-78,-200,-84,-89,-78,-75,-200,-200,-200,-87,-200,-84,-72,-200,-88,-91,-83,-200,-90,-91,-89,-200,-200,-200,-92,-86,-68,-71,-81,-83,-86,-87,-89,-88,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450924774,-26,-38,-44,-38,-38,-48,-60,-49,-61,-48,-59,-78,-67,-74,-200,-77,-85,-70,-66,-78,-66,-67,-87,-75,-74,-72,-74,-77,-82,-74,-82,-200,-73,-80,-75,-73,-77,-78,-79,-73,-82,-85,-83,-81,-77,-93,-85,-73,-89,-200,-86,-78,-77,-89,-87,-85,-81,-200,-85,-200,-87,-76,-91,-84,-90,-78,-75,-200,-200,-88,-87,-200,-86,-72,-200,-88,-89,-87,-200,-90,-91,-89,-200,-200,-200,-91,-86,-63,-71,-81,-83,-86,-87,-89,-88,-88,-86,-89,-90,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450927815,-18,-39,-47,-38,-39,-47,-59,-45,-61,-49,-58,-75,-68,-61,-200,-79,-67,-71,-66,-80,-66,-64,-87,-65,-74,-88,-82,-80,-75,-73,-77,-200,-72,-80,-74,-73,-76,-76,-75,-74,-80,-81,-82,-81,-77,-88,-85,-73,-89,-200,-86,-77,-79,-89,-87,-87,-83,-200,-200,-200,-87,-80,-91,-84,-90,-79,-75,-200,-89,-88,-87,-86,-86,-87,-200,-86,-88,-89,-200,-90,-200,-89,-200,-200,-200,-91,-86,-68,-200,-200,-200,-82,-87,-89,-91,-88,-86,-89,-88,-91,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450930854,-16,-40,-44,-22,-39,-48,-66,-50,-59,-50,-60,-77,-77,-64,-75,-76,-68,-71,-65,-79,-66,-73,-88,-65,-80,-88,-82,-77,-75,-75,-78,-200,-74,-80,-74,-73,-76,-78,-77,-71,-78,-84,-82,-80,-72,-86,-92,-81,-89,-200,-86,-77,-86,-89,-87,-88,-83,-200,-200,-200,-87,-78,-91,-88,-86,-79,-75,-200,-89,-88,-87,-86,-86,-86,-200,-88,-86,-89,-200,-200,-88,-92,-200,-200,-200,-91,-85,-76,-200,-200,-87,-88,-200,-89,-90,-90,-86,-89,-88,-91,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450933889,-17,-43,-40,-37,-40,-47,-57,-45,-65,-50,-59,-77,-66,-61,-75,-76,-67,-59,-65,-78,-65,-73,-88,-72,-80,-69,-79,-76,-83,-74,-79,-200,-74,-77,-74,-87,-77,-76,-75,-72,-80,-83,-87,-80,-72,-90,-92,-81,-89,-200,-200,-79,-78,-91,-86,-88,-83,-89,-85,-200,-82,-78,-91,-81,-89,-79,-200,-200,-85,-88,-85,-91,-88,-86,-200,-88,-88,-85,-200,-200,-88,-92,-200,-200,-200,-91,-88,-67,-200,-200,-87,-84,-200,-200,-90,-90,-86,-89,-89,-92,-95,-78,-90,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450936928,-17,-42,-46,-37,-40,-47,-59,-45,-60,-50,-56,-78,-67,-61,-75,-78,-66,-73,-65,-78,-63,-69,-88,-73,-74,-75,-81,-73,-76,-75,-77,-200,-74,-79,-74,-85,-80,-72,-76,-73,-80,-83,-83,-80,-72,-90,-87,-69,-89,-200,-91,-79,-79,-91,-86,-86,-81,-89,-85,-200,-88,-76,-200,-84,-89,-79,-200,-200,-83,-200,-83,-91,-88,-86,-200,-88,-89,-85,-200,-93,-88,-92,-200,-91,-200,-200,-88,-68,-200,-83,-82,-84,-86,-200,-90,-88,-200,-200,-87,-92,-95,-77,-90,-93,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
