,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,DLINK_D02A48,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A20
,74:da:da:c0:e0:71,0c:73:eb:d0:13:c0,0c:73:eb:d0:7e:f0,74:da:da:98:7a:68,74:da:da:c0:e0:81,74:da:da:c1:3c:e1,74:da:da:c0:e0:72,74:da:da:98:7a:60,0c:73:eb:d0:7e:d8,74:da:da:98:7a:50,74:da:da:c1:56:ed,74:da:da:c0:e0:69,74:da:da:c0:e0:82,74:da:da:98:7a:61,74:da:da:98:7a:6c,74:da:da:c1:3c:d1,0c:73:eb:d0:11:b0,74:da:da:c1:3c:ad,0c:73:eb:d0:7c:38,0c:73:eb:d0:7e:e8,0c:73:eb:d0:11:d0,74:da:da:98:7a:4c,0c:73:eb:d0:76:40,74:da:da:98:7a:69,74:da:da:98:ea:4c,74:da:da:c1:3b:4d,74:da:da:98:8f:64,74:da:da:c1:3c:99,0c:73:eb:d0:11:b8,0c:73:eb:d0:11:f0,0c:73:eb:d0:7e:e0,74:da:da:98:7a:51,74:da:da:c1:3c:e2,74:da:da:c1:3b:9d,0c:73:eb:d0:19:a8,0c:73:eb:d0:76:58,74:da:da:c1:3b:49,74:da:da:c1:3c:91,0c:73:eb:d0:13:a8,0c:73:eb:d0:2a:48,0c:73:eb:d0:7f:10,74:da:da:98:8f:30,74:da:da:98:7a:6d,74:da:da:c1:47:cd,74:da:da:c1:3c:51,74:da:da:c1:3b:85,0c:73:eb:d0:7e:f8,0c:73:eb:d0:2a:98,0c:73:eb:d0:11:e0,74:da:da:c1:3c:f9,74:da:da:c0:d8:59,74:da:da:c1:56:ee,74:da:da:c0:d7:19,74:da:da:98:91:d5,0c:73:eb:d0:7c:30,0c:73:eb:d0:7c:18,74:da:da:c0:f3:01,74:da:da:c1:3c:6d,74:da:da:98:85:4c,0c:73:eb:d0:2a:58,74:da:da:c0:e0:6a,74:da:da:98:85:00,74:da:da:c1:3c:dd,74:da:da:c1:3c:8d,74:da:da:98:85:4d,74:da:da:c1:4b:01,74:da:da:98:db:44,74:da:da:98:7a:4d,74:da:da:c0:d7:b9,74:da:da:c1:3b:e9,0c:73:eb:d0:76:48,74:da:da:98:ea:5c,74:da:da:c0:d7:ed,74:da:da:c0:d7:ba,0c:73:eb:d0:0e:c0,0c:73:eb:d0:7c:48,0c:73:eb:d0:13:90,74:da:da:98:ea:4d,74:da:da:98:85:60,0c:73:eb:d0:7c:00,0c:73:eb:d0:13:b8,0c:73:eb:d0:7a:68,74:da:da:c1:3c:92,74:da:da:98:92:14,74:da:da:c1:56:a1,74:da:da:c1:56:a2,74:da:da:c1:3c:f5,74:da:da:98:8f:34,0c:73:eb:d0:76:20,0c:73:eb:d0:11:f8,74:da:da:98:74:94,74:da:da:c1:3c:ae,74:da:da:98:92:15,74:da:da:c0:f3:02,74:da:da:c1:3c:52,0c:73:eb:d0:11:e8,0c:73:eb:d0:7f:08,74:da:da:98:91:d4,0c:73:eb:d0:76:30,74:da:da:c1:61:69,74:da:da:c0:e2:d9,74:da:da:c1:3c:cd,74:da:da:98:74:80,0c:73:eb:d0:2a:38,0c:73:eb:d0:13:d0,0c:73:eb:d0:7f:18,0c:73:eb:d0:7c:10,74:da:da:c1:3b:cd,0c:73:eb:d0:19:b0,74:da:da:c1:4a:ed,0c:73:eb:d0:2a:20
1526448758415,-23,-39,-40,-40,-43,-49,-49,-50,-50,-50,-50,-50,-52,-57,-59,-59,-62,-62,-62,-62,-63,-63,-64,-64,-65,-66,-66,-66,-67,-67,-67,-68,-69,-70,-70,-71,-71,-73,-74,-74,-75,-75,-76,-76,-77,-77,-78,-78,-79,-79,-80,-80,-80,-80,-81,-81,-82,-82,-82,-82,-83,-83,-83,-83,-83,-84,-84,-85,-86,-86,-87,-87,-88,-88,-88,-88,-88,-89,-89,-89,-90,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448761453,-30,-39,-36,-38,-45,-50,-48,-56,-50,-61,-51,-47,-57,-68,-61,-64,-69,-62,-52,-59,-71,-52,-64,-67,-63,-77,-71,-200,-60,-63,-69,-73,-72,-72,-73,-74,-64,-73,-46,-83,-200,-71,-84,-200,-77,-84,-200,-76,-54,-66,-88,-80,-80,-81,-72,-83,-75,-77,-82,-200,-83,-82,-200,-83,-78,-84,-200,-85,-73,-86,-87,-200,-88,-86,-88,-88,-88,-89,-78,-80,-86,-90,-92,-67,-69,-74,-77,-80,-83,-85,-85,-88,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448764485,-35,-41,-38,-39,-42,-50,-49,-57,-50,-59,-52,-44,-63,-68,-60,-66,-67,-51,-50,-58,-98,-54,-68,-67,-66,-71,-76,-200,-66,-63,-71,-74,-72,-72,-70,-74,-64,-78,-45,-83,-71,-71,-84,-200,-75,-84,-79,-76,-55,-68,-87,-85,-200,-81,-80,-83,-75,-78,-200,-200,-78,-82,-200,-200,-78,-86,-84,-200,-74,-200,-76,-200,-200,-86,-200,-200,-200,-200,-81,-80,-83,-90,-200,-67,-68,-75,-79,-80,-83,-85,-85,-88,-89,-89,-84,-87,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448767505,-34,-41,-38,-39,-42,-46,-50,-55,-51,-61,-52,-47,-64,-68,-60,-65,-68,-52,-52,-59,-68,-51,-68,-68,-69,-73,-72,-200,-58,-65,-71,-74,-73,-71,-70,-75,-64,-78,-45,-83,-71,-71,-85,-200,-75,-85,-77,-76,-58,-65,-88,-85,-200,-81,-73,-83,-76,-77,-71,-200,-79,-82,-200,-80,-80,-92,-84,-200,-75,-200,-76,-91,-200,-86,-90,-200,-88,-200,-80,-80,-84,-90,-200,-69,-70,-76,-79,-82,-83,-85,-85,-90,-89,-89,-87,-87,-88,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448770549,-40,-40,-34,-40,-50,-57,-50,-57,-53,-61,-52,-51,-65,-69,-60,-65,-67,-62,-50,-61,-63,-62,-68,-69,-68,-73,-74,-75,-59,-65,-68,-74,-73,-71,-71,-75,-66,-74,-45,-83,-64,-71,-85,-200,-82,-83,-77,-76,-55,-68,-87,-85,-200,-81,-70,-82,-73,-77,-72,-200,-79,-82,-200,-80,-80,-92,-87,-200,-75,-200,-78,-91,-200,-86,-90,-90,-88,-200,-80,-82,-87,-90,-200,-69,-70,-76,-79,-82,-83,-85,-84,-90,-87,-89,-87,-87,-88,-67,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448773604,-35,-40,-35,-38,-39,-48,-49,-56,-52,-60,-52,-47,-66,-70,-60,-65,-61,-64,-56,-60,-67,-55,-68,-69,-67,-74,-73,-75,-58,-65,-73,-75,-73,-67,-78,-80,-66,-76,-45,-200,-64,-71,-85,-200,-77,-82,-77,-77,-58,-68,-86,-85,-200,-200,-70,-84,-72,-77,-72,-200,-79,-82,-80,-80,-80,-92,-87,-200,-76,-200,-78,-91,-200,-86,-90,-91,-89,-200,-81,-80,-84,-85,-200,-71,-70,-76,-79,-80,-200,-90,-85,-89,-89,-89,-88,-87,-88,-67,-87,-74,-84,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526448776660,-31,-43,-35,-40,-42,-49,-50,-56,-52,-60,-51,-42,-64,-69,-62,-64,-67,-63,-49,-60,-70,-54,-68,-69,-67,-74,-73,-76,-60,-63,-71,-74,-73,-67,-78,-80,-66,-76,-43,-200,-68,-74,-85,-200,-77,-82,-82,-78,-57,-68,-87,-85,-200,-200,-71,-84,-77,-79,-73,-200,-79,-82,-80,-80,-80,-92,-87,-200,-73,-90,-81,-91,-200,-86,-90,-90,-89,-200,-78,-81,-83,-85,-200,-65,-67,-75,-79,-80,-200,-88,-85,-89,-87,-89,-86,-81,-85,-67,-88,-74,-84,-89,-90,-89,-200,-200,-200,-200,-200,-200,-200
1526448779713,-32,-44,-33,-39,-45,-51,-50,-57,-53,-61,-52,-47,-62,-70,-62,-64,-62,-63,-53,-72,-67,-55,-68,-69,-67,-74,-77,-76,-60,-73,-70,-74,-73,-67,-70,-75,-65,-78,-48,-200,-68,-75,-85,-200,-75,-82,-76,-78,-54,-76,-87,-84,-200,-200,-71,-84,-77,-79,-73,-200,-78,-82,-88,-200,-80,-200,-87,-200,-75,-90,-81,-200,-200,-87,-90,-90,-89,-200,-78,-83,-83,-85,-200,-71,-69,-76,-79,-82,-83,-88,-85,-89,-90,-89,-86,-81,-85,-67,-88,-74,-84,-89,-90,-89,-200,-200,-200,-200,-200,-200,-200
1526448782730,-33,-41,-32,-39,-39,-51,-50,-56,-54,-62,-53,-53,-68,-69,-65,-66,-66,-63,-50,-61,-71,-54,-61,-69,-59,-74,-73,-77,-58,-69,-71,-50,-73,-63,-69,-76,-65,-78,-44,-83,-63,-74,-84,-200,-75,-83,-79,-78,-58,-67,-87,-85,-200,-200,-71,-82,-76,-77,-71,-200,-79,-82,-80,-79,-82,-86,-85,-200,-76,-90,-81,-200,-200,-87,-90,-90,-89,-200,-78,-81,-83,-85,-200,-71,-69,-76,-79,-80,-81,-89,-85,-89,-89,-200,-86,-87,-84,-200,-88,-81,-84,-89,-90,-89,-200,-200,-200,-200,-200,-200,-200
