,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A18,DLINK_D00ED8,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:7e:f0,74:da:da:c0:e0:71,74:da:da:c0:e0:81,74:da:da:98:7a:60,0c:73:eb:d0:13:c0,74:da:da:c0:e0:72,0c:73:eb:d0:13:a8,0c:73:eb:d0:7c:38,74:da:da:c0:e0:69,74:da:da:98:7a:68,74:da:da:c1:3c:e1,0c:73:eb:d0:11:e0,0c:73:eb:d0:7e:d8,74:da:da:98:7a:50,74:da:da:98:7a:6c,74:da:da:c0:e0:82,0c:73:eb:d0:7f:10,74:da:da:c1:3c:ad,0c:73:eb:d0:7e:e8,0c:73:eb:d0:11:b8,74:da:da:c1:56:ed,0c:73:eb:d0:76:58,0c:73:eb:d0:11:f0,74:da:da:c1:3b:4d,0c:73:eb:d0:11:b0,74:da:da:c1:3c:f9,74:da:da:c1:3c:91,0c:73:eb:d0:11:d0,74:da:da:98:8f:30,74:da:da:c1:56:a1,74:da:da:c1:3b:9d,74:da:da:98:85:4c,74:da:da:c0:f3:01,74:da:da:98:7a:69,74:da:da:98:7a:61,74:da:da:c1:3c:51,74:da:da:c0:d7:b9,0c:73:eb:d0:7c:30,0c:73:eb:d0:76:40,0c:73:eb:d0:19:a8,74:da:da:98:85:00,74:da:da:98:ea:4c,0c:73:eb:d0:76:20,74:da:da:c1:3c:e2,74:da:da:98:91:d4,74:da:da:98:8f:34,0c:73:eb:d0:76:48,74:da:da:c1:3b:85,74:da:da:c1:3c:dd,74:da:da:c1:3c:f5,74:da:da:98:8f:64,0c:73:eb:d0:7e:e0,74:da:da:c1:47:cd,74:da:da:c1:56:ee,74:da:da:c0:e0:6a,74:da:da:c1:3c:99,74:da:da:98:7a:51,0c:73:eb:d0:13:90,0c:73:eb:d0:11:e8,74:da:da:c1:3c:6d,74:da:da:98:db:44,0c:73:eb:d0:7c:18,74:da:da:c0:d7:ba,74:da:da:98:85:60,74:da:da:98:91:d5,74:da:da:c0:d8:59,0c:73:eb:d0:13:d0,74:da:da:c1:14:99,74:da:da:c1:4a:ed,0c:73:eb:d0:2a:48,0c:73:eb:d0:7a:68,74:da:da:c1:3c:52,74:da:da:c1:3c:ae,74:da:da:98:8d:78,0c:73:eb:d0:2a:18,0c:73:eb:d0:0e:d8,ec:26:ca:0b:d4:1e,74:da:da:c1:3c:d1,74:da:da:c0:d7:19,74:da:da:98:7a:6d,0c:73:eb:d0:13:b8,c0:61:18:93:35:28,74:da:da:98:7a:4c,74:da:da:c1:3c:8d,0c:73:eb:d0:7c:00,0c:73:eb:d0:7e:f8,0c:73:eb:d0:19:98,0c:73:eb:d0:7f:08,0c:73:eb:d0:2a:10,74:da:da:c1:3c:92,74:da:da:c1:61:69,0c:73:eb:d0:76:30,0c:73:eb:d0:7c:10,74:da:da:c1:3b:69,0c:73:eb:d0:7c:48,0c:73:eb:d0:7f:18,74:da:da:c0:d7:ed,0c:73:eb:d0:2a:98,74:da:da:c1:3c:cd,0c:73:eb:d0:19:b0,74:da:da:c1:4b:01,74:da:da:c0:f4:69,74:da:da:98:74:94,74:da:da:98:92:14,74:da:da:c1:48:bd
1526449701783,-31,-33,-41,-44,-45,-45,-46,-48,-49,-50,-51,-51,-52,-52,-54,-54,-54,-55,-61,-61,-63,-64,-65,-65,-65,-66,-66,-67,-67,-67,-68,-68,-69,-70,-70,-70,-70,-71,-72,-72,-72,-73,-73,-74,-74,-75,-76,-76,-76,-77,-77,-77,-77,-78,-78,-78,-78,-78,-81,-82,-82,-83,-83,-84,-85,-86,-86,-86,-87,-87,-88,-88,-90,-90,-90,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449704824,-15,-41,-39,-53,-44,-52,-64,-71,-44,-36,-55,-61,-52,-68,-70,-61,-54,-56,-63,-73,-59,-64,-69,-81,-64,-75,-65,-59,-71,-79,-68,-68,-69,-67,-76,-70,-90,-83,-200,-74,-72,-78,-73,-71,-82,-77,-87,-80,-76,-82,-77,-80,-83,-79,-72,-74,-78,-78,-78,-82,-82,-96,-83,-84,-85,-200,-200,-86,-87,-200,-200,-88,-90,-90,-90,-91,-200,-71,-77,-84,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449707851,-24,-39,-38,-52,-42,-56,-59,-66,-41,-35,-52,-66,-56,-62,-73,-66,-77,-52,-61,-72,-60,-75,-66,-77,-64,-70,-67,-65,-69,-79,-74,-200,-77,-67,-74,-79,-90,-83,-79,-74,-78,-78,-200,-71,-82,-72,-87,-80,-200,-80,-69,-80,-82,-79,-71,-77,-79,-200,-76,-200,-200,-96,-200,-84,-200,-86,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-71,-78,-86,-90,-92,-66,-73,-85,-87,-89,-90,-90,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449710886,-27,-38,-59,-52,-41,-54,-62,-67,-45,-38,-52,-71,-58,-72,-73,-64,-77,-54,-60,-72,-63,-76,-74,-75,-61,-68,-68,-59,-69,-79,-74,-80,-79,-68,-73,-80,-85,-87,-68,-74,-78,-78,-200,-72,-82,-72,-81,-81,-200,-83,-70,-72,-82,-82,-72,-76,-79,-200,-75,-84,-85,-85,-200,-80,-200,-86,-89,-200,-200,-90,-89,-200,-200,-200,-200,-200,-200,-70,-73,-85,-90,-92,-66,-73,-85,-87,-88,-90,-90,-93,-84,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449713920,-25,-16,-45,-54,-42,-53,-58,-66,-44,-14,-49,-67,-57,-59,-66,-61,-75,-51,-58,-66,-58,-76,-65,-73,-59,-68,-70,-61,-69,-81,-72,-78,-81,-68,-71,-80,-81,-87,-77,-74,-77,-78,-200,-72,-82,-73,-81,-81,-200,-82,-70,-77,-83,-82,-71,-76,-78,-200,-75,-83,-85,-85,-200,-80,-200,-86,-88,-200,-200,-90,-89,-200,-200,-200,-200,-200,-200,-73,-73,-83,-90,-90,-80,-71,-89,-87,-88,-90,-90,-93,-84,-90,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449716953,-25,-41,-39,-52,-41,-53,-63,-63,-45,-35,-58,-66,-56,-66,-68,-59,-76,-55,-66,-76,-58,-78,-63,-74,-61,-70,-70,-66,-69,-80,-76,-77,-80,-68,-75,-80,-85,-80,-77,-74,-78,-81,-200,-73,-83,-74,-78,-79,-200,-82,-73,-74,-83,-82,-71,-75,-77,-200,-75,-84,-85,-85,-200,-81,-200,-86,-88,-200,-200,-90,-89,-200,-200,-200,-200,-200,-200,-72,-76,-86,-200,-90,-72,-72,-88,-85,-88,-90,-90,-93,-86,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449719985,-17,-39,-50,-50,-42,-51,-58,-62,-48,-34,-58,-79,-56,-73,-68,-61,-74,-53,-63,-72,-58,-78,-66,-74,-68,-71,-70,-61,-69,-80,-76,-77,-81,-67,-74,-80,-85,-82,-77,-74,-78,-81,-200,-75,-83,-74,-78,-79,-84,-82,-71,-74,-84,-82,-72,-75,-77,-200,-75,-83,-85,-92,-200,-81,-200,-86,-88,-200,-200,-90,-89,-200,-200,-200,-200,-200,-200,-80,-76,-85,-90,-90,-72,-72,-88,-85,-88,-200,-200,-200,-86,-90,-90,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449723008,-33,-39,-37,-52,-42,-49,-62,-64,-45,-36,-55,-70,-58,-67,-68,-59,-76,-56,-65,-68,-57,-72,-67,-74,-58,-71,-70,-59,-70,-77,-68,-79,-81,-68,-73,-80,-85,-83,-67,-70,-79,-77,-200,-74,-83,-77,-81,-80,-84,-80,-71,-70,-84,-80,-73,-72,-78,-200,-74,-83,-85,-84,-200,-81,-200,-85,-88,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-80,-76,-84,-94,-90,-72,-71,-87,-85,-200,-200,-200,-200,-86,-200,-90,-89,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449726045,-24,-40,-42,-58,-42,-52,-62,-66,-43,-14,-64,-66,-57,-79,-68,-61,-75,-52,-63,-76,-63,-74,-65,-81,-61,-71,-200,-60,-67,-77,-76,-79,-81,-68,-75,-82,-85,-82,-80,-70,-78,-80,-200,-73,-83,-75,-84,-81,-84,-84,-71,-72,-82,-80,-72,-79,-79,-200,-74,-84,-89,-90,-200,-79,-200,-85,-90,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-73,-76,-84,-94,-200,-72,-71,-83,-85,-200,-200,-200,-200,-86,-200,-90,-89,-87,-87,-89,-200,-200,-200,-200,-200,-200,-200,-200
