,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,DQKJ,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18
,0c:73:eb:d0:7e:e8,74:da:da:c0:e0:69,74:da:da:c1:56:ed,0c:73:eb:d0:7e:e0,74:da:da:c1:56:ee,74:da:da:98:92:14,74:da:da:c0:e0:81,0c:73:eb:d0:7e:f0,0c:73:eb:d0:13:a8,74:da:da:c0:e0:6a,0c:73:eb:d0:7c:38,0c:73:eb:d0:76:48,74:da:da:98:8f:34,74:da:da:c1:3c:51,74:da:da:c1:3c:e1,0c:73:eb:d0:11:e8,0c:73:eb:d0:11:e0,74:da:da:98:85:60,74:da:da:98:8f:30,74:da:da:c1:3c:8d,0c:73:eb:d0:2a:58,74:da:da:c0:d7:b9,0c:73:eb:d0:19:a8,74:da:da:c0:e2:d9,74:da:da:c1:3b:49,74:da:da:c0:d7:19,0c:73:eb:d0:7e:f8,74:da:da:98:91:d4,74:da:da:c0:e0:71,74:da:da:c1:56:a1,0c:73:eb:d0:7f:10,0c:73:eb:d0:7f:08,74:da:da:c0:f3:01,0c:73:eb:d0:11:b0,74:da:da:98:7a:68,74:da:da:98:7a:60,74:da:da:c1:3c:91,74:da:da:c1:3c:cd,74:da:da:98:ea:4c,0c:73:eb:d0:13:d0,74:da:da:98:85:00,74:da:da:c1:3b:85,74:da:da:c1:3c:f5,74:da:da:c1:3c:ad,0c:73:eb:d0:11:f0,0c:73:eb:d0:7c:00,0c:73:eb:d0:7c:18,0c:73:eb:d0:7f:18,74:da:da:c1:3c:e2,74:da:da:98:7a:4c,74:da:da:c1:3c:52,0c:73:eb:d0:13:c0,74:da:da:c0:e0:82,74:da:da:c0:e0:72,74:da:da:c0:d7:0d,0c:73:eb:d0:11:d0,0c:73:eb:d0:2a:10,74:da:da:98:91:d5,74:da:da:98:7a:6c,74:da:da:98:92:15,74:da:da:c1:3c:99,74:da:da:c0:d8:59,74:da:da:98:85:4c,74:da:da:c0:d7:ba,74:da:da:c1:48:bd,74:da:da:c0:f4:69,74:da:da:98:8f:64,74:da:da:c1:3b:c9,0c:73:eb:d0:76:30,0c:73:eb:d0:11:b8,74:da:da:98:8f:35,ec:26:ca:0b:d4:1e,0c:73:eb:d0:19:b8,74:da:da:c0:d7:1a,0c:73:eb:d0:11:f8,74:da:da:c0:f3:02,74:da:da:c1:3b:65,0c:73:eb:d0:19:98,0c:73:eb:d0:7c:08,74:da:da:c0:d7:e9,74:da:da:98:ea:5c,74:da:da:98:db:44,74:da:da:c1:3a:dd,74:da:da:c1:3c:dd,0c:73:eb:d0:0e:c0,74:da:da:c1:48:be,0c:73:eb:d0:2a:30,74:da:da:c1:3b:9d,74:da:da:c1:3d:85,74:da:da:98:8f:3c,0c:73:eb:d0:19:88,74:da:da:98:7a:51,0c:73:eb:d0:7a:68,74:da:da:c1:56:a2,0c:73:eb:d0:76:38,74:da:da:c1:3b:69,74:da:da:c1:3c:d1,74:da:da:c1:17:75,74:da:da:98:ea:50,0c:73:eb:d0:2a:98,74:da:da:c1:3c:85,0c:73:eb:d0:76:58,74:da:da:c1:3a:81,c0:61:18:93:35:28,74:da:da:c1:3c:f9,0c:73:eb:d0:13:b8,0c:73:eb:d0:76:40,0c:73:eb:d0:13:90,0c:73:eb:d0:2a:48,74:da:da:c1:3b:4d,74:da:da:c1:25:9d,74:da:da:c0:d8:1d,74:da:da:c0:d7:ed,74:da:da:c0:d8:05,0c:73:eb:d0:7e:d8,74:da:da:98:74:80,74:da:da:c1:3b:45,74:da:da:c1:3b:cd,0c:73:eb:d0:76:20,0c:73:eb:d0:11:c0,74:da:da:c1:6b:4d,0c:73:eb:d0:2a:18
1526451718481,-33,-35,-36,-44,-46,-47,-49,-50,-50,-51,-52,-53,-54,-56,-57,-58,-59,-59,-59,-60,-61,-62,-64,-64,-64,-65,-65,-66,-67,-67,-68,-68,-68,-69,-69,-69,-70,-71,-71,-72,-72,-72,-72,-72,-73,-73,-74,-74,-74,-75,-75,-77,-77,-77,-78,-79,-80,-80,-81,-82,-82,-82,-82,-82,-83,-83,-83,-84,-85,-85,-85,-85,-86,-86,-86,-87,-87,-87,-88,-88,-88,-89,-90,-91,-92,-92,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451721522,-30,-28,-38,-53,-49,-60,-45,-50,-52,-55,-49,-52,-39,-59,-56,-58,-62,-53,-60,-66,-61,-64,-64,-61,-200,-65,-59,-62,-46,-67,-68,-68,-64,-74,-69,-69,-80,-63,-76,-68,-68,-72,-77,-200,-74,-200,-85,-68,-79,-200,-78,-72,-77,-84,-75,-83,-70,-80,-200,-81,-77,-82,-86,-81,-74,-83,-83,-84,-85,-88,-87,-200,-86,-78,-86,-88,-200,-87,-67,-200,-200,-86,-200,-200,-200,-200,-200,-71,-77,-82,-86,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451724562,-14,-28,-37,-52,-49,-53,-47,-49,-49,-56,-48,-50,-39,-59,-56,-59,-61,-53,-60,-67,-67,-62,-200,-57,-200,-55,-62,-59,-53,-200,-66,-68,-64,-81,-64,-200,-80,-65,-76,-72,-73,-74,-72,-200,-72,-200,-77,-65,-79,-200,-77,-73,-77,-82,-79,-83,-72,-85,-200,-84,-75,-200,-86,-84,-74,-200,-81,-200,-200,-88,-86,-200,-78,-78,-200,-86,-200,-200,-68,-85,-200,-86,-200,-84,-200,-87,-200,-71,-77,-84,-86,-91,-69,-84,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451727586,-29,-28,-38,-53,-49,-57,-44,-53,-47,-55,-45,-49,-37,-60,-61,-63,-60,-54,-54,-65,-67,-71,-69,-57,-200,-55,-66,-63,-53,-200,-62,-67,-64,-81,-63,-200,-77,-64,-74,-73,-70,-72,-72,-75,-71,-200,-78,-68,-78,-200,-77,-69,-77,-84,-79,-91,-74,-85,-79,-80,-75,-200,-80,-84,-74,-75,-82,-85,-200,-89,-86,-85,-80,-77,-200,-86,-200,-200,-70,-85,-200,-87,-200,-84,-89,-91,-200,-71,-81,-80,-86,-91,-69,-84,-88,-88,-80,-86,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451730624,-29,-15,-45,-53,-48,-59,-45,-51,-42,-55,-49,-50,-38,-65,-61,-66,-60,-57,-64,-67,-67,-70,-69,-61,-200,-55,-76,-65,-56,-76,-63,-67,-62,-81,-66,-200,-77,-62,-75,-67,-69,-71,-72,-73,-73,-76,-78,-68,-78,-200,-77,-72,-77,-84,-76,-86,-69,-85,-79,-80,-77,-84,-77,-81,-74,-74,-82,-85,-85,-89,-86,-85,-79,-78,-81,-87,-200,-200,-68,-84,-200,-87,-200,-84,-89,-91,-88,-71,-76,-80,-86,-91,-69,-84,-88,-89,-80,-86,-88,-83,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451733680,-28,-28,-37,-52,-49,-55,-44,-53,-53,-54,-51,-49,-38,-58,-59,-63,-63,-54,-64,-61,-66,-64,-65,-61,-72,-55,-76,-65,-54,-76,-65,-67,-62,-81,-64,-200,-80,-66,-75,-67,-69,-69,-72,-72,-73,-76,-78,-68,-79,-81,-77,-71,-76,-83,-77,-86,-72,-85,-79,-82,-76,-84,-77,-83,-74,-77,-81,-85,-85,-87,-88,-85,-83,-78,-81,-86,-200,-200,-72,-84,-200,-85,-200,-84,-89,-91,-88,-200,-77,-81,-200,-200,-69,-84,-88,-89,-80,-86,-88,-83,-92,-66,-78,-82,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451736718,-31,-27,-38,-54,-49,-58,-44,-48,-49,-54,-49,-49,-38,-60,-56,-56,-61,-54,-60,-64,-66,-63,-65,-60,-72,-53,-76,-65,-53,-73,-67,-67,-62,-200,-66,-77,-80,-64,-73,-72,-69,-73,-75,-76,-74,-76,-78,-68,-78,-80,-77,-72,-72,-83,-76,-86,-72,-200,-79,-82,-78,-84,-77,-83,-77,-74,-81,-87,-80,-87,-85,-85,-78,-77,-82,-88,-200,-200,-72,-85,-200,-85,-200,-86,-89,-91,-90,-200,-77,-81,-200,-200,-65,-200,-200,-89,-82,-86,-86,-83,-92,-66,-78,-82,-86,-80,-87,-91,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451739756,-9,-28,-38,-54,-49,-58,-45,-53,-48,-54,-48,-44,-21,-60,-58,-57,-62,-55,-55,-65,-66,-62,-71,-62,-68,-53,-55,-62,-53,-73,-66,-67,-69,-200,-66,-77,-80,-59,-76,-75,-66,-66,-74,-76,-68,-76,-77,-68,-78,-80,-76,-68,-75,-83,-76,-86,-71,-200,-76,-79,-70,-84,-77,-82,-77,-70,-76,-87,-79,-87,-86,-75,-73,-77,-82,-88,-200,-80,-73,-85,-200,-86,-200,-80,-85,-91,-80,-200,-73,-75,-83,-200,-65,-200,-200,-89,-82,-200,-86,-83,-92,-68,-78,-82,-86,-80,-87,-91,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451742776,-29,-28,-38,-53,-49,-57,-44,-53,-48,-54,-50,-53,-39,-59,-55,-60,-61,-51,-60,-68,-70,-62,-71,-62,-68,-58,-62,-61,-50,-73,-66,-68,-69,-82,-66,-77,-77,-69,-76,-74,-72,-68,-74,-76,-74,-76,-77,-57,-81,-80,-77,-68,-76,-83,-77,-200,-74,-200,-76,-82,-72,-84,-77,-83,-75,-70,-83,-87,-79,-82,-86,-75,-77,-77,-82,-86,-90,-80,-62,-85,-200,-86,-200,-83,-85,-90,-80,-200,-77,-79,-83,-200,-65,-200,-200,-89,-82,-200,-86,-83,-200,-68,-78,-82,-86,-80,-87,-91,-92,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
