,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011314,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED0,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8
,0c:73:eb:d0:7e:e8,74:da:da:c1:56:ed,74:da:da:c0:e0:69,74:da:da:c1:56:ee,74:da:da:c0:e0:81,0c:73:eb:d0:7e:f0,74:da:da:98:85:60,0c:73:eb:d0:7c:38,0c:73:eb:d0:13:a8,74:da:da:c0:e0:6a,74:da:da:c1:3c:51,0c:73:eb:d0:7e:e0,0c:73:eb:d0:76:48,74:da:da:c1:3c:e1,74:da:da:98:91:d5,74:da:da:98:92:14,74:da:da:c1:56:a1,74:da:da:c0:e0:71,0c:73:eb:d0:11:e0,0c:73:eb:d0:7f:10,0c:73:eb:d0:7f:18,74:da:da:c1:3c:8d,74:da:da:c0:d7:19,74:da:da:98:91:d4,74:da:da:c0:e2:d9,74:da:da:c0:d7:b9,74:da:da:98:85:00,0c:73:eb:d0:11:e8,74:da:da:98:8f:34,c0:61:18:93:35:28,0c:73:eb:d0:7f:08,0c:73:eb:d0:13:d0,74:da:da:c1:3c:ad,0c:73:eb:d0:19:b8,74:da:da:c1:48:bd,74:da:da:c1:3c:e2,74:da:da:c1:3c:cd,0c:73:eb:d0:7a:68,74:da:da:c0:d7:0d,0c:73:eb:d0:13:c0,74:da:da:98:ea:4c,74:da:da:c1:3c:99,ec:26:ca:0b:d4:1e,74:da:da:98:7a:6c,74:da:da:98:85:4c,74:da:da:c0:d7:dd,0c:73:eb:d0:7c:08,0c:73:eb:d0:13:b8,0c:73:eb:d0:7e:d8,0c:73:eb:d0:2a:10,74:da:da:c1:3c:52,74:da:da:c1:3b:c9,74:da:da:c1:3d:85,74:da:da:98:7a:50,74:da:da:98:8f:30,74:da:da:c1:3a:dd,74:da:da:98:7a:4c,74:da:da:c0:d7:1a,74:da:da:c0:d7:ba,0c:73:eb:d0:11:f0,74:da:da:98:8f:3c,74:da:da:c1:56:a2,0c:73:eb:d0:76:30,74:da:da:98:92:15,74:da:da:c1:3b:9d,74:da:da:c1:04:45,74:da:da:c0:e0:72,74:da:da:c0:e0:82,74:da:da:98:85:01,74:da:da:c0:f4:69,74:da:da:c1:3a:81,74:da:da:c0:d8:59,74:da:da:c1:25:e5,0c:73:eb:d0:11:b8,74:da:da:98:ea:5c,74:da:da:c0:f3:02,0c:73:eb:d0:11:d0,74:da:da:c0:d7:e9,c0:61:18:93:3e:54,0c:73:eb:d0:76:38,74:da:da:c1:6b:4d,74:da:da:c1:3b:85,74:da:da:c0:d8:3d,0c:73:eb:d0:19:98,0c:73:eb:d0:11:b0,0c:73:eb:d0:13:90,74:da:da:c1:3b:45,0c:73:eb:d0:7c:30,0c:73:eb:d0:7c:18,74:da:da:c1:3c:dd,0c:73:eb:d0:7c:00,74:da:da:c1:4a:c9,0c:73:eb:d0:0e:d0,0c:73:eb:d0:11:c0,74:da:da:c1:3c:6d,74:da:da:98:8f:35,0c:73:eb:d0:76:58,74:da:da:98:7a:68,0c:73:eb:d0:19:a8,74:da:da:c1:3c:f5,74:da:da:98:7a:60,74:da:da:98:8f:64,74:da:da:c0:f3:01,74:da:da:c0:d8:05,0c:73:eb:d0:2a:30,0c:73:eb:d0:0e:c0,74:da:da:c1:4a:ed,74:da:da:c0:d7:c5,74:da:da:c1:3b:49,74:da:da:c1:4b:59,74:da:da:98:db:44,74:da:da:c0:f2:fd,0c:73:eb:d0:7e:f8,0c:73:eb:d0:2a:58,74:da:da:c1:3c:f9,74:da:da:c1:04:49,0c:73:eb:d0:2a:18,74:da:da:c1:61:69,74:da:da:c1:3c:91,74:da:da:c0:d8:25,74:da:da:c1:3b:65,0c:73:eb:d0:76:40,74:da:da:c1:5e:ed,74:da:da:c1:3c:d1,0c:73:eb:d0:0e:b8
1526452743159,-30,-32,-38,-47,-47,-50,-50,-52,-52,-52,-54,-55,-55,-55,-55,-56,-56,-56,-57,-57,-57,-57,-57,-59,-59,-61,-62,-62,-62,-62,-63,-65,-67,-68,-69,-70,-71,-71,-72,-73,-73,-73,-74,-74,-75,-75,-76,-76,-76,-77,-77,-77,-77,-77,-78,-78,-78,-79,-79,-79,-79,-80,-81,-81,-81,-81,-82,-82,-82,-82,-82,-84,-84,-84,-84,-85,-85,-86,-86,-87,-87,-87,-87,-88,-88,-88,-88,-88,-88,-88,-89,-90,-90,-91,-91,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452746174,-36,-37,-34,-54,-51,-46,-50,-52,-51,-45,-47,-46,-50,-62,-55,-56,-69,-49,-55,-62,-57,-57,-50,-59,-67,-68,-62,-50,-50,-77,-63,-75,-70,-79,-69,-74,-68,-71,-72,-70,-63,-73,-74,-74,-75,-200,-76,-76,-76,-69,-67,-77,-77,-79,-68,-78,-200,-81,-82,-74,-79,-80,-84,-82,-81,-200,-82,-76,-82,-82,-82,-200,-84,-81,-84,-85,-85,-89,-86,-87,-87,-78,-200,-86,-80,-88,-89,-200,-79,-88,-73,-90,-200,-200,-88,-91,-62,-67,-68,-69,-71,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452749210,-39,-37,-31,-54,-52,-44,-200,-59,-52,-44,-44,-55,-51,-62,-200,-57,-69,-48,-57,-58,-76,-54,-50,-200,-69,-68,-70,-56,-50,-78,-200,-75,-70,-79,-200,-73,-68,-200,-85,-67,-65,-73,-200,-73,-200,-200,-200,-79,-77,-69,-65,-200,-200,-80,-67,-200,-200,-80,-83,-73,-200,-200,-83,-82,-80,-200,-82,-76,-200,-200,-200,-200,-200,-81,-200,-89,-81,-89,-200,-200,-71,-78,-200,-86,-77,-85,-89,-200,-81,-200,-73,-89,-78,-200,-88,-83,-63,-67,-68,-68,-71,-80,-57,-78,-87,-88,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452752252,-37,-39,-34,-55,-51,-40,-200,-60,-54,-44,-47,-47,-54,-58,-80,-55,-70,-48,-59,-45,-77,-57,-47,-200,-69,-69,-71,-56,-53,-78,-200,-70,-67,-79,-200,-73,-68,-200,-85,-65,-65,-78,-200,-74,-200,-200,-200,-79,-70,-69,-67,-200,-200,-79,-67,-200,-200,-80,-82,-72,-200,-84,-85,-82,-83,-79,-81,-76,-200,-200,-200,-200,-200,-76,-200,-89,-81,-88,-200,-200,-71,-80,-200,-86,-76,-85,-88,-200,-73,-200,-70,-88,-78,-200,-88,-84,-64,-66,-69,-70,-71,-80,-57,-78,-87,-88,-88,-91,-70,-84,-86,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452755271,-35,-46,-44,-55,-61,-47,-63,-65,-56,-44,-55,-47,-50,-58,-81,-66,-77,-47,-66,-69,-77,-64,-59,-200,-69,-68,-71,-49,-50,-73,-79,-78,-67,-79,-200,-73,-69,-200,-85,-61,-68,-77,-200,-74,-200,-200,-200,-86,-78,-68,-67,-200,-200,-79,-70,-88,-78,-80,-81,-72,-200,-84,-84,-82,-85,-78,-82,-75,-200,-80,-200,-85,-200,-76,-87,-88,-81,-88,-200,-200,-83,-80,-200,-86,-81,-85,-88,-200,-79,-88,-79,-91,-78,-200,-89,-82,-64,-69,-71,-68,-71,-80,-57,-78,-85,-88,-88,-91,-70,-84,-86,-86,-69,-71,-86,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452758312,-36,-37,-34,-55,-52,-40,-65,-59,-50,-44,-48,-52,-50,-58,-81,-66,-77,-45,-60,-58,-77,-56,-59,-200,-68,-68,-70,-56,-53,-74,-80,-70,-72,-84,-200,-73,-72,-200,-85,-67,-66,-77,-200,-72,-81,-200,-200,-86,-77,-69,-67,-87,-200,-79,-69,-88,-78,-80,-82,-72,-200,-84,-84,-82,-85,-79,-81,-75,-200,-70,-200,-85,-200,-76,-87,-88,-81,-88,-200,-200,-83,-80,-200,-200,-76,-85,-88,-200,-78,-88,-70,-91,-78,-200,-89,-82,-60,-66,-71,-68,-70,-79,-57,-78,-85,-87,-88,-91,-70,-84,-86,-88,-69,-71,-71,-87,-82,-200,-200,-200,-200,-200,-200,-200,-200
1526452761361,-36,-36,-33,-55,-53,-40,-65,-53,-54,-44,-41,-44,-52,-58,-80,-57,-70,-47,-59,-57,-77,-56,-46,-69,-69,-68,-70,-56,-53,-74,-80,-69,-72,-78,-200,-73,-72,-200,-80,-61,-68,-77,-87,-72,-81,-200,-80,-79,-70,-70,-66,-88,-200,-79,-63,-88,-78,-80,-82,-73,-200,-83,-84,-82,-87,-79,-82,-76,-200,-79,-200,-85,-200,-81,-87,-89,-200,-88,-200,-200,-83,-79,-200,-200,-76,-89,-88,-200,-78,-88,-74,-91,-78,-200,-89,-83,-60,-53,-68,-68,-70,-79,-200,-79,-85,-87,-200,-200,-70,-84,-86,-88,-69,-72,-71,-87,-82,-87,-200,-200,-200,-200,-200,-200,-200
1526452764405,-37,-37,-33,-56,-48,-41,-67,-59,-55,-44,-47,-46,-53,-200,-80,-57,-70,-45,-57,-61,-82,-56,-51,-69,-69,-68,-70,-59,-51,-74,-70,-73,-68,-78,-200,-73,-72,-200,-82,-68,-68,-78,-87,-73,-81,-200,-80,-79,-77,-68,-66,-88,-200,-80,-63,-88,-78,-80,-81,-75,-200,-83,-84,-83,-85,-77,-81,-75,-200,-79,-200,-85,-88,-81,-87,-91,-200,-88,-200,-200,-83,-79,-200,-84,-81,-89,-200,-200,-78,-88,-73,-91,-78,-200,-87,-83,-66,-63,-68,-68,-70,-81,-200,-79,-85,-87,-200,-200,-200,-200,-200,-88,-69,-69,-71,-87,-82,-87,-82,-200,-200,-200,-200,-200,-200
1526452767449,-36,-37,-33,-55,-53,-42,-66,-51,-51,-44,-48,-45,-50,-200,-79,-57,-70,-45,-57,-57,-82,-58,-51,-69,-69,-68,-65,-56,-51,-76,-70,-70,-68,-78,-75,-73,-72,-200,-78,-60,-67,-78,-87,-72,-82,-200,-80,-79,-71,-69,-66,-88,-200,-78,-68,-200,-79,-80,-82,-74,-200,-83,-84,-82,-85,-78,-81,-75,-200,-79,-200,-200,-88,-81,-200,-89,-83,-88,-200,-200,-82,-79,-200,-84,-79,-89,-200,-200,-78,-200,-71,-200,-80,-200,-87,-83,-63,-67,-75,-68,-69,-69,-65,-79,-200,-89,-89,-200,-200,-200,-200,-88,-200,-69,-71,-87,-82,-87,-82,-90,-200,-200,-200,-200,-200
1526452770491,-36,-44,-40,-56,-53,-49,-75,-51,-52,-44,-55,-53,-53,-200,-79,-63,-70,-48,-69,-57,-72,-65,-51,-69,-79,-67,-65,-56,-53,-77,-85,-70,-71,-78,-75,-73,-74,-200,-78,-61,-67,-79,-87,-72,-82,-200,-83,-86,-73,-69,-66,-88,-200,-78,-70,-200,-88,-80,-82,-72,-200,-83,-85,-82,-85,-78,-81,-75,-200,-79,-200,-200,-88,-83,-200,-89,-83,-88,-200,-200,-82,-79,-200,-85,-76,-89,-89,-200,-80,-200,-71,-200,-80,-200,-87,-83,-63,-67,-80,-68,-69,-80,-67,-79,-200,-88,-89,-200,-200,-200,-200,-200,-200,-69,-89,-87,-200,-86,-82,-90,-86,-90,-200,-200,-200
1526452773534,-36,-38,-34,-55,-53,-43,-65,-55,-51,-44,-47,-44,-53,-200,-81,-52,-70,-46,-57,-56,-72,-58,-52,-200,-79,-67,-70,-56,-51,-76,-78,-69,-73,-79,-70,-73,-72,-200,-80,-59,-66,-76,-87,-71,-81,-200,-80,-86,-70,-68,-66,-91,-200,-80,-68,-80,-80,-80,-82,-76,-200,-200,-85,-84,-84,-78,-82,-75,-200,-79,-200,-200,-88,-81,-200,-89,-83,-88,-200,-200,-83,-79,-200,-86,-76,-91,-89,-200,-80,-89,-71,-200,-79,-200,-87,-83,-67,-67,-70,-68,-69,-80,-67,-82,-200,-88,-89,-200,-200,-200,-85,-87,-200,-69,-89,-87,-200,-86,-82,-90,-86,-90,-94,-200,-200
1526452776582,-35,-38,-33,-55,-52,-39,-65,-53,-59,-44,-59,-47,-50,-60,-79,-51,-69,-45,-59,-59,-72,-56,-52,-200,-79,-67,-72,-57,-52,-76,-74,-70,-73,-79,-70,-73,-74,-200,-80,-61,-65,-74,-87,-71,-88,-200,-80,-79,-70,-71,-67,-91,-200,-80,-67,-80,-80,-81,-82,-74,-200,-200,-85,-83,-84,-76,-82,-75,-200,-77,-200,-200,-200,-82,-200,-89,-83,-88,-200,-200,-83,-79,-200,-86,-76,-91,-89,-200,-79,-89,-70,-92,-79,-200,-200,-83,-64,-67,-70,-68,-69,-81,-67,-82,-85,-88,-89,-200,-69,-200,-85,-87,-66,-70,-89,-200,-200,-88,-200,-90,-86,-90,-94,-200,-200
1526452779619,-15,-38,-33,-56,-50,-39,-64,-51,-52,-44,-49,-46,-49,-60,-79,-55,-69,-48,-57,-56,-62,-56,-50,-200,-79,-67,-70,-57,-51,-77,-77,-70,-73,-79,-70,-73,-74,-200,-80,-62,-66,-74,-87,-70,-81,-200,-80,-86,-70,-73,-67,-91,-200,-80,-69,-80,-80,-80,-82,-74,-200,-200,-85,-83,-84,-76,-82,-76,-200,-77,-200,-200,-200,-82,-200,-89,-200,-88,-200,-200,-83,-79,-200,-86,-76,-91,-89,-200,-79,-89,-73,-92,-79,-200,-200,-83,-64,-67,-70,-67,-200,-81,-67,-82,-85,-88,-200,-200,-69,-200,-85,-87,-66,-70,-89,-200,-200,-88,-200,-200,-86,-90,-94,-200,-200
1526452782632,-34,-37,-33,-55,-53,-40,-67,-58,-54,-43,-47,-46,-53,-61,-80,-54,-69,-48,-44,-56,-62,-55,-49,-68,-200,-69,-70,-59,-51,-77,-77,-72,-69,-79,-70,-73,-71,-200,-80,-65,-65,-75,-87,-70,-81,-200,-80,-78,-72,-69,-66,-91,-90,-79,-69,-80,-80,-80,-82,-74,-200,-200,-85,-83,-87,-76,-83,-75,-200,-78,-200,-73,-200,-82,-200,-89,-200,-87,-200,-200,-83,-78,-200,-86,-78,-91,-200,-200,-79,-86,-70,-89,-79,-200,-200,-83,-61,-67,-66,-67,-200,-83,-200,-80,-85,-200,-90,-200,-69,-200,-85,-87,-69,-70,-86,-200,-200,-88,-200,-200,-200,-200,-94,-72,-200
1526452785680,-35,-37,-35,-55,-54,-48,-66,-67,-55,-44,-52,-53,-50,-61,-80,-54,-69,-48,-44,-61,-62,-55,-59,-68,-69,-67,-70,-54,-59,-77,-77,-78,-82,-200,-200,-73,-85,-200,-200,-68,-74,-78,-200,-70,-81,-200,-80,-78,-72,-71,-66,-200,-90,-79,-67,-200,-200,-80,-82,-72,-200,-200,-85,-83,-87,-76,-83,-75,-200,-78,-200,-73,-200,-84,-200,-88,-200,-87,-200,-200,-200,-86,-200,-84,-78,-200,-200,-200,-74,-86,-82,-89,-200,-200,-200,-83,-64,-67,-66,-76,-200,-82,-200,-80,-85,-200,-90,-200,-69,-200,-200,-200,-67,-70,-86,-200,-90,-88,-200,-200,-200,-200,-200,-72,-200
1526452788727,-37,-36,-34,-56,-50,-43,-66,-52,-51,-43,-48,-46,-50,-61,-80,-54,-69,-47,-59,-59,-62,-57,-50,-68,-66,-68,-67,-56,-47,-77,-77,-73,-82,-80,-200,-73,-72,-200,-200,-61,-67,-78,-85,-71,-81,-200,-200,-80,-77,-71,-67,-200,-90,-76,-67,-200,-200,-80,-82,-76,-200,-200,-88,-83,-87,-76,-83,-76,-200,-78,-200,-73,-200,-81,-200,-88,-200,-88,-200,-200,-83,-80,-200,-85,-81,-200,-200,-200,-79,-86,-71,-90,-200,-200,-90,-83,-53,-66,-69,-58,-73,-81,-200,-80,-200,-200,-90,-200,-69,-200,-200,-200,-67,-66,-86,-200,-90,-88,-200,-200,-200,-200,-200,-72,-200
