,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011314,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48
,0c:73:eb:d0:7e:e8,74:da:da:c1:56:ed,74:da:da:c1:56:ee,0c:73:eb:d0:7c:38,74:da:da:c1:3c:e1,0c:73:eb:d0:13:a8,74:da:da:c0:e0:69,74:da:da:98:92:14,74:da:da:c0:e0:71,74:da:da:c1:3c:51,0c:73:eb:d0:76:48,0c:73:eb:d0:7e:f0,0c:73:eb:d0:13:d0,74:da:da:c0:d7:19,0c:73:eb:d0:11:e0,0c:73:eb:d0:7f:10,74:da:da:c0:e0:6a,74:da:da:c1:3c:cd,74:da:da:98:91:d4,74:da:da:98:8f:34,0c:73:eb:d0:7e:e0,74:da:da:c0:e0:81,74:da:da:c0:d7:b9,74:da:da:98:7a:68,74:da:da:c1:3c:8d,0c:73:eb:d0:13:c0,74:da:da:98:85:60,74:da:da:c0:f4:69,74:da:da:98:85:00,0c:73:eb:d0:11:e8,74:da:da:98:ea:4c,74:da:da:c0:d8:05,74:da:da:c0:e2:d9,74:da:da:c1:56:a1,74:da:da:c1:3c:e2,0c:73:eb:d0:19:a8,0c:73:eb:d0:7c:08,0c:73:eb:d0:7e:f8,74:da:da:98:92:15,0c:73:eb:d0:7f:18,74:da:da:c1:3c:99,0c:73:eb:d0:7f:08,0c:73:eb:d0:7a:68,0c:73:eb:d0:76:40,74:da:da:c1:48:bd,0c:73:eb:d0:7e:d8,0c:73:eb:d0:2a:58,0c:73:eb:d0:19:b8,74:da:da:c1:3c:f5,74:da:da:c1:04:45,74:da:da:c1:3c:52,74:da:da:c1:3a:dd,74:da:da:c0:d8:59,74:da:da:c0:d7:1a,0c:73:eb:d0:7c:00,0c:73:eb:d0:76:58,0c:73:eb:d0:11:b0,74:da:da:c0:e0:72,74:da:da:98:91:d5,ec:26:ca:0b:d4:1e,74:da:da:98:7a:4c,74:da:da:c0:d7:ba,74:da:da:c0:f3:02,0c:73:eb:d0:76:30,74:da:da:98:7a:50,0c:73:eb:d0:13:b8,0c:73:eb:d0:11:d0,0c:73:eb:d0:7c:28,0c:73:eb:d0:7c:18,74:da:da:c1:56:a2,74:da:da:c0:e0:82,0c:73:eb:d0:19:98,0c:73:eb:d0:0e:90,0c:73:eb:d0:11:b8,74:da:da:c1:3b:49,74:da:da:c1:3d:85,0c:73:eb:d0:2a:10,0c:73:eb:d0:2a:30,74:da:da:98:ea:5c,74:da:da:c1:6b:4d,74:da:da:c0:d8:3d,74:da:da:c1:3b:85,74:da:da:c1:48:be,74:da:da:c0:d7:e9,c0:61:18:93:3e:54,74:da:da:c1:3c:6d,74:da:da:c1:3b:cd,0c:73:eb:d0:19:a0,0c:73:eb:d0:13:90,74:da:da:98:7a:60,c0:61:18:93:35:28,0c:73:eb:d0:11:f0,74:da:da:c1:3c:8e,0c:73:eb:d0:0e:c0,0c:73:eb:d0:76:20,74:da:da:98:db:44,74:da:da:c0:f3:01,74:da:da:98:7a:6c,74:da:da:c1:3a:81,74:da:da:c1:3b:c9,74:da:da:c1:3b:65,74:da:da:c1:3c:dd,74:da:da:c0:d7:0d,74:da:da:c1:3c:ad,74:da:da:c1:3b:9d,74:da:da:98:8f:35,74:da:da:c1:61:69,74:da:da:c1:25:9d,0c:73:eb:d0:19:88,74:da:da:c0:d7:c5,74:da:da:98:8f:64,0c:73:eb:d0:76:38,74:da:da:c0:d8:25,74:da:da:98:7a:51,74:da:da:98:85:4c,74:da:da:c1:3b:45,74:da:da:c1:3d:09,74:da:da:c1:3c:f9,0c:73:eb:d0:2a:48
1526453491807,-33,-33,-41,-44,-44,-45,-45,-46,-46,-51,-53,-54,-55,-55,-56,-56,-56,-56,-56,-57,-58,-58,-60,-60,-61,-61,-61,-61,-62,-62,-62,-62,-63,-66,-67,-67,-68,-68,-69,-69,-69,-70,-70,-70,-71,-71,-71,-72,-76,-76,-77,-77,-77,-78,-78,-78,-78,-79,-79,-80,-80,-81,-81,-81,-81,-82,-82,-82,-83,-83,-84,-84,-85,-85,-85,-86,-87,-87,-87,-87,-87,-88,-89,-89,-89,-89,-89,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453494853,-15,-24,-43,-54,-49,-48,-40,-46,-47,-58,-67,-43,-69,-55,-52,-56,-42,-68,-56,-57,-52,-51,-63,-61,-51,-76,-70,-74,-58,-62,-75,-62,-63,-200,-66,-73,-72,-65,-82,-61,-83,-61,-71,-70,-71,-71,-200,-86,-73,-81,-72,-77,-77,-72,-70,-89,-78,-83,-83,-79,-80,-83,-86,-81,-81,-82,-77,-200,-83,-83,-74,-84,-85,-85,-85,-79,-73,-87,-200,-87,-87,-87,-90,-89,-89,-89,-89,-90,-200,-73,-77,-83,-85,-89,-90,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453497872,-32,-25,-43,-45,-48,-46,-40,-61,-42,-62,-55,-45,-69,-50,-53,-55,-43,-62,-63,-200,-51,-50,-63,-61,-50,-73,-71,-73,-54,-200,-74,-200,-200,-74,-67,-71,-71,-63,-85,-57,-80,-66,-71,-200,-200,-70,-200,-75,-73,-81,-70,-200,-200,-73,-83,-89,-73,-84,-83,-77,-200,-87,-82,-200,-200,-200,-76,-77,-200,-200,-75,-74,-200,-200,-77,-77,-74,-200,-200,-83,-200,-76,-88,-86,-200,-200,-200,-200,-200,-73,-80,-83,-85,-88,-90,-94,-62,-64,-78,-82,-84,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453500909,-31,-25,-42,-47,-48,-47,-40,-61,-52,-57,-54,-44,-63,-49,-48,-56,-42,-66,-59,-64,-51,-56,-65,-76,-51,-73,-75,-72,-57,-200,-74,-200,-62,-69,-61,-71,-70,-61,-79,-57,-82,-67,-71,-200,-71,-76,-200,-69,-69,-76,-72,-76,-200,-72,-82,-82,-73,-84,-83,-77,-77,-84,-83,-83,-200,-81,-80,-82,-80,-200,-76,-73,-200,-200,-77,-80,-71,-85,-200,-83,-200,-82,-88,-85,-200,-200,-200,-200,-200,-73,-82,-83,-85,-88,-90,-94,-65,-64,-76,-82,-83,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453503949,-30,-24,-43,-45,-50,-47,-41,-56,-49,-57,-58,-45,-69,-47,-49,-57,-42,-60,-62,-65,-50,-52,-61,-76,-54,-73,-84,-82,-56,-76,-75,-200,-61,-69,-67,-70,-71,-61,-86,-59,-82,-66,-71,-200,-71,-76,-200,-70,-71,-76,-71,-76,-200,-73,-68,-85,-73,-79,-83,-77,-77,-82,-83,-83,-200,-81,-78,-82,-82,-200,-74,-72,-200,-200,-77,-79,-76,-85,-200,-82,-200,-80,-88,-86,-200,-200,-200,-200,-91,-73,-82,-91,-85,-88,-90,-90,-60,-64,-77,-82,-82,-87,-68,-68,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453506990,-31,-24,-42,-44,-55,-50,-41,-56,-59,-57,-52,-44,-75,-47,-46,-59,-43,-59,-63,-65,-53,-61,-68,-76,-53,-74,-74,-75,-57,-83,-74,-200,-61,-72,-65,-84,-73,-68,-79,-58,-82,-71,-200,-200,-71,-75,-200,-78,-70,-76,-72,-76,-200,-72,-68,-85,-76,-85,-81,-79,-77,-82,-84,-83,-200,-78,-80,-80,-83,-200,-73,-73,-200,-200,-76,-77,-73,-85,-86,-83,-200,-80,-90,-87,-200,-200,-200,-200,-91,-74,-82,-84,-200,-88,-200,-90,-61,-64,-77,-83,-83,-87,-68,-67,-86,-90,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453510037,-29,-25,-42,-46,-48,-44,-42,-59,-53,-57,-53,-45,-67,-49,-52,-61,-43,-64,-63,-65,-53,-50,-61,-76,-51,-75,-70,-60,-55,-68,-73,-200,-61,-71,-69,-84,-68,-61,-78,-57,-82,-69,-200,-200,-71,-75,-200,-70,-70,-76,-70,-76,-200,-73,-68,-85,-76,-81,-79,-77,-77,-82,-83,-83,-200,-79,-76,-80,-81,-200,-73,-71,-200,-200,-76,-77,-71,-85,-88,-83,-90,-80,-90,-87,-200,-200,-200,-200,-91,-74,-79,-84,-200,-200,-200,-90,-61,-200,-76,-83,-83,-87,-68,-67,-86,-90,-90,-90,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453513057,-29,-25,-43,-46,-50,-48,-42,-60,-48,-65,-55,-44,-72,-50,-53,-57,-44,-61,-59,-63,-50,-51,-58,-68,-52,-74,-70,-74,-56,-70,-75,-200,-200,-71,-63,-78,-69,-66,-80,-57,-83,-66,-65,-84,-71,-75,-68,-67,-71,-81,-74,-78,-200,-73,-69,-200,-75,-85,-79,-75,-200,-84,-83,-200,-200,-80,-79,-83,-81,-200,-75,-72,-200,-81,-76,-78,-71,-200,-86,-83,-90,-75,-89,-88,-200,-90,-200,-200,-200,-74,-79,-78,-200,-200,-200,-200,-59,-200,-76,-80,-79,-84,-70,-67,-200,-90,-90,-90,-88,-84,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526453516075,-29,-24,-43,-42,-51,-49,-42,-58,-49,-61,-54,-43,-66,-48,-53,-59,-44,-67,-60,-64,-52,-50,-58,-68,-52,-76,-73,-82,-53,-71,-73,-200,-200,-71,-64,-72,-71,-62,-79,-57,-83,-63,-67,-84,-70,-200,-68,-70,-71,-81,-72,-78,-200,-73,-69,-200,-75,-85,-82,-75,-200,-84,-86,-200,-76,-80,-79,-83,-81,-200,-75,-72,-200,-81,-200,-78,-72,-87,-86,-83,-90,-75,-89,-88,-200,-90,-200,-200,-200,-200,-81,-82,-200,-200,-200,-200,-53,-67,-77,-82,-83,-84,-66,-72,-84,-200,-200,-200,-88,-84,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526453519120,-31,-24,-43,-48,-49,-46,-40,-56,-48,-61,-55,-43,-68,-48,-50,-56,-44,-64,-61,-60,-52,-51,-61,-62,-50,-76,-73,-82,-56,-77,-73,-200,-60,-71,-65,-70,-71,-62,-81,-59,-83,-63,-70,-85,-70,-68,-68,-77,-71,-81,-73,-78,-200,-73,-82,-79,-75,-81,-82,-76,-200,-82,-86,-200,-76,-80,-79,-82,-81,-200,-76,-72,-200,-81,-200,-77,-75,-87,-86,-83,-200,-75,-89,-88,-200,-90,-200,-200,-200,-73,-81,-83,-200,-86,-89,-200,-53,-67,-76,-80,-83,-85,-69,-72,-86,-200,-200,-200,-88,-84,-85,-86,-89,-90,-200,-200,-200,-200,-200
1526453522170,-28,-25,-42,-52,-47,-48,-39,-57,-48,-56,-56,-44,-71,-51,-55,-58,-43,-66,-58,-60,-49,-52,-61,-62,-50,-76,-73,-82,-53,-77,-73,-200,-60,-71,-68,-78,-73,-61,-79,-57,-83,-66,-66,-85,-70,-68,-200,-66,-70,-81,-73,-79,-200,-73,-83,-79,-75,-82,-82,-74,-200,-81,-85,-200,-76,-80,-79,-82,-81,-200,-75,-71,-200,-200,-200,-77,-72,-87,-86,-83,-200,-75,-89,-88,-200,-200,-200,-200,-90,-73,-81,-83,-200,-86,-89,-200,-63,-67,-73,-80,-83,-85,-70,-72,-86,-200,-200,-82,-200,-200,-85,-83,-90,-90,-200,-200,-200,-200,-200
1526453525198,-15,-7,-42,-47,-50,-48,-41,-64,-50,-70,-60,-49,-70,-53,-50,-57,-42,-66,-58,-60,-53,-51,-59,-62,-55,-77,-72,-82,-59,-77,-77,-200,-65,-71,-67,-71,-83,-61,-80,-57,-200,-66,-66,-85,-68,-68,-200,-71,-70,-83,-74,-79,-200,-73,-83,-81,-89,-82,-82,-74,-200,-83,-85,-200,-76,-89,-87,-87,-83,-200,-75,-71,-200,-200,-200,-77,-81,-86,-200,-83,-200,-81,-200,-88,-200,-200,-200,-200,-90,-73,-81,-83,-200,-90,-91,-200,-63,-67,-73,-86,-83,-85,-70,-72,-86,-200,-200,-82,-200,-200,-200,-83,-90,-90,-82,-93,-200,-200,-200
1526453528238,-33,-25,-44,-46,-49,-46,-44,-57,-53,-57,-53,-49,-70,-53,-47,-57,-42,-61,-60,-61,-53,-51,-61,-62,-58,-73,-72,-73,-57,-70,-73,-200,-60,-70,-68,-71,-68,-64,-74,-46,-200,-66,-66,-85,-70,-72,-200,-69,-69,-83,-80,-79,-200,-73,-69,-87,-82,-82,-200,-77,-77,-84,-85,-90,-75,-89,-87,-82,-82,-200,-74,-72,-200,-200,-200,-77,-75,-86,-89,-83,-200,-80,-89,-88,-200,-200,-200,-200,-89,-70,-200,-84,-200,-90,-90,-200,-61,-66,-73,-79,-84,-87,-67,-67,-86,-200,-200,-82,-200,-200,-200,-82,-90,-90,-82,-93,-75,-200,-200
1526453531284,-29,-26,-44,-50,-51,-47,-42,-60,-53,-65,-52,-46,-70,-48,-51,-56,-43,-63,-60,-61,-52,-49,-61,-200,-57,-72,-73,-73,-56,-72,-73,-200,-61,-70,-68,-72,-72,-63,-77,-58,-83,-66,-66,-200,-71,-71,-200,-68,-69,-83,-74,-78,-200,-73,-69,-87,-76,-83,-200,-75,-77,-84,-85,-90,-75,-89,-81,-82,-82,-200,-74,-70,-200,-200,-200,-80,-75,-85,-89,-80,-200,-80,-89,-88,-89,-200,-200,-86,-90,-73,-85,-84,-200,-90,-90,-200,-60,-66,-77,-79,-83,-86,-67,-68,-200,-200,-90,-82,-200,-200,-200,-83,-90,-200,-82,-93,-75,-200,-200
