,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DQKJ,whu2011314,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,74:da:da:98:85:00,0c:73:eb:d0:7f:08,74:da:da:c1:56:a1,0c:73:eb:d0:7e:f8,74:da:da:98:85:60,0c:73:eb:d0:7f:10,74:da:da:98:85:01,0c:73:eb:d0:11:e0,74:da:da:c1:3c:51,74:da:da:c0:d7:19,74:da:da:c1:56:ed,74:da:da:c0:d7:b9,74:da:da:98:92:14,74:da:da:98:85:61,74:da:da:98:91:d4,74:da:da:c0:f3:01,0c:73:eb:d0:13:a8,0c:73:eb:d0:13:b8,74:da:da:98:85:4c,0c:73:eb:d0:7f:18,74:da:da:c0:e2:d9,0c:73:eb:d0:13:d0,74:da:da:98:ea:50,74:da:da:c1:56:a2,0c:73:eb:d0:7c:00,74:da:da:c1:3b:c9,0c:73:eb:d0:7c:28,74:da:da:c0:e0:69,0c:73:eb:d0:7c:08,74:da:da:c1:3a:dd,0c:73:eb:d0:76:38,74:da:da:c0:d7:c5,74:da:da:c1:3b:cd,74:da:da:c1:3c:cd,74:da:da:c1:48:bd,0c:73:eb:d0:19:a0,74:da:da:98:ea:5c,0c:73:eb:d0:7a:68,0c:73:eb:d0:19:b8,74:da:da:c1:3c:f5,74:da:da:c0:f4:69,0c:73:eb:d0:7e:e0,74:da:da:c0:e0:81,0c:73:eb:d0:7c:38,c0:61:18:93:3e:54,74:da:da:c0:d7:0d,74:da:da:98:85:1c,74:da:da:98:91:d5,74:da:da:98:85:1d,0c:73:eb:d0:13:90,74:da:da:c0:f3:02,0c:73:eb:d0:11:c0,0c:73:eb:d0:7e:e8,74:da:da:98:85:4d,0c:73:eb:d0:13:c0,ec:26:ca:0b:d4:1e,c0:61:18:93:35:28,0c:73:eb:d0:11:e8,74:da:da:c1:3b:19,74:da:da:c1:3b:29,74:da:da:c0:d7:1a,74:da:da:c0:d7:ba,0c:73:eb:d0:76:30,74:da:da:c0:f6:15,74:da:da:c1:3c:55,0c:73:eb:d0:7c:40,74:da:da:98:7a:68,74:da:da:c1:3a:81,74:da:da:98:92:15,0c:73:eb:d0:13:a0,74:da:da:98:7a:50,74:da:da:c0:d8:3d,0c:73:eb:d0:11:b0,74:da:da:c0:f4:6a,0c:73:eb:d0:76:50,74:da:da:98:90:94,74:da:da:c0:d8:1d,74:da:da:c1:25:e5,74:da:da:c1:48:be,0c:73:eb:d0:76:10,74:da:da:c1:3c:52,74:da:da:c1:3c:99,0c:73:eb:d0:0e:a8,50:3a:a0:ea:01:66,74:da:da:c0:f3:59,74:da:da:c1:6b:4d,74:da:da:c1:3c:4d,74:da:da:c1:3b:2a,74:da:da:c1:3c:4e,74:da:da:98:8f:34,d8:15:0d:6c:13:98,74:da:da:98:ea:4c,0c:73:eb:d0:2a:10,74:da:da:98:ea:54,0c:73:eb:d0:11:f8,0c:73:eb:d0:7e:f0,74:da:da:98:74:74,74:da:da:c1:3d:2d,0c:73:eb:d0:0e:a0,0c:73:eb:d0:76:28,74:da:da:c1:3b:4d,74:da:da:c1:3b:9d,0c:73:eb:d0:2a:50,74:da:da:c0:d8:05,0c:73:eb:d0:7c:18,74:da:da:c1:02:8d,74:da:da:c1:25:9d,74:da:da:c0:d7:9d,0c:73:eb:d0:13:d8,74:da:da:c0:f3:05,74:da:da:98:74:80,0c:73:eb:d0:19:88,74:da:da:c1:25:d9,0c:73:eb:d0:13:c8,74:da:da:98:ea:51,74:da:da:98:74:34,0c:73:eb:d0:19:90,74:da:da:c1:3c:8d,74:da:da:c1:3c:45,74:da:da:c1:04:45,74:da:da:c1:3b:49,0c:73:eb:d0:13:98,74:da:da:c0:e0:71,74:da:da:c0:d7:dd,0c:73:eb:d0:19:c8,74:da:da:c1:04:49
1526454022189,-7,-15,-15,-38,-39,-41,-41,-44,-46,-47,-48,-53,-53,-53,-54,-54,-56,-58,-61,-63,-63,-68,-68,-69,-69,-69,-69,-70,-70,-70,-71,-71,-71,-72,-72,-72,-72,-72,-73,-73,-74,-74,-74,-75,-75,-76,-76,-77,-77,-77,-78,-78,-79,-79,-79,-79,-79,-79,-79,-80,-81,-81,-81,-81,-81,-82,-82,-83,-83,-83,-84,-86,-86,-87,-87,-87,-87,-88,-89,-89,-89,-89,-90,-91,-91,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454025227,-14,-39,-45,-44,-33,-56,-53,-68,-77,-61,-57,-64,-72,-47,-58,-63,-82,-56,-61,-61,-71,-68,-65,-63,-69,-74,-69,-67,-79,-70,-84,-80,-71,-72,-72,-64,-74,-72,-73,-71,-67,-74,-81,-62,-75,-76,-64,-70,-74,-67,-76,-60,-71,-76,-79,-80,-79,-200,-79,-72,-84,-81,-81,-200,-81,-82,-82,-83,-83,-80,-84,-87,-86,-87,-87,-81,-87,-88,-89,-89,-89,-89,-200,-91,-91,-68,-67,-84,-88,-89,-89,-91,-91,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454028257,-32,-38,-46,-47,-34,-54,-52,-61,-68,-55,-49,-64,-71,-44,-57,-63,-62,-55,-61,-61,-71,-74,-64,-63,-67,-73,-61,-67,-79,-74,-86,-79,-75,-200,-78,-59,-74,-200,-200,-77,-67,-200,-81,-60,-200,-71,-64,-70,-71,-71,-77,-61,-74,-74,-200,-80,-200,-80,-200,-72,-84,-81,-200,-200,-80,-82,-200,-67,-200,-80,-200,-81,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-71,-67,-84,-88,-89,-86,-91,-89,-93,-60,-76,-80,-84,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454031298,-32,-37,-46,-47,-34,-56,-52,-62,-69,-46,-56,-66,-69,-44,-56,-62,-62,-55,-60,-63,-63,-77,-60,-63,-72,-74,-61,-67,-80,-74,-88,-79,-75,-84,-78,-61,-74,-200,-83,-77,-68,-75,-82,-60,-200,-71,-60,-72,-75,-72,-77,-60,-69,-74,-200,-83,-200,-80,-200,-78,-84,-81,-200,-200,-80,-83,-200,-66,-200,-80,-89,-79,-200,-200,-91,-80,-200,-200,-200,-86,-200,-200,-200,-200,-200,-67,-67,-84,-88,-89,-86,-91,-89,-93,-65,-80,-80,-84,-86,-76,-77,-80,-86,-88,-92,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454034363,-33,-38,-48,-51,-16,-54,-53,-68,-69,-54,-45,-66,-69,-45,-58,-65,-67,-55,-60,-65,-63,-77,-57,-63,-70,-73,-62,-67,-78,-73,-88,-78,-75,-84,-78,-59,-72,-69,-83,-77,-70,-75,-82,-60,-200,-71,-70,-71,-72,-67,-77,-61,-74,-74,-200,-83,-200,-80,-200,-78,-84,-80,-200,-200,-80,-82,-200,-65,-200,-80,-89,-80,-200,-200,-90,-80,-200,-200,-200,-86,-200,-200,-200,-200,-200,-70,-65,-84,-88,-89,-86,-91,-89,-93,-68,-77,-80,-84,-86,-76,-77,-80,-86,-88,-92,-92,-77,-80,-85,-89,-106,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454037420,-31,-41,-46,-46,-33,-54,-54,-61,-69,-54,-56,-65,-72,-45,-58,-65,-72,-54,-62,-65,-62,-65,-59,-63,-75,-73,-56,-67,-78,-73,-86,-79,-75,-84,-77,-61,-72,-69,-83,-77,-68,-77,-82,-62,-200,-67,-60,-70,-76,-68,-77,-61,-74,-75,-200,-79,-200,-81,-200,-78,-84,-80,-200,-200,-80,-86,-88,-66,-200,-200,-89,-81,-200,-200,-90,-81,-200,-77,-200,-86,-200,-200,-200,-200,-200,-70,-70,-85,-88,-200,-86,-88,-89,-200,-68,-77,-80,-84,-86,-76,-77,-80,-86,-88,-92,-92,-77,-80,-85,-89,-78,-67,-86,-88,-89,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454040462,-32,-88,-46,-58,-14,-54,-52,-63,-69,-56,-62,-65,-80,-46,-57,-65,-72,-58,-60,-72,-59,-65,-62,-64,-69,-74,-73,-67,-79,-73,-89,-79,-200,-84,-76,-68,-74,-69,-83,-77,-69,-81,-82,-69,-200,-71,-65,-71,-74,-71,-78,-61,-74,-74,-200,-79,-200,-84,-92,-78,-83,-79,-200,-200,-81,-82,-93,-76,-200,-87,-89,-80,-200,-200,-90,-81,-80,-77,-200,-86,-200,-200,-200,-200,-200,-69,-71,-84,-90,-200,-200,-88,-91,-200,-67,-77,-80,-81,-200,-76,-77,-82,-86,-88,-92,-92,-77,-80,-85,-89,-78,-67,-86,-88,-89,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454043503,-33,-40,-45,-48,-32,-55,-53,-63,-70,-53,-57,-67,-80,-46,-58,-65,-72,-58,-61,-63,-61,-65,-64,-64,-71,-73,-58,-66,-78,-71,-87,-79,-200,-86,-76,-60,-75,-69,-200,-77,-65,-81,-82,-47,-200,-71,-62,-72,-76,-68,-78,-61,-74,-74,-200,-83,-200,-84,-87,-79,-85,-80,-200,-200,-81,-80,-93,-69,-200,-87,-200,-83,-200,-200,-92,-81,-80,-77,-200,-200,-200,-200,-200,-200,-200,-70,-71,-84,-89,-200,-200,-94,-88,-200,-66,-77,-80,-81,-200,-76,-200,-81,-200,-88,-200,-200,-84,-80,-85,-89,-78,-60,-86,-88,-89,-88,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454046538,-32,-38,-44,-47,-33,-53,-54,-62,-70,-54,-55,-65,-72,-46,-57,-62,-64,-54,-61,-63,-61,-67,-62,-64,-69,-74,-59,-66,-77,-72,-86,-78,-200,-85,-77,-61,-75,-70,-200,-77,-68,-70,-83,-63,-200,-71,-61,-74,-73,-68,-77,-59,-72,-76,-200,-79,-200,-84,-87,-80,-84,-81,-200,-200,-81,-82,-93,-68,-200,-87,-91,-83,-200,-200,-92,-81,-80,-76,-200,-200,-200,-200,-200,-200,-200,-71,-69,-84,-89,-200,-200,-91,-88,-200,-69,-80,-80,-81,-200,-76,-200,-81,-200,-88,-200,-200,-84,-200,-200,-200,-78,-62,-86,-88,-90,-88,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
