,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,MERCURY_0166,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,TP-LINK_1398,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,0c:73:eb:d0:13:b8,74:da:da:98:85:4c,74:da:da:98:85:4d,74:da:da:c1:56:a1,0c:73:eb:d0:13:90,0c:73:eb:d0:11:c0,74:da:da:98:85:1c,74:da:da:98:85:60,0c:73:eb:d0:7f:08,0c:73:eb:d0:11:e0,0c:73:eb:d0:11:c8,74:da:da:98:74:80,74:da:da:c1:3d:2d,74:da:da:98:74:34,0c:73:eb:d0:7f:10,0c:73:eb:d0:7c:38,74:da:da:98:74:74,74:da:da:c1:3c:45,74:da:da:c1:3c:55,0c:73:eb:d0:76:18,74:da:da:98:85:00,74:da:da:98:85:61,50:3a:a0:ea:01:66,74:da:da:c1:56:a2,74:da:da:c0:f3:01,74:da:da:c0:d7:b9,74:da:da:c1:3b:29,74:da:da:c0:e0:71,74:da:da:98:85:1d,d8:15:0d:6c:13:98,0c:73:eb:d0:11:d8,74:da:da:c1:3c:85,0c:73:eb:d0:13:c8,0c:73:eb:d0:13:98,0c:73:eb:d0:7c:40,0c:73:eb:d0:7e:f8,74:da:da:c1:02:8d,74:da:da:98:74:81,74:da:da:c0:e0:69,74:da:da:98:92:14,74:da:da:98:85:01,74:da:da:98:90:94,74:da:da:c0:f4:69,0c:73:eb:d0:13:a8,74:da:da:c1:3c:11,0c:73:eb:d0:19:c8,74:da:da:c1:3a:81,74:da:da:c0:d7:19,74:da:da:c1:48:bd,0c:73:eb:d0:7f:18,74:da:da:98:91:d4,0c:73:eb:d0:7f:00,0c:73:eb:d0:76:10,74:da:da:98:ea:5c,74:da:da:c1:6b:4d,74:da:da:c1:03:2d,0c:73:eb:d0:13:d0,0c:73:eb:d0:13:d8,74:da:da:98:ea:50,0c:73:eb:d0:11:f8,0c:73:eb:d0:7e:e8,0c:73:eb:d0:76:30,0c:73:eb:d0:13:b0,74:da:da:c0:d8:3d,74:da:da:98:7a:4c,0c:73:eb:d0:7e:e0,74:da:da:c1:03:21,74:da:da:c0:f6:15,0c:73:eb:d0:7c:28,74:da:da:c0:e2:d9,0c:73:eb:d0:19:90,0c:73:eb:d0:7c:08,0c:73:eb:d0:76:28,74:da:da:c1:3c:51,0c:73:eb:d0:19:88,74:da:da:c0:d7:11,74:da:da:c1:3a:8d,74:da:da:c1:3c:4d,74:da:da:98:66:cc,74:da:da:98:7a:60,0c:73:eb:d0:13:c0,74:da:da:c0:d7:0d
1526457662168,-37,-42,-42,-55,-56,-58,-60,-61,-65,-65,-68,-68,-68,-69,-70,-74,-74,-74,-74,-75,-77,-77,-77,-78,-78,-79,-79,-79,-80,-80,-80,-80,-81,-82,-82,-82,-83,-84,-84,-84,-84,-84,-85,-85,-85,-85,-86,-86,-86,-88,-88,-88,-88,-88,-88,-89,-89,-89,-89,-90,-90,-90,-91,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457665203,-42,-50,-41,-57,-52,-55,-59,-75,-65,-71,-71,-68,-70,-69,-70,-81,-69,-86,-77,-75,-75,-77,-80,-76,-200,-79,-79,-82,-81,-81,-86,-81,-74,-76,-79,-82,-83,-84,-86,-89,-84,-84,-86,-78,-200,-85,-85,-86,-90,-88,-88,-88,-200,-200,-88,-89,-200,-89,-200,-91,-91,-90,-200,-86,-91,-86,-88,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457668239,-37,-43,-42,-56,-59,-56,-59,-66,-68,-65,-67,-62,-66,-69,-62,-74,-75,-86,-77,-75,-74,-78,-79,-77,-200,-78,-78,-81,-80,-81,-80,-82,-74,-76,-83,-83,-86,-85,-83,-89,-84,-86,-86,-80,-90,-85,-85,-86,-90,-91,-81,-89,-200,-200,-88,-89,-200,-91,-200,-91,-91,-90,-200,-87,-91,-85,-88,-91,-92,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457671273,-36,-42,-42,-56,-58,-56,-59,-63,-74,-65,-66,-65,-67,-69,-62,-74,-74,-87,-77,-75,-76,-81,-80,-76,-200,-78,-78,-83,-80,-81,-85,-82,-73,-76,-77,-83,-86,-85,-83,-89,-84,-86,-85,-80,-90,-89,-84,-86,-90,-91,-84,-89,-200,-200,-88,-89,-200,-94,-200,-91,-91,-89,-200,-86,-91,-86,-88,-91,-92,-90,-74,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457674301,-26,-44,-41,-56,-53,-65,-59,-64,-66,-64,-72,-63,-66,-67,-61,-73,-74,-84,-77,-200,-76,-77,-79,-70,-200,-78,-77,-83,-78,-81,-85,-82,-71,-76,-83,-78,-92,-85,-82,-89,-85,-86,-84,-78,-92,-88,-84,-86,-90,-91,-84,-89,-90,-200,-95,-91,-200,-91,-200,-91,-91,-89,-91,-86,-91,-86,-88,-91,-92,-90,-72,-91,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457677336,-38,-43,-43,-43,-58,-57,-56,-67,-68,-68,-66,-65,-69,-69,-69,-78,-74,-85,-77,-200,-74,-81,-79,-77,-200,-78,-78,-80,-78,-81,-85,-82,-76,-82,-78,-78,-86,-85,-82,-200,-84,-84,-84,-81,-89,-85,-85,-88,-200,-91,-84,-89,-90,-200,-89,-77,-200,-91,-200,-200,-90,-89,-91,-86,-90,-86,-91,-200,-92,-90,-72,-91,-91,-88,-89,-90,-91,-200,-200,-200,-200,-200
1526457680369,-41,-43,-43,-65,-58,-62,-59,-65,-73,-68,-65,-63,-69,-70,-61,-75,-71,-92,-78,-200,-75,-77,-78,-72,-200,-76,-85,-80,-80,-81,-77,-82,-74,-78,-82,-78,-86,-84,-90,-83,-83,-84,-85,-82,-89,-85,-86,-85,-200,-91,-89,-200,-88,-200,-87,-94,-200,-91,-200,-200,-92,-89,-91,-86,-91,-83,-91,-91,-95,-200,-72,-91,-91,-86,-82,-90,-90,-200,-200,-200,-200,-200
1526457683409,-37,-43,-43,-56,-54,-57,-58,-68,-70,-69,-71,-63,-71,-64,-61,-80,-71,-92,-76,-200,-74,-79,-78,-72,-200,-78,-78,-80,-78,-81,-78,-82,-77,-76,-83,-79,-87,-84,-82,-81,-82,-86,-85,-79,-89,-89,-84,-88,-200,-90,-84,-200,-89,-200,-87,-90,-200,-89,-200,-200,-92,-92,-91,-86,-91,-87,-88,-91,-95,-200,-72,-91,-91,-86,-82,-90,-90,-200,-200,-200,-200,-200
1526457686452,-37,-42,-43,-57,-59,-57,-58,-68,-69,-69,-71,-63,-70,-67,-68,-73,-73,-87,-76,-200,-74,-79,-79,-71,-200,-74,-77,-81,-79,-81,-79,-82,-75,-77,-78,-86,-88,-84,-82,-84,-84,-85,-85,-82,-89,-86,-86,-87,-200,-89,-83,-200,-88,-200,-88,-90,-200,-89,-200,-87,-92,-93,-200,-86,-91,-86,-89,-91,-89,-200,-200,-91,-91,-90,-82,-90,-91,-86,-90,-91,-200,-200
