,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c1:3d:2d,74:da:da:98:74:74,74:da:da:c1:3d:2e,0c:73:eb:d0:13:98,74:da:da:98:74:80,74:da:da:98:74:81,74:da:da:98:85:4c,74:da:da:98:74:75,0c:73:eb:d0:13:90,0c:73:eb:d0:11:c0,74:da:da:98:85:1d,0c:73:eb:d0:13:b8,0c:73:eb:d0:76:18,74:da:da:c1:3c:45,0c:73:eb:d0:7e:d0,74:da:da:c1:03:1d,0c:73:eb:d0:11:c8,0c:73:eb:d0:13:b0,74:da:da:98:85:1c,74:da:da:98:66:cc,74:da:da:98:85:60,74:da:da:98:90:2c,74:da:da:c1:3c:11,74:da:da:98:74:34,74:da:da:c1:03:2d,0c:73:eb:d0:7f:08,74:da:da:c1:56:a1,74:da:da:c1:02:91,74:da:da:c0:d7:11,74:da:da:c0:d9:39,0c:73:eb:d0:13:c8,50:3a:a0:ea:01:66,74:da:da:98:85:4d,0c:73:eb:d0:19:80,74:da:da:c0:d7:b9,74:da:da:c0:d6:ed,74:da:da:c0:d8:3d,74:da:da:98:74:35,74:da:da:c1:3b:29,74:da:da:98:85:00,74:da:da:c1:02:8d,74:da:da:c1:3c:85,74:da:da:98:90:94,74:da:da:c1:48:bd,74:da:da:c0:de:2d,74:da:da:c0:f6:15,74:da:da:c1:5e:ed,0c:73:eb:d0:11:e0,74:da:da:c0:f3:05,74:da:da:c1:3c:51,74:da:da:98:91:d4,0c:73:eb:d0:7e:f8,0c:73:eb:d0:0e:a8,0c:73:eb:d0:7f:00,0c:73:eb:d0:19:88,74:da:da:c1:4a:69,74:da:da:c1:3b:65,74:da:da:c0:d7:c5,74:da:da:c0:d6:f5,0c:73:eb:d0:7c:40,0c:73:eb:d0:19:c0,0c:73:eb:d0:11:d8,0c:73:eb:d0:19:c8,74:da:da:c1:03:61,74:da:da:c1:3b:85,74:da:da:c1:3a:8d,74:da:da:98:92:14,74:da:da:c1:3b:49,0c:73:eb:d0:13:a8,0c:73:eb:d0:0e:c8,0c:73:eb:d0:7e:e0,74:da:da:c0:d7:19,74:da:da:c1:3b:19,74:da:da:c1:03:21,c0:61:18:93:3e:54,0c:73:eb:d0:7c:08,0c:73:eb:d0:2a:68,74:da:da:c1:3d:0d,0c:73:eb:d0:76:50,0c:73:eb:d0:13:d8,74:da:da:c1:25:69,74:da:da:c1:25:a1,0c:73:eb:d0:7f:10,74:da:da:c0:f3:59,74:da:da:c0:d7:81,74:da:da:c1:3d:05,0c:73:eb:d0:19:98,74:da:da:98:ea:64,0c:73:eb:d0:19:90,0c:73:eb:d0:0e:b8,74:da:da:98:ea:54,74:da:da:98:ea:50
1526458361524,-29,-39,-40,-44,-46,-48,-49,-49,-51,-56,-60,-61,-61,-62,-64,-64,-65,-65,-66,-67,-68,-68,-68,-69,-69,-71,-73,-73,-73,-74,-75,-76,-77,-77,-78,-78,-79,-81,-83,-84,-85,-85,-85,-85,-85,-86,-86,-86,-86,-86,-87,-87,-87,-87,-87,-87,-88,-88,-88,-89,-89,-90,-90,-90,-90,-90,-91,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458364551,-37,-23,-47,-39,-49,-53,-63,-52,-60,-67,-65,-74,-83,-79,-69,-71,-69,-62,-64,-78,-79,-72,-89,-71,-71,-71,-79,-72,-88,-76,-75,-88,-77,-77,-78,-78,-85,-85,-78,-84,-85,-91,-85,-85,-85,-86,-86,-86,-86,-86,-87,-87,-87,-87,-87,-90,-88,-88,-88,-90,-89,-90,-90,-91,-90,-90,-200,-93,-87,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458367563,-35,-37,-46,-37,-50,-53,-61,-51,-60,-53,-69,-63,-73,-79,-69,-68,-71,-64,-66,-68,-79,-68,-81,-70,-71,-71,-81,-70,-88,-83,-85,-85,-80,-200,-200,-78,-85,-85,-78,-84,-200,-91,-200,-73,-200,-80,-200,-200,-86,-200,-87,-200,-90,-87,-200,-86,-200,-200,-200,-90,-200,-200,-91,-91,-200,-92,-200,-200,-87,-93,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458370590,-36,-37,-47,-37,-50,-63,-63,-52,-61,-56,-71,-65,-62,-77,-67,-68,-70,-63,-60,-67,-81,-69,-81,-72,-74,-71,-81,-74,-88,-78,-85,-84,-80,-200,-86,-75,-83,-85,-78,-83,-87,-91,-200,-73,-89,-80,-200,-88,-86,-200,-86,-90,-90,-86,-200,-86,-200,-83,-200,-92,-200,-200,-91,-91,-200,-92,-200,-200,-87,-91,-90,-90,-87,-87,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458373621,-37,-37,-47,-36,-51,-62,-63,-50,-60,-60,-73,-69,-71,-77,-71,-69,-71,-62,-60,-69,-78,-69,-82,-70,-75,-71,-81,-77,-88,-78,-85,-81,-80,-200,-86,-73,-79,-85,-78,-83,-87,-91,-200,-73,-89,-87,-200,-88,-86,-200,-89,-90,-88,-85,-200,-87,-200,-76,-200,-92,-200,-88,-91,-91,-200,-92,-200,-90,-87,-91,-90,-90,-87,-87,-90,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458376655,-36,-37,-47,-37,-49,-62,-64,-51,-60,-57,-66,-65,-63,-77,-68,-70,-69,-62,-59,-65,-82,-73,-83,-66,-74,-200,-83,-72,-87,-77,-86,-80,-80,-76,-86,-70,-82,-83,-200,-84,-84,-84,-200,-73,-89,-84,-200,-88,-200,-200,-89,-90,-88,-84,-200,-87,-200,-81,-87,-91,-200,-88,-91,-200,-200,-91,-200,-90,-88,-91,-92,-90,-92,-87,-90,-89,-91,-86,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458379687,-36,-23,-47,-46,-49,-56,-63,-47,-67,-58,-67,-72,-69,-79,-70,-68,-69,-64,-64,-71,-76,-73,-83,-70,-74,-200,-81,-71,-87,-79,-90,-92,-83,-76,-86,-70,-88,-84,-81,-88,-84,-97,-200,-200,-89,-79,-200,-88,-200,-200,-90,-86,-88,-84,-200,-87,-200,-81,-87,-91,-93,-88,-92,-200,-200,-91,-200,-90,-89,-91,-92,-87,-90,-87,-90,-89,-91,-86,-92,-91,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458382712,-37,-36,-47,-38,-49,-57,-66,-49,-57,-57,-67,-69,-65,-79,-71,-68,-67,-62,-65,-70,-76,-71,-83,-71,-73,-200,-82,-71,-87,-81,-90,-81,-83,-77,-200,-78,-79,-84,-81,-81,-84,-97,-200,-200,-200,-84,-200,-88,-86,-200,-90,-86,-88,-84,-90,-87,-200,-82,-84,-90,-88,-88,-92,-91,-200,-91,-200,-90,-89,-200,-92,-87,-88,-87,-200,-89,-91,-88,-92,-91,-89,-90,-84,-89,-90,-200,-200,-200,-200,-200,-200,-200
1526458385751,-38,-39,-48,-36,-47,-57,-61,-51,-56,-56,-67,-70,-64,-79,-69,-69,-72,-77,-62,-78,-76,-71,-84,-68,-76,-200,-83,-72,-88,-85,-90,-81,-83,-76,-200,-74,-83,-84,-81,-81,-84,-97,-200,-200,-200,-87,-200,-200,-86,-200,-90,-88,-88,-84,-91,-90,-200,-82,-92,-90,-88,-200,-92,-91,-200,-91,-200,-200,-89,-200,-92,-87,-88,-89,-200,-93,-200,-88,-92,-91,-89,-90,-92,-89,-90,-200,-200,-200,-200,-200,-200,-200
