,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EB8,WHU-2018,D-Link_DIR-823Pro,WHU-2018
,74:da:da:c1:3d:2d,0c:73:eb:d0:13:98,74:da:da:98:74:80,74:da:da:98:74:74,74:da:da:c1:3d:2e,74:da:da:98:90:2c,74:da:da:98:74:34,74:da:da:98:74:75,0c:73:eb:d0:13:b0,74:da:da:98:85:4c,0c:73:eb:d0:11:c8,0c:73:eb:d0:13:90,74:da:da:98:85:1c,74:da:da:c1:02:91,0c:73:eb:d0:7e:d0,0c:73:eb:d0:11:c0,74:da:da:c1:03:1d,74:da:da:98:66:cc,74:da:da:c0:d6:ed,74:da:da:c1:03:21,0c:73:eb:d0:13:b8,74:da:da:c0:f3:05,74:da:da:98:74:81,74:da:da:c1:3c:11,74:da:da:c1:03:2d,0c:73:eb:d0:76:18,0c:73:eb:d0:19:80,74:da:da:98:74:35,0c:73:eb:d0:7f:00,74:da:da:c0:d8:3d,0c:73:eb:d0:13:c8,74:da:da:c1:3b:19,74:da:da:c0:d9:39,0c:73:eb:d0:0e:a8,74:da:da:c1:3b:29,74:da:da:c0:f3:59,74:da:da:98:85:60,74:da:da:c0:f6:15,74:da:da:98:90:94,0c:73:eb:d0:19:88,0c:73:eb:d0:7f:10,74:da:da:c1:3c:45,74:da:da:c0:d7:81,0c:73:eb:d0:7c:08,0c:73:eb:d0:7f:08,74:da:da:98:85:00,74:da:da:c0:e0:6d,74:da:da:98:91:d4,74:da:da:c0:d7:c5,74:da:da:c1:3b:85,c0:61:18:93:3e:54,74:da:da:c1:3c:85,74:da:da:c1:25:69,0c:73:eb:d0:7e:f8,0c:73:eb:d0:11:e0,74:da:da:c1:3a:8d,0c:73:eb:d0:2a:68,74:da:da:98:90:2d,74:da:da:c1:4a:69,74:da:da:c1:03:61,50:3a:a0:ea:01:66,0c:73:eb:d0:19:98,74:da:da:c1:3a:dd,0c:73:eb:d0:11:d8,74:da:da:c0:d6:f5,74:da:da:c1:3c:51,74:da:da:c1:5e:ed,0c:73:eb:d0:76:50,0c:73:eb:d0:13:d8,74:da:da:c1:25:a1,0c:73:eb:d0:19:c8,74:da:da:c1:48:bd,74:da:da:c1:3b:49,74:da:da:c1:4a:a5,74:da:da:c1:02:8d,74:da:da:c1:3b:65,0c:73:eb:d0:7c:40,74:da:da:c1:56:a1,74:da:da:c0:d8:1d,74:da:da:c1:3b:79,74:da:da:98:85:1d,74:da:da:c1:3b:45,0c:73:eb:d0:0e:b8,0c:73:eb:d0:2a:50,74:da:da:c1:3b:e9,0c:73:eb:d0:19:c0
1526458726742,-32,-34,-43,-47,-50,-54,-56,-56,-59,-60,-60,-61,-61,-67,-69,-70,-70,-70,-70,-70,-73,-74,-75,-77,-77,-78,-78,-78,-79,-80,-81,-81,-82,-82,-82,-82,-82,-83,-84,-84,-84,-85,-85,-87,-87,-87,-87,-87,-88,-88,-89,-89,-90,-90,-90,-91,-91,-91,-91,-91,-92,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458729790,-31,-15,-48,-24,-44,-53,-57,-57,-63,-63,-62,-61,-70,-64,-63,-71,-68,-71,-80,-70,-73,-94,-75,-71,-71,-78,-78,-78,-78,-80,-81,-81,-76,-86,-82,-82,-82,-83,-84,-83,-84,-85,-87,-89,-87,-87,-87,-87,-88,-88,-89,-88,-90,-90,-90,-91,-91,-88,-91,-91,-92,-92,-92,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458732820,-31,-31,-45,-45,-45,-52,-54,-56,-63,-63,-63,-66,-68,-64,-62,-71,-70,-71,-81,-69,-73,-83,-74,-70,-73,-73,-76,-78,-76,-83,-80,-81,-76,-83,-82,-82,-85,-82,-200,-84,-84,-88,-87,-89,-87,-87,-88,-87,-81,-88,-89,-88,-90,-89,-200,-89,-200,-88,-91,-91,-200,-92,-92,-94,-82,-88,-89,-90,-90,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458735852,-30,-24,-48,-44,-45,-51,-54,-56,-60,-62,-60,-64,-66,-67,-60,-66,-67,-71,-76,-65,-72,-76,-75,-70,-73,-84,-77,-78,-79,-83,-81,-82,-75,-83,-79,-200,-85,-82,-200,-84,-200,-88,-85,-89,-89,-200,-88,-86,-81,-200,-200,-88,-200,-89,-89,-88,-200,-88,-91,-200,-200,-91,-91,-94,-83,-87,-89,-87,-90,-90,-92,-80,-89,-89,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458738886,-30,-24,-46,-44,-44,-52,-57,-56,-58,-62,-64,-65,-68,-66,-61,-72,-68,-70,-82,-65,-72,-76,-76,-70,-72,-84,-77,-78,-77,-83,-81,-82,-76,-83,-80,-200,-85,-91,-200,-84,-84,-87,-85,-89,-89,-89,-88,-89,-81,-89,-200,-88,-200,-86,-89,-89,-200,-88,-91,-200,-200,-91,-88,-91,-83,-87,-89,-87,-90,-90,-92,-80,-89,-89,-89,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458741913,-30,-30,-45,-46,-45,-52,-56,-55,-59,-62,-63,-64,-66,-65,-62,-68,-69,-73,-86,-70,-76,-84,-76,-71,-72,-85,-77,-77,-78,-83,-81,-82,-78,-83,-80,-87,-87,-81,-200,-84,-84,-87,-85,-89,-87,-91,-88,-88,-81,-89,-89,-89,-200,-86,-89,-89,-200,-88,-200,-200,-200,-91,-88,-89,-83,-87,-89,-86,-91,-90,-92,-79,-89,-89,-89,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458744956,-16,-39,-45,-45,-45,-50,-54,-56,-59,-62,-57,-65,-76,-69,-61,-68,-62,-71,-84,-72,-73,-84,-75,-72,-72,-83,-77,-79,-78,-200,-81,-82,-78,-200,-84,-87,-86,-81,-200,-200,-84,-85,-89,-95,-87,-91,-89,-88,-81,-89,-89,-89,-200,-86,-93,-89,-200,-88,-200,-200,-200,-91,-88,-89,-83,-87,-200,-87,-91,-200,-93,-79,-89,-89,-89,-91,-92,-86,-86,-91,-200,-200,-200,-200,-200,-200
1526458747972,-31,-26,-46,-43,-45,-51,-55,-56,-58,-63,-66,-61,-67,-65,-64,-67,-62,-74,-76,-71,-71,-84,-75,-70,-71,-81,-200,-79,-78,-200,-79,-200,-78,-200,-84,-87,-85,-85,-200,-200,-81,-85,-88,-86,-86,-90,-89,-88,-82,-89,-89,-89,-200,-90,-93,-89,-200,-89,-200,-200,-200,-200,-88,-89,-200,-86,-89,-87,-91,-200,-93,-79,-200,-86,-200,-200,-91,-86,-86,-91,-200,-200,-200,-200,-200,-200
1526458751006,-38,-30,-47,-43,-45,-52,-56,-56,-60,-71,-62,-61,-68,-63,-72,-66,-66,-69,-82,-72,-74,-81,-75,-72,-72,-78,-72,-78,-76,-200,-81,-200,-78,-200,-84,-87,-89,-85,-200,-200,-81,-85,-88,-85,-89,-90,-89,-88,-82,-200,-89,-88,-200,-90,-93,-200,-200,-88,-200,-200,-200,-200,-90,-88,-200,-86,-89,-87,-91,-200,-93,-79,-200,-85,-200,-200,-91,-86,-86,-91,-200,-200,-200,-200,-200,-200
