,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:11:c8,74:da:da:98:74:34,74:da:da:98:74:35,0c:73:eb:d0:13:90,74:da:da:98:74:74,0c:73:eb:d0:7f:00,74:da:da:98:74:80,74:da:da:c1:03:21,74:da:da:98:90:94,0c:73:eb:d0:13:c8,0c:73:eb:d0:13:98,74:da:da:c1:3d:2d,0c:73:eb:d0:13:b8,74:da:da:98:85:4c,74:da:da:c1:02:8d,0c:73:eb:d0:19:c0,74:da:da:c0:d7:11,74:da:da:98:90:2c,74:da:da:98:74:81,74:da:da:98:74:75,74:da:da:98:85:00,74:da:da:c1:3c:4d,74:da:da:98:ea:54,0c:73:eb:d0:11:c0,74:da:da:c1:3c:45,0c:73:eb:d0:11:d8,74:da:da:98:85:1c,74:da:da:c1:3c:11,50:3a:a0:ea:01:66,74:da:da:c1:03:1d,0c:73:eb:d0:76:18,74:da:da:98:66:cc,0c:73:eb:d0:13:b0,74:da:da:c1:03:2d,0c:73:eb:d0:7f:08,0c:73:eb:d0:19:c8,74:da:da:c1:6b:4d,74:da:da:98:ea:64,0c:73:eb:d0:7e:d0,74:da:da:c1:03:22,74:da:da:98:85:60,74:da:da:c0:d6:ed,74:da:da:c1:3c:55,74:da:da:c0:d7:9d,74:da:da:c1:3a:8d,0c:73:eb:d0:11:e0,0c:73:eb:d0:76:10,74:da:da:c0:d7:0d,74:da:da:c1:56:a1,74:da:da:c1:02:91,0c:73:eb:d0:76:28,74:da:da:c1:3a:dd,0c:73:eb:d0:7c:28,74:da:da:c1:25:e5,74:da:da:c0:d6:f5,0c:73:eb:d0:19:a0,0c:73:eb:d0:7f:10,0c:73:eb:d0:19:90,74:da:da:98:90:95,0c:73:eb:d0:19:80,74:da:da:c0:d7:19,74:da:da:c1:3c:85
1526461031273,-28,-35,-42,-58,-62,-64,-64,-65,-74,-75,-76,-76,-77,-77,-79,-79,-80,-81,-81,-81,-81,-82,-82,-83,-83,-83,-83,-84,-84,-84,-84,-85,-86,-87,-87,-88,-88,-88,-88,-88,-88,-89,-89,-89,-90,-90,-90,-90,-90,-91,-91,-91,-91,-92,-93,-200,-200,-200,-200,-200,-200,-200
1526461034283,-27,-46,-62,-47,-62,-55,-64,-68,-59,-60,-70,-76,-76,-65,-75,-82,-84,-81,-84,-81,-200,-82,-86,-77,-77,-91,-73,-71,-79,-84,-77,-85,-89,-85,-90,-78,-87,-88,-86,-88,-90,-89,-89,-89,-90,-200,-90,-90,-90,-88,-91,-91,-91,-92,-86,-200,-200,-200,-200,-200,-200,-200
1526461037315,-27,-45,-60,-45,-200,-56,-64,-67,-60,-58,-71,-78,-80,-63,-78,-82,-85,-78,-84,-200,-200,-200,-86,-79,-77,-91,-73,-72,-81,-89,-77,-90,-92,-85,-89,-78,-87,-88,-86,-200,-89,-200,-85,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-86,-90,-200,-200,-200,-200,-200,-200
1526461040343,-30,-47,-61,-56,-200,-65,-64,-68,-67,-74,-71,-83,-81,-63,-77,-84,-85,-79,-84,-200,-200,-200,-86,-82,-85,-85,-74,-72,-81,-89,-90,-90,-89,-83,-89,-84,-87,-88,-86,-200,-89,-200,-89,-91,-200,-88,-200,-200,-200,-91,-200,-200,-200,-200,-87,-90,-200,-200,-200,-200,-200,-200
1526461043373,-29,-46,-59,-48,-200,-56,-67,-69,-62,-66,-71,-83,-76,-63,-76,-85,-86,-81,-83,-200,-200,-200,-86,-78,-77,-84,-72,-73,-81,-89,-78,-90,-89,-82,-89,-77,-90,-88,-85,-200,-90,-90,-88,-91,-200,-91,-200,-200,-200,-91,-200,-94,-200,-200,-85,-90,-83,-200,-200,-200,-200,-200
1526461046399,-27,-47,-60,-49,-200,-55,-66,-66,-60,-62,-71,-74,-77,-63,-77,-82,-86,-72,-83,-200,-87,-86,-86,-78,-78,-86,-75,-73,-79,-89,-77,-87,-91,-84,-89,-79,-91,-89,-87,-200,-90,-90,-89,-90,-200,-91,-200,-200,-200,-86,-200,-94,-200,-200,-86,-90,-83,-86,-200,-200,-200,-200
1526461049426,-32,-47,-59,-48,-80,-57,-68,-62,-60,-65,-74,-76,-83,-63,-78,-84,-86,-80,-83,-200,-80,-86,-81,-84,-77,-86,-74,-72,-81,-200,-77,-87,-89,-82,-90,-78,-91,-89,-87,-200,-90,-88,-89,-90,-200,-89,-200,-200,-200,-85,-200,-91,-200,-200,-85,-90,-82,-86,-200,-200,-200,-200
1526461052454,-32,-48,-60,-46,-70,-58,-67,-60,-60,-61,-75,-77,-77,-64,-80,-82,-86,-80,-83,-200,-80,-86,-84,-82,-75,-86,-72,-72,-79,-200,-76,-87,-90,-83,-90,-85,-91,-89,-85,-200,-90,-91,-89,-90,-200,-85,-200,-200,-200,-86,-200,-91,-200,-200,-88,-90,-82,-86,-86,-90,-200,-200
1526461055482,-32,-50,-60,-49,-77,-63,-76,-60,-60,-64,-73,-77,-82,-73,-81,-83,-87,-70,-85,-200,-83,-86,-86,-78,-77,-91,-72,-73,-81,-200,-84,-87,-90,-88,-90,-85,-91,-89,-92,-200,-85,-92,-89,-92,-200,-88,-91,-200,-200,-92,-200,-92,-200,-200,-88,-90,-83,-86,-86,-90,-92,-200
