,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018
,74:da:da:98:74:80,0c:73:eb:d0:11:c0,0c:73:eb:d0:13:98,0c:73:eb:d0:11:c8,74:da:da:98:85:1c,74:da:da:c1:3c:11,74:da:da:c1:3d:2d,0c:73:eb:d0:13:90,74:da:da:98:74:74,74:da:da:98:90:2c,74:da:da:98:85:4c,74:da:da:c1:03:2d,74:da:da:c1:03:21,0c:73:eb:d0:76:18,0c:73:eb:d0:7e:d0,0c:73:eb:d0:13:b0,0c:73:eb:d0:7f:00,0c:73:eb:d0:13:b8,0c:73:eb:d0:13:c8,74:da:da:98:74:34,74:da:da:c1:03:1d,74:da:da:c1:56:a1,74:da:da:98:90:94,74:da:da:c1:3b:29,74:da:da:c1:3c:85,0c:73:eb:d0:19:80,74:da:da:c1:02:91,0c:73:eb:d0:7f:08,74:da:da:c1:3a:8d,74:da:da:c1:02:8d,0c:73:eb:d0:13:d8,74:da:da:c0:d6:ed,74:da:da:c0:f3:01,74:da:da:c0:d6:f5,74:da:da:98:92:14,74:da:da:98:85:60,0c:73:eb:d0:11:d8,74:da:da:98:66:cc,74:da:da:c1:3c:45,74:da:da:c0:d7:b9,0c:73:eb:d0:11:f8,0c:73:eb:d0:7e:f8,0c:73:eb:d0:2a:50,0c:73:eb:d0:19:c0
1526462567786,-42,-47,-49,-49,-50,-53,-56,-59,-60,-68,-68,-68,-69,-70,-70,-70,-73,-73,-75,-76,-78,-79,-79,-82,-83,-84,-85,-85,-85,-86,-87,-87,-89,-89,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526462570818,-49,-50,-48,-52,-49,-54,-55,-58,-61,-72,-68,-66,-200,-73,-70,-69,-73,-73,-73,-69,-78,-78,-200,-83,-79,-84,-83,-200,-85,-200,-87,-87,-89,-89,-90,-91,-89,-200,-200,-200,-200,-200,-200,-200
1526462573843,-49,-50,-48,-52,-49,-54,-55,-58,-61,-72,-68,-66,-200,-73,-70,-69,-73,-73,-73,-69,-78,-78,-200,-83,-79,-84,-83,-200,-85,-200,-87,-87,-89,-89,-90,-91,-89,-200,-200,-200,-200,-200,-200,-200
1526462576872,-49,-50,-48,-52,-49,-54,-55,-58,-61,-72,-68,-66,-200,-73,-70,-69,-73,-73,-73,-69,-78,-78,-200,-83,-79,-84,-83,-200,-85,-200,-87,-87,-89,-89,-90,-91,-89,-200,-200,-200,-200,-200,-200,-200
1526462579910,-47,-50,-46,-49,-48,-54,-56,-58,-62,-71,-70,-66,-79,-69,-69,-69,-73,-71,-71,-65,-200,-78,-200,-84,-83,-200,-83,-87,-85,-93,-200,-200,-200,-81,-200,-85,-89,-86,-90,-200,-200,-200,-200,-200
1526462582946,-46,-50,-47,-51,-44,-54,-56,-57,-62,-70,-69,-66,-79,-73,-69,-70,-73,-76,-79,-64,-200,-78,-200,-84,-83,-200,-84,-87,-88,-88,-200,-200,-200,-81,-200,-85,-89,-86,-90,-200,-200,-200,-200,-200
1526462585988,-46,-50,-47,-51,-44,-54,-56,-57,-62,-70,-69,-66,-79,-73,-69,-70,-73,-76,-79,-64,-200,-78,-200,-84,-83,-200,-84,-87,-88,-88,-200,-200,-200,-81,-200,-85,-89,-86,-90,-200,-200,-200,-200,-200
1526462589001,-46,-50,-47,-51,-44,-54,-56,-57,-62,-70,-69,-66,-79,-73,-69,-70,-73,-76,-79,-64,-200,-78,-200,-84,-83,-200,-84,-87,-88,-88,-200,-200,-200,-81,-200,-85,-89,-86,-90,-200,-200,-200,-200,-200
1526462592032,-46,-50,-47,-51,-44,-54,-56,-57,-62,-70,-69,-66,-79,-73,-200,-70,-200,-76,-79,-64,-200,-200,-200,-200,-200,-200,-84,-200,-88,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462595064,-48,-54,-51,-50,-54,-55,-54,-62,-64,-74,-69,-67,-79,-64,-68,-72,-200,-70,-71,-61,-87,-77,-200,-200,-200,-200,-84,-200,-88,-88,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462598098,-48,-54,-51,-50,-54,-55,-54,-62,-64,-74,-69,-67,-79,-64,-68,-72,-200,-70,-71,-61,-87,-77,-200,-200,-200,-200,-84,-200,-88,-88,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462601128,-48,-54,-51,-50,-54,-55,-54,-62,-64,-74,-69,-67,-79,-64,-68,-72,-200,-70,-71,-61,-87,-77,-200,-200,-200,-200,-84,-200,-88,-88,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462604166,-39,-47,-51,-53,-55,-53,-55,-62,-59,-77,-64,-65,-200,-64,-70,-73,-200,-69,-73,-60,-87,-77,-82,-200,-74,-200,-80,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200
1526462607199,-40,-52,-51,-53,-54,-53,-55,-62,-59,-77,-65,-65,-200,-68,-69,-71,-200,-69,-74,-58,-87,-77,-82,-200,-74,-200,-80,-200,-200,-86,-200,-200,-200,-84,-200,-200,-85,-200,-84,-84,-93,-200,-200,-200
1526462610233,-40,-52,-51,-53,-54,-53,-55,-62,-59,-77,-65,-65,-200,-68,-69,-71,-200,-69,-74,-58,-87,-77,-82,-200,-74,-200,-80,-200,-200,-86,-200,-200,-200,-84,-200,-200,-85,-200,-84,-84,-93,-200,-200,-200
1526462613268,-40,-52,-51,-53,-54,-53,-55,-62,-59,-77,-65,-65,-200,-68,-69,-71,-200,-69,-74,-58,-87,-77,-82,-200,-74,-200,-80,-200,-200,-86,-200,-200,-200,-84,-200,-200,-85,-200,-84,-84,-93,-200,-200,-200
1526462616306,-41,-54,-51,-53,-54,-53,-55,-63,-63,-75,-65,-67,-200,-64,-63,-71,-81,-73,-75,-57,-85,-77,-200,-200,-76,-200,-80,-200,-200,-86,-200,-200,-200,-200,-200,-200,-85,-200,-86,-84,-93,-82,-200,-200
1526462619343,-41,-48,-51,-53,-54,-53,-52,-63,-63,-75,-65,-67,-200,-66,-66,-72,-80,-70,-77,-57,-87,-79,-200,-200,-76,-200,-80,-200,-85,-86,-200,-200,-200,-85,-200,-200,-86,-200,-86,-84,-93,-82,-200,-200
1526462622380,-41,-48,-51,-53,-54,-53,-52,-63,-63,-75,-65,-67,-200,-66,-66,-72,-80,-70,-77,-57,-87,-79,-200,-200,-76,-200,-80,-200,-85,-86,-200,-200,-200,-85,-200,-200,-86,-200,-86,-84,-93,-82,-200,-200
1526462625417,-41,-48,-51,-53,-54,-53,-52,-63,-63,-75,-65,-67,-200,-66,-66,-72,-80,-70,-77,-57,-87,-79,-200,-200,-76,-200,-80,-200,-85,-86,-200,-200,-200,-85,-200,-200,-86,-200,-86,-84,-93,-82,-200,-200
1526462628463,-43,-47,-51,-53,-56,-50,-56,-61,-66,-75,-65,-66,-200,-63,-68,-71,-80,-71,-73,-56,-88,-81,-200,-86,-77,-200,-83,-200,-85,-88,-200,-200,-200,-85,-200,-200,-86,-200,-85,-86,-200,-200,-90,-90
