,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,WHU-2018
,0c:73:eb:d0:11:c0,74:da:da:98:85:1c,74:da:da:98:85:4c,0c:73:eb:d0:13:b8,74:da:da:98:74:80,74:da:da:c1:3d:2d,74:da:da:98:74:74,0c:73:eb:d0:13:90,74:da:da:98:85:60,0c:73:eb:d0:76:18,74:da:da:c1:3c:85,0c:73:eb:d0:13:98,0c:73:eb:d0:7f:08,74:da:da:98:85:00,74:da:da:c1:56:a1,74:da:da:98:66:cc,74:da:da:c1:3c:11,74:da:da:98:74:34,74:da:da:c1:3b:29,0c:73:eb:d0:11:c8,0c:73:eb:d0:13:b0,74:da:da:c1:03:1d,0c:73:eb:d0:7e:f8,74:da:da:c0:d8:3d,0c:73:eb:d0:7c:40,74:da:da:98:91:d4,0c:73:eb:d0:7f:10,74:da:da:98:90:2c,74:da:da:c0:d7:b9,0c:73:eb:d0:19:80,0c:73:eb:d0:13:c8,74:da:da:c1:02:8d,d8:15:0d:6c:13:98,74:da:da:c1:3a:8d,74:da:da:c1:3c:45,0c:73:eb:d0:13:d8,74:da:da:c0:f3:01,74:da:da:c1:3c:51,0c:73:eb:d0:7c:38,0c:73:eb:d0:13:a8,0c:73:eb:d0:11:e0
1526462944567,-35,-42,-47,-50,-53,-64,-64,-65,-66,-67,-70,-72,-72,-74,-75,-78,-78,-78,-79,-80,-80,-81,-81,-82,-83,-83,-84,-84,-85,-87,-88,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526462947596,-41,-42,-45,-53,-51,-68,-69,-69,-66,-69,-70,-68,-73,-74,-75,-78,-200,-84,-75,-80,-80,-91,-81,-82,-200,-83,-84,-84,-85,-87,-88,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200
1526462950618,-41,-42,-45,-53,-51,-68,-69,-69,-66,-69,-70,-68,-73,-74,-75,-78,-200,-84,-75,-80,-80,-91,-81,-82,-200,-83,-84,-84,-85,-87,-88,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200
1526462953654,-41,-42,-45,-53,-51,-68,-69,-69,-66,-69,-70,-68,-73,-74,-75,-78,-200,-84,-75,-80,-80,-91,-81,-82,-200,-83,-84,-84,-85,-87,-88,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200
1526462956669,-37,-42,-45,-58,-49,-65,-68,-60,-200,-66,-71,-68,-68,-78,-75,-200,-85,-84,-75,-84,-200,-91,-76,-200,-200,-200,-77,-200,-200,-200,-88,-200,-200,-84,-77,-200,-200,-200,-200,-200,-200
1526462959700,-36,-41,-45,-58,-49,-66,-67,-65,-69,-66,-73,-72,-67,-75,-74,-200,-85,-77,-75,-84,-200,-91,-76,-200,-88,-200,-76,-200,-200,-200,-86,-200,-200,-84,-77,-200,-200,-200,-200,-200,-200
1526462962719,-36,-41,-45,-58,-49,-66,-67,-65,-69,-66,-73,-72,-67,-75,-74,-200,-85,-77,-75,-84,-200,-91,-76,-200,-88,-200,-76,-200,-200,-200,-86,-200,-200,-84,-77,-200,-200,-200,-200,-200,-200
1526462965749,-36,-41,-45,-58,-49,-66,-67,-65,-69,-66,-73,-72,-67,-75,-74,-200,-85,-77,-75,-84,-200,-91,-76,-200,-88,-200,-76,-200,-200,-200,-86,-200,-200,-84,-77,-200,-200,-200,-200,-200,-200
1526462968788,-36,-41,-44,-49,-46,-70,-67,-66,-67,-66,-72,-74,-67,-73,-74,-200,-200,-77,-81,-88,-200,-200,-200,-81,-88,-81,-74,-200,-86,-200,-86,-200,-200,-200,-78,-86,-89,-200,-200,-200,-200
1526462971797,-38,-41,-44,-50,-46,-68,-67,-66,-68,-66,-74,-74,-67,-73,-74,-200,-200,-77,-81,-88,-200,-200,-200,-83,-88,-81,-74,-200,-86,-200,-86,-200,-200,-200,-78,-88,-87,-200,-200,-200,-200
1526462974835,-38,-41,-44,-50,-46,-68,-67,-66,-68,-66,-74,-74,-67,-73,-74,-200,-200,-77,-81,-88,-200,-200,-200,-83,-88,-81,-74,-200,-86,-200,-86,-200,-200,-200,-78,-88,-87,-200,-200,-200,-200
