,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018
,0c:73:eb:d0:11:c0,74:da:da:98:85:1c,74:da:da:98:85:4c,0c:73:eb:d0:13:b8,74:da:da:98:74:80,0c:73:eb:d0:76:18,0c:73:eb:d0:7f:08,74:da:da:c1:3c:85,74:da:da:c1:56:a1,0c:73:eb:d0:13:90,74:da:da:98:85:60,74:da:da:c0:d8:3d,74:da:da:c1:3d:2d,0c:73:eb:d0:7f:10,74:da:da:98:85:00,0c:73:eb:d0:7e:f8,74:da:da:98:74:74,0c:73:eb:d0:13:98,0c:73:eb:d0:11:c8,74:da:da:98:91:d4,74:da:da:c1:3b:29,74:da:da:c0:d7:b9,74:da:da:c1:3c:11,74:da:da:98:74:34,0c:73:eb:d0:13:d8,74:da:da:c1:03:2d,74:da:da:c1:3c:45,74:da:da:c1:3a:8d,0c:73:eb:d0:13:a8,0c:73:eb:d0:11:e0,74:da:da:c0:f3:01,0c:73:eb:d0:13:b0,0c:73:eb:d0:13:c8,74:da:da:c0:f4:69,0c:73:eb:d0:19:90,74:da:da:c0:d7:19,74:da:da:c0:e0:71,0c:73:eb:d0:7c:38,0c:73:eb:d0:7e:e0,0c:73:eb:d0:7c:40,0c:73:eb:d0:11:f8,0c:73:eb:d0:11:d8
1526463019687,-29,-42,-48,-52,-55,-67,-69,-69,-69,-70,-70,-71,-72,-72,-72,-72,-73,-74,-78,-78,-79,-81,-81,-83,-84,-84,-85,-85,-86,-86,-86,-87,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463022716,-27,-51,-50,-54,-52,-78,-70,-65,-66,-70,-75,-76,-72,-70,-72,-72,-72,-79,-81,-87,-80,-79,-80,-83,-81,-84,-85,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463025750,-27,-51,-50,-54,-52,-78,-70,-65,-66,-70,-75,-76,-72,-70,-72,-72,-72,-79,-81,-87,-80,-79,-80,-83,-81,-84,-85,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463028778,-27,-51,-50,-54,-52,-78,-70,-65,-66,-70,-75,-76,-72,-70,-72,-72,-72,-79,-81,-87,-80,-79,-80,-83,-81,-84,-85,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463031816,-29,-57,-56,-55,-47,-77,-68,-66,-65,-66,-71,-200,-72,-71,-74,-70,-73,-76,-77,-83,-80,-200,-200,-200,-81,-84,-200,-85,-200,-200,-200,-200,-93,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526463034847,-27,-52,-50,-55,-52,-77,-68,-66,-68,-69,-73,-200,-75,-73,-77,-70,-73,-76,-79,-82,-80,-200,-82,-200,-83,-84,-200,-85,-200,-200,-200,-200,-93,-89,-83,-91,-200,-200,-200,-200,-200,-200
1526463037881,-27,-52,-50,-55,-52,-77,-68,-66,-68,-69,-73,-200,-75,-73,-77,-70,-73,-76,-79,-82,-80,-200,-82,-200,-83,-84,-200,-85,-200,-200,-200,-200,-93,-89,-83,-91,-200,-200,-200,-200,-200,-200
1526463040916,-27,-52,-50,-55,-52,-77,-68,-66,-68,-69,-73,-200,-75,-73,-77,-70,-73,-76,-79,-82,-80,-200,-82,-200,-83,-84,-200,-85,-200,-200,-200,-200,-93,-89,-83,-91,-200,-200,-200,-200,-200,-200
1526463043959,-30,-47,-55,-53,-49,-200,-70,-65,-65,-67,-74,-200,-72,-70,-73,-77,-72,-80,-79,-82,-79,-200,-81,-200,-84,-85,-200,-87,-200,-86,-200,-200,-200,-200,-83,-91,-200,-200,-200,-200,-200,-200
1526463047002,-28,-47,-55,-54,-48,-76,-69,-66,-65,-73,-75,-75,-71,-70,-73,-77,-70,-80,-79,-84,-78,-200,-82,-200,-84,-85,-200,-86,-200,-86,-200,-200,-200,-89,-83,-91,-88,-200,-200,-200,-200,-200
1526463050037,-28,-47,-55,-54,-48,-76,-69,-66,-65,-73,-75,-75,-71,-70,-73,-77,-70,-80,-79,-84,-78,-200,-82,-200,-84,-85,-200,-86,-200,-86,-200,-200,-200,-89,-83,-91,-88,-200,-200,-200,-200,-200
1526463053076,-28,-47,-55,-54,-48,-76,-69,-66,-65,-73,-75,-75,-71,-70,-73,-77,-70,-80,-79,-84,-78,-200,-82,-200,-84,-85,-200,-86,-200,-86,-200,-200,-200,-89,-83,-91,-88,-200,-200,-200,-200,-200
1526463056117,-26,-45,-56,-49,-47,-79,-68,-66,-65,-72,-76,-73,-71,-69,-76,-72,-69,-80,-84,-84,-82,-200,-82,-84,-84,-85,-200,-87,-200,-77,-90,-200,-200,-89,-200,-200,-88,-84,-93,-200,-200,-200
1526463059156,-26,-45,-56,-49,-47,-79,-68,-66,-65,-72,-76,-73,-71,-69,-76,-72,-69,-80,-84,-84,-82,-200,-82,-84,-84,-85,-200,-87,-200,-77,-90,-200,-200,-89,-200,-200,-88,-84,-93,-200,-200,-200
1526463062184,-26,-45,-56,-49,-47,-79,-68,-66,-65,-72,-76,-73,-71,-69,-76,-72,-69,-80,-84,-84,-82,-200,-82,-84,-84,-85,-200,-87,-200,-77,-90,-200,-200,-89,-200,-200,-88,-84,-93,-200,-200,-200
1526463065223,-26,-45,-56,-49,-47,-79,-68,-66,-65,-72,-76,-73,-71,-69,-76,-72,-69,-80,-84,-84,-82,-200,-82,-84,-84,-85,-200,-87,-200,-77,-90,-200,-200,-89,-200,-200,-88,-84,-93,-200,-200,-200
1526463068270,-29,-40,-59,-51,-49,-72,-71,-67,-66,-67,-70,-76,-73,-80,-71,-75,-73,-75,-85,-77,-76,-80,-78,-200,-200,-200,-85,-200,-200,-76,-83,-200,-200,-200,-200,-200,-200,-83,-200,-89,-200,-200
