,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011309,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DQKJ,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:98:91:d4,0c:73:eb:d0:7e:f8,74:da:da:c0:d7:b9,74:da:da:c1:56:a1,74:da:da:c0:f3:01,0c:73:eb:d0:7f:10,74:da:da:c0:d7:c5,0c:73:eb:d0:7c:08,0c:73:eb:d0:11:e0,0c:73:eb:d0:19:88,74:da:da:98:85:00,0c:73:eb:d0:7c:38,74:da:da:c0:f4:69,74:da:da:98:92:14,0c:73:eb:d0:13:d0,0c:73:eb:d0:13:a8,74:da:da:c1:48:bd,0c:73:eb:d0:7e:e0,74:da:da:c1:3a:81,74:da:da:c0:e0:69,0c:73:eb:d0:7c:00,74:da:da:98:85:60,0c:73:eb:d0:7f:08,74:da:da:c1:3c:51,0c:73:eb:d0:11:c0,74:da:da:98:ea:5c,0c:73:eb:d0:7f:18,0c:73:eb:d0:76:38,74:da:da:98:85:1c,0c:73:eb:d0:7c:28,0c:73:eb:d0:11:f8,74:da:da:c0:f6:15,74:da:da:c1:3b:69,0c:73:eb:d0:13:b8,c0:61:18:93:3e:54,0c:73:eb:d0:76:50,0c:73:eb:d0:7a:68,74:da:da:c1:3c:e1,74:da:da:c1:3a:dd,74:da:da:c1:3b:19,74:da:da:c0:d8:3d,74:da:da:98:8f:3c,0c:73:eb:d0:76:30,0c:73:eb:d0:19:a0,74:da:da:c0:d7:19,74:da:da:c0:d7:0d,0c:73:eb:d0:11:b0,74:da:da:c0:e2:d9,0c:73:eb:d0:7e:e8,0c:73:eb:d0:11:f0,ec:26:ca:0b:d4:1e,0c:73:eb:d0:7e:f0,74:da:da:c1:56:ed,74:da:da:c1:6b:4d,74:da:da:c0:f3:59,74:da:da:c0:e0:71,74:da:da:c1:3b:cd,74:da:da:c1:3b:29,74:da:da:c1:3c:f5,74:da:da:c1:3b:85
1526465093695,-39,-40,-51,-57,-57,-58,-62,-64,-65,-65,-67,-68,-68,-69,-69,-70,-70,-73,-73,-73,-74,-74,-75,-75,-76,-77,-77,-77,-77,-78,-79,-80,-80,-81,-81,-82,-85,-86,-87,-87,-87,-89,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465096739,-39,-49,-44,-59,-52,-56,-62,-67,-60,-69,-65,-64,-68,-69,-69,-67,-68,-73,-69,-73,-74,-74,-75,-75,-76,-77,-71,-78,-77,-84,-85,-77,-80,-81,-81,-82,-75,-86,-87,-87,-87,-89,-90,-91,-75,-80,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465099775,-39,-49,-44,-59,-52,-56,-62,-67,-60,-69,-65,-64,-68,-69,-69,-67,-68,-73,-69,-73,-74,-74,-75,-75,-76,-77,-71,-78,-77,-84,-85,-77,-80,-81,-81,-82,-75,-86,-87,-87,-87,-89,-90,-91,-75,-80,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465102813,-39,-49,-44,-59,-52,-56,-62,-67,-60,-69,-65,-64,-68,-69,-69,-67,-68,-73,-69,-73,-74,-74,-75,-75,-76,-77,-71,-78,-77,-84,-85,-77,-80,-81,-81,-82,-75,-86,-87,-87,-87,-89,-90,-91,-75,-80,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465105857,-39,-50,-44,-59,-51,-55,-66,-68,-57,-71,-66,-62,-69,-76,-71,-65,-72,-77,-63,-69,-69,-69,-67,-73,-85,-82,-66,-75,-200,-81,-85,-78,-83,-82,-81,-200,-75,-200,-200,-200,-82,-200,-200,-91,-70,-80,-89,-70,-81,-86,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465108909,-39,-50,-49,-59,-53,-55,-67,-68,-57,-66,-70,-57,-70,-76,-71,-65,-72,-77,-63,-70,-65,-71,-69,-67,-85,-82,-66,-75,-200,-81,-85,-78,-83,-82,-81,-200,-75,-200,-200,-87,-82,-200,-200,-91,-74,-80,-89,-75,-78,-86,-86,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526465111955,-39,-50,-49,-59,-53,-55,-67,-68,-57,-66,-70,-57,-70,-76,-71,-65,-72,-77,-63,-70,-65,-71,-69,-67,-85,-82,-66,-75,-200,-81,-85,-78,-83,-82,-81,-200,-75,-200,-200,-87,-82,-200,-200,-91,-74,-80,-89,-75,-78,-86,-86,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526465115006,-39,-50,-49,-59,-53,-55,-67,-68,-57,-66,-70,-57,-70,-76,-71,-65,-72,-77,-63,-70,-65,-71,-69,-67,-85,-82,-66,-75,-200,-81,-85,-78,-83,-82,-81,-200,-75,-200,-200,-87,-82,-200,-200,-91,-74,-80,-89,-75,-78,-86,-86,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526465118039,-41,-46,-43,-70,-53,-60,-68,-67,-53,-66,-60,-64,-65,-71,-71,-72,-70,-77,-69,-77,-68,-79,-62,-67,-200,-88,-67,-79,-84,-200,-200,-78,-83,-200,-81,-200,-82,-200,-91,-87,-82,-200,-200,-200,-67,-200,-200,-75,-78,-200,-86,-89,-79,-88,-200,-200,-200,-200,-200,-200
1526465121084,-41,-43,-45,-64,-58,-62,-61,-71,-59,-70,-67,-64,-66,-73,-80,-71,-71,-78,-69,-68,-68,-75,-62,-67,-200,-86,-63,-80,-84,-200,-200,-78,-79,-200,-81,-200,-82,-200,-91,-87,-85,-200,-200,-200,-67,-81,-200,-75,-78,-200,-91,-89,-79,-88,-200,-200,-200,-200,-200,-200
