,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:13:a8,0c:73:eb:d0:11:e0,74:da:da:c0:d7:b9,0c:73:eb:d0:7f:10,0c:73:eb:d0:7c:38,74:da:da:c0:f4:69,74:da:da:c0:f3:01,74:da:da:98:92:14,0c:73:eb:d0:7c:08,0c:73:eb:d0:7f:18,74:da:da:c0:e2:d9,74:da:da:c0:d7:19,74:da:da:c1:56:ed,74:da:da:c1:48:bd,74:da:da:c0:e0:71,0c:73:eb:d0:7e:f8,74:da:da:98:85:00,0c:73:eb:d0:7e:e0,74:da:da:c0:e0:69,74:da:da:c1:56:a1,0c:73:eb:d0:7e:e8,74:da:da:98:91:d4,74:da:da:98:85:4c,74:da:da:c1:3c:51,74:da:da:98:85:60,0c:73:eb:d0:7c:28,0c:73:eb:d0:76:30,0c:73:eb:d0:7e:f0,0c:73:eb:d0:7a:68,0c:73:eb:d0:13:c0,0c:73:eb:d0:7f:08,74:da:da:c1:3a:81,74:da:da:c0:d7:0d,0c:73:eb:d0:13:d0,0c:73:eb:d0:76:38,ec:26:ca:0b:d4:1e,74:da:da:98:8f:30,74:da:da:98:7a:4c,0c:73:eb:d0:11:f8,74:da:da:c1:3b:69,74:da:da:c1:3a:dd,0c:73:eb:d0:7c:00,0c:73:eb:d0:11:b8,0c:73:eb:d0:19:b8,74:da:da:c1:3b:cd,74:da:da:c0:f6:15,74:da:da:c0:d7:c5,0c:73:eb:d0:19:88,74:da:da:c0:e0:81,74:da:da:c1:3b:49,74:da:da:98:ea:50,74:da:da:c1:6b:4d,c0:61:18:93:35:28,74:da:da:c0:d8:3d,74:da:da:98:8f:3c,c0:61:18:93:3e:54,74:da:da:c1:3c:f5,74:da:da:98:7a:60,74:da:da:c1:3c:cd,0c:73:eb:d0:19:98,74:da:da:c1:3b:c9,0c:73:eb:d0:11:b0,74:da:da:98:7a:68,0c:73:eb:d0:13:b8,74:da:da:c1:3c:e1,0c:73:eb:d0:0e:d8,74:da:da:98:7a:6c,74:da:da:98:7a:50,74:da:da:98:8f:34
1526465845262,-44,-49,-51,-53,-54,-57,-59,-62,-62,-64,-64,-65,-65,-66,-66,-67,-67,-67,-68,-69,-69,-69,-69,-72,-72,-73,-74,-74,-74,-75,-76,-76,-77,-77,-77,-77,-77,-79,-79,-79,-81,-85,-85,-85,-86,-86,-87,-87,-87,-89,-89,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465848310,-40,-53,-52,-52,-46,-57,-59,-62,-60,-61,-68,-65,-64,-67,-62,-64,-67,-65,-200,-65,-69,-69,-200,-72,-74,-73,-86,-200,-200,-75,-72,-76,-78,-77,-79,-75,-200,-200,-79,-79,-82,-75,-200,-80,-200,-200,-87,-200,-77,-200,-200,-200,-81,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465851334,-40,-53,-52,-52,-46,-57,-59,-62,-60,-61,-68,-65,-64,-67,-62,-64,-67,-65,-200,-65,-69,-69,-200,-72,-74,-73,-86,-200,-200,-75,-72,-76,-78,-77,-79,-75,-200,-200,-79,-79,-82,-75,-200,-80,-200,-200,-87,-200,-77,-200,-200,-200,-81,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465854373,-40,-53,-52,-52,-46,-57,-59,-62,-60,-61,-68,-65,-64,-67,-62,-64,-67,-65,-200,-65,-69,-69,-200,-72,-74,-73,-86,-200,-200,-75,-72,-76,-78,-77,-79,-75,-200,-200,-79,-79,-82,-75,-200,-80,-200,-200,-87,-200,-77,-200,-200,-200,-81,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465857405,-40,-56,-48,-55,-44,-63,-59,-59,-69,-62,-68,-200,-66,-64,-63,-65,-67,-63,-70,-66,-66,-200,-81,-75,-74,-200,-78,-200,-200,-200,-72,-73,-74,-78,-77,-78,-200,-200,-77,-79,-79,-75,-200,-80,-200,-83,-200,-88,-77,-200,-200,-200,-81,-90,-92,-80,-85,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465860440,-39,-54,-48,-62,-51,-63,-58,-59,-65,-62,-68,-200,-66,-63,-63,-65,-66,-63,-70,-66,-71,-200,-81,-75,-74,-200,-77,-200,-200,-200,-72,-73,-72,-78,-73,-80,-200,-200,-77,-81,-79,-75,-200,-80,-200,-83,-200,-88,-77,-200,-200,-200,-81,-90,-92,-80,-85,-87,-80,-88,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526465863482,-39,-54,-48,-62,-51,-63,-58,-59,-65,-62,-68,-200,-66,-63,-63,-65,-66,-63,-70,-66,-71,-200,-81,-75,-74,-200,-77,-200,-200,-200,-72,-73,-72,-78,-73,-80,-200,-200,-77,-81,-79,-75,-200,-80,-200,-83,-200,-88,-77,-200,-200,-200,-81,-90,-92,-80,-85,-87,-80,-88,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526465866533,-39,-54,-48,-62,-51,-63,-58,-59,-65,-62,-68,-200,-66,-63,-63,-65,-66,-63,-70,-66,-71,-200,-81,-75,-74,-200,-77,-200,-200,-200,-72,-73,-72,-78,-73,-80,-200,-200,-77,-81,-79,-75,-200,-80,-200,-83,-200,-88,-77,-200,-200,-200,-81,-90,-92,-80,-85,-87,-80,-88,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526465869574,-39,-54,-53,-57,-43,-58,-61,-66,-67,-55,-70,-200,-200,-71,-63,-66,-69,-68,-200,-66,-65,-68,-200,-78,-76,-81,-77,-200,-73,-86,-68,-70,-77,-82,-77,-80,-200,-200,-77,-81,-200,-72,-200,-82,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-81,-80,-88,-92,-87,-200,-200,-200,-200,-200,-200,-200
