,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018
,0c:73:eb:d0:13:a8,74:da:da:c0:e0:71,74:da:da:c1:3c:51,0c:73:eb:d0:7e:e8,0c:73:eb:d0:7e:e0,0c:73:eb:d0:7c:38,74:da:da:98:8f:30,74:da:da:c0:e0:69,0c:73:eb:d0:11:e0,0c:73:eb:d0:7f:10,74:da:da:c1:56:ed,74:da:da:c1:3c:f5,0c:73:eb:d0:76:48,74:da:da:c1:56:a1,74:da:da:98:85:4c,0c:73:eb:d0:7c:00,74:da:da:c0:e0:81,74:da:da:98:92:14,0c:73:eb:d0:7e:f0,74:da:da:98:85:00,0c:73:eb:d0:13:c0,74:da:da:98:7a:60,74:da:da:98:7a:6c,74:da:da:98:7a:4c,0c:73:eb:d0:76:58,74:da:da:c0:f3:01,74:da:da:c1:3c:e1,0c:73:eb:d0:7e:f8,74:da:da:c0:d7:19,74:da:da:98:85:60,74:da:da:98:7a:50,0c:73:eb:d0:11:e8,0c:73:eb:d0:11:b0,74:da:da:98:ea:5c,74:da:da:c0:e2:d9,0c:73:eb:d0:11:b8,74:da:da:c1:3c:f9,74:da:da:c1:3b:65,74:da:da:c1:3c:8d,74:da:da:c1:3b:85,74:da:da:c1:3c:91,74:da:da:c1:3c:cd,74:da:da:98:8f:64,74:da:da:c1:3b:49,0c:73:eb:d0:76:30,74:da:da:98:91:d4,74:da:da:98:7a:68,0c:73:eb:d0:2a:18,0c:73:eb:d0:11:f0,74:da:da:c0:f4:69,74:da:da:c0:d7:b9,74:da:da:98:8f:34,74:da:da:98:ea:4c,74:da:da:c0:d7:e9,0c:73:eb:d0:7f:18,0c:73:eb:d0:7e:d8,0c:73:eb:d0:7c:18,0c:73:eb:d0:13:90,0c:73:eb:d0:19:98
1526466141141,-47,-52,-53,-54,-57,-58,-62,-63,-64,-66,-66,-69,-70,-70,-71,-71,-71,-72,-74,-75,-77,-79,-79,-80,-80,-81,-81,-81,-83,-83,-83,-84,-85,-86,-87,-87,-87,-88,-89,-89,-91,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466144179,-51,-53,-53,-50,-61,-58,-78,-68,-64,-69,-66,-69,-74,-200,-73,-67,-71,-72,-68,-75,-76,-200,-88,-200,-80,-81,-81,-81,-200,-83,-83,-84,-200,-200,-87,-87,-87,-88,-200,-89,-91,-91,-92,-84,-86,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466147204,-51,-53,-53,-50,-61,-58,-78,-68,-64,-69,-66,-69,-74,-200,-73,-67,-71,-72,-68,-75,-76,-200,-88,-200,-80,-81,-81,-81,-200,-83,-83,-84,-200,-200,-87,-87,-87,-88,-200,-89,-91,-91,-92,-84,-86,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466150242,-51,-53,-53,-50,-61,-58,-78,-68,-64,-69,-66,-69,-74,-200,-73,-67,-71,-72,-68,-75,-76,-200,-88,-200,-80,-81,-81,-81,-200,-83,-83,-84,-200,-200,-87,-87,-87,-88,-200,-89,-91,-91,-92,-84,-86,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466153278,-52,-57,-54,-51,-64,-65,-82,-68,-71,-73,-68,-71,-68,-77,-73,-70,-68,-75,-71,-200,-74,-79,-88,-200,-200,-200,-73,-87,-200,-200,-85,-200,-200,-200,-200,-86,-200,-200,-88,-200,-84,-200,-200,-84,-86,-87,-72,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466156308,-49,-57,-54,-48,-63,-64,-82,-73,-68,-69,-65,-71,-69,-77,-73,-67,-70,-66,-67,-200,-70,-80,-82,-200,-200,-78,-73,-87,-200,-200,-85,-78,-200,-200,-200,-86,-89,-91,-88,-200,-84,-200,-200,-84,-86,-87,-72,-90,-83,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466159353,-49,-57,-54,-48,-63,-64,-82,-73,-68,-69,-65,-71,-69,-77,-73,-67,-70,-66,-67,-200,-70,-80,-82,-200,-200,-78,-73,-87,-200,-200,-85,-78,-200,-200,-200,-86,-89,-91,-88,-200,-84,-200,-200,-84,-86,-87,-72,-90,-83,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466162391,-49,-57,-54,-48,-63,-64,-82,-73,-68,-69,-65,-71,-69,-77,-73,-67,-70,-66,-67,-200,-70,-80,-82,-200,-200,-78,-73,-87,-200,-200,-85,-78,-200,-200,-200,-86,-89,-91,-88,-200,-84,-200,-200,-84,-86,-87,-72,-90,-83,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466165436,-55,-53,-54,-51,-57,-60,-80,-69,-67,-68,-67,-71,-68,-200,-77,-68,-71,-67,-67,-80,-78,-80,-82,-82,-81,-78,-200,-200,-200,-200,-83,-79,-84,-200,-200,-85,-88,-86,-200,-87,-200,-200,-200,-84,-86,-200,-69,-200,-87,-84,-78,-81,-90,-92,-200,-200,-200,-200,-200
