,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D00ED0,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,WHU-2018
,74:da:da:98:7a:6c,0c:73:eb:d0:11:b0,74:da:da:98:7a:60,74:da:da:c1:3c:e1,74:da:da:98:7a:50,0c:73:eb:d0:11:d0,74:da:da:98:7a:68,0c:73:eb:d0:13:c0,74:da:da:98:7a:4c,74:da:da:c1:3c:d1,74:da:da:c1:3c:ad,74:da:da:c0:e0:71,0c:73:eb:d0:7e:d8,0c:73:eb:d0:11:b8,74:da:da:c1:61:69,74:da:da:c1:3c:91,0c:73:eb:d0:7e:f0,0c:73:eb:d0:7e:e0,0c:73:eb:d0:76:40,74:da:da:98:7a:6d,0c:73:eb:d0:19:b0,74:da:da:c1:3b:9d,74:da:da:98:74:94,74:da:da:c1:4a:f5,74:da:da:c1:3c:e2,0c:73:eb:d0:13:a8,74:da:da:98:7a:69,74:da:da:c1:3c:d2,74:da:da:c0:f3:01,74:da:da:98:7a:61,74:da:da:98:7a:51,74:da:da:c1:3b:4a,74:da:da:c1:3c:ae,74:da:da:c1:3c:92,74:da:da:98:7a:4d,74:da:da:c0:e0:72,0c:73:eb:d0:7c:48,0c:73:eb:d0:0e:d0,0c:73:eb:d0:7f:10,74:da:da:c0:e0:82,74:da:da:c1:4b:01,74:da:da:c1:56:ed,74:da:da:c1:4b:05,0c:73:eb:d0:2a:20,74:da:da:c1:4a:ed,0c:73:eb:d0:7c:38
1526466367058,-28,-30,-37,-42,-43,-47,-47,-48,-48,-49,-50,-50,-53,-54,-54,-56,-58,-58,-64,-65,-69,-71,-71,-72,-74,-74,-75,-76,-77,-79,-80,-82,-83,-84,-84,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466370072,-32,-28,-37,-42,-43,-46,-47,-45,-43,-200,-50,-50,-57,-45,-50,-49,-53,-65,-64,-57,-61,-76,-71,-72,-70,-74,-75,-81,-77,-81,-60,-81,-82,-82,-82,-89,-62,-70,-78,-200,-200,-200,-200,-200,-200,-200
1526466373090,-32,-28,-37,-42,-43,-46,-47,-45,-43,-200,-200,-50,-57,-45,-50,-49,-53,-65,-64,-57,-61,-76,-71,-200,-70,-74,-75,-81,-77,-81,-60,-81,-82,-82,-82,-89,-62,-70,-78,-200,-200,-200,-200,-200,-200,-200
1526466376109,-34,-28,-34,-42,-34,-46,-47,-45,-43,-200,-200,-50,-57,-41,-51,-41,-57,-65,-60,-58,-65,-76,-59,-66,-70,-74,-79,-82,-77,-84,-57,-83,-82,-84,-79,-89,-59,-71,-78,-88,-200,-200,-200,-200,-200,-200
1526466379121,-34,-31,-34,-42,-34,-46,-47,-45,-43,-200,-200,-50,-57,-41,-51,-41,-57,-65,-60,-58,-65,-76,-59,-66,-70,-74,-79,-82,-77,-84,-57,-83,-82,-84,-79,-89,-59,-71,-78,-88,-200,-200,-200,-200,-200,-200
1526466382137,-32,-33,-34,-42,-35,-51,-47,-43,-43,-53,-200,-50,-74,-38,-53,-41,-66,-73,-76,-58,-80,-76,-58,-65,-72,-74,-76,-85,-77,-84,-56,-83,-85,-83,-79,-89,-64,-87,-78,-88,-69,-200,-200,-200,-200,-200
1526466385151,-32,-29,-34,-42,-35,-51,-200,-43,-43,-53,-200,-200,-74,-38,-53,-41,-66,-73,-76,-58,-80,-76,-58,-65,-72,-74,-76,-85,-77,-84,-56,-83,-85,-83,-79,-200,-64,-87,-78,-88,-69,-200,-200,-200,-200,-200
1526466388163,-33,-31,-36,-46,-37,-53,-200,-42,-43,-51,-200,-200,-64,-43,-57,-41,-62,-64,-76,-60,-80,-76,-58,-61,-72,-74,-78,-85,-71,-84,-54,-83,-85,-85,-79,-200,-56,-87,-78,-88,-65,-200,-200,-200,-200,-200
1526466391187,-33,-28,-36,-46,-37,-53,-200,-42,-43,-51,-200,-200,-64,-43,-57,-41,-62,-64,-76,-60,-80,-76,-58,-61,-72,-74,-78,-85,-71,-84,-54,-83,-85,-85,-79,-200,-56,-87,-78,-88,-65,-200,-200,-200,-200,-200
