,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00ED0,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,NETWORK,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c1:3b:e9,0c:73:eb:d0:19:b0,74:da:da:c1:3c:6d,0c:73:eb:d0:2a:38,74:da:da:c1:3b:ea,74:da:da:c1:61:6a,74:da:da:c1:61:69,74:da:da:c1:3c:6e,74:da:da:c1:3c:91,74:da:da:c1:3b:9d,0c:73:eb:d0:2a:20,0c:73:eb:d0:76:20,74:da:da:98:db:44,74:da:da:c0:d7:09,74:da:da:c1:4a:7d,0c:73:eb:d0:76:40,74:da:da:c1:3b:9e,0c:73:eb:d0:0e:d0,0c:73:eb:d0:11:d0,74:da:da:c1:3c:d1,74:da:da:c1:3b:4d,74:da:da:98:7a:6c,0c:73:eb:d0:76:58,0c:73:eb:d0:11:b0,0c:73:eb:d0:2a:48,74:da:da:98:8f:65,74:da:da:c1:3b:4e,74:da:da:c1:14:99,74:da:da:98:db:45,74:da:da:98:8f:34,0c:73:eb:d0:2a:28,74:da:da:c0:d7:ed,74:da:da:c1:4a:f5,74:da:da:98:8d:78,74:da:da:c1:3c:ad,74:da:da:c0:f2:fd,74:da:da:98:ea:4d,74:da:da:c1:3d:09,0c:73:eb:d0:2a:88,74:da:da:c1:4a:a6,74:da:da:c1:4a:a5,74:da:da:c1:3b:85,0c:73:eb:d0:11:b8,0c:73:eb:d0:19:98,74:da:da:98:8f:30,74:da:da:c1:3b:45,74:da:da:98:ea:5c,0c:73:eb:d0:7c:48,74:da:da:c1:3b:79,0c:73:eb:d0:7e:d8,74:da:da:98:8f:64,74:da:da:98:7a:50,74:da:da:c1:4b:59,0c:73:eb:d0:19:a8,74:da:da:c1:4a:c9,0c:73:eb:d0:76:48,bc:d1:77:5f:6a:b4,0c:73:eb:d0:13:c0,74:da:da:98:ea:4c,74:da:da:c1:3c:51,74:da:da:c1:3c:92,74:da:da:98:7a:4c,74:da:da:c1:4b:05,0c:73:eb:d0:2a:98,74:da:da:c1:17:75,74:da:da:c0:d8:7d,74:da:da:c1:3b:cd,74:da:da:c1:3c:e1,74:da:da:98:7a:60,74:da:da:c1:3b:19,0c:73:eb:d0:2a:18,74:da:da:c1:47:cd,74:da:da:98:92:14
1526442805634,-30,-40,-44,-47,-51,-51,-51,-58,-60,-61,-62,-66,-66,-66,-67,-68,-68,-69,-70,-70,-71,-71,-71,-71,-78,-79,-80,-80,-81,-81,-82,-83,-83,-84,-85,-88,-88,-88,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442808638,-33,-39,-44,-47,-51,-61,-58,-59,-59,-68,-74,-73,-66,-65,-70,-66,-73,-84,-76,-70,-71,-71,-71,-84,-85,-82,-84,-80,-81,-81,-80,-87,-83,-84,-82,-88,-88,-92,-88,-91,-50,-78,-81,-82,-83,-84,-85,-90,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442811646,-33,-39,-45,-64,-50,-60,-52,-58,-61,-64,-72,-73,-68,-64,-70,-69,-73,-71,-76,-69,-64,-200,-200,-84,-74,-60,-83,-200,-81,-77,-81,-87,-200,-200,-82,-200,-200,-92,-200,-200,-55,-76,-81,-82,-83,-84,-85,-90,-90,-91,-64,-81,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442814652,-35,-39,-45,-63,-52,-62,-52,-55,-63,-64,-67,-65,-68,-63,-70,-66,-70,-85,-81,-67,-65,-82,-200,-67,-74,-73,-82,-200,-71,-77,-81,-87,-200,-200,-82,-200,-91,-92,-200,-200,-59,-76,-81,-82,-83,-84,-85,-90,-90,-91,-65,-81,-85,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442817656,-34,-49,-49,-63,-48,-62,-49,-57,-68,-200,-68,-59,-71,-63,-65,-84,-71,-71,-70,-67,-65,-73,-77,-67,-81,-49,-72,-200,-81,-83,-80,-200,-200,-200,-200,-200,-91,-200,-200,-200,-54,-200,-76,-200,-200,-200,-200,-200,-200,-200,-62,-200,-200,-72,-73,-77,-85,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442820660,-39,-37,-50,-53,-53,-59,-56,-55,-64,-61,-70,-67,-71,-69,-70,-52,-67,-72,-69,-72,-65,-73,-68,-64,-74,-72,-82,-200,-80,-83,-73,-200,-200,-200,-83,-90,-91,-200,-200,-200,-54,-200,-76,-200,-200,-200,-200,-200,-200,-77,-62,-85,-200,-73,-73,-77,-85,-88,-79,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442823708,-37,-35,-47,-57,-47,-63,-53,-56,-64,-61,-64,-87,-76,-66,-70,-49,-74,-77,-70,-69,-63,-77,-68,-79,-76,-78,-85,-200,-83,-82,-78,-200,-87,-200,-91,-90,-200,-200,-200,-89,-63,-78,-76,-83,-200,-200,-87,-83,-200,-78,-65,-85,-200,-73,-77,-76,-85,-86,-79,-86,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442826753,-37,-36,-45,-59,-51,-62,-55,-54,-64,-66,-64,-65,-76,-66,-66,-49,-69,-77,-76,-69,-61,-78,-71,-79,-69,-74,-84,-200,-82,-82,-78,-80,-87,-200,-91,-200,-200,-200,-200,-89,-54,-82,-75,-83,-81,-200,-87,-83,-200,-78,-62,-200,-200,-200,-77,-76,-85,-86,-200,-200,-91,-82,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442829805,-36,-34,-49,-74,-49,-64,-52,-56,-64,-66,-62,-59,-74,-65,-69,-57,-70,-75,-73,-70,-64,-78,-71,-79,-75,-75,-82,-200,-81,-82,-76,-80,-87,-200,-83,-200,-200,-200,-200,-89,-62,-82,-80,-83,-81,-200,-87,-83,-200,-78,-62,-200,-200,-74,-82,-76,-86,-86,-200,-200,-91,-82,-86,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200
