,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A20,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,NETWORK,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c1:3b:e9,0c:73:eb:d0:19:b0,74:da:da:c1:3c:6d,74:da:da:c1:61:69,74:da:da:c1:3b:ea,74:da:da:98:8f:65,0c:73:eb:d0:76:40,74:da:da:c1:3c:91,74:da:da:c1:3c:6e,0c:73:eb:d0:2a:38,74:da:da:98:db:44,74:da:da:c1:3b:9d,74:da:da:c1:61:6a,0c:73:eb:d0:11:d0,74:da:da:c1:3c:d1,74:da:da:c1:4a:a5,74:da:da:c1:4a:7d,0c:73:eb:d0:76:20,0c:73:eb:d0:2a:20,0c:73:eb:d0:11:b8,74:da:da:98:8f:64,74:da:da:98:7a:6c,0c:73:eb:d0:0e:d0,0c:73:eb:d0:2a:28,74:da:da:c1:4a:c9,74:da:da:c0:d7:09,74:da:da:98:7a:50,74:da:da:c1:3b:9e,0c:73:eb:d0:7e:d8,74:da:da:98:db:45,bc:d1:77:5f:6a:b4,74:da:da:c1:3b:4e,0c:73:eb:d0:2a:88,74:da:da:98:7a:60,0c:73:eb:d0:2a:98,0c:73:eb:d0:7c:48,74:da:da:c1:3b:4d,0c:73:eb:d0:76:58,74:da:da:c1:3b:85,0c:73:eb:d0:11:b0,74:da:da:c1:3c:ad,0c:73:eb:d0:2a:48,0c:73:eb:d0:19:a8,74:da:da:c1:47:cd,74:da:da:c1:02:95,74:da:da:c0:f2:fd,74:da:da:c1:3c:8d,74:da:da:c1:3c:e1,74:da:da:c1:14:99,74:da:da:c1:3b:79,74:da:da:c1:3b:45,74:da:da:98:8d:78,74:da:da:98:7a:4c,74:da:da:c1:3c:92,74:da:da:c1:4b:59,74:da:da:c0:d7:ed,74:da:da:c1:3d:05,74:da:da:c0:f3:59,74:da:da:c1:17:75,74:da:da:c1:4b:05,0c:73:eb:d0:13:c0,0c:73:eb:d0:76:48,74:da:da:98:ea:4d,74:da:da:c1:4a:f5,74:da:da:c1:4a:a6,74:da:da:98:8f:34,74:da:da:98:ea:5c
1526443223227,-33,-39,-41,-43,-52,-53,-57,-57,-61,-61,-62,-62,-63,-63,-64,-65,-65,-66,-66,-68,-69,-74,-75,-75,-76,-76,-78,-80,-80,-83,-85,-86,-86,-86,-86,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443226265,-53,-32,-48,-52,-55,-71,-62,-56,-55,-46,-65,-66,-56,-88,-63,-69,-65,-64,-64,-80,-60,-200,-73,-79,-76,-57,-78,-83,-75,-85,-200,-79,-200,-200,-80,-87,-56,-68,-71,-75,-77,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443229305,-73,-28,-53,-48,-50,-51,-56,-55,-62,-49,-77,-66,-70,-61,-65,-68,-200,-58,-65,-80,-60,-88,-76,-79,-200,-58,-77,-81,-68,-82,-200,-80,-200,-200,-80,-200,-74,-82,-71,-73,-75,-89,-74,-82,-84,-84,-86,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443232359,-46,-32,-55,-50,-52,-52,-55,-52,-59,-50,-63,-66,-52,-67,-65,-59,-70,-61,-62,-81,-60,-88,-73,-74,-200,-60,-75,-82,-68,-82,-200,-83,-200,-85,-89,-200,-56,-82,-71,-65,-75,-89,-74,-82,-84,-84,-86,-89,-84,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443235399,-51,-31,-50,-50,-51,-77,-54,-49,-61,-51,-61,-200,-51,-56,-60,-58,-69,-61,-59,-81,-200,-200,-74,-86,-200,-59,-72,-82,-200,-79,-200,-83,-200,-85,-84,-200,-58,-70,-73,-65,-85,-200,-68,-200,-200,-200,-200,-200,-84,-90,-73,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443238437,-39,-31,-47,-49,-53,-54,-53,-52,-59,-47,-62,-60,-51,-58,-64,-58,-69,-60,-63,-200,-62,-80,-76,-74,-200,-59,-74,-81,-200,-81,-200,-80,-200,-200,-84,-200,-58,-70,-73,-200,-85,-200,-68,-200,-200,-200,-200,-85,-200,-200,-72,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443241449,-40,-33,-53,-46,-56,-56,-55,-52,-58,-52,-58,-65,-57,-49,-63,-63,-71,-59,-63,-200,-68,-78,-75,-75,-200,-54,-74,-83,-74,-87,-200,-83,-200,-200,-200,-200,-67,-200,-200,-200,-200,-200,-69,-81,-200,-200,-200,-85,-200,-200,-72,-200,-82,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443244495,-24,-29,-49,-44,-53,-75,-55,-63,-58,-46,-62,-66,-71,-58,-83,-63,-71,-58,-64,-200,-68,-78,-73,-76,-200,-54,-82,-84,-74,-84,-200,-83,-200,-200,-200,-200,-67,-66,-73,-200,-93,-75,-83,-81,-85,-200,-200,-87,-200,-200,-70,-200,-81,-90,-91,-82,-87,-88,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526443247573,-40,-34,-54,-45,-53,-54,-51,-55,-56,-50,-60,-66,-74,-56,-62,-65,-71,-58,-63,-200,-68,-78,-74,-78,-200,-60,-82,-83,-71,-83,-200,-82,-200,-200,-200,-200,-65,-66,-73,-65,-82,-75,-83,-78,-85,-200,-200,-87,-200,-200,-70,-200,-81,-90,-91,-82,-87,-88,-92,-200,-200,-200,-200,-200,-200,-200,-200
