,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A28,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,NETWORK,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,74:da:da:c1:3c:6d,0c:73:eb:d0:19:b0,74:da:da:c1:3b:e9,74:da:da:c0:d7:09,74:da:da:c1:3c:d1,0c:73:eb:d0:76:40,0c:73:eb:d0:2a:38,74:da:da:c1:3b:ea,74:da:da:98:8f:65,74:da:da:c1:61:6a,74:da:da:c1:3c:6e,74:da:da:c1:3b:4d,74:da:da:c1:3b:9d,0c:73:eb:d0:2a:20,0c:73:eb:d0:11:d0,74:da:da:c1:4a:a5,74:da:da:98:8f:64,74:da:da:98:db:44,0c:73:eb:d0:76:20,74:da:da:c1:3c:91,0c:73:eb:d0:2a:28,0c:73:eb:d0:19:a8,74:da:da:c1:3b:85,0c:73:eb:d0:2a:48,0c:73:eb:d0:76:58,74:da:da:c1:3c:ad,74:da:da:c1:3b:45,74:da:da:c1:61:69,74:da:da:c1:3b:4e,0c:73:eb:d0:0e:d0,74:da:da:c1:14:99,0c:73:eb:d0:11:b0,74:da:da:c1:4a:c9,74:da:da:98:db:45,0c:73:eb:d0:0e:c0,0c:73:eb:d0:13:c0,74:da:da:c1:3b:9e,74:da:da:c1:3c:d2,0c:73:eb:d0:2a:88,74:da:da:c1:4b:59,74:da:da:98:7a:50,74:da:da:c1:4b:01,74:da:da:c1:3c:51,74:da:da:c1:4a:7d,74:da:da:98:7a:6c,74:da:da:98:7a:68,74:da:da:c0:e0:71,0c:73:eb:d0:7e:d8,74:da:da:c0:d7:ed,0c:73:eb:d0:2a:18,74:da:da:c1:3c:e1,74:da:da:98:8f:3c,74:da:da:98:ea:4c,74:da:da:c0:d8:59,0c:73:eb:d0:11:b8,0c:73:eb:d0:2a:98,74:da:da:c1:17:75,0c:73:eb:d0:7e:f0,74:da:da:98:ea:4d,74:da:da:c1:4b:05,74:da:da:c1:47:cd,74:da:da:98:7a:4c,0c:73:eb:d0:76:48,74:da:da:c1:3b:69,bc:d1:77:5f:6a:b4,0c:73:eb:d0:19:98,74:da:da:98:ea:5c,74:da:da:c1:4a:a6,74:da:da:98:7a:60,74:da:da:c0:f2:fd,74:da:da:c1:02:95,74:da:da:98:8f:30,74:da:da:c0:e0:81,0c:73:eb:d0:7c:48,74:da:da:c1:3d:05
1526444128267,-32,-35,-39,-45,-46,-48,-50,-52,-52,-53,-57,-58,-58,-59,-60,-60,-61,-62,-63,-64,-66,-70,-70,-72,-73,-73,-73,-75,-76,-77,-79,-79,-80,-81,-81,-81,-82,-82,-83,-84,-86,-89,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526444131305,-24,-37,-34,-47,-49,-54,-53,-55,-74,-75,-54,-51,-58,-68,-55,-60,-62,-63,-55,-66,-65,-70,-200,-71,-66,-73,-71,-83,-77,-77,-75,-72,-200,-85,-200,-76,-82,-79,-200,-84,-86,-89,-89,-72,-73,-78,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526444134318,-24,-37,-36,-48,-41,-53,-53,-52,-74,-74,-51,-54,-65,-63,-55,-60,-62,-59,-55,-65,-65,-62,-200,-75,-59,-73,-71,-45,-77,-77,-75,-72,-200,-84,-200,-76,-81,-79,-200,-84,-86,-89,-89,-58,-73,-78,-84,-74,-75,-87,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526444137322,-27,-34,-34,-50,-46,-51,-58,-51,-80,-79,-57,-50,-58,-63,-55,-61,-200,-61,-52,-66,-200,-68,-200,-80,-61,-74,-71,-46,-82,-79,-78,-69,-200,-81,-200,-82,-85,-82,-200,-200,-200,-200,-200,-58,-200,-78,-82,-74,-75,-87,-88,-89,-73,-83,-84,-84,-85,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526444140326,-25,-32,-33,-51,-47,-58,-59,-53,-71,-70,-56,-55,-53,-63,-54,-63,-200,-61,-50,-66,-83,-68,-200,-82,-59,-74,-73,-41,-79,-79,-78,-69,-200,-79,-200,-82,-86,-82,-200,-200,-79,-200,-200,-58,-200,-78,-82,-71,-75,-87,-88,-89,-73,-83,-84,-84,-85,-86,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526444143331,-26,-39,-34,-47,-52,-54,-63,-54,-79,-70,-56,-58,-62,-71,-54,-59,-58,-62,-51,-65,-69,-73,-200,-82,-59,-74,-73,-45,-75,-75,-78,-69,-200,-57,-200,-82,-81,-82,-84,-200,-79,-200,-200,-78,-200,-78,-82,-71,-200,-200,-200,-200,-73,-83,-84,-84,-85,-86,-89,-90,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526444146334,-26,-35,-40,-49,-54,-50,-50,-57,-72,-71,-55,-58,-62,-74,-56,-59,-72,-57,-61,-65,-63,-73,-200,-200,-68,-76,-74,-46,-74,-72,-200,-200,-200,-81,-200,-200,-82,-200,-86,-200,-81,-200,-200,-81,-88,-200,-200,-67,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-78,-83,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526444149338,-28,-37,-39,-52,-52,-53,-52,-54,-75,-73,-53,-59,-62,-74,-66,-64,-72,-58,-55,-63,-63,-200,-200,-200,-68,-77,-71,-45,-53,-80,-200,-200,-200,-84,-200,-200,-83,-200,-86,-200,-81,-200,-200,-81,-82,-200,-200,-67,-200,-83,-80,-200,-200,-200,-200,-200,-200,-86,-89,-200,-200,-83,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526444152378,-25,-37,-37,-47,-50,-54,-55,-58,-71,-71,-51,-53,-66,-70,-55,-57,-64,-59,-52,-66,-63,-65,-78,-74,-68,-73,-71,-51,-76,-79,-200,-200,-200,-83,-200,-200,-83,-80,-86,-200,-81,-200,-200,-69,-82,-200,-200,-67,-200,-83,-80,-200,-200,-200,-200,-200,-200,-86,-89,-200,-200,-83,-85,-89,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
