,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED0,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,whu2011314
,0c:73:eb:d0:76:40,74:da:da:c1:3b:9d,74:da:da:c1:3b:4d,74:da:da:c1:3b:9e,0c:73:eb:d0:0e:d0,0c:73:eb:d0:13:c0,74:da:da:c1:61:69,0c:73:eb:d0:19:b0,0c:73:eb:d0:2a:48,74:da:da:98:8f:64,74:da:da:c1:3c:6d,74:da:da:98:7a:68,74:da:da:c1:4a:c9,74:da:da:c1:3b:e9,74:da:da:98:7a:60,0c:73:eb:d0:76:20,0c:73:eb:d0:19:a8,74:da:da:c1:3b:4e,0c:73:eb:d0:2a:20,74:da:da:c0:d7:ed,74:da:da:98:8f:34,0c:73:eb:d0:76:58,0c:73:eb:d0:11:b8,74:da:da:c0:e0:71,74:da:da:c0:d7:09,74:da:da:98:7a:6c,74:da:da:c1:47:cd,74:da:da:98:db:44,0c:73:eb:d0:11:b0,74:da:da:c1:61:6a,0c:73:eb:d0:2a:98,74:da:da:98:8f:65,74:da:da:98:ea:4c,0c:73:eb:d0:2a:38,74:da:da:c1:3c:6e,0c:73:eb:d0:7e:f0,0c:73:eb:d0:2a:28,74:da:da:c1:17:75,74:da:da:c1:02:95,74:da:da:98:7a:50,74:da:da:c1:4a:7d,74:da:da:98:7a:4c,74:da:da:c1:3b:85,74:da:da:c0:d8:05,0c:73:eb:d0:7c:30,74:da:da:c0:d8:59,0c:73:eb:d0:19:98,0c:73:eb:d0:7e:d8,0c:73:eb:d0:7e:e8,74:da:da:c1:3b:ea,74:da:da:c1:3c:8d,74:da:da:c1:3c:e1,0c:73:eb:d0:11:d0,74:da:da:98:8f:3c,74:da:da:98:ea:4d,74:da:da:98:8f:30,74:da:da:c0:d7:ee,0c:73:eb:d0:13:a8,74:da:da:98:ea:5c,74:da:da:c1:3c:d1,0c:73:eb:d0:76:30,74:da:da:c1:3c:99,0c:73:eb:d0:76:48,0c:73:eb:d0:0e:c0,0c:73:eb:d0:19:b8,74:da:da:c0:e0:81,74:da:da:c1:3b:cd,0c:73:eb:d0:2a:88,c0:61:18:93:35:28
1526446828293,-31,-39,-49,-53,-54,-55,-56,-58,-60,-62,-63,-64,-64,-64,-64,-65,-65,-66,-67,-68,-70,-71,-73,-73,-74,-76,-76,-77,-77,-78,-78,-79,-80,-80,-81,-81,-82,-86,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526446831299,-32,-43,-46,-59,-62,-55,-49,-80,-69,-60,-63,-64,-67,-76,-76,-65,-65,-64,-67,-68,-200,-71,-73,-73,-200,-75,-76,-67,-77,-79,-79,-77,-80,-80,-83,-78,-200,-82,-200,-63,-64,-68,-76,-84,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526446834337,-33,-43,-45,-60,-68,-62,-50,-59,-61,-64,-62,-200,-67,-86,-87,-68,-64,-64,-67,-200,-67,-200,-73,-80,-200,-77,-200,-73,-200,-80,-79,-77,-200,-200,-60,-73,-200,-91,-200,-65,-63,-82,-76,-84,-86,-74,-84,-86,-90,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526446837342,-32,-43,-45,-60,-55,-60,-50,-54,-57,-64,-61,-63,-69,-67,-73,-70,-63,-64,-70,-85,-67,-72,-73,-65,-200,-77,-200,-72,-200,-79,-81,-78,-200,-200,-82,-73,-200,-82,-200,-63,-63,-82,-200,-200,-200,-74,-84,-86,-90,-89,-90,-82,-86,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526446840392,-32,-43,-45,-60,-66,-56,-49,-54,-57,-64,-58,-63,-69,-67,-72,-70,-62,-64,-70,-85,-67,-72,-72,-65,-200,-79,-200,-72,-200,-77,-81,-74,-66,-200,-82,-73,-200,-82,-200,-65,-65,-68,-79,-200,-200,-74,-84,-86,-90,-89,-90,-82,-78,-90,-91,-74,-88,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526446843396,-32,-43,-46,-60,-67,-62,-49,-55,-60,-63,-59,-63,-69,-67,-77,-67,-62,-65,-70,-85,-67,-72,-73,-65,-200,-79,-77,-72,-70,-80,-81,-77,-66,-200,-82,-200,-81,-83,-200,-66,-63,-68,-79,-200,-200,-200,-200,-200,-200,-89,-200,-82,-78,-90,-91,-74,-88,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526446846400,-32,-43,-46,-60,-58,-62,-48,-55,-80,-63,-59,-68,-200,-200,-77,-74,-62,-64,-67,-200,-67,-200,-72,-66,-200,-78,-77,-71,-70,-77,-80,-77,-63,-200,-83,-200,-81,-84,-200,-64,-65,-68,-80,-81,-200,-74,-200,-200,-89,-90,-200,-200,-78,-200,-200,-74,-88,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526446849443,-32,-43,-45,-60,-64,-63,-50,-54,-62,-63,-74,-60,-200,-87,-75,-82,-58,-64,-67,-67,-200,-86,-72,-67,-200,-78,-200,-71,-71,-80,-80,-76,-63,-200,-83,-200,-81,-84,-200,-69,-69,-69,-88,-83,-85,-75,-200,-200,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-69,-76,-80,-200,-200,-200,-200,-200,-200,-200,-200
1526446852482,-32,-43,-46,-60,-63,-59,-49,-55,-56,-63,-74,-60,-69,-87,-75,-68,-62,-64,-200,-67,-66,-86,-79,-66,-200,-78,-200,-72,-70,-77,-78,-77,-200,-200,-83,-200,-81,-84,-200,-69,-66,-68,-88,-84,-85,-75,-200,-200,-200,-89,-200,-82,-87,-200,-200,-77,-200,-200,-69,-76,-80,-200,-200,-200,-200,-200,-200,-200,-200
