,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED0,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A20,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c1:3b:9d,0c:73:eb:d0:76:40,74:da:da:98:7a:4c,74:da:da:c1:3b:9e,74:da:da:c1:61:69,0c:73:eb:d0:0e:d0,0c:73:eb:d0:11:b8,74:da:da:c1:4a:c9,74:da:da:c1:3b:4d,74:da:da:c1:3b:4e,0c:73:eb:d0:19:b0,74:da:da:98:7a:50,74:da:da:c1:3b:e9,74:da:da:98:8f:64,0c:73:eb:d0:2a:98,74:da:da:c1:3c:6e,74:da:da:98:ea:4c,0c:73:eb:d0:2a:38,74:da:da:c1:3c:6d,0c:73:eb:d0:2a:48,0c:73:eb:d0:13:c0,74:da:da:c1:61:6a,74:da:da:c1:4a:7d,74:da:da:98:8f:65,0c:73:eb:d0:11:b0,74:da:da:c1:3b:ea,0c:73:eb:d0:19:a8,0c:73:eb:d0:2a:20,74:da:da:98:7a:6c,0c:73:eb:d0:76:58,74:da:da:c1:47:cd,74:da:da:98:7a:60,74:da:da:98:ea:5c,74:da:da:98:7a:68,74:da:da:c1:17:75,74:da:da:c1:4a:f5,74:da:da:c0:e0:81,0c:73:eb:d0:76:48,0c:73:eb:d0:7e:d8,74:da:da:98:db:44,74:da:da:c0:d8:59,74:da:da:c0:d7:09,74:da:da:c0:e0:71,74:da:da:c1:4a:ed,74:da:da:c1:3c:99,74:da:da:98:8f:34,74:da:da:c0:d7:ed,0c:73:eb:d0:11:d0,74:da:da:c1:04:4d,74:da:da:c0:d8:05,0c:73:eb:d0:2a:88,0c:73:eb:d0:7e:f0,74:da:da:c1:4a:ca,74:da:da:c1:3c:91,74:da:da:c1:3c:8d,0c:73:eb:d0:76:20,74:da:da:98:74:94,74:da:da:98:7a:4d,74:da:da:c1:02:95,74:da:da:c1:4a:a5,74:da:da:c1:3c:d1
1526447137435,-34,-40,-51,-53,-53,-55,-55,-56,-57,-63,-63,-64,-65,-66,-67,-68,-68,-68,-69,-70,-71,-72,-72,-73,-73,-74,-74,-75,-76,-78,-78,-81,-83,-83,-83,-84,-84,-85,-86,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447140154,-46,-49,-63,-59,-57,-51,-50,-67,-57,-59,-60,-200,-64,-72,-67,-200,-200,-73,-69,-73,-81,-76,-200,-76,-73,-77,-78,-75,-82,-82,-200,-79,-84,-200,-86,-200,-91,-91,-200,-88,-74,-79,-86,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447140469,-46,-49,-63,-59,-57,-51,-50,-67,-57,-59,-60,-200,-64,-72,-67,-200,-200,-73,-69,-73,-81,-76,-200,-76,-73,-77,-78,-75,-82,-82,-200,-79,-84,-200,-86,-200,-91,-91,-200,-88,-74,-79,-86,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447143173,-44,-44,-62,-59,-58,-47,-46,-66,-57,-69,-62,-70,-67,-76,-200,-200,-200,-73,-200,-72,-81,-74,-200,-85,-72,-75,-78,-73,-82,-82,-200,-79,-84,-200,-87,-200,-91,-91,-200,-88,-74,-80,-84,-85,-90,-78,-81,-83,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447143501,-44,-44,-62,-59,-58,-47,-46,-66,-57,-69,-62,-70,-67,-76,-200,-200,-200,-73,-200,-72,-81,-74,-200,-85,-72,-75,-78,-73,-82,-82,-200,-79,-84,-200,-87,-200,-91,-91,-200,-88,-74,-80,-84,-85,-90,-78,-81,-83,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447146177,-44,-47,-57,-59,-57,-46,-50,-68,-56,-69,-59,-71,-69,-76,-200,-200,-78,-74,-69,-76,-81,-75,-200,-84,-73,-77,-78,-72,-82,-82,-200,-79,-84,-200,-87,-200,-82,-91,-200,-84,-74,-80,-84,-85,-90,-78,-80,-83,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447146565,-44,-47,-57,-59,-57,-46,-50,-68,-56,-69,-59,-71,-69,-76,-200,-200,-78,-74,-69,-76,-81,-75,-200,-84,-73,-77,-78,-72,-82,-82,-200,-79,-84,-200,-87,-200,-82,-91,-200,-84,-74,-80,-84,-85,-90,-78,-80,-83,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447149181,-44,-47,-60,-60,-57,-52,-46,-67,-59,-73,-58,-69,-82,-200,-200,-200,-78,-74,-75,-72,-200,-75,-200,-83,-71,-75,-200,-72,-83,-200,-82,-200,-200,-200,-91,-200,-82,-200,-200,-84,-200,-78,-86,-200,-200,-78,-80,-200,-200,-90,-87,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526447149599,-44,-47,-60,-60,-57,-52,-46,-67,-59,-73,-58,-69,-82,-200,-200,-200,-78,-74,-75,-72,-200,-75,-200,-83,-71,-75,-200,-72,-83,-200,-82,-200,-200,-200,-91,-200,-82,-200,-200,-84,-200,-78,-86,-200,-200,-78,-80,-200,-200,-90,-87,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526447152226,-43,-46,-62,-59,-57,-46,-50,-67,-57,-59,-62,-69,-69,-200,-200,-200,-200,-200,-68,-69,-83,-73,-77,-83,-72,-73,-200,-73,-83,-200,-82,-80,-200,-200,-91,-200,-82,-200,-200,-84,-81,-78,-86,-85,-89,-78,-200,-200,-200,-90,-87,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526447152632,-43,-46,-62,-59,-57,-46,-50,-67,-57,-59,-62,-69,-69,-200,-200,-200,-200,-200,-68,-69,-83,-73,-77,-83,-72,-73,-200,-73,-83,-200,-82,-80,-200,-200,-91,-200,-82,-200,-200,-84,-81,-78,-86,-85,-89,-78,-200,-200,-200,-90,-87,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526447155237,-44,-46,-62,-60,-57,-46,-46,-68,-55,-71,-60,-68,-69,-200,-200,-200,-200,-200,-67,-72,-78,-75,-77,-75,-78,-75,-76,-73,-82,-200,-78,-80,-82,-86,-91,-200,-82,-90,-200,-84,-81,-78,-86,-85,-89,-78,-80,-200,-200,-90,-87,-89,-91,-84,-200,-200,-200,-200,-200,-200,-200
1526447155671,-44,-46,-62,-60,-57,-46,-46,-68,-55,-71,-60,-68,-69,-200,-200,-200,-200,-200,-67,-72,-78,-75,-77,-75,-78,-75,-76,-73,-82,-200,-78,-80,-82,-86,-91,-200,-82,-90,-200,-84,-81,-78,-86,-85,-89,-78,-80,-200,-200,-90,-87,-89,-91,-84,-200,-200,-200,-200,-200,-200,-200
1526447158277,-45,-45,-62,-59,-57,-46,-50,-68,-57,-70,-58,-69,-65,-200,-200,-200,-200,-200,-71,-73,-83,-75,-78,-83,-72,-75,-76,-74,-82,-79,-78,-80,-82,-86,-200,-200,-82,-90,-200,-84,-81,-79,-200,-85,-90,-75,-86,-200,-200,-200,-84,-200,-90,-84,-200,-200,-200,-200,-200,-200,-200
1526447158712,-45,-45,-62,-59,-57,-46,-50,-68,-57,-70,-58,-69,-65,-200,-200,-200,-200,-200,-71,-73,-83,-75,-78,-83,-72,-75,-76,-74,-82,-79,-78,-80,-82,-86,-200,-200,-82,-90,-200,-84,-81,-79,-200,-85,-90,-75,-86,-200,-200,-200,-84,-200,-90,-84,-200,-200,-200,-200,-200,-200,-200
1526447161335,-45,-47,-62,-60,-56,-46,-70,-69,-58,-70,-62,-71,-66,-77,-200,-200,-200,-200,-69,-73,-77,-75,-78,-84,-76,-76,-71,-74,-82,-79,-200,-200,-200,-200,-85,-200,-82,-200,-200,-200,-200,-80,-86,-200,-90,-75,-80,-200,-200,-200,-84,-200,-90,-200,-83,-200,-200,-200,-200,-200,-200
1526447161749,-45,-47,-62,-60,-56,-46,-70,-69,-58,-70,-62,-71,-66,-77,-200,-200,-200,-200,-69,-73,-77,-75,-78,-84,-76,-76,-71,-74,-82,-79,-200,-200,-200,-200,-85,-200,-82,-200,-200,-200,-200,-80,-86,-200,-90,-75,-80,-200,-200,-200,-84,-200,-90,-200,-83,-200,-200,-200,-200,-200,-200
1526447164369,-44,-45,-63,-60,-57,-47,-46,-68,-58,-69,-58,-71,-71,-75,-200,-200,-80,-72,-69,-70,-75,-76,-200,-84,-69,-76,-80,-73,-83,-80,-200,-81,-200,-200,-85,-200,-85,-200,-200,-87,-74,-80,-86,-86,-200,-200,-80,-200,-200,-200,-200,-200,-200,-84,-83,-82,-87,-200,-200,-200,-200
1526447164785,-44,-45,-63,-60,-57,-47,-46,-68,-58,-69,-58,-71,-71,-75,-200,-200,-80,-72,-69,-70,-75,-76,-200,-84,-69,-76,-80,-73,-83,-80,-200,-81,-200,-200,-85,-200,-85,-200,-200,-87,-74,-80,-86,-86,-200,-200,-80,-200,-200,-200,-200,-200,-200,-84,-83,-82,-87,-200,-200,-200,-200
1526447167419,-44,-46,-61,-59,-57,-47,-46,-68,-58,-69,-62,-69,-69,-78,-200,-200,-80,-72,-70,-70,-81,-76,-200,-85,-72,-76,-80,-73,-82,-80,-200,-78,-200,-200,-200,-200,-85,-200,-200,-84,-74,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-82,-87,-200,-200,-200,-200
1526447167822,-44,-46,-61,-59,-57,-47,-46,-68,-58,-69,-62,-69,-69,-78,-200,-200,-80,-72,-70,-70,-81,-76,-200,-85,-72,-76,-80,-73,-82,-80,-200,-78,-200,-200,-200,-200,-85,-200,-200,-84,-74,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-82,-87,-200,-200,-200,-200
1526447170468,-45,-46,-62,-59,-55,-47,-46,-69,-57,-69,-58,-78,-69,-78,-200,-200,-80,-86,-69,-73,-81,-74,-200,-83,-71,-76,-80,-73,-83,-80,-200,-79,-86,-200,-88,-200,-85,-90,-200,-84,-74,-80,-200,-86,-89,-200,-200,-82,-200,-200,-200,-200,-200,-84,-200,-82,-87,-91,-91,-200,-200
1526447170863,-45,-46,-62,-59,-55,-47,-46,-69,-57,-69,-58,-78,-69,-78,-200,-200,-80,-86,-69,-73,-81,-74,-200,-83,-71,-76,-80,-73,-83,-80,-200,-79,-86,-200,-88,-200,-85,-90,-200,-84,-74,-80,-200,-86,-89,-200,-200,-82,-200,-200,-200,-200,-200,-84,-200,-82,-87,-91,-91,-200,-200
1526447173517,-44,-45,-61,-59,-57,-46,-50,-67,-58,-69,-58,-69,-66,-73,-200,-200,-200,-86,-69,-70,-81,-75,-78,-83,-72,-75,-200,-73,-82,-78,-80,-79,-86,-88,-85,-200,-200,-90,-200,-200,-200,-78,-200,-200,-89,-200,-200,-83,-87,-200,-200,-200,-200,-200,-200,-200,-200,-91,-91,-80,-200
1526447173897,-44,-45,-61,-59,-57,-46,-50,-67,-58,-69,-58,-69,-66,-73,-200,-200,-200,-86,-69,-70,-81,-75,-78,-83,-72,-75,-200,-73,-82,-78,-80,-79,-86,-88,-85,-200,-200,-90,-200,-200,-200,-78,-200,-200,-89,-200,-200,-83,-87,-200,-200,-200,-200,-200,-200,-200,-200,-91,-91,-80,-200
1526447176594,-45,-48,-61,-59,-58,-47,-47,-66,-55,-68,-59,-70,-68,-80,-200,-200,-200,-74,-70,-70,-82,-74,-78,-84,-72,-77,-74,-200,-83,-78,-80,-80,-200,-88,-85,-200,-200,-200,-200,-200,-75,-78,-84,-200,-200,-81,-200,-83,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-92
1526447176944,-45,-48,-61,-59,-58,-47,-47,-66,-55,-68,-59,-70,-68,-80,-200,-200,-200,-74,-70,-70,-82,-74,-78,-84,-72,-77,-74,-200,-83,-78,-80,-80,-200,-88,-85,-200,-200,-200,-200,-200,-75,-78,-84,-200,-200,-81,-200,-83,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-92
1526447179652,-44,-48,-61,-59,-58,-47,-46,-66,-56,-60,-58,-84,-69,-80,-200,-200,-200,-72,-68,-72,-82,-78,-65,-84,-67,-77,-76,-71,-83,-81,-200,-80,-83,-200,-86,-200,-91,-200,-200,-200,-75,-81,-85,-86,-200,-83,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-79,-92
1526447179980,-44,-48,-61,-59,-58,-47,-46,-66,-56,-60,-58,-84,-69,-80,-200,-200,-200,-72,-68,-72,-82,-78,-65,-84,-67,-77,-76,-71,-83,-81,-200,-80,-83,-200,-86,-200,-91,-200,-200,-200,-75,-81,-85,-86,-200,-83,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-79,-92
1526447182708,-44,-45,-58,-59,-58,-47,-46,-64,-57,-70,-59,-84,-71,-79,-200,-200,-200,-76,-68,-72,-77,-75,-65,-84,-68,-77,-76,-71,-200,-81,-200,-78,-83,-200,-86,-200,-80,-200,-200,-200,-74,-81,-85,-86,-200,-79,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-79,-200
