,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,DLINK_D02A10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018
,0c:73:eb:d0:19:a8,74:da:da:98:8f:34,74:da:da:98:ea:4c,0c:73:eb:d0:76:48,0c:73:eb:d0:2a:98,74:da:da:c1:3c:8d,0c:73:eb:d0:76:58,74:da:da:98:ea:4d,74:da:da:98:8f:65,74:da:da:c1:3b:4d,74:da:da:98:8f:31,74:da:da:98:8f:30,74:da:da:c0:d8:05,74:da:da:98:8f:64,74:da:da:98:ea:5c,0c:73:eb:d0:19:b8,74:da:da:c0:e0:81,0c:73:eb:d0:76:40,0c:73:eb:d0:2a:48,0c:73:eb:d0:76:20,74:da:da:c1:3b:9d,74:da:da:98:db:44,74:da:da:c0:d8:59,74:da:da:c1:3b:e9,0c:73:eb:d0:0e:c0,74:da:da:98:8f:35,74:da:da:c1:3b:85,0c:73:eb:d0:7e:f0,74:da:da:c0:d7:ed,0c:73:eb:d0:2a:38,74:da:da:98:7a:68,0c:73:eb:d0:13:c0,74:da:da:c1:3c:cd,74:da:da:c1:3c:6d,74:da:da:c1:47:cd,0c:73:eb:d0:2a:30,74:da:da:c1:3b:65,0c:73:eb:d0:7e:e8,0c:73:eb:d0:19:b0,74:da:da:c1:3b:cd,74:da:da:c1:3b:4e,0c:73:eb:d0:19:98,74:da:da:c0:d7:09,0c:73:eb:d0:2a:58,74:da:da:c1:3c:8e,74:da:da:c1:14:99,74:da:da:98:ea:5d,0c:73:eb:d0:0e:d8,74:da:da:c0:e0:71,74:da:da:c1:61:6a,74:da:da:c1:3c:ce,c0:61:18:93:35:28,74:da:da:c1:02:95,74:da:da:c1:61:69,0c:73:eb:d0:2a:28,0c:73:eb:d0:2a:88,74:da:da:c0:d7:dd,74:da:da:c1:4a:c9,74:da:da:c1:17:75,0c:73:eb:d0:0e:d0,74:da:da:c1:3d:85,0c:73:eb:d0:2a:20,74:da:da:c1:3b:69,0c:73:eb:d0:2a:10,0c:73:eb:d0:76:30,74:da:da:98:8f:3c,74:da:da:98:7a:60,74:da:da:c1:3b:c9,74:da:da:c1:3d:09,0c:73:eb:d0:7c:30,0c:73:eb:d0:76:38,0c:73:eb:d0:0e:90,74:da:da:c1:3b:86,74:da:da:98:7a:50,74:da:da:c1:3b:45,74:da:da:c0:d7:e9,0c:73:eb:d0:19:88,74:da:da:c0:e0:69,0c:73:eb:d0:13:a8,74:da:da:c1:04:4d,74:da:da:c1:04:49,0c:73:eb:d0:11:e8,0c:73:eb:d0:2a:18,74:da:da:c1:56:ed,74:da:da:c1:04:45,74:da:da:c1:3c:99,0c:73:eb:d0:11:e0,74:da:da:c1:3b:79,0c:73:eb:d0:7c:38
1526450490749,-34,-35,-38,-47,-49,-52,-53,-54,-54,-54,-54,-55,-56,-61,-63,-64,-65,-66,-66,-67,-67,-68,-69,-71,-71,-73,-73,-74,-74,-74,-74,-74,-74,-75,-75,-75,-76,-77,-78,-78,-79,-79,-80,-81,-85,-85,-87,-87,-88,-91,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450493785,-30,-32,-37,-49,-48,-49,-81,-54,-73,-54,-73,-65,-57,-56,-63,-63,-200,-200,-68,-71,-70,-73,-58,-200,-63,-73,-74,-74,-74,-200,-200,-200,-70,-75,-69,-75,-200,-200,-78,-78,-82,-200,-80,-60,-85,-85,-89,-200,-200,-200,-200,-78,-80,-82,-84,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450496789,-31,-35,-38,-69,-48,-50,-64,-51,-73,-55,-73,-61,-56,-85,-200,-67,-72,-64,-66,-71,-68,-67,-62,-200,-63,-72,-73,-69,-72,-200,-200,-200,-70,-200,-69,-75,-200,-200,-200,-200,-83,-200,-80,-60,-85,-200,-89,-200,-73,-200,-200,-72,-80,-82,-84,-87,-73,-77,-79,-80,-81,-88,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450499793,-32,-31,-38,-49,-56,-50,-64,-53,-51,-54,-81,-65,-57,-58,-200,-66,-72,-64,-65,-71,-69,-69,-63,-200,-63,-71,-73,-69,-72,-200,-200,-200,-76,-200,-71,-72,-200,-200,-200,-200,-82,-70,-80,-59,-85,-200,-88,-84,-71,-200,-200,-77,-200,-200,-200,-87,-73,-77,-79,-80,-81,-88,-88,-75,-76,-78,-83,-83,-85,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450502829,-32,-35,-38,-49,-49,-49,-68,-53,-73,-53,-81,-65,-53,-57,-66,-66,-72,-64,-68,-71,-69,-68,-63,-200,-68,-71,-75,-69,-72,-200,-200,-200,-67,-200,-73,-72,-200,-200,-200,-200,-83,-70,-80,-60,-85,-200,-88,-84,-71,-200,-200,-77,-200,-200,-200,-87,-73,-77,-79,-80,-81,-88,-88,-75,-76,-78,-83,-83,-85,-84,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450505836,-32,-35,-38,-48,-53,-50,-67,-52,-74,-54,-81,-64,-49,-57,-66,-71,-200,-67,-64,-69,-69,-67,-64,-200,-76,-53,-75,-200,-73,-200,-200,-82,-67,-76,-73,-72,-200,-200,-200,-200,-83,-72,-200,-57,-200,-200,-88,-87,-71,-200,-200,-77,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-75,-75,-79,-83,-83,-85,-84,-82,-87,-91,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450508886,-32,-17,-38,-48,-49,-49,-74,-53,-73,-53,-53,-64,-52,-58,-66,-69,-73,-64,-65,-67,-200,-67,-64,-200,-68,-71,-87,-200,-73,-200,-200,-82,-67,-87,-68,-71,-200,-200,-200,-200,-83,-73,-200,-57,-200,-200,-200,-87,-200,-200,-200,-77,-200,-81,-200,-200,-75,-72,-80,-80,-200,-200,-92,-200,-70,-79,-200,-200,-200,-84,-82,-87,-91,-91,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450511935,-32,-33,-38,-50,-48,-49,-65,-53,-71,-54,-72,-68,-57,-57,-66,-66,-74,-69,-65,-69,-83,-69,-63,-200,-68,-71,-87,-67,-200,-200,-200,-81,-70,-87,-68,-71,-200,-200,-200,-200,-83,-73,-200,-60,-200,-89,-200,-83,-200,-200,-200,-200,-200,-81,-85,-200,-200,-79,-78,-80,-200,-200,-85,-200,-70,-200,-87,-82,-200,-200,-200,-200,-200,-200,-85,-82,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450514993,-32,-35,-62,-48,-49,-50,-68,-53,-53,-54,-81,-68,-55,-57,-200,-64,-74,-63,-65,-70,-69,-69,-60,-200,-67,-53,-75,-75,-200,-200,-200,-81,-70,-78,-73,-200,-200,-200,-75,-79,-83,-73,-200,-60,-200,-89,-88,-83,-71,-200,-200,-200,-200,-200,-85,-83,-74,-79,-78,-200,-200,-200,-85,-200,-75,-200,-87,-82,-200,-200,-200,-200,-200,-200,-200,-82,-89,-70,-85,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
