,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,whu2011314,D-Link_DIR-823Pro,whu2011309,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A60,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c1:3c:8d,74:da:da:c1:3c:cd,74:da:da:c1:3b:c9,74:da:da:98:8f:3c,74:da:da:98:8f:34,0c:73:eb:d0:2a:10,74:da:da:c1:3b:69,74:da:da:98:8f:30,0c:73:eb:d0:7e:e8,0c:73:eb:d0:76:30,0c:73:eb:d0:19:a8,74:da:da:98:8f:35,74:da:da:c1:3c:ce,74:da:da:c1:3b:cd,74:da:da:c1:3c:8e,74:da:da:c0:d8:05,74:da:da:98:ea:4c,74:da:da:c0:e0:69,74:da:da:c1:3c:4d,0c:73:eb:d0:13:a8,74:da:da:c1:3b:66,0c:73:eb:d0:2a:58,0c:73:eb:d0:76:58,74:da:da:c1:3d:85,0c:73:eb:d0:19:98,0c:73:eb:d0:19:a0,0c:73:eb:d0:0e:d8,0c:73:eb:d0:7c:38,74:da:da:98:8f:3d,0c:73:eb:d0:2a:98,0c:73:eb:d0:7e:f0,0c:73:eb:d0:76:48,74:da:da:c0:d8:59,0c:73:eb:d0:76:38,74:da:da:c1:3b:4d,74:da:da:98:8f:31,74:da:da:c0:d7:e9,74:da:da:c1:3b:ca,74:da:da:c0:d7:dd,0c:73:eb:d0:0e:b0,74:da:da:c1:3b:6a,74:da:da:98:8f:64,74:da:da:98:db:44,74:da:da:98:ea:4d,0c:73:eb:d0:13:a0,74:da:da:c0:d7:19,74:da:da:c1:3b:85,0c:73:eb:d0:11:e0,74:da:da:c0:d7:de,74:da:da:c1:3b:ce,74:da:da:98:8f:65,0c:73:eb:d0:19:b8,c0:61:18:93:35:28,74:da:da:c1:56:ed,c0:61:18:93:3e:54,0c:73:eb:d0:2a:18,74:da:da:c1:3c:55,0c:73:eb:d0:76:40,74:da:da:c1:3c:51,74:da:da:c0:d8:25,74:da:da:c1:3b:86,74:da:da:98:ea:5c,74:da:da:c1:3d:09,74:da:da:c1:3d:05,74:da:da:c0:d7:c5,0c:73:eb:d0:19:88,74:da:da:c1:25:9d,0c:73:eb:d0:2a:60,0c:73:eb:d0:76:50,74:da:da:98:90:94,0c:73:eb:d0:0e:90,0c:73:eb:d0:0e:c0,0c:73:eb:d0:7f:18,0c:73:eb:d0:19:90,74:da:da:c1:04:45,0c:73:eb:d0:7f:08,74:da:da:c0:d7:81,0c:73:eb:d0:7e:e0,74:da:da:c1:3d:35,0c:73:eb:d0:7f:10,74:da:da:c1:3b:45,74:da:da:98:92:14,74:da:da:98:ea:5d,74:da:da:98:ea:50,74:da:da:98:85:60,74:da:da:c1:3b:65,74:da:da:c1:3b:e9,74:da:da:c0:e0:81,74:da:da:c1:03:61
1526452357159,-37,-42,-44,-45,-50,-50,-50,-53,-53,-55,-57,-57,-57,-57,-59,-59,-59,-59,-59,-59,-59,-60,-62,-64,-66,-66,-67,-68,-68,-69,-69,-70,-71,-72,-73,-76,-76,-77,-77,-77,-77,-77,-78,-79,-80,-82,-82,-83,-83,-84,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452360197,-40,-44,-200,-43,-44,-48,-51,-61,-52,-58,-200,-50,-61,-75,-58,-200,-200,-68,-200,-59,-78,-60,-200,-64,-57,-66,-67,-68,-72,-200,-200,-39,-81,-59,-74,-61,-76,-80,-77,-77,-77,-77,-90,-200,-80,-200,-82,-200,-83,-77,-76,-52,-62,-64,-65,-73,-80,-85,-86,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452363202,-38,-40,-200,-44,-45,-50,-59,-51,-52,-56,-67,-51,-64,-75,-53,-78,-59,-68,-64,-63,-80,-62,-66,-200,-53,-66,-200,-200,-53,-73,-78,-35,-81,-60,-74,-66,-200,-76,-200,-82,-77,-200,-90,-200,-81,-200,-200,-200,-200,-79,-77,-51,-68,-64,-65,-73,-80,-85,-85,-80,-90,-55,-68,-70,-73,-79,-80,-82,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452366206,-40,-38,-53,-43,-45,-47,-59,-52,-200,-56,-66,-52,-74,-60,-56,-75,-59,-200,-64,-63,-80,-59,-64,-200,-55,-60,-200,-200,-54,-73,-78,-37,-200,-59,-74,-67,-200,-77,-69,-82,-77,-200,-200,-85,-81,-200,-200,-200,-200,-77,-81,-49,-64,-63,-64,-73,-80,-200,-85,-80,-200,-59,-68,-70,-73,-79,-80,-82,-91,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452369213,-45,-40,-49,-40,-51,-48,-59,-65,-200,-63,-56,-52,-63,-61,-58,-75,-59,-65,-62,-62,-78,-61,-64,-65,-54,-63,-76,-200,-75,-73,-78,-36,-200,-58,-74,-70,-68,-77,-76,-78,-76,-200,-200,-85,-81,-200,-200,-200,-200,-58,-52,-49,-62,-59,-65,-74,-81,-200,-85,-80,-200,-59,-63,-69,-73,-79,-80,-82,-91,-85,-72,-83,-86,-87,-87,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452372272,-42,-40,-49,-43,-51,-50,-200,-57,-49,-63,-63,-52,-70,-58,-55,-200,-60,-72,-63,-70,-80,-62,-64,-71,-53,-63,-74,-67,-72,-200,-75,-37,-200,-62,-200,-72,-68,-79,-69,-72,-76,-72,-75,-200,-200,-200,-200,-200,-200,-75,-81,-50,-59,-65,-66,-74,-82,-200,-200,-76,-200,-200,-57,-68,-72,-81,-200,-200,-200,-200,-72,-83,-86,-87,-87,-89,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452375281,-43,-39,-50,-43,-55,-46,-48,-63,-49,-59,-58,-48,-62,-58,-58,-200,-55,-70,-63,-70,-77,-61,-64,-71,-61,-73,-74,-68,-74,-72,-74,-36,-200,-60,-200,-70,-68,-80,-68,-73,-77,-72,-75,-80,-200,-200,-200,-200,-200,-75,-81,-53,-59,-60,-69,-74,-82,-200,-87,-81,-200,-200,-57,-68,-71,-81,-200,-200,-200,-200,-72,-83,-86,-87,-85,-89,-76,-81,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452378332,-44,-40,-56,-37,-54,-49,-50,-65,-200,-59,-66,-53,-61,-58,-59,-71,-51,-70,-69,-70,-76,-61,-63,-67,-64,-66,-200,-68,-77,-72,-59,-55,-81,-55,-200,-69,-200,-79,-73,-73,-76,-86,-82,-80,-200,-200,-200,-200,-200,-75,-76,-63,-59,-61,-67,-200,-200,-200,-87,-81,-200,-79,-65,-68,-71,-200,-200,-200,-200,-84,-77,-200,-200,-200,-85,-200,-200,-80,-83,-83,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526452381365,-46,-39,-51,-38,-53,-49,-64,-66,-48,-59,-57,-53,-60,-59,-63,-74,-56,-67,-69,-200,-77,-61,-63,-67,-61,-64,-200,-200,-77,-71,-59,-37,-81,-57,-200,-68,-65,-76,-74,-200,-77,-86,-82,-200,-200,-200,-200,-200,-200,-75,-79,-51,-63,-59,-69,-74,-81,-200,-200,-200,-200,-65,-64,-69,-200,-200,-74,-200,-200,-84,-79,-200,-200,-200,-200,-200,-200,-80,-200,-83,-88,-84,-88,-200,-200,-200,-200,-200,-200
