,WHU-2018,D-Link_DIR-823Pro,whu2011309,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,whu2011314,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz
,0c:73:eb:d0:76:38,74:da:da:c1:3b:cd,c0:61:18:93:3e:54,0c:73:eb:d0:76:30,0c:73:eb:d0:19:98,74:da:da:c0:d7:c5,74:da:da:c1:3b:c9,74:da:da:c1:3b:69,74:da:da:c1:3c:cd,0c:73:eb:d0:0e:b0,0c:73:eb:d0:19:88,74:da:da:c1:3b:ce,74:da:da:c0:d7:c6,74:da:da:98:8f:30,74:da:da:98:ea:5c,0c:73:eb:d0:76:48,74:da:da:c1:3b:6a,74:da:da:98:8f:3c,74:da:da:c0:d7:b9,0c:73:eb:d0:19:b8,74:da:da:c1:3b:65,74:da:da:98:91:d4,74:da:da:98:ea:5d,0c:73:eb:d0:0e:d8,74:da:da:c1:3d:0d,0c:73:eb:d0:76:50,c0:61:18:93:35:28,0c:73:eb:d0:19:a0,0c:73:eb:d0:7f:10,74:da:da:c0:f3:01,74:da:da:c1:3b:ca,74:da:da:98:8f:3d,0c:73:eb:d0:13:a8,74:da:da:c1:3c:ce,0c:73:eb:d0:11:e0,0c:73:eb:d0:2a:18,74:da:da:98:8f:31,74:da:da:c1:3c:55,0c:73:eb:d0:7f:18,74:da:da:c1:3b:66,74:da:da:c1:3d:35,0c:73:eb:d0:0e:90,74:da:da:c0:f3:05,74:da:da:c1:3d:05,74:da:da:c1:3c:4d,0c:73:eb:d0:13:a0,74:da:da:98:ea:50,74:da:da:c1:3a:81,0c:73:eb:d0:76:28,74:da:da:98:ea:51,74:da:da:c1:3b:79,0c:73:eb:d0:7a:68,74:da:da:c1:3c:4e,0c:73:eb:d0:7c:38,74:da:da:c1:3c:8d,74:da:da:c0:d7:e9,0c:73:eb:d0:7c:08,0c:73:eb:d0:19:a8,0c:73:eb:d0:7f:08,74:da:da:c1:3d:85,74:da:da:c1:17:75,0c:73:eb:d0:19:90,74:da:da:c0:d7:19,74:da:da:c1:3d:0e,74:da:da:98:8f:34,0c:73:eb:d0:7e:f8,74:da:da:c0:de:2d,0c:73:eb:d0:2a:68,74:da:da:c0:d8:1d,74:da:da:c1:3b:45,74:da:da:c1:48:bd,74:da:da:c0:f6:15,74:da:da:c0:d8:25,74:da:da:98:8f:64,74:da:da:c1:3c:51,0c:73:eb:d0:7e:e0,74:da:da:98:92:14,74:da:da:c1:56:a1,74:da:da:98:85:00,74:da:da:98:66:cc,74:da:da:c1:3d:09,74:da:da:c1:3c:11,74:da:da:c0:d7:81,74:da:da:c0:e0:69,0c:73:eb:d0:76:58,74:da:da:c1:3b:85,0c:73:eb:d0:11:f8,74:da:da:98:8f:35,74:da:da:c1:3d:06
1526460157000,-23,-35,-42,-43,-44,-45,-45,-46,-46,-48,-50,-50,-50,-50,-54,-55,-56,-58,-58,-62,-62,-63,-66,-67,-67,-67,-68,-68,-68,-68,-70,-71,-71,-75,-75,-75,-76,-76,-76,-77,-77,-78,-78,-79,-82,-83,-83,-85,-85,-86,-88,-89,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460160045,-23,-33,-34,-45,-62,-42,-45,-49,-46,-51,-70,-48,-79,-50,-42,-61,-62,-49,-57,-64,-44,-200,-65,-67,-57,-67,-63,-68,-69,-58,-79,-74,-71,-71,-70,-64,-74,-77,-200,-79,-200,-200,-200,-74,-65,-83,-200,-200,-84,-86,-88,-200,-74,-91,-63,-73,-77,-83,-83,-83,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460163049,-22,-22,-34,-46,-53,-65,-47,-41,-44,-57,-48,-48,-75,-71,-47,-73,-52,-65,-72,-68,-44,-67,-66,-61,-58,-200,-64,-57,-69,-67,-72,-80,-71,-75,-69,-78,-83,-77,-200,-81,-200,-77,-200,-74,-68,-200,-200,-200,-84,-84,-200,-82,-74,-200,-57,-73,-77,-86,-83,-83,-84,-76,-80,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460166054,-23,-39,-40,-44,-47,-43,-50,-43,-44,-57,-47,-50,-78,-62,-46,-70,-55,-53,-62,-66,-44,-64,-63,-61,-58,-200,-58,-58,-66,-61,-69,-82,-71,-47,-70,-70,-74,-77,-72,-80,-200,-77,-200,-60,-72,-200,-55,-200,-84,-84,-200,-82,-87,-70,-62,-73,-80,-86,-83,-83,-84,-76,-80,-91,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460169058,-21,-38,-42,-46,-47,-40,-62,-42,-51,-200,-53,-48,-76,-64,-47,-67,-54,-57,-62,-65,-200,-70,-63,-71,-58,-200,-58,-59,-74,-57,-77,-82,-200,-71,-70,-70,-78,-200,-77,-80,-200,-80,-200,-56,-72,-200,-55,-200,-200,-86,-200,-200,-88,-70,-62,-78,-77,-200,-87,-200,-200,-200,-200,-200,-80,-76,-79,-80,-87,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460172065,-26,-40,-38,-44,-47,-43,-56,-37,-49,-53,-52,-46,-75,-54,-44,-65,-54,-57,-57,-65,-52,-72,-63,-72,-66,-200,-63,-56,-73,-60,-74,-82,-200,-76,-200,-200,-63,-200,-77,-200,-200,-75,-200,-56,-200,-200,-200,-200,-200,-85,-200,-200,-81,-200,-200,-78,-81,-200,-87,-83,-200,-200,-200,-200,-200,-76,-79,-80,-87,-89,-68,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460175107,-22,-45,-38,-44,-46,-42,-56,-39,-51,-57,-55,-46,-76,-57,-42,-65,-54,-58,-65,-63,-50,-72,-63,-65,-66,-200,-61,-63,-73,-58,-74,-82,-200,-72,-200,-72,-81,-200,-77,-200,-200,-75,-200,-56,-200,-200,-200,-200,-84,-84,-200,-200,-83,-200,-63,-78,-81,-200,-87,-83,-200,-200,-200,-200,-200,-76,-79,-80,-87,-89,-68,-83,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460178120,-15,-43,-37,-44,-47,-46,-54,-38,-49,-58,-52,-45,-79,-53,-42,-69,-54,-58,-56,-63,-52,-200,-64,-63,-200,-200,-63,-56,-65,-57,-75,-79,-200,-77,-200,-72,-75,-200,-200,-87,-200,-88,-200,-61,-75,-200,-200,-200,-84,-85,-200,-200,-79,-200,-69,-73,-78,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-68,-200,-77,-63,-80,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460181173,-29,-40,-37,-44,-47,-38,-54,-36,-49,-50,-52,-47,-80,-51,-48,-67,-55,-59,-65,-68,-52,-73,-63,-80,-200,-200,-64,-70,-68,-52,-76,-78,-200,-76,-200,-70,-76,-200,-80,-87,-200,-82,-77,-60,-75,-200,-200,-200,-84,-85,-200,-200,-79,-78,-71,-73,-76,-200,-200,-200,-200,-200,-82,-200,-76,-73,-200,-200,-200,-200,-68,-200,-77,-60,-80,-82,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460184186,-29,-38,-40,-41,-47,-38,-50,-38,-44,-58,-75,-50,-51,-51,-48,-67,-56,-59,-56,-68,-50,-69,-63,-58,-66,-200,-66,-59,-63,-52,-75,-78,-200,-74,-200,-77,-77,-200,-80,-84,-200,-80,-77,-60,-200,-200,-52,-86,-200,-82,-200,-200,-80,-76,-71,-200,-74,-200,-200,-77,-200,-200,-82,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-60,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460187191,-27,-40,-37,-43,-49,-57,-53,-39,-47,-56,-47,-51,-75,-51,-45,-62,-58,-59,-56,-68,-50,-69,-62,-62,-68,-200,-67,-77,-70,-63,-81,-78,-200,-78,-71,-66,-62,-81,-76,-84,-200,-80,-77,-58,-88,-200,-52,-86,-200,-84,-200,-200,-85,-76,-71,-200,-74,-200,-80,-77,-200,-78,-82,-200,-200,-73,-200,-200,-200,-200,-69,-200,-200,-60,-200,-200,-76,-80,-85,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460190229,-28,-37,-36,-41,-48,-55,-51,-41,-47,-57,-51,-50,-74,-55,-48,-62,-60,-200,-67,-63,-45,-200,-64,-71,-69,-200,-64,-77,-71,-68,-77,-200,-200,-78,-57,-71,-81,-85,-76,-85,-200,-84,-200,-55,-88,-200,-59,-200,-200,-84,-200,-200,-82,-200,-63,-200,-200,-84,-80,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-80,-85,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460193239,-29,-39,-87,-43,-50,-55,-52,-42,-47,-52,-48,-51,-52,-55,-42,-61,-60,-56,-58,-67,-67,-75,-63,-64,-69,-71,-65,-58,-69,-65,-74,-83,-200,-79,-57,-74,-78,-84,-76,-85,-200,-81,-200,-72,-69,-200,-59,-200,-200,-89,-200,-200,-84,-200,-62,-75,-200,-84,-80,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-80,-85,-93,-68,-83,-200,-200,-200,-200,-200,-200,-200
