,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,whu2011314,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,WHU-2018,D-Link_DIR-823Pro
,0c:73:eb:d0:76:38,74:da:da:c1:3b:cd,74:da:da:c1:3c:cd,0c:73:eb:d0:19:98,74:da:da:c1:3b:69,c0:61:18:93:3e:54,74:da:da:c1:3b:ce,74:da:da:98:8f:3c,74:da:da:98:ea:5c,74:da:da:c1:3b:c9,0c:73:eb:d0:0e:b0,74:da:da:c0:d7:c5,74:da:da:c1:3d:05,74:da:da:c1:3b:6a,74:da:da:98:8f:30,0c:73:eb:d0:76:30,74:da:da:c1:3b:65,0c:73:eb:d0:19:88,0c:73:eb:d0:19:b8,74:da:da:c1:3d:0d,74:da:da:c1:3c:8d,0c:73:eb:d0:0e:d8,c0:61:18:93:35:28,74:da:da:c1:3b:66,0c:73:eb:d0:76:48,74:da:da:98:91:d4,74:da:da:98:ea:5d,0c:73:eb:d0:19:a0,74:da:da:c1:3c:ce,74:da:da:c0:d7:b9,0c:73:eb:d0:76:50,74:da:da:c1:3d:85,0c:73:eb:d0:7f:10,74:da:da:98:ea:50,0c:73:eb:d0:11:e0,74:da:da:98:8f:3d,74:da:da:c0:f3:01,74:da:da:c0:f3:05,74:da:da:c1:3c:4d,0c:73:eb:d0:2a:18,74:da:da:c1:3c:4e,74:da:da:c0:d7:e9,0c:73:eb:d0:7c:38,74:da:da:98:8f:31,74:da:da:c0:d7:c6,74:da:da:c1:48:bd,74:da:da:c1:3b:ca,74:da:da:c1:3a:81,0c:73:eb:d0:19:90,74:da:da:c0:d7:19,74:da:da:c1:3c:55,0c:73:eb:d0:2a:58,0c:73:eb:d0:7e:f8,74:da:da:c1:61:69,0c:73:eb:d0:7f:18,74:da:da:c1:3c:51,74:da:da:98:ea:51,74:da:da:98:8f:35,0c:73:eb:d0:19:a8,0c:73:eb:d0:0e:90,74:da:da:98:8f:64,74:da:da:c1:3d:09,0c:73:eb:d0:13:a8,0c:73:eb:d0:76:58,74:da:da:c0:d8:7d,0c:73:eb:d0:2a:10,74:da:da:c1:3b:79,0c:73:eb:d0:7e:e8,74:da:da:c1:3b:85,74:da:da:c1:17:75,74:da:da:c0:d8:25,0c:73:eb:d0:7f:08,74:da:da:98:92:14,74:da:da:c0:f4:69,0c:73:eb:d0:13:a0,74:da:da:c1:03:61,0c:73:eb:d0:76:20,0c:73:eb:d0:0e:b8,74:da:da:c0:f3:02,74:da:da:c1:3b:45,74:da:da:c1:3c:45,74:da:da:c0:e2:d9,74:da:da:c1:4b:05,74:da:da:c1:56:a1,74:da:da:c0:d7:81,74:da:da:c1:3d:0e,0c:73:eb:d0:7e:e0,74:da:da:c1:3c:f5,74:da:da:c1:3b:49,0c:73:eb:d0:7a:68,74:da:da:98:8f:34,74:da:da:c0:f6:15,74:da:da:98:ea:4c,74:da:da:c1:3d:06,0c:73:eb:d0:2a:68,0c:73:eb:d0:11:f8,74:da:da:c0:d8:05
1526460312625,-34,-39,-41,-43,-44,-47,-48,-49,-50,-51,-53,-53,-54,-55,-55,-56,-56,-59,-59,-62,-65,-65,-66,-66,-66,-67,-68,-68,-69,-69,-71,-71,-71,-71,-72,-73,-73,-73,-75,-76,-76,-76,-77,-78,-79,-79,-79,-79,-80,-80,-82,-88,-88,-89,-90,-90,-91,-91,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460315630,-43,-46,-43,-44,-36,-44,-50,-48,-49,-64,-72,-57,-53,-54,-47,-51,-50,-62,-64,-62,-75,-65,-66,-74,-77,-200,-70,-61,-78,-200,-200,-71,-77,-73,-200,-200,-58,-200,-70,-64,-200,-73,-74,-82,-79,-200,-77,-75,-200,-200,-200,-88,-88,-200,-90,-200,-200,-91,-91,-92,-70,-70,-72,-74,-83,-83,-84,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460318653,-39,-24,-51,-43,-39,-59,-54,-48,-48,-61,-68,-57,-54,-54,-47,-40,-49,-63,-61,-58,-72,-76,-65,-75,-77,-200,-81,-67,-69,-75,-200,-71,-71,-69,-76,-74,-58,-200,-89,-64,-200,-73,-74,-78,-54,-200,-78,-75,-200,-200,-200,-88,-86,-200,-90,-200,-200,-87,-91,-81,-70,-70,-72,-75,-83,-83,-84,-87,-78,-90,-90,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460321657,-39,-35,-49,-89,-41,-44,-51,-52,-48,-61,-66,-58,-56,-55,-56,-40,-51,-51,-61,-56,-72,-61,-67,-70,-71,-200,-73,-67,-70,-75,-200,-200,-77,-70,-76,-74,-200,-200,-89,-67,-85,-200,-200,-82,-78,-200,-81,-200,-200,-200,-200,-200,-86,-200,-82,-200,-200,-87,-200,-85,-200,-200,-200,-75,-200,-200,-200,-200,-78,-90,-76,-93,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460324666,-35,-33,-59,-43,-47,-46,-51,-54,-48,-59,-53,-56,-57,-56,-56,-39,-49,-51,-60,-61,-70,-68,-68,-73,-69,-200,-75,-64,-73,-75,-200,-200,-77,-70,-76,-73,-200,-200,-73,-64,-85,-200,-70,-81,-77,-200,-73,-200,-200,-200,-200,-88,-86,-200,-82,-200,-200,-87,-87,-85,-65,-72,-200,-79,-200,-200,-200,-200,-75,-90,-76,-93,-86,-81,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460327699,-39,-34,-59,-42,-50,-49,-51,-51,-47,-59,-77,-55,-53,-53,-59,-47,-52,-200,-63,-61,-68,-68,-68,-82,-70,-200,-73,-65,-72,-200,-200,-200,-74,-200,-200,-73,-200,-200,-72,-63,-83,-200,-70,-81,-53,-200,-81,-200,-200,-79,-200,-88,-200,-200,-79,-200,-200,-200,-87,-200,-65,-72,-200,-79,-200,-200,-200,-200,-72,-200,-78,-87,-200,-81,-85,-85,-89,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460330711,-39,-34,-61,-41,-46,-46,-51,-52,-50,-200,-59,-55,-56,-54,-57,-47,-50,-55,-58,-67,-71,-65,-71,-80,-70,-200,-76,-60,-73,-200,-200,-83,-74,-200,-200,-79,-70,-200,-72,-62,-83,-200,-200,-84,-75,-200,-81,-200,-200,-79,-86,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-72,-200,-78,-87,-79,-200,-200,-85,-89,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460333716,-40,-20,-50,-41,-43,-47,-49,-54,-49,-55,-57,-200,-55,-52,-59,-41,-51,-55,-58,-67,-71,-65,-70,-76,-200,-200,-70,-72,-71,-200,-200,-83,-200,-71,-71,-77,-70,-200,-72,-64,-85,-200,-200,-77,-72,-200,-83,-200,-200,-200,-86,-200,-86,-200,-92,-200,-200,-200,-88,-200,-67,-200,-200,-73,-90,-200,-200,-200,-200,-200,-77,-200,-79,-200,-200,-200,-200,-200,-200,-82,-84,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460336766,-35,-45,-50,-41,-43,-50,-50,-54,-48,-57,-65,-200,-55,-54,-59,-41,-48,-54,-59,-61,-71,-65,-68,-75,-200,-200,-72,-62,-71,-200,-200,-200,-200,-71,-71,-76,-200,-200,-200,-63,-85,-75,-200,-71,-76,-200,-82,-200,-200,-76,-85,-200,-86,-200,-92,-200,-200,-200,-88,-83,-67,-53,-77,-73,-90,-200,-200,-200,-200,-200,-77,-200,-200,-77,-200,-200,-200,-200,-200,-82,-84,-89,-91,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
