,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,whu2011314,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A10,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:19:88,74:da:da:98:ea:50,74:da:da:c1:3b:c9,0c:73:eb:d0:19:a0,74:da:da:98:ea:5c,74:da:da:98:ea:51,74:da:da:c0:d7:c5,74:da:da:c1:3c:4d,0c:73:eb:d0:19:b8,74:da:da:c1:3c:55,74:da:da:c1:3c:cd,74:da:da:98:85:00,74:da:da:c1:3c:8d,0c:73:eb:d0:76:38,0c:73:eb:d0:76:30,74:da:da:c1:3c:4e,0c:73:eb:d0:19:90,c0:61:18:93:3e:54,74:da:da:c1:3b:69,74:da:da:c0:d7:c6,0c:73:eb:d0:76:28,74:da:da:c1:3b:cd,c0:61:18:93:35:28,0c:73:eb:d0:0e:90,74:da:da:c0:d8:1d,74:da:da:c0:d7:81,0c:73:eb:d0:76:18,74:da:da:98:ea:5d,0c:73:eb:d0:13:a0,74:da:da:c1:3c:45,74:da:da:98:8f:30,74:da:da:c1:3c:56,74:da:da:c1:3b:65,0c:73:eb:d0:19:98,74:da:da:c1:3c:ce,74:da:da:c1:3d:35,0c:73:eb:d0:11:e0,0c:73:eb:d0:7f:10,74:da:da:c1:3c:85,74:da:da:c1:3c:86,74:da:da:c1:3b:ca,74:da:da:c0:d7:9d,0c:73:eb:d0:0e:b0,74:da:da:c1:25:e5,74:da:da:c1:3b:ce,74:da:da:98:ea:4c,74:da:da:c1:3b:6a,74:da:da:c1:3d:0d,74:da:da:c1:3c:11,74:da:da:c1:25:69,74:da:da:98:8f:31,74:da:da:c1:3c:51,74:da:da:98:ea:54,74:da:da:c0:d8:3e,74:da:da:c0:d8:3d,0c:73:eb:d0:76:48,74:da:da:c0:f3:05,0c:73:eb:d0:76:50,0c:73:eb:d0:13:c8,74:da:da:98:8f:3c,0c:73:eb:d0:0e:d8,74:da:da:c0:d7:0d,74:da:da:98:90:94,0c:73:eb:d0:2a:58,0c:73:eb:d0:7f:08,74:da:da:98:85:60,74:da:da:98:8f:34,0c:73:eb:d0:13:b8,74:da:da:c1:3a:dd,74:da:da:c0:d7:01,74:da:da:98:8f:64,74:da:da:98:66:cc,0c:73:eb:d0:7e:f8,50:3a:a0:ea:01:66,74:da:da:c1:3d:85,0c:73:eb:d0:7e:e0,0c:73:eb:d0:76:40,0c:73:eb:d0:76:10,0c:73:eb:d0:2a:10,0c:73:eb:d0:7c:38,74:da:da:98:8f:35,74:da:da:c0:d7:19,74:da:da:c0:e2:d9,74:da:da:c1:56:a1,74:da:da:c1:3b:19,0c:73:eb:d0:0e:98,0c:73:eb:d0:0e:a0,74:da:da:c0:f3:01,0c:73:eb:d0:7a:68,0c:73:eb:d0:7e:e8,74:da:da:98:91:d4,0c:73:eb:d0:13:a8,0c:73:eb:d0:19:80,74:da:da:c1:25:a1,74:da:da:c0:d9:39,74:da:da:98:ea:64
1526456011241,-34,-41,-41,-43,-44,-46,-46,-46,-49,-50,-52,-52,-53,-54,-54,-54,-56,-57,-57,-58,-60,-60,-61,-62,-62,-64,-66,-66,-67,-69,-70,-70,-70,-71,-72,-72,-72,-73,-75,-76,-77,-78,-78,-79,-80,-80,-81,-81,-81,-83,-85,-85,-86,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456014290,-35,-18,-40,-37,-46,-45,-53,-44,-64,-53,-52,-52,-200,-54,-48,-55,-66,-58,-53,-59,-59,-54,-63,-62,-71,-64,-73,-63,-56,-200,-200,-73,-70,-200,-70,-57,-69,-73,-79,-79,-78,-76,-78,-69,-77,-80,-83,-200,-81,-200,-83,-85,-200,-200,-57,-66,-67,-68,-69,-76,-78,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456017328,-37,-37,-39,-34,-45,-47,-53,-46,-88,-50,-52,-48,-200,-50,-51,-56,-66,-59,-54,-60,-65,-53,-59,-62,-75,-200,-73,-64,-75,-200,-58,-47,-67,-77,-74,-57,-69,-69,-79,-75,-79,-76,-81,-69,-79,-200,-83,-200,-200,-200,-56,-200,-200,-200,-57,-66,-67,-66,-81,-76,-78,-86,-79,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456020379,-41,-32,-40,-41,-45,-45,-50,-43,-53,-50,-52,-49,-68,-50,-51,-52,-62,-59,-54,-57,-73,-54,-59,-200,-75,-65,-200,-62,-56,-200,-58,-78,-67,-77,-71,-58,-70,-73,-200,-72,-80,-72,-81,-200,-81,-200,-81,-200,-200,-200,-84,-200,-200,-200,-200,-71,-71,-66,-81,-74,-200,-200,-79,-84,-68,-75,-76,-87,-88,-88,-89,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456023384,-35,-17,-43,-55,-57,-43,-55,-43,-59,-48,-68,-50,-74,-64,-66,-55,-61,-79,-58,-66,-71,-55,-62,-200,-75,-68,-200,-63,-62,-200,-63,-76,-71,-77,-67,-56,-73,-84,-77,-77,-78,-72,-90,-77,-78,-77,-81,-200,-200,-200,-84,-88,-200,-200,-76,-66,-71,-74,-81,-85,-200,-88,-82,-84,-57,-75,-80,-87,-88,-88,-89,-89,-71,-75,-86,-90,-90,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456026436,-38,-33,-43,-36,-41,-44,-53,-43,-57,-50,-46,-48,-74,-54,-47,-45,-56,-79,-57,-67,-62,-55,-61,-63,-71,-62,-200,-45,-65,-74,-60,-71,-71,-200,-71,-58,-65,-73,-81,-77,-68,-200,-90,-82,-83,-77,-67,-87,-200,-200,-84,-88,-200,-200,-76,-66,-200,-74,-76,-85,-72,-88,-82,-200,-57,-200,-73,-200,-200,-200,-200,-89,-71,-75,-86,-90,-90,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456029442,-39,-33,-43,-39,-40,-41,-51,-44,-54,-48,-54,-47,-74,-54,-52,-56,-60,-79,-57,-62,-62,-55,-56,-60,-74,-63,-200,-62,-58,-74,-74,-77,-71,-80,-71,-57,-65,-71,-80,-74,-79,-70,-90,-82,-80,-77,-84,-86,-200,-200,-85,-88,-200,-200,-76,-71,-73,-74,-76,-85,-72,-88,-82,-81,-57,-200,-73,-200,-200,-200,-200,-89,-71,-75,-86,-90,-90,-90,-91,-84,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456032484,-40,-32,-43,-34,-49,-42,-49,-45,-53,-49,-56,-49,-62,-49,-50,-57,-63,-200,-58,-61,-62,-58,-60,-64,-76,-63,-200,-64,-53,-76,-74,-73,-83,-82,-77,-57,-200,-70,-70,-69,-58,-66,-200,-200,-77,-200,-77,-80,-200,-87,-84,-200,-200,-200,-77,-73,-73,-200,-200,-200,-200,-200,-78,-77,-57,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-88,-79,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456035547,-36,-37,-46,-35,-42,-46,-49,-42,-55,-51,-55,-47,-64,-52,-49,-58,-56,-63,-58,-65,-62,-70,-59,-62,-76,-200,-200,-59,-50,-76,-62,-46,-83,-82,-59,-56,-200,-74,-70,-65,-81,-66,-80,-200,-81,-200,-85,-80,-200,-87,-62,-200,-200,-200,-77,-72,-200,-200,-200,-200,-200,-200,-78,-77,-57,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-89,-71,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
