,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,whu2011314,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro
,0c:73:eb:d0:19:a0,74:da:da:c1:3c:55,74:da:da:c1:3c:4d,74:da:da:c1:3c:85,74:da:da:98:ea:50,74:da:da:c0:d7:9d,74:da:da:98:ea:5c,74:da:da:98:ea:51,0c:73:eb:d0:19:90,0c:73:eb:d0:19:88,74:da:da:c1:3c:4e,74:da:da:c1:3b:c9,0c:73:eb:d0:76:28,0c:73:eb:d0:76:10,0c:73:eb:d0:13:a0,0c:73:eb:d0:76:18,c0:61:18:93:35:28,74:da:da:c1:3c:86,0c:73:eb:d0:19:b8,74:da:da:98:90:94,0c:73:eb:d0:0e:a0,74:da:da:c0:d8:3d,74:da:da:c1:3c:cd,74:da:da:c1:3c:45,74:da:da:98:8f:30,74:da:da:c1:3b:19,74:da:da:c0:d7:c5,0c:73:eb:d0:7f:08,74:da:da:c1:3c:56,74:da:da:98:85:60,74:da:da:98:ea:5d,74:da:da:c1:3c:ce,0c:73:eb:d0:13:c8,74:da:da:c0:d8:3e,74:da:da:c0:d7:c6,74:da:da:98:ea:64,0c:73:eb:d0:76:38,74:da:da:c1:3d:35,0c:73:eb:d0:76:48,74:da:da:c1:3b:ca,0c:73:eb:d0:7f:10,74:da:da:c1:3b:1a,74:da:da:c0:d7:19,74:da:da:c0:f3:01,0c:73:eb:d0:76:30,74:da:da:98:ea:54,74:da:da:c0:d7:01,74:da:da:98:8f:34,0c:73:eb:d0:19:c8,0c:73:eb:d0:0e:d8,0c:73:eb:d0:0e:c8,74:da:da:c1:25:d9,74:da:da:98:ea:4c,74:da:da:c1:3b:6a,0c:73:eb:d0:7c:40,74:da:da:c1:3b:cd,74:da:da:c1:3b:69,0c:73:eb:d0:13:b8,74:da:da:c1:3c:11,74:da:da:c0:d8:1d,0c:73:eb:d0:76:50,74:da:da:c0:d7:81,c0:61:18:93:3e:54,74:da:da:c1:4a:85,0c:73:eb:d0:0e:90,74:da:da:c1:3c:8d,74:da:da:98:85:00,74:da:da:c1:3b:65,0c:73:eb:d0:2a:50,74:da:da:98:85:1c,74:da:da:c1:25:e5,74:da:da:98:8f:31,74:da:da:c1:3c:12,50:3a:a0:ea:01:66,0c:73:eb:d0:11:e0,74:da:da:c1:3d:85,74:da:da:c0:f4:69,74:da:da:98:8f:3c,0c:73:eb:d0:19:98,0c:73:eb:d0:2a:90,74:da:da:c1:56:a1,74:da:da:98:66:cc,74:da:da:98:90:2c,74:da:da:c0:d7:9e,74:da:da:c0:d7:dd
1526456459359,-33,-37,-43,-45,-47,-47,-51,-53,-54,-54,-55,-57,-59,-60,-61,-61,-62,-63,-63,-63,-64,-65,-65,-66,-66,-67,-68,-69,-70,-71,-72,-72,-73,-75,-76,-77,-79,-79,-80,-82,-83,-83,-86,-87,-89,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456462389,-38,-39,-47,-55,-52,-44,-47,-61,-36,-54,-63,-67,-59,-82,-73,-61,-64,-66,-65,-200,-64,-65,-59,-56,-51,-68,-67,-200,-67,-71,-71,-200,-64,-77,-86,-77,-79,-200,-80,-82,-79,-200,-200,-200,-89,-200,-64,-76,-77,-78,-79,-83,-83,-85,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456465396,-37,-58,-36,-50,-49,-53,-46,-64,-38,-200,-60,-58,-46,-58,-62,-68,-74,-66,-65,-200,-71,-74,-57,-67,-51,-68,-65,-200,-65,-200,-65,-81,-62,-77,-81,-200,-62,-75,-66,-200,-79,-200,-200,-200,-200,-200,-74,-76,-77,-78,-79,-83,-83,-85,-91,-62,-70,-72,-73,-73,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456468408,-36,-40,-39,-48,-63,-47,-44,-61,-48,-71,-55,-58,-46,-58,-67,-68,-83,-67,-72,-200,-85,-74,-55,-62,-51,-68,-80,-71,-67,-74,-67,-84,-60,-74,-81,-200,-62,-75,-67,-86,-79,-200,-200,-200,-67,-200,-74,-76,-77,-78,-79,-83,-83,-85,-91,-65,-82,-72,-73,-69,-80,-73,-79,-79,-84,-84,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456471457,-33,-43,-37,-49,-45,-45,-50,-56,-48,-68,-58,-200,-200,-200,-61,-65,-83,-69,-64,-200,-85,-70,-55,-66,-64,-200,-66,-71,-65,-74,-68,-84,-56,-74,-78,-200,-63,-200,-67,-86,-82,-200,-200,-200,-67,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-65,-82,-74,-77,-69,-74,-73,-77,-79,-84,-84,-88,-90,-79,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456474464,-65,-46,-36,-51,-47,-43,-47,-58,-41,-61,-60,-200,-200,-200,-62,-66,-64,-71,-75,-72,-85,-70,-59,-65,-64,-200,-73,-69,-65,-74,-72,-82,-56,-74,-79,-200,-62,-200,-75,-86,-82,-200,-200,-200,-67,-200,-66,-200,-200,-200,-200,-200,-84,-200,-200,-59,-82,-74,-77,-69,-73,-73,-77,-79,-84,-71,-88,-90,-79,-82,-82,-87,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456477507,-28,-40,-44,-51,-47,-46,-51,-63,-42,-51,-57,-200,-56,-61,-62,-61,-63,-67,-67,-65,-200,-64,-67,-64,-200,-76,-73,-69,-67,-74,-71,-82,-200,-74,-82,-73,-62,-200,-75,-81,-200,-200,-200,-200,-67,-200,-75,-200,-200,-82,-200,-200,-87,-200,-200,-62,-200,-200,-200,-80,-73,-200,-200,-200,-200,-51,-200,-200,-200,-200,-82,-87,-89,-72,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456480560,-30,-35,-38,-46,-50,-43,-58,-58,-41,-51,-54,-64,-45,-59,-62,-88,-59,-67,-67,-66,-67,-64,-67,-80,-67,-76,-66,-69,-69,-75,-69,-81,-66,-74,-81,-73,-69,-74,-75,-81,-200,-200,-200,-200,-67,-200,-75,-200,-200,-82,-200,-200,-87,-200,-200,-65,-200,-200,-200,-80,-71,-200,-72,-200,-200,-51,-200,-200,-200,-82,-82,-85,-89,-72,-82,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456483569,-30,-24,-42,-55,-51,-44,-55,-67,-41,-59,-54,-64,-50,-57,-200,-65,-59,-65,-200,-83,-67,-65,-80,-72,-68,-200,-69,-200,-69,-71,-71,-81,-66,-72,-80,-90,-69,-78,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-78,-200,-200,-87,-200,-87,-200,-77,-66,-200,-72,-200,-71,-200,-72,-200,-200,-200,-200,-200,-200,-78,-84,-88,-200,-200,-200,-85,-89,-92,-200,-200,-200,-200,-200,-200,-200
