,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,whu2011314,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
,74:da:da:c1:3c:55,0c:73:eb:d0:76:18,74:da:da:c1:3c:85,0c:73:eb:d0:19:90,0c:73:eb:d0:76:10,74:da:da:98:ea:5c,74:da:da:98:90:94,74:da:da:c1:3c:11,74:da:da:98:8f:30,74:da:da:c1:3c:45,74:da:da:c1:3c:56,74:da:da:98:ea:50,74:da:da:c1:3c:4d,0c:73:eb:d0:76:30,74:da:da:98:ea:5d,0c:73:eb:d0:2a:50,0c:73:eb:d0:13:b0,50:3a:a0:ea:01:66,0c:73:eb:d0:13:c8,74:da:da:c1:3c:46,74:da:da:98:8f:34,0c:73:eb:d0:76:28,74:da:da:c1:3c:86,0c:73:eb:d0:19:b8,74:da:da:98:90:2c,74:da:da:c0:d8:3d,74:da:da:c1:3c:12,74:da:da:c0:d8:1d,0c:73:eb:d0:19:80,74:da:da:c1:3b:19,0c:73:eb:d0:19:c8,0c:73:eb:d0:19:c0,0c:73:eb:d0:11:e0,74:da:da:c1:3c:4e,74:da:da:98:ea:51,74:da:da:98:85:1c,0c:73:eb:d0:13:a0,74:da:da:c1:3c:cd,0c:73:eb:d0:7f:08,74:da:da:98:90:95,0c:73:eb:d0:19:a0,0c:73:eb:d0:76:50,74:da:da:98:8f:31,74:da:da:c0:d8:3e,74:da:da:c0:d7:c6,74:da:da:98:ea:64,0c:73:eb:d0:19:88,74:da:da:98:66:cc,74:da:da:c0:d7:9d,0c:73:eb:d0:76:38,0c:73:eb:d0:13:b8,74:da:da:c1:56:a1,74:da:da:98:8f:3c,c0:61:18:93:3e:54,74:da:da:98:85:4c,74:da:da:c1:3b:cd,0c:73:eb:d0:11:c0,74:da:da:c0:d7:81,74:da:da:c1:4a:69,0c:73:eb:d0:2a:90,0c:73:eb:d0:11:c8,74:da:da:98:90:2d,74:da:da:98:8f:64,74:da:da:c1:3c:ce,74:da:da:c1:3b:ca,74:da:da:c1:3b:c9,74:da:da:98:85:60,0c:73:eb:d0:0e:c8,0c:73:eb:d0:13:90,74:da:da:c0:d7:11,74:da:da:c0:d7:01,0c:73:eb:d0:0e:d8,74:da:da:98:66:cd,74:da:da:c1:3c:8d,0c:73:eb:d0:7e:f8,c0:61:18:93:35:28,74:da:da:98:ea:4d,74:da:da:c1:3d:2d,0c:73:eb:d0:7f:00,74:da:da:c0:d6:f5,0c:73:eb:d0:76:48,74:da:da:98:74:34,0c:73:eb:d0:7c:28,74:da:da:c1:3b:29,74:da:da:98:74:74,74:da:da:c1:25:d9,74:da:da:c0:d9:39,74:da:da:c1:3d:35,74:da:da:c1:25:e5,74:da:da:c0:d7:c5,74:da:da:c1:3b:69,74:da:da:98:74:80,74:da:da:98:ea:54,0c:73:eb:d0:7f:10,74:da:da:c1:3b:4d,74:da:da:c1:03:21,0c:73:eb:d0:0e:90
1526458367548,-31,-35,-35,-39,-43,-47,-51,-52,-52,-53,-55,-55,-56,-60,-62,-62,-64,-64,-65,-65,-65,-66,-68,-70,-71,-71,-72,-73,-73,-73,-74,-75,-75,-76,-76,-76,-76,-77,-77,-79,-80,-82,-82,-85,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458370564,-36,-42,-47,-20,-59,-61,-47,-57,-52,-43,-56,-68,-49,-58,-56,-62,-64,-57,-52,-76,-200,-62,-68,-79,-60,-200,-79,-200,-200,-200,-74,-75,-75,-72,-69,-200,-76,-76,-77,-200,-56,-82,-68,-85,-87,-48,-61,-63,-68,-69,-72,-79,-82,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458373613,-48,-42,-48,-21,-52,-75,-48,-57,-65,-47,-56,-68,-48,-58,-78,-61,-64,-61,-72,-76,-200,-68,-68,-79,-63,-200,-78,-80,-200,-200,-61,-200,-200,-70,-80,-200,-200,-78,-200,-79,-56,-200,-56,-200,-200,-72,-61,-59,-71,-69,-72,-79,-82,-86,-67,-78,-82,-82,-82,-83,-86,-86,-87,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458376620,-36,-42,-46,-20,-50,-75,-47,-60,-75,-45,-56,-200,-49,-70,-72,-61,-71,-54,-86,-76,-200,-67,-67,-200,-63,-75,-78,-80,-200,-200,-64,-200,-200,-72,-79,-71,-200,-78,-200,-78,-58,-200,-68,-81,-200,-72,-200,-57,-69,-200,-200,-79,-200,-200,-65,-75,-82,-82,-82,-83,-86,-86,-87,-88,-89,-70,-76,-79,-80,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458379624,-36,-41,-48,-20,-67,-58,-42,-57,-75,-44,-56,-200,-49,-70,-77,-68,-66,-57,-59,-75,-200,-68,-68,-200,-66,-73,-77,-80,-80,-200,-63,-200,-200,-72,-79,-71,-200,-78,-200,-79,-59,-200,-69,-81,-200,-78,-66,-56,-69,-74,-200,-79,-200,-200,-74,-75,-79,-83,-82,-83,-86,-86,-87,-88,-89,-69,-76,-79,-79,-87,-68,-74,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458382694,-36,-43,-48,-20,-54,-63,-45,-57,-78,-46,-56,-67,-64,-200,-72,-68,-69,-57,-52,-76,-200,-68,-68,-200,-66,-73,-72,-79,-80,-200,-62,-200,-200,-72,-80,-200,-200,-200,-75,-79,-64,-200,-69,-200,-200,-78,-65,-56,-200,-75,-200,-200,-200,-200,-67,-200,-79,-83,-90,-200,-200,-200,-200,-89,-200,-69,-76,-200,-79,-200,-68,-74,-85,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458385706,-34,-42,-48,-21,-87,-56,-45,-57,-78,-46,-56,-69,-48,-71,-77,-62,-71,-59,-61,-76,-200,-82,-67,-200,-65,-200,-78,-79,-200,-200,-62,-200,-200,-72,-80,-73,-200,-77,-74,-79,-58,-200,-69,-200,-200,-58,-65,-59,-69,-75,-70,-200,-200,-87,-67,-76,-200,-200,-82,-83,-200,-200,-200,-89,-90,-71,-77,-200,-83,-200,-64,-200,-200,-87,-84,-85,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458388756,-36,-44,-49,-31,-77,-61,-46,-57,-65,-45,-56,-74,-53,-71,-78,-68,-61,-58,-55,-68,-200,-64,-68,-200,-63,-72,-78,-80,-200,-200,-62,-200,-200,-70,-81,-73,-200,-77,-74,-72,-59,-200,-69,-80,-200,-73,-62,-62,-62,-75,-70,-200,-200,-87,-68,-76,-200,-89,-82,-83,-200,-200,-200,-89,-90,-71,-77,-73,-83,-200,-71,-200,-86,-87,-84,-85,-88,-87,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458391812,-37,-41,-45,-21,-49,-61,-47,-57,-63,-46,-56,-74,-47,-200,-78,-61,-61,-55,-53,-76,-200,-65,-68,-200,-63,-73,-70,-80,-200,-200,-66,-200,-200,-72,-69,-200,-78,-76,-200,-80,-61,-200,-69,-81,-200,-73,-62,-56,-62,-200,-200,-79,-200,-200,-68,-200,-200,-89,-200,-200,-200,-200,-200,-200,-88,-67,-200,-73,-83,-200,-71,-200,-86,-200,-200,-200,-200,-87,-88,-75,-85,-87,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458394827,-37,-42,-47,-21,-49,-57,-48,-58,-63,-46,-56,-68,-48,-70,-78,-69,-66,-64,-70,-76,-200,-72,-68,-200,-63,-73,-70,-78,-200,-200,-61,-200,-200,-72,-80,-200,-79,-76,-72,-79,-62,-200,-69,-81,-200,-50,-60,-58,-68,-200,-200,-79,-200,-200,-68,-74,-200,-89,-200,-80,-200,-200,-200,-200,-89,-67,-200,-73,-80,-200,-70,-200,-86,-200,-200,-82,-200,-87,-88,-75,-85,-87,-89,-87,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458397864,-32,-44,-47,-22,-55,-61,-49,-58,-200,-48,-55,-67,-83,-61,-78,-68,-70,-55,-53,-76,-200,-63,-68,-200,-63,-68,-78,-200,-79,-200,-68,-200,-200,-72,-78,-72,-80,-200,-200,-55,-60,-200,-68,-81,-200,-57,-60,-60,-63,-71,-200,-200,-200,-200,-67,-200,-74,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-70,-200,-86,-200,-200,-83,-89,-200,-200,-73,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458400930,-33,-43,-44,-21,-49,-58,-48,-54,-200,-47,-55,-67,-49,-61,-78,-61,-66,-55,-53,-77,-200,-63,-68,-200,-62,-68,-78,-200,-79,-200,-68,-81,-200,-71,-80,-72,-80,-200,-200,-79,-59,-200,-69,-81,-200,-57,-61,-60,-61,-71,-200,-200,-200,-200,-71,-75,-74,-200,-83,-79,-200,-200,-200,-89,-89,-200,-200,-72,-82,-200,-67,-200,-86,-200,-200,-83,-89,-200,-200,-73,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458403993,-35,-49,-46,-30,-51,-62,-48,-55,-66,-48,-55,-67,-49,-65,-76,-68,-66,-59,-59,-76,-200,-63,-68,-200,-62,-68,-78,-200,-79,-200,-67,-81,-200,-72,-80,-72,-80,-200,-200,-80,-59,-200,-69,-81,-200,-55,-62,-63,-61,-71,-200,-80,-200,-200,-68,-75,-74,-200,-83,-79,-200,-200,-200,-89,-89,-200,-200,-72,-82,-200,-67,-200,-86,-200,-200,-83,-89,-200,-200,-73,-200,-200,-200,-200,-200,-88,-86,-86,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526458407032,-35,-42,-47,-28,-53,-62,-42,-69,-66,-46,-54,-67,-45,-61,-78,-68,-66,-54,-53,-76,-200,-63,-68,-200,-63,-58,-78,-91,-200,-200,-61,-200,-200,-67,-80,-200,-200,-200,-81,-78,-62,-84,-68,-81,-200,-58,-59,-58,-68,-69,-200,-80,-200,-200,-68,-200,-74,-82,-200,-78,-200,-200,-200,-89,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-86,-86,-90,-200,-200,-200,-200,-200,-200,-200,-200
