,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,0c:73:eb:d0:13:b0,74:da:da:98:66:cc,74:da:da:98:90:2c,0c:73:eb:d0:19:80,74:da:da:98:90:2d,74:da:da:98:66:cd,74:da:da:c1:3c:11,0c:73:eb:d0:13:98,0c:73:eb:d0:76:18,74:da:da:98:74:74,0c:73:eb:d0:13:c8,74:da:da:98:90:94,74:da:da:c1:3c:45,74:da:da:c0:d6:f5,74:da:da:c1:3c:85,74:da:da:c0:d9:39,74:da:da:c0:d6:ed,0c:73:eb:d0:19:90,74:da:da:c1:3c:55,0c:73:eb:d0:19:c0,74:da:da:c0:d7:11,0c:73:eb:d0:19:c8,74:da:da:c1:3d:2d,74:da:da:98:74:80,74:da:da:98:74:34,74:da:da:c1:3c:12,74:da:da:c1:3c:46,74:da:da:98:90:95,0c:73:eb:d0:7e:d0,74:da:da:c1:02:91,0c:73:eb:d0:11:c8,74:da:da:c1:3c:4d,74:da:da:c1:3c:86,74:da:da:c0:e0:6d,0c:73:eb:d0:0e:a8,74:da:da:c1:3c:56,74:da:da:98:ea:64,74:da:da:c1:03:2d,74:da:da:c0:f6:15,74:da:da:c1:3b:29,74:da:da:c1:03:1d,74:da:da:98:ea:54,74:da:da:c0:f3:59,0c:73:eb:d0:13:90,74:da:da:c1:4a:69
1526459834975,-26,-36,-39,-49,-50,-50,-51,-51,-53,-56,-57,-57,-58,-59,-61,-63,-66,-71,-71,-72,-72,-73,-74,-77,-77,-78,-78,-79,-79,-82,-84,-84,-86,-89,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459837991,-34,-35,-35,-56,-58,-50,-53,-50,-59,-56,-57,-57,-63,-67,-57,-67,-69,-71,-71,-73,-72,-73,-70,-70,-77,-79,-84,-83,-79,-200,-200,-84,-87,-89,-90,-200,-82,-86,-200,-200,-200,-200,-200,-200,-200
1526459841013,-34,-35,-35,-56,-58,-50,-53,-50,-59,-56,-57,-57,-63,-67,-57,-67,-69,-71,-71,-73,-72,-73,-70,-70,-77,-79,-84,-83,-79,-200,-200,-200,-87,-89,-200,-200,-82,-86,-200,-200,-200,-200,-200,-200,-200
1526459844038,-33,-39,-35,-54,-61,-46,-53,-50,-59,-56,-58,-57,-65,-67,-57,-71,-65,-71,-73,-77,-72,-73,-68,-71,-80,-75,-80,-83,-79,-76,-200,-200,-80,-89,-200,-200,-82,-86,-200,-200,-200,-200,-200,-200,-200
1526459847056,-33,-39,-35,-54,-61,-46,-53,-50,-59,-56,-58,-57,-65,-67,-57,-71,-65,-71,-73,-77,-72,-73,-68,-71,-80,-75,-80,-83,-79,-76,-200,-200,-80,-89,-200,-200,-82,-86,-200,-200,-200,-200,-200,-200,-200
1526459850066,-36,-35,-35,-51,-61,-45,-53,-48,-59,-56,-58,-57,-65,-67,-57,-62,-60,-71,-74,-75,-79,-73,-76,-67,-78,-77,-87,-83,-74,-76,-200,-200,-80,-87,-200,-200,-82,-86,-200,-200,-200,-200,-200,-200,-200
1526459853093,-36,-35,-35,-51,-61,-45,-53,-48,-59,-56,-58,-57,-65,-67,-57,-62,-60,-71,-74,-75,-79,-73,-76,-67,-78,-77,-87,-83,-74,-76,-200,-200,-80,-87,-200,-200,-82,-86,-200,-200,-200,-200,-200,-200,-200
1526459856118,-36,-32,-36,-51,-61,-44,-53,-48,-59,-56,-61,-59,-64,-67,-57,-60,-58,-71,-74,-74,-79,-73,-73,-67,-82,-77,-88,-83,-74,-76,-200,-200,-80,-87,-200,-200,-82,-86,-88,-92,-200,-200,-200,-200,-200
1526459859141,-36,-32,-36,-51,-61,-44,-53,-48,-59,-56,-61,-59,-64,-67,-57,-60,-58,-71,-74,-74,-79,-73,-73,-67,-82,-77,-88,-83,-74,-76,-200,-200,-80,-87,-200,-200,-82,-86,-88,-92,-200,-200,-200,-200,-200
1526459862163,-35,-34,-36,-51,-59,-47,-46,-49,-59,-56,-65,-59,-64,-67,-57,-63,-55,-200,-74,-78,-79,-73,-73,-67,-80,-72,-84,-83,-75,-76,-200,-200,-81,-87,-200,-200,-82,-86,-88,-92,-200,-200,-200,-200,-200
1526459865173,-35,-34,-36,-51,-59,-47,-46,-49,-59,-56,-65,-59,-64,-67,-57,-63,-55,-200,-74,-78,-79,-73,-73,-67,-80,-72,-84,-83,-75,-76,-200,-200,-81,-87,-200,-200,-82,-86,-88,-92,-200,-200,-200,-200,-200
1526459868186,-36,-34,-34,-51,-59,-48,-55,-49,-200,-54,-65,-59,-66,-67,-200,-61,-65,-69,-74,-70,-76,-73,-64,-70,-76,-72,-85,-87,-78,-76,-200,-200,-85,-87,-200,-200,-82,-200,-88,-92,-200,-200,-200,-200,-200
1526459871212,-36,-34,-34,-51,-59,-48,-55,-49,-200,-54,-65,-59,-66,-67,-200,-61,-65,-69,-74,-70,-76,-73,-64,-70,-76,-72,-85,-87,-78,-76,-200,-200,-85,-87,-200,-200,-82,-200,-88,-92,-200,-200,-200,-200,-200
1526459874238,-35,-34,-36,-55,-61,-48,-59,-54,-55,-54,-60,-59,-68,-67,-60,-62,-67,-68,-76,-73,-76,-73,-64,-71,-76,-81,-85,-87,-78,-81,-200,-200,-83,-87,-200,-200,-82,-200,-88,-92,-77,-200,-200,-200,-200
1526459877251,-35,-34,-36,-55,-61,-48,-59,-54,-55,-54,-60,-59,-68,-67,-60,-62,-67,-68,-76,-73,-76,-73,-64,-71,-76,-81,-85,-87,-78,-81,-200,-200,-83,-87,-200,-200,-82,-200,-88,-92,-77,-200,-200,-200,-200
1526459880261,-34,-34,-36,-54,-62,-48,-58,-57,-55,-54,-60,-59,-68,-200,-60,-60,-67,-68,-76,-73,-76,-73,-66,-72,-77,-80,-84,-88,-78,-81,-81,-200,-87,-87,-200,-200,-200,-200,-88,-92,-77,-80,-90,-200,-200
1526459883280,-34,-34,-36,-54,-62,-48,-58,-57,-55,-54,-60,-59,-68,-200,-60,-60,-67,-68,-76,-73,-76,-73,-66,-72,-77,-80,-84,-88,-78,-81,-81,-200,-87,-87,-200,-200,-200,-200,-88,-92,-77,-80,-90,-200,-200
1526459886303,-38,-35,-36,-53,-58,-48,-51,-53,-58,-57,-61,-200,-68,-200,-60,-64,-60,-66,-75,-71,-76,-200,-66,-75,-73,-74,-84,-88,-79,-81,-81,-200,-88,-87,-200,-200,-200,-200,-200,-200,-77,-80,-90,-86,-88
1526459889328,-38,-35,-36,-53,-58,-48,-51,-53,-58,-57,-61,-200,-68,-200,-60,-64,-60,-66,-75,-71,-76,-200,-66,-75,-73,-74,-84,-88,-79,-81,-81,-200,-88,-87,-200,-200,-200,-200,-200,-200,-77,-80,-90,-86,-88
1526459892341,-37,-35,-36,-52,-58,-48,-51,-53,-56,-57,-61,-200,-67,-200,-60,-65,-60,-67,-75,-71,-76,-200,-66,-73,-77,-74,-84,-86,-80,-81,-81,-200,-86,-200,-200,-200,-200,-200,-200,-200,-82,-80,-90,-86,-88
1526459895364,-37,-35,-36,-52,-58,-48,-51,-53,-56,-57,-61,-200,-67,-200,-60,-65,-60,-67,-75,-71,-76,-200,-66,-73,-77,-74,-84,-86,-80,-81,-81,-200,-86,-200,-200,-200,-200,-200,-200,-200,-82,-80,-90,-86,-88
