,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,whu2011314,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,DLINK_D02A60,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,0c:73:eb:d0:76:30,74:da:da:98:ea:5c,74:da:da:98:8f:30,74:da:da:c1:3b:c9,74:da:da:c1:3b:cd,0c:73:eb:d0:19:b8,74:da:da:c1:3c:cd,74:da:da:98:8f:3c,0c:73:eb:d0:19:98,0c:73:eb:d0:76:48,74:da:da:c1:3b:65,0c:73:eb:d0:76:38,74:da:da:98:8f:34,0c:73:eb:d0:7c:38,74:da:da:c1:3c:8d,74:da:da:c0:d7:e9,0c:73:eb:d0:19:88,0c:73:eb:d0:76:58,c0:61:18:93:35:28,74:da:da:c1:3c:55,0c:73:eb:d0:19:a8,0c:73:eb:d0:2a:18,74:da:da:98:8f:31,0c:73:eb:d0:19:90,74:da:da:c1:3d:0d,0c:73:eb:d0:7f:10,0c:73:eb:d0:2a:58,74:da:da:98:8f:3d,0c:73:eb:d0:13:a8,0c:73:eb:d0:0e:d8,74:da:da:98:ea:4c,74:da:da:c0:d8:05,0c:73:eb:d0:76:40,74:da:da:c0:d7:dd,74:da:da:98:ea:5d,74:da:da:c1:3b:4d,0c:73:eb:d0:19:a0,0c:73:eb:d0:0e:c0,0c:73:eb:d0:2a:60,c0:61:18:93:3e:54,74:da:da:98:90:94,74:da:da:c1:3c:8e,0c:73:eb:d0:7e:e0,0c:73:eb:d0:0e:90,74:da:da:c0:d8:25,74:da:da:98:db:44,74:da:da:98:8f:65,74:da:da:c1:3b:ce,74:da:da:c1:3b:6a,74:da:da:c1:3b:66,74:da:da:c1:3c:ce,74:da:da:98:8f:35,74:da:da:c1:3b:ca,74:da:da:c0:d7:c6,74:da:da:98:ea:4d,74:da:da:c1:61:6a,74:da:da:c1:3b:4e,74:da:da:c1:3b:86,74:da:da:c1:3d:09,74:da:da:c1:3b:69,74:da:da:c1:3c:86,0c:73:eb:d0:2a:98,74:da:da:c1:3c:45,0c:73:eb:d0:11:e0,74:da:da:c1:3c:4d,74:da:da:c1:3d:85,74:da:da:c0:d7:ed,74:da:da:c1:3c:56,0c:73:eb:d0:13:c8,74:da:da:c0:e0:71,0c:73:eb:d0:76:20,74:da:da:98:85:60,74:da:da:c1:3c:85,74:da:da:c1:56:ed,0c:73:eb:d0:0e:b0,74:da:da:98:ea:64
1526463196904,-39,-40,-44,-46,-47,-47,-47,-47,-48,-48,-49,-52,-52,-53,-53,-53,-55,-55,-56,-57,-58,-58,-59,-59,-59,-61,-62,-63,-63,-63,-63,-63,-63,-64,-65,-65,-66,-66,-66,-67,-67,-69,-70,-72,-73,-74,-79,-80,-80,-80,-81,-82,-83,-84,-86,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463199933,-41,-40,-36,-46,-46,-47,-47,-47,-48,-48,-200,-52,-52,-53,-53,-53,-200,-53,-64,-57,-59,-58,-60,-59,-59,-61,-62,-71,-63,-63,-63,-63,-200,-67,-73,-65,-200,-66,-200,-59,-67,-77,-70,-72,-50,-200,-70,-82,-84,-72,-84,-78,-83,-87,-84,-89,-83,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463202947,-41,-40,-36,-200,-46,-47,-200,-47,-48,-48,-200,-52,-52,-53,-53,-53,-200,-53,-64,-57,-59,-58,-60,-59,-59,-61,-200,-71,-63,-200,-200,-200,-200,-67,-73,-65,-200,-66,-200,-59,-67,-77,-70,-72,-50,-200,-70,-82,-84,-72,-84,-78,-83,-87,-84,-89,-83,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463205971,-40,-37,-30,-200,-49,-63,-200,-54,-54,-60,-46,-60,-48,-53,-50,-50,-200,-53,-64,-60,-59,-58,-63,-59,-59,-61,-200,-75,-63,-200,-200,-200,-200,-67,-78,-60,-200,-66,-200,-59,-67,-77,-70,-72,-50,-200,-70,-84,-84,-72,-87,-77,-83,-87,-84,-89,-83,-89,-62,-62,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463208990,-40,-37,-30,-200,-49,-63,-200,-54,-54,-60,-46,-60,-48,-53,-50,-50,-200,-53,-64,-60,-59,-58,-63,-59,-59,-61,-200,-75,-63,-200,-200,-200,-200,-67,-78,-60,-200,-66,-200,-59,-67,-77,-70,-72,-50,-200,-70,-84,-84,-72,-87,-77,-83,-87,-84,-89,-83,-89,-62,-62,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463212009,-47,-37,-27,-200,-48,-60,-55,-54,-50,-56,-40,-56,-48,-53,-50,-50,-200,-54,-60,-60,-56,-58,-54,-59,-59,-61,-200,-71,-55,-56,-200,-200,-200,-67,-75,-60,-200,-66,-200,-60,-67,-81,-70,-72,-54,-200,-72,-84,-84,-72,-79,-74,-83,-88,-84,-200,-83,-89,-62,-53,-83,-67,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463215022,-47,-37,-27,-200,-48,-60,-55,-54,-50,-56,-40,-56,-48,-53,-50,-50,-200,-54,-60,-60,-56,-200,-54,-59,-200,-200,-200,-71,-55,-56,-200,-200,-200,-67,-75,-60,-200,-66,-200,-60,-200,-81,-200,-72,-54,-200,-72,-84,-84,-72,-79,-74,-83,-88,-84,-200,-83,-89,-62,-53,-83,-67,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463218042,-45,-35,-25,-200,-46,-63,-51,-54,-49,-56,-47,-54,-48,-56,-50,-46,-64,-54,-59,-60,-57,-200,-54,-59,-200,-64,-200,-71,-54,-49,-200,-200,-70,-67,-73,-60,-62,-66,-200,-60,-200,-80,-200,-72,-54,-200,-74,-84,-84,-68,-79,-74,-87,-86,-84,-200,-83,-89,-62,-52,-82,-67,-74,-58,-65,-72,-82,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526463221059,-45,-35,-25,-200,-46,-63,-51,-54,-49,-56,-47,-54,-48,-56,-50,-46,-64,-54,-59,-60,-57,-200,-54,-200,-200,-64,-200,-71,-54,-49,-200,-200,-70,-67,-73,-60,-62,-66,-200,-60,-200,-80,-200,-200,-54,-200,-74,-84,-84,-68,-79,-74,-87,-86,-84,-200,-83,-89,-62,-52,-82,-67,-74,-58,-65,-72,-82,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526463224075,-48,-35,-25,-55,-46,-63,-51,-53,-48,-52,-40,-54,-48,-56,-54,-47,-64,-54,-59,-60,-58,-200,-53,-200,-200,-64,-59,-73,-54,-53,-200,-200,-70,-67,-73,-60,-63,-62,-200,-60,-200,-80,-200,-200,-55,-200,-77,-85,-84,-70,-77,-75,-86,-84,-84,-200,-83,-89,-62,-54,-82,-67,-74,-61,-65,-72,-82,-90,-68,-68,-73,-200,-200,-200,-200,-200
1526463227108,-48,-35,-25,-55,-46,-63,-51,-53,-48,-52,-40,-54,-48,-56,-54,-47,-64,-54,-59,-60,-58,-200,-53,-200,-200,-64,-59,-73,-54,-53,-200,-200,-70,-67,-73,-60,-63,-62,-200,-60,-200,-80,-200,-200,-55,-200,-77,-85,-84,-70,-77,-75,-86,-84,-84,-200,-83,-89,-62,-54,-82,-67,-74,-61,-65,-72,-82,-90,-68,-68,-73,-200,-200,-200,-200,-200
1526463230129,-48,-35,-25,-55,-46,-65,-54,-53,-48,-54,-40,-53,-53,-56,-54,-47,-64,-54,-59,-60,-58,-200,-48,-200,-200,-64,-59,-72,-54,-53,-200,-200,-70,-67,-75,-60,-63,-62,-200,-60,-200,-79,-200,-200,-55,-200,-71,-82,-85,-70,-84,-76,-86,-85,-83,-200,-83,-89,-62,-54,-82,-67,-74,-61,-65,-72,-82,-90,-68,-68,-73,-200,-200,-200,-200,-200
1526463233143,-48,-35,-25,-55,-46,-65,-54,-53,-48,-54,-40,-53,-53,-56,-54,-47,-64,-54,-59,-60,-58,-200,-48,-200,-200,-64,-59,-72,-54,-53,-200,-200,-70,-67,-75,-60,-63,-62,-200,-60,-200,-79,-200,-200,-55,-200,-71,-82,-85,-70,-84,-76,-86,-85,-83,-200,-83,-89,-62,-54,-82,-67,-74,-61,-65,-72,-82,-90,-68,-68,-73,-200,-200,-200,-200,-200
1526463236200,-46,-36,-27,-55,-50,-65,-54,-52,-46,-51,-38,-53,-53,-56,-54,-45,-64,-54,-59,-200,-58,-62,-49,-200,-200,-64,-60,-73,-58,-53,-200,-200,-70,-70,-70,-200,-63,-62,-200,-60,-63,-75,-200,-200,-55,-200,-75,-84,-86,-70,-80,-75,-87,-85,-83,-200,-200,-200,-200,-54,-84,-67,-74,-61,-65,-72,-82,-90,-65,-69,-73,-83,-200,-200,-200,-200
1526463239214,-46,-36,-27,-55,-50,-65,-54,-52,-46,-51,-38,-53,-53,-56,-54,-45,-64,-54,-59,-200,-58,-62,-49,-200,-200,-64,-60,-73,-58,-53,-200,-200,-70,-70,-70,-200,-63,-62,-200,-60,-63,-75,-200,-200,-55,-200,-75,-84,-86,-70,-80,-75,-87,-85,-83,-200,-200,-200,-200,-54,-84,-67,-74,-61,-65,-72,-82,-90,-65,-69,-73,-83,-200,-200,-200,-200
1526463242237,-45,-37,-11,-55,-54,-61,-53,-52,-47,-52,-38,-54,-53,-56,-56,-49,-64,-49,-59,-200,-58,-62,-48,-200,-200,-64,-60,-72,-58,-53,-200,-200,-70,-70,-70,-200,-63,-62,-200,-60,-63,-75,-200,-200,-55,-200,-75,-83,-86,-68,-80,-75,-87,-84,-83,-200,-200,-200,-64,-54,-83,-200,-200,-61,-65,-72,-82,-90,-65,-67,-73,-83,-67,-73,-200,-200
1526463245268,-45,-37,-11,-55,-54,-61,-53,-52,-47,-52,-38,-54,-53,-56,-56,-49,-64,-49,-59,-200,-58,-62,-48,-200,-200,-64,-60,-72,-58,-53,-200,-200,-70,-70,-70,-200,-63,-62,-200,-60,-63,-75,-200,-200,-55,-200,-75,-83,-86,-68,-80,-75,-87,-84,-83,-200,-200,-200,-64,-54,-83,-200,-200,-61,-65,-72,-82,-90,-65,-67,-73,-83,-67,-73,-200,-200
1526463248294,-51,-36,-23,-55,-47,-61,-55,-51,-47,-50,-43,-54,-54,-200,-55,-49,-68,-49,-56,-60,-60,-62,-49,-200,-70,-200,-65,-71,-58,-54,-68,-200,-70,-70,-71,-200,-63,-62,-200,-200,-67,-75,-200,-200,-56,-200,-75,-83,-83,-72,-80,-76,-86,-84,-83,-200,-200,-200,-64,-54,-83,-200,-200,-65,-200,-200,-200,-200,-65,-67,-73,-83,-67,-73,-75,-75
1526463251308,-51,-36,-23,-55,-47,-61,-55,-51,-47,-50,-43,-54,-54,-200,-55,-49,-68,-49,-56,-60,-60,-62,-49,-200,-70,-200,-65,-71,-58,-54,-68,-200,-70,-70,-71,-200,-63,-62,-200,-200,-67,-75,-200,-200,-56,-200,-75,-83,-83,-72,-80,-76,-86,-84,-83,-200,-200,-200,-64,-54,-83,-200,-200,-65,-200,-200,-200,-200,-65,-67,-73,-83,-67,-73,-75,-75
1526463254338,-49,-34,-26,-55,-47,-61,-55,-51,-50,-58,-39,-55,-54,-200,-52,-50,-68,-53,-58,-60,-61,-62,-48,-68,-70,-200,-65,-75,-58,-54,-68,-200,-200,-70,-72,-200,-200,-62,-200,-200,-67,-79,-200,-200,-56,-200,-74,-79,-83,-71,-80,-75,-86,-81,-83,-200,-86,-200,-64,-200,-83,-200,-200,-61,-200,-200,-200,-91,-65,-67,-200,-83,-67,-73,-75,-75
