,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:19:80,74:da:da:c0:d9:39,0c:73:eb:d0:19:c8,74:da:da:c0:d6:f5,74:da:da:c0:d6:ed,0c:73:eb:d0:13:b0,74:da:da:c0:d7:11,74:da:da:98:ea:54,0c:73:eb:d0:19:c0,74:da:da:98:66:cc,74:da:da:c0:d6:ee,74:da:da:c0:d9:3a,74:da:da:98:90:2c,0c:73:eb:d0:0e:c8,0c:73:eb:d0:2a:50,74:da:da:98:ea:64,74:da:da:c0:d7:01,74:da:da:c0:d6:f6,0c:73:eb:d0:76:10,74:da:da:c0:d7:9d,0c:73:eb:d0:76:18,74:da:da:c1:4a:85,74:da:da:c1:3c:11,74:da:da:c0:d7:12,0c:73:eb:d0:13:c8,74:da:da:c1:4a:69,0c:73:eb:d0:76:28,74:da:da:98:ea:55,74:da:da:c1:3c:55,74:da:da:c1:3b:19,74:da:da:98:90:94,74:da:da:c1:3c:45,74:da:da:c1:02:91,0c:73:eb:d0:19:90,74:da:da:c1:3d:2d,74:da:da:98:74:80,74:da:da:c0:d7:02,74:da:da:c0:e0:6d,74:da:da:98:74:74,50:3a:a0:ea:01:66,74:da:da:c1:03:1d,74:da:da:c0:f3:05,74:da:da:c1:3b:29,74:da:da:c0:d8:3d,74:da:da:c1:5e:ed,74:da:da:c1:3c:85,0c:73:eb:d0:2a:90,0c:73:eb:d0:0e:a0,74:da:da:98:91:d4,0c:73:eb:d0:76:50,0c:73:eb:d0:0e:a8,74:da:da:98:ea:65,74:da:da:c0:f3:59,74:da:da:c1:25:d9,74:da:da:c1:25:69,74:da:da:c1:3b:65,74:da:da:c1:4a:6a,0c:73:eb:d0:0e:d8,74:da:da:c1:3c:4d,0c:73:eb:d0:13:a0,74:da:da:c1:03:21,74:da:da:c0:d8:1d,74:da:da:c0:d7:81,0c:73:eb:d0:2a:40,74:da:da:c0:d7:e9,0c:73:eb:d0:7e:d0,74:da:da:c1:25:a1,0c:73:eb:d0:19:a0,74:da:da:c1:25:e5,74:da:da:c1:3c:51,74:da:da:98:74:34,74:da:da:c0:d7:c5,0c:73:eb:d0:13:98,74:da:da:c1:3d:0d,74:da:da:98:90:2d,74:da:da:c1:3d:05,74:da:da:c1:4a:a5,0c:73:eb:d0:19:98,0c:73:eb:d0:11:c8,74:da:da:98:ea:5c,74:da:da:c0:f3:01
1526447760347,-22,-47,-50,-53,-54,-55,-58,-59,-60,-60,-61,-61,-61,-63,-64,-64,-64,-68,-69,-71,-73,-78,-79,-79,-81,-82,-82,-85,-85,-86,-86,-86,-86,-86,-86,-87,-88,-89,-90,-90,-91,-92,-92,-92,-92,-92,-93,-94,-94,-94,-94,-94,-94,-95,-95,-95,-95,-96,-96,-97,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447763390,-43,-43,-51,-52,-52,-54,-63,-51,-64,-67,-60,-62,-69,-79,-75,-55,-59,-75,-63,-63,-200,-85,-71,-81,-84,-74,-82,-86,-200,-90,-81,-84,-86,-88,-92,-200,-82,-200,-83,-92,-90,-92,-200,-93,-200,-200,-85,-82,-92,-92,-86,-89,-98,-200,-200,-200,-200,-92,-94,-200,-200,-84,-84,-85,-88,-93,-95,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447766416,-39,-42,-52,-48,-46,-56,-61,-52,-64,-72,-63,-65,-65,-79,-71,-53,-60,-75,-60,-63,-81,-85,-69,-81,-76,-75,-84,-91,-200,-92,-81,-80,-87,-88,-86,-87,-85,-92,-84,-88,-93,-90,-95,-93,-200,-200,-84,-82,-92,-91,-88,-91,-95,-95,-200,-200,-200,-92,-94,-200,-200,-84,-81,-85,-89,-93,-95,-97,-95,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447769465,-49,-47,-53,-43,-66,-51,-63,-47,-62,-70,-54,-62,-67,-73,-63,-55,-69,-76,-63,-67,-81,-81,-63,-76,-84,-83,-79,-83,-91,-92,-81,-80,-87,-88,-89,-85,-82,-92,-84,-95,-93,-92,-95,-93,-200,-200,-90,-88,-92,-94,-88,-91,-95,-91,-200,-200,-200,-95,-95,-94,-200,-83,-85,-86,-89,-93,-95,-97,-91,-96,-94,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447772510,-44,-55,-51,-50,-63,-54,-64,-48,-64,-75,-62,-57,-67,-79,-65,-51,-60,-74,-71,-64,-81,-88,-64,-88,-84,-84,-65,-84,-91,-92,-200,-83,-87,-91,-89,-85,-86,-92,-83,-89,-92,-94,-97,-93,-200,-200,-88,-88,-200,-94,-88,-91,-97,-90,-200,-200,-200,-95,-95,-94,-200,-84,-85,-88,-89,-200,-200,-200,-93,-94,-94,-98,-89,-95,-96,-200,-200,-200,-200,-200,-200
1526447775558,-39,-47,-51,-48,-57,-53,-58,-46,-62,-73,-60,-57,-66,-73,-62,-52,-62,-73,-68,-63,-80,-83,-61,-91,-80,-85,-77,-84,-91,-93,-84,-80,-200,-89,-89,-85,-81,-92,-86,-89,-88,-94,-97,-90,-200,-200,-88,-88,-97,-93,-93,-91,-97,-90,-200,-200,-94,-90,-93,-94,-200,-81,-85,-69,-89,-200,-200,-200,-90,-94,-94,-95,-85,-97,-96,-96,-200,-200,-200,-200,-200
1526447778607,-43,-47,-51,-48,-53,-51,-57,-50,-63,-78,-64,-58,-66,-74,-61,-54,-59,-72,-63,-63,-80,-84,-64,-92,-77,-87,-74,-84,-92,-94,-84,-80,-200,-89,-87,-83,-86,-88,-90,-89,-90,-94,-97,-90,-200,-200,-85,-89,-97,-94,-93,-90,-94,-92,-200,-97,-94,-91,-93,-93,-200,-80,-84,-88,-88,-200,-91,-200,-90,-94,-200,-95,-85,-97,-96,-96,-200,-200,-200,-200,-200
1526447781653,-39,-45,-50,-48,-53,-56,-58,-49,-63,-78,-62,-57,-71,-73,-64,-54,-59,-72,-67,-64,-80,-84,-63,-94,-77,-85,-78,-79,-92,-91,-84,-81,-200,-90,-91,-83,-85,-92,-87,-89,-90,-92,-200,-94,-200,-200,-90,-89,-97,-95,-93,-90,-94,-93,-200,-97,-94,-91,-93,-92,-200,-82,-84,-88,-89,-200,-91,-97,-90,-200,-200,-95,-85,-97,-200,-96,-200,-200,-200,-200,-200
1526447784701,-38,-49,-50,-43,-56,-53,-60,-48,-63,-81,-62,-57,-67,-73,-61,-54,-58,-72,-63,-64,-77,-84,-63,-94,-78,-84,-79,-81,-92,-68,-200,-81,-200,-89,-90,-85,-85,-91,-86,-90,-90,-91,-97,-94,-200,-200,-90,-86,-96,-95,-200,-91,-93,-92,-200,-97,-200,-92,-93,-92,-200,-82,-87,-85,-89,-200,-91,-97,-92,-93,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200
