,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
,0c:73:eb:d0:19:80,74:da:da:c0:d6:f5,0c:73:eb:d0:19:c0,74:da:da:c0:d6:ee,74:da:da:c0:d7:01,74:da:da:c0:d9:3a,74:da:da:c0:d6:ed,0c:73:eb:d0:13:b0,74:da:da:c0:d6:f6,74:da:da:c0:d9:39,74:da:da:c0:d7:11,74:da:da:98:ea:54,74:da:da:98:90:2c,74:da:da:c0:d7:12,0c:73:eb:d0:19:c8,0c:73:eb:d0:2a:50,74:da:da:98:ea:64,74:da:da:c1:3c:45,74:da:da:c1:3c:11,74:da:da:98:66:cc,0c:73:eb:d0:76:10,0c:73:eb:d0:13:c8,74:da:da:98:90:94,74:da:da:c0:d7:9d,74:da:da:c1:4a:69,74:da:da:98:74:74,0c:73:eb:d0:0e:c8,74:da:da:98:ea:55,74:da:da:c0:d7:02,74:da:da:c1:25:a1,74:da:da:c0:e0:6d,74:da:da:98:90:2d,0c:73:eb:d0:2a:90,0c:73:eb:d0:76:18,74:da:da:c1:4a:85,0c:73:eb:d0:2a:40,0c:73:eb:d0:7e:d0,74:da:da:c1:25:d9,74:da:da:c0:d8:1d,74:da:da:c1:3d:2d,74:da:da:c1:3b:19,0c:73:eb:d0:76:28,0c:73:eb:d0:0e:a0,74:da:da:c0:d8:3d,74:da:da:98:74:80,74:da:da:c1:3b:29,74:da:da:c1:3c:51,74:da:da:c1:03:21,74:da:da:c0:d7:c5,74:da:da:c1:3c:55,74:da:da:c1:02:91,74:da:da:c1:03:1d,74:da:da:98:74:34,0c:73:eb:d0:76:50
1526448279646,-23,-49,-57,-61,-64,-65,-65,-69,-69,-69,-69,-70,-74,-74,-75,-75,-76,-78,-78,-79,-80,-81,-82,-83,-84,-85,-86,-88,-88,-89,-90,-91,-91,-91,-92,-92,-92,-93,-95,-95,-96,-96,-97,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448282686,-47,-53,-62,-56,-74,-75,-55,-76,-69,-71,-52,-66,-54,-80,-69,-86,-84,-200,-74,-80,-91,-98,-93,-200,-91,-200,-83,-87,-89,-200,-200,-79,-93,-200,-93,-200,-94,-200,-200,-93,-200,-96,-200,-200,-92,-96,-97,-97,-98,-200,-200,-200,-200,-200
1526448285727,-48,-62,-64,-56,-77,-73,-51,-79,-70,-69,-55,-66,-53,-80,-69,-76,-87,-90,-74,-76,-91,-98,-93,-92,-95,-59,-83,-87,-87,-95,-200,-79,-93,-200,-91,-200,-94,-96,-200,-90,-200,-97,-200,-200,-91,-96,-97,-97,-98,-200,-200,-200,-200,-200
1526448288766,-47,-61,-66,-58,-76,-74,-51,-76,-69,-67,-55,-68,-54,-79,-68,-77,-84,-89,-75,-76,-91,-95,-93,-93,-94,-80,-86,-93,-88,-98,-96,-79,-94,-200,-91,-200,-94,-95,-200,-93,-94,-96,-200,-200,-93,-96,-97,-97,-98,-93,-200,-200,-200,-200
1526448291805,-47,-58,-65,-58,-77,-73,-48,-80,-71,-67,-55,-66,-54,-78,-69,-62,-90,-89,-74,-60,-91,-92,-93,-93,-93,-67,-82,-92,-88,-96,-96,-79,-95,-200,-96,-200,-200,-95,-200,-94,-94,-96,-200,-200,-93,-200,-97,-200,-200,-98,-97,-200,-200,-200
1526448294850,-54,-60,-62,-58,-82,-74,-48,-78,-68,-62,-57,-65,-56,-77,-69,-76,-88,-92,-81,-82,-91,-88,-94,-92,-93,-83,-87,-87,-91,-95,-96,-80,-95,-200,-96,-200,-200,-95,-200,-94,-94,-94,-97,-200,-92,-200,-200,-200,-200,-98,-97,-97,-200,-200
1526448297892,-52,-58,-64,-58,-71,-73,-58,-81,-69,-71,-54,-66,-54,-87,-67,-78,-85,-89,-76,-67,-88,-88,-95,-91,-93,-80,-82,-87,-91,-95,-200,-79,-95,-200,-96,-200,-200,-200,-200,-96,-95,-94,-96,-200,-92,-200,-98,-200,-200,-95,-97,-97,-200,-200
1526448300938,-53,-56,-63,-59,-73,-74,-56,-72,-74,-71,-51,-64,-55,-80,-68,-82,-83,-89,-79,-77,-87,-91,-94,-91,-88,-82,-81,-84,-88,-94,-200,-79,-92,-200,-96,-200,-200,-97,-200,-91,-95,-95,-96,-200,-96,-200,-98,-200,-200,-95,-200,-96,-200,-200
1526448303982,-55,-53,-58,-59,-76,-74,-55,-80,-72,-70,-51,-63,-55,-77,-68,-76,-86,-93,-79,-78,-85,-90,-91,-93,-96,-82,-90,-87,-88,-93,-200,-80,-93,-200,-200,-200,-94,-97,-200,-92,-95,-95,-96,-200,-96,-200,-98,-200,-200,-95,-200,-96,-97,-200
