,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,MERCURY_0166,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,DLINK_D00E98,WHU-2018,WHU-2018,WHU-2018
,74:da:da:c0:d7:11,0c:73:eb:d0:19:80,74:da:da:c0:d6:ed,74:da:da:c0:d6:f5,74:da:da:98:90:2c,0c:73:eb:d0:19:c0,74:da:da:98:ea:54,74:da:da:c0:d6:ee,0c:73:eb:d0:19:c8,74:da:da:c0:d9:39,0c:73:eb:d0:13:b0,74:da:da:c0:d9:3a,74:da:da:c0:d7:01,74:da:da:c0:d6:f6,74:da:da:c0:d7:12,0c:73:eb:d0:2a:50,74:da:da:98:66:cc,74:da:da:98:ea:64,74:da:da:c1:3c:11,74:da:da:98:90:2d,74:da:da:c0:d7:02,0c:73:eb:d0:0e:c8,50:3a:a0:ea:01:66,74:da:da:98:ea:55,0c:73:eb:d0:76:28,74:da:da:98:74:74,74:da:da:c1:02:91,74:da:da:c1:4a:69,74:da:da:c1:3d:2d,74:da:da:c0:d7:9d,74:da:da:98:74:80,74:da:da:c1:3c:45,74:da:da:c1:25:a1,74:da:da:c1:4a:85,74:da:da:c1:25:69,0c:73:eb:d0:13:c8,74:da:da:98:90:94,0c:73:eb:d0:2a:90,0c:73:eb:d0:76:10,74:da:da:98:74:34,0c:73:eb:d0:0e:a0,74:da:da:c1:3b:19,74:da:da:c0:e0:6d,0c:73:eb:d0:7e:d0,74:da:da:c1:3b:29,74:da:da:c1:3c:4d,74:da:da:c1:4a:6a,74:da:da:c1:03:1d,74:da:da:98:91:d4,0c:73:eb:d0:7f:00,74:da:da:c0:f3:59,74:da:da:c0:d7:c5,74:da:da:c0:d7:81,0c:73:eb:d0:76:50,74:da:da:c1:3c:55,74:da:da:c0:d8:3d,0c:73:eb:d0:7e:f8,0c:73:eb:d0:11:c8,74:da:da:c1:03:2d,74:da:da:c0:f3:05,0c:73:eb:d0:0e:d8,74:da:da:c1:4a:a5,74:da:da:c1:3c:85,74:da:da:c1:3d:0d,74:da:da:c1:3c:51,74:da:da:c1:03:21,0c:73:eb:d0:19:88,74:da:da:98:ea:65,0c:73:eb:d0:11:e0,0c:73:eb:d0:76:18,74:da:da:c0:d8:1d,74:da:da:c1:3b:45,74:da:da:c0:d7:b9,74:da:da:c1:48:bd,c0:61:18:93:3e:54,0c:73:eb:d0:0e:98,0c:73:eb:d0:0e:a8,0c:73:eb:d0:2a:40,0c:73:eb:d0:19:90
1526448351894,-49,-51,-54,-58,-58,-59,-64,-65,-66,-72,-73,-73,-74,-75,-75,-77,-80,-81,-81,-84,-86,-88,-88,-91,-91,-92,-92,-93,-93,-93,-94,-94,-94,-94,-94,-95,-95,-95,-96,-96,-96,-97,-97,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448354910,-60,-51,-40,-53,-60,-50,-65,-53,-61,-50,-69,-68,-69,-65,-74,-72,-71,-67,-200,-75,-88,-77,-93,-87,-200,-81,-88,-80,-90,-86,-89,-86,-200,-88,-200,-84,-67,-200,-78,-200,-89,-93,-200,-200,-94,-94,-95,-95,-95,-96,-96,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448357934,-50,-45,-37,-50,-60,-51,-70,-64,-68,-45,-65,-74,-71,-70,-77,-74,-76,-64,-77,-82,-88,-77,-93,-86,-90,-78,-89,-80,-90,-86,-88,-86,-200,-91,-200,-80,-67,-93,-78,-92,-89,-93,-92,-200,-94,-94,-95,-95,-95,-97,-96,-97,-89,-94,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448360970,-54,-50,-41,-52,-53,-50,-59,-57,-64,-46,-64,-69,-72,-77,-74,-74,-65,-73,-71,-82,-87,-83,-93,-86,-90,-82,-89,-83,-95,-86,-89,-89,-200,-91,-200,-80,-80,-93,-85,-89,-89,-93,-92,-200,-94,-94,-95,-93,-95,-98,-96,-97,-91,-94,-96,-95,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448364009,-49,-49,-40,-49,-50,-54,-65,-53,-67,-46,-68,-64,-77,-64,-75,-74,-70,-67,-71,-79,-88,-85,-200,-83,-94,-88,-89,-85,-93,-84,-88,-88,-91,-94,-200,-78,-79,-90,-85,-88,-200,-94,-91,-200,-94,-93,-200,-93,-95,-98,-200,-97,-93,-94,-93,-95,-97,-90,-94,-95,-96,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448367049,-44,-46,-39,-48,-53,-53,-62,-58,-58,-54,-72,-71,-63,-66,-77,-75,-60,-69,-76,-88,-92,-81,-200,-82,-94,-78,-200,-80,-90,-84,-88,-83,-88,-90,-200,-83,-83,-90,-79,-88,-200,-94,-95,-200,-94,-94,-200,-93,-94,-98,-200,-97,-95,-95,-93,-95,-97,-90,-94,-95,-89,-98,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448370094,-47,-49,-40,-50,-58,-50,-58,-49,-58,-58,-66,-67,-76,-64,-67,-73,-63,-69,-73,-84,-91,-78,-200,-79,-94,-78,-200,-82,-88,-84,-88,-83,-86,-94,-200,-81,-78,-90,-78,-88,-92,-91,-95,-89,-94,-94,-200,-96,-94,-200,-200,-97,-95,-95,-90,-95,-200,-90,-94,-95,-89,-96,-90,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448373135,-46,-47,-36,-48,-53,-52,-61,-55,-60,-54,-68,-66,-78,-68,-73,-73,-67,-68,-73,-82,-89,-84,-200,-85,-92,-75,-200,-80,-91,-200,-88,-84,-86,-94,-200,-83,-78,-200,-81,-200,-92,-91,-95,-89,-200,-94,-200,-91,-94,-200,-200,-200,-95,-95,-88,-95,-200,-200,-200,-200,-89,-96,-90,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448376181,-46,-46,-38,-49,-53,-52,-61,-59,-64,-53,-74,-71,-82,-66,-73,-74,-68,-66,-73,-83,-91,-80,-200,-77,-92,-76,-200,-79,-91,-200,-88,-85,-89,-94,-200,-85,-83,-200,-82,-92,-92,-91,-200,-89,-200,-81,-200,-91,-200,-95,-200,-98,-200,-98,-90,-95,-200,-200,-200,-95,-200,-96,-86,-95,-96,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448379224,-41,-45,-38,-46,-54,-49,-64,-58,-59,-52,-67,-72,-74,-67,-75,-62,-68,-72,-200,-81,-92,-89,-200,-78,-92,-77,-88,-78,-92,-87,-200,-86,-88,-200,-200,-81,-79,-200,-88,-92,-93,-93,-200,-200,-200,-81,-200,-99,-200,-95,-200,-98,-200,-98,-90,-200,-200,-200,-200,-96,-85,-200,-86,-200,-96,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448382267,-44,-51,-34,-51,-60,-53,-59,-55,-72,-51,-66,-67,-74,-71,-78,-79,-83,-72,-70,-78,-87,-81,-200,-78,-90,-75,-88,-79,-86,-90,-81,-83,-88,-85,-200,-82,-83,-87,-88,-89,-96,-93,-200,-90,-200,-93,-200,-99,-200,-95,-200,-98,-200,-98,-94,-92,-200,-200,-200,-96,-85,-200,-77,-98,-96,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448385314,-53,-51,-37,-50,-54,-69,-61,-54,-62,-44,-66,-65,-74,-75,-85,-76,-75,-70,-78,-70,-87,-73,-200,-84,-84,-85,-95,-73,-86,-77,-83,-83,-88,-87,-200,-90,-83,-86,-88,-89,-96,-93,-92,-90,-92,-93,-92,-99,-200,-98,-96,-200,-89,-99,-94,-92,-200,-200,-200,-96,-93,-200,-77,-98,-200,-200,-90,-94,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448388361,-58,-44,-35,-48,-51,-62,-53,-57,-61,-39,-65,-60,-70,-81,-84,-83,-76,-66,-78,-71,-89,-75,-200,-89,-85,-82,-95,-75,-89,-76,-84,-83,-88,-83,-200,-93,-89,-87,-81,-89,-91,-200,-94,-90,-95,-93,-92,-90,-200,-98,-97,-200,-86,-95,-94,-92,-200,-200,-200,-200,-93,-200,-93,-96,-200,-95,-90,-93,-97,-78,-89,-95,-95,-96,-200,-200,-200,-200,-200
1526448391409,-60,-43,-38,-49,-61,-64,-60,-56,-59,-37,-64,-62,-68,-72,-85,-79,-72,-66,-78,-71,-85,-75,-200,-89,-83,-82,-95,-75,-89,-76,-84,-84,-88,-83,-200,-93,-87,-91,-78,-200,-92,-94,-94,-91,-97,-200,-94,-91,-93,-98,-95,-200,-85,-95,-200,-200,-200,-200,-96,-94,-91,-200,-93,-96,-200,-95,-90,-93,-97,-78,-89,-95,-95,-96,-94,-200,-200,-200,-200
1526448394454,-56,-45,-38,-49,-53,-62,-58,-56,-62,-40,-68,-65,-69,-75,-84,-72,-78,-67,-200,-71,-94,-77,-200,-85,-82,-81,-200,-74,-89,-81,-85,-88,-89,-83,-200,-91,-95,-91,-76,-200,-94,-90,-94,-91,-93,-200,-94,-93,-93,-98,-95,-200,-86,-95,-200,-200,-200,-200,-93,-94,-91,-200,-93,-96,-95,-95,-200,-93,-200,-78,-89,-95,-95,-96,-94,-97,-200,-200,-200
1526448397501,-57,-44,-37,-45,-64,-62,-60,-60,-58,-40,-67,-63,-72,-71,-88,-82,-74,-68,-77,-78,-94,-79,-200,-89,-83,-82,-92,-73,-85,-77,-85,-88,-89,-87,-200,-91,-95,-85,-61,-200,-94,-90,-92,-91,-95,-200,-95,-93,-93,-200,-93,-200,-88,-200,-200,-94,-200,-200,-93,-93,-91,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-95,-200,-200,-94,-97,-200,-200,-200
1526448400542,-55,-51,-45,-48,-53,-61,-59,-49,-61,-34,-64,-66,-65,-71,-85,-69,-74,-67,-77,-81,-87,-78,-200,-90,-87,-82,-92,-73,-85,-77,-85,-92,-89,-85,-200,-87,-94,-86,-78,-200,-94,-91,-91,-200,-95,-200,-91,-93,-200,-65,-93,-200,-87,-200,-200,-90,-200,-200,-93,-93,-93,-200,-200,-93,-95,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-97,-200,-200,-200
1526448403585,-42,-50,-45,-50,-57,-70,-61,-48,-56,-39,-65,-64,-68,-68,-84,-71,-75,-64,-77,-80,-87,-75,-200,-87,-87,-82,-92,-74,-84,-78,-89,-89,-85,-85,-200,-87,-94,-90,-79,-200,-91,-91,-91,-200,-96,-200,-95,-94,-200,-65,-93,-200,-87,-200,-200,-93,-200,-200,-200,-93,-93,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-97,-200,-200
1526448406636,-55,-47,-46,-49,-64,-62,-58,-52,-64,-40,-62,-76,-68,-69,-86,-68,-73,-71,-80,-82,-94,-77,-200,-93,-86,-200,-200,-76,-84,-76,-89,-85,-85,-85,-200,-87,-89,-90,-78,-200,-95,-92,-91,-200,-96,-200,-95,-95,-200,-65,-200,-200,-88,-98,-200,-93,-200,-200,-200,-200,-93,-200,-200,-93,-200,-200,-200,-93,-200,-84,-94,-97,-200,-200,-200,-200,-97,-92,-200
1526448409680,-55,-45,-45,-48,-72,-65,-56,-51,-63,-38,-63,-74,-69,-68,-86,-72,-61,-68,-80,-81,-94,-77,-200,-90,-84,-200,-93,-78,-87,-77,-89,-83,-89,-87,-200,-87,-89,-86,-78,-200,-95,-92,-91,-200,-96,-200,-95,-89,-200,-200,-200,-200,-87,-98,-95,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-84,-94,-97,-200,-200,-200,-200,-97,-92,-200
1526448412724,-53,-44,-49,-50,-57,-59,-59,-52,-60,-40,-62,-72,-70,-75,-87,-70,-71,-68,-80,-85,-95,-78,-200,-92,-86,-83,-93,-79,-85,-77,-200,-82,-89,-86,-200,-87,-89,-86,-74,-200,-95,-78,-91,-200,-200,-200,-94,-89,-200,-200,-92,-200,-89,-98,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-92,-200,-84,-94,-97,-200,-200,-200,-200,-200,-92,-92
