,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,DLINK_D02A60,MERCURY_0166,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whjx-gaofeng-13,whjx-gaofeng-1,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whjx-xiaozhuyang-1,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,WHU-2018
,0c:73:eb:d0:19:c0,74:da:da:c0:d7:11,74:da:da:c0:d6:f5,0c:73:eb:d0:19:80,0c:73:eb:d0:19:c8,74:da:da:98:ea:54,74:da:da:c0:d6:ed,74:da:da:c0:d7:12,74:da:da:98:90:2c,74:da:da:c0:d7:01,74:da:da:98:90:94,0c:73:eb:d0:2a:50,0c:73:eb:d0:13:c8,0c:73:eb:d0:76:10,74:da:da:98:ea:64,74:da:da:c1:3c:11,74:da:da:c0:d6:ee,74:da:da:c0:d9:39,74:da:da:c0:d6:f6,0c:73:eb:d0:2a:90,0c:73:eb:d0:13:b0,74:da:da:c1:25:a1,74:da:da:c1:3c:45,0c:73:eb:d0:0e:c8,0c:73:eb:d0:76:18,74:da:da:98:ea:55,74:da:da:c1:3c:4d,74:da:da:c1:4a:85,74:da:da:c0:d7:9d,0c:73:eb:d0:19:90,74:da:da:98:74:34,74:da:da:c0:d7:81,0c:73:eb:d0:13:a0,0c:73:eb:d0:0e:d8,0c:73:eb:d0:2a:60,50:3a:a0:ea:01:66,74:da:da:c0:d9:3a,0c:73:eb:d0:76:28,74:da:da:98:66:cc,74:da:da:c1:4a:69,0c:73:eb:d0:11:c8,74:da:da:c0:d7:e9,74:da:da:98:90:95,74:da:da:c1:3c:55,74:da:da:98:74:80,74:da:da:c0:d7:02,0c:73:eb:d0:0e:a0,74:da:da:c1:3d:09,0c:73:eb:d0:13:90,74:da:da:c0:e0:6d,74:da:da:c1:3d:35,0c:73:eb:d0:0e:a8,74:da:da:c0:f3:59,74:da:da:c1:3c:85,74:da:da:98:74:74,74:da:da:c1:25:69,0c:73:eb:d0:13:98,74:da:da:98:ea:65,0c:73:eb:d0:2a:40,74:da:da:c0:f3:05,74:da:da:c1:04:4d,74:da:da:98:ea:50,74:da:da:c1:25:e5,0c:73:eb:d0:7f:00,74:da:da:c0:d8:3d,74:da:da:c0:d8:1d,74:da:da:c0:d8:05,58:6a:b1:be:ee:b0,58:6a:b1:bf:26:b0,74:da:da:98:85:4c,74:da:da:c1:3b:19,0c:73:eb:d0:11:d8,58:6a:b1:bf:29:30,74:da:da:98:85:60,0c:73:eb:d0:2a:48,0c:73:eb:d0:76:50,0c:73:eb:d0:0e:b0
1526442784957,-31,-40,-43,-49,-51,-51,-52,-55,-57,-58,-59,-62,-62,-63,-63,-63,-65,-65,-69,-73,-74,-74,-75,-75,-77,-80,-80,-80,-80,-80,-80,-81,-82,-83,-84,-84,-85,-85,-85,-86,-86,-86,-87,-87,-87,-88,-88,-88,-89,-89,-90,-91,-91,-91,-92,-93,-93,-94,-94,-95,-96,-96,-96,-97,-99,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442787994,-40,-40,-38,-57,-55,-50,-53,-60,-75,-64,-77,-68,-56,-65,-66,-72,-83,-73,-84,-84,-75,-89,-77,-81,-82,-76,-200,-87,-76,-200,-200,-85,-200,-90,-200,-77,-92,-86,-82,-200,-84,-92,-96,-86,-200,-94,-200,-92,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442791023,-39,-42,-37,-56,-53,-51,-52,-61,-75,-63,-80,-65,-55,-65,-65,-72,-83,-73,-84,-84,-76,-88,-73,-81,-82,-77,-200,-87,-77,-90,-200,-85,-85,-84,-94,-78,-91,-80,-83,-92,-82,-90,-91,-86,-95,-94,-91,-92,-86,-200,-200,-200,-200,-93,-200,-200,-200,-96,-200,-200,-93,-200,-200,-97,-200,-89,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442794070,-42,-40,-36,-57,-57,-51,-53,-62,-78,-62,-72,-65,-59,-67,-66,-76,-83,-76,-86,-80,-76,-88,-76,-78,-79,-80,-200,-89,-79,-85,-86,-87,-83,-91,-94,-76,-89,-83,-81,-88,-82,-88,-90,-86,-96,-94,-88,-92,-84,-200,-200,-200,-200,-90,-200,-200,-98,-94,-96,-85,-92,-200,-200,-97,-200,-89,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442797126,-40,-42,-37,-52,-54,-50,-53,-63,-73,-64,-78,-64,-61,-67,-62,-71,-83,-72,-87,-86,-74,-88,-74,-80,-77,-79,-90,-89,-77,-90,-86,-87,-83,-91,-92,-77,-89,-80,-81,-88,-81,-88,-91,-86,-97,-200,-88,-94,-84,-200,-200,-200,-200,-92,-96,-200,-98,-94,-96,-95,-92,-200,-200,-97,-200,-89,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442800173,-40,-43,-37,-54,-48,-51,-52,-58,-75,-65,-78,-64,-58,-80,-67,-78,-84,-72,-83,-86,-83,-88,-75,-80,-77,-79,-89,-86,-77,-87,-86,-86,-83,-85,-92,-76,-92,-81,-81,-94,-82,-90,-92,-87,-97,-95,-88,-92,-83,-200,-200,-200,-200,-92,-96,-200,-98,-94,-96,-95,-92,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442803218,-41,-41,-36,-58,-61,-51,-54,-64,-75,-63,-78,-77,-61,-69,-64,-70,-83,-74,-86,-83,-92,-92,-75,-80,-79,-78,-88,-86,-80,-87,-200,-83,-200,-85,-94,-76,-89,-76,-82,-90,-82,-89,-92,-85,-97,-95,-200,-92,-83,-200,-200,-200,-200,-95,-96,-200,-200,-94,-91,-95,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442806263,-42,-42,-37,-56,-62,-50,-52,-59,-74,-66,-70,-75,-61,-68,-67,-80,-82,-73,-82,-84,-85,-87,-75,-80,-79,-80,-88,-85,-78,-87,-200,-86,-96,-96,-92,-77,-90,-79,-83,-90,-83,-89,-92,-83,-92,-95,-200,-92,-85,-200,-200,-200,-200,-95,-200,-200,-200,-94,-91,-97,-94,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442809301,-42,-43,-38,-57,-58,-51,-53,-65,-72,-62,-70,-76,-59,-75,-66,-73,-88,-72,-85,-79,-83,-90,-75,-80,-77,-77,-89,-88,-78,-82,-200,-85,-96,-88,-92,-77,-91,-79,-86,-94,-85,-88,-93,-86,-92,-200,-200,-200,-84,-200,-200,-200,-200,-95,-200,-200,-200,-94,-93,-97,-95,-200,-200,-200,-200,-89,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442812345,-34,-38,-38,-62,-58,-55,-53,-57,-72,-66,-66,-68,-53,-78,-72,-72,-78,-81,-80,-82,-77,-90,-77,-77,-79,-75,-67,-88,-77,-82,-200,-82,-96,-88,-92,-78,-92,-83,-83,-87,-82,-88,-95,-86,-92,-200,-91,-200,-87,-200,-200,-200,-200,-93,-76,-200,-200,-200,-92,-97,-92,-200,-200,-200,-200,-88,-200,-93,-96,-96,-200,-200,-200,-200,-200,-200,-200
1526442815387,-42,-39,-39,-54,-53,-49,-53,-58,-73,-67,-70,-63,-60,-66,-66,-74,-80,-71,-87,-82,-76,-89,-74,-78,-81,-83,-89,-86,-76,-89,-200,-89,-86,-83,-91,-76,-84,-85,-82,-87,-83,-90,-95,-86,-200,-200,-96,-200,-85,-200,-200,-200,-200,-93,-76,-200,-200,-200,-92,-94,-91,-200,-200,-200,-200,-88,-200,-200,-96,-96,-200,-200,-200,-200,-200,-200,-200
1526442818436,-39,-39,-36,-55,-61,-52,-52,-62,-72,-68,-65,-77,-58,-76,-61,-71,-78,-77,-83,-84,-76,-88,-74,-79,-81,-80,-87,-88,-75,-89,-200,-89,-92,-88,-91,-78,-85,-80,-83,-90,-84,-90,-91,-87,-200,-200,-90,-95,-85,-200,-95,-200,-200,-93,-76,-200,-200,-91,-92,-96,-93,-200,-200,-200,-200,-88,-200,-93,-96,-96,-200,-200,-200,-200,-200,-200,-200
1526442821485,-35,-43,-36,-62,-54,-53,-54,-48,-74,-60,-73,-68,-59,-66,-66,-72,-88,-77,-82,-87,-78,-81,-74,-78,-83,-84,-88,-88,-73,-89,-200,-82,-92,-84,-89,-78,-88,-85,-86,-90,-85,-90,-93,-88,-200,-93,-92,-95,-85,-200,-95,-200,-200,-91,-96,-200,-200,-91,-200,-96,-91,-200,-200,-97,-200,-88,-93,-93,-200,-96,-95,-200,-200,-200,-200,-200,-200
