,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,TP-LINK_1398,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,whjx-gaofeng-13,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whjx-gaofeng-1,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018
,0c:73:eb:d0:19:c0,74:da:da:c0:d7:11,74:da:da:c0:d6:f5,74:da:da:98:ea:54,0c:73:eb:d0:19:80,74:da:da:c0:d7:12,0c:73:eb:d0:19:c8,74:da:da:98:90:94,74:da:da:c0:d6:ed,74:da:da:c0:d9:39,74:da:da:c0:d6:f6,74:da:da:c1:3c:11,74:da:da:c0:d6:ee,0c:73:eb:d0:13:c8,74:da:da:c0:d7:01,74:da:da:98:74:34,0c:73:eb:d0:0e:c8,74:da:da:98:ea:64,74:da:da:c1:3c:45,74:da:da:98:90:2c,74:da:da:c1:04:4d,74:da:da:c1:4a:85,74:da:da:c1:25:a1,0c:73:eb:d0:13:b0,74:da:da:c0:d7:81,74:da:da:98:ea:55,74:da:da:98:90:95,74:da:da:98:66:cc,0c:73:eb:d0:76:10,0c:73:eb:d0:76:18,74:da:da:c0:d7:9d,0c:73:eb:d0:2a:50,74:da:da:c1:4a:69,74:da:da:c1:3c:4d,50:3a:a0:ea:01:66,74:da:da:c0:d9:3a,0c:73:eb:d0:13:90,74:da:da:c0:d7:e9,74:da:da:c0:d7:02,0c:73:eb:d0:11:c8,0c:73:eb:d0:76:28,74:da:da:c1:3c:55,0c:73:eb:d0:2a:90,d8:15:0d:6c:13:98,0c:73:eb:d0:19:90,74:da:da:c1:25:d9,74:da:da:c1:3c:85,0c:73:eb:d0:2a:60,74:da:da:98:74:80,0c:73:eb:d0:13:98,74:da:da:c1:02:8d,74:da:da:98:85:4c,0c:73:eb:d0:7f:00,0c:73:eb:d0:2a:40,74:da:da:c1:3a:dd,0c:73:eb:d0:0e:d8,74:da:da:c1:25:9d,74:da:da:98:74:74,74:da:da:c1:3a:8d,0c:73:eb:d0:13:a0,0c:73:eb:d0:11:d8,58:6a:b1:be:ee:b0,74:da:da:c1:03:2d,0c:73:eb:d0:7f:08,74:da:da:c1:25:e5,74:da:da:c1:03:1d,74:da:da:c0:f3:05,74:da:da:c1:3d:2d,74:da:da:c1:04:49,0c:73:eb:d0:7c:40,74:da:da:98:ea:65,74:da:da:c1:3d:09,74:da:da:c0:d8:05,58:6a:b1:bf:26:b0,74:da:da:c1:3d:0d,74:da:da:c1:3d:35,74:da:da:98:ea:50,0c:73:eb:d0:76:50,74:da:da:c1:03:21,74:da:da:c1:25:69,74:da:da:c0:d8:1d,74:da:da:c0:d7:0d,74:da:da:c0:e0:6d,0c:73:eb:d0:0e:a8,0c:73:eb:d0:0e:b0,74:da:da:c1:4a:6a,0c:73:eb:d0:11:c0
1526443089383,-30,-40,-45,-49,-51,-53,-55,-56,-56,-60,-67,-69,-70,-70,-72,-73,-74,-75,-75,-75,-76,-77,-77,-78,-78,-79,-79,-80,-80,-81,-81,-82,-82,-82,-84,-85,-86,-87,-88,-88,-88,-89,-89,-90,-91,-91,-91,-92,-92,-92,-93,-93,-94,-94,-94,-94,-94,-94,-97,-97,-98,-100,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443092418,-41,-32,-46,-69,-56,-67,-62,-69,-65,-62,-67,-76,-72,-70,-68,-200,-81,-67,-77,-87,-200,-83,-79,-90,-89,-82,-88,-91,-200,-200,-200,-74,-89,-87,-90,-78,-91,-200,-87,-83,-200,-200,-85,-200,-92,-90,-200,-95,-90,-89,-200,-200,-87,-200,-200,-89,-200,-91,-200,-92,-200,-200,-75,-93,-93,-93,-96,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443095454,-41,-34,-49,-56,-60,-60,-64,-63,-60,-74,-72,-78,-80,-76,-65,-200,-81,-67,-78,-83,-200,-82,-86,-84,-91,-81,-88,-91,-89,-84,-83,-68,-85,-87,-89,-85,-92,-89,-91,-86,-200,-87,-82,-200,-92,-90,-200,-95,-90,-89,-200,-200,-87,-200,-200,-80,-200,-91,-200,-93,-97,-92,-75,-93,-93,-93,-96,-97,-94,-95,-95,-95,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443098493,-45,-31,-52,-67,-56,-55,-61,-59,-70,-65,-77,-75,-78,-76,-71,-80,-79,-63,-86,-81,-81,-83,-91,-84,-91,-78,-95,-88,-81,-84,-88,-68,-90,-83,-89,-83,-92,-87,-91,-86,-91,-88,-79,-200,-92,-90,-200,-95,-90,-95,-96,-200,-90,-96,-200,-84,-200,-91,-97,-93,-97,-92,-92,-93,-93,-93,-96,-97,-94,-95,-93,-95,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443101539,-48,-26,-49,-62,-60,-57,-59,-44,-69,-66,-73,-77,-78,-74,-72,-77,-77,-66,-81,-88,-82,-81,-87,-90,-90,-82,-92,-93,-78,-84,-85,-69,-90,-85,-90,-81,-91,-88,-90,-83,-88,-88,-82,-200,-92,-200,-200,-96,-90,-95,-96,-200,-92,-96,-200,-93,-200,-200,-96,-96,-97,-93,-92,-200,-200,-96,-200,-97,-94,-95,-93,-95,-95,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443104587,-40,-31,-50,-59,-56,-56,-64,-59,-74,-70,-76,-79,-79,-70,-59,-80,-76,-67,-85,-78,-82,-87,-89,-83,-87,-83,-92,-88,-79,-84,-83,-71,-90,-83,-84,-82,-91,-94,-92,-84,-88,-88,-78,-200,-93,-200,-200,-96,-92,-95,-96,-200,-93,-95,-200,-93,-200,-90,-96,-96,-96,-90,-93,-200,-200,-95,-200,-200,-94,-200,-93,-200,-93,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443107631,-50,-31,-50,-60,-70,-61,-65,-70,-67,-71,-73,-81,-82,-75,-76,-83,-76,-66,-85,-78,-82,-85,-89,-83,-92,-82,-87,-88,-79,-84,-87,-75,-89,-83,-84,-82,-91,-94,-92,-84,-88,-91,-82,-200,-93,-200,-200,-96,-91,-200,-200,-200,-93,-95,-200,-95,-200,-76,-96,-94,-96,-91,-97,-200,-200,-95,-200,-200,-94,-200,-91,-200,-93,-97,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443110675,-41,-31,-47,-66,-60,-57,-61,-63,-68,-74,-72,-75,-77,-69,-71,-83,-78,-66,-85,-81,-200,-85,-86,-82,-92,-83,-87,-92,-79,-82,-87,-75,-88,-91,-93,-84,-96,-90,-94,-86,-92,-90,-82,-200,-93,-200,-200,-200,-93,-200,-94,-200,-93,-95,-200,-89,-200,-76,-200,-94,-95,-91,-97,-200,-200,-95,-200,-96,-94,-200,-93,-200,-93,-200,-97,-93,-95,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443113721,-43,-27,-47,-62,-60,-53,-54,-62,-72,-69,-72,-76,-78,-72,-70,-81,-83,-74,-76,-79,-200,-82,-86,-86,-89,-78,-89,-90,-200,-82,-90,-75,-88,-92,-90,-81,-96,-90,-94,-89,-90,-89,-87,-200,-96,-200,-200,-200,-93,-200,-94,-200,-93,-200,-200,-89,-200,-97,-200,-94,-95,-91,-97,-200,-200,-95,-200,-96,-94,-200,-93,-200,-92,-200,-97,-93,-95,-96,-87,-93,-200,-200,-200,-200,-200,-200,-200
