,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,74:da:da:c0:d6:f5,74:da:da:c0:d7:01,0c:73:eb:d0:2a:50,0c:73:eb:d0:76:10,0c:73:eb:d0:76:18,74:da:da:98:ea:54,0c:73:eb:d0:19:80,74:da:da:98:ea:64,0c:73:eb:d0:19:c8,74:da:da:c0:d9:39,74:da:da:c1:3c:45,74:da:da:c0:d7:11,0c:73:eb:d0:19:c0,74:da:da:c0:d6:f6,74:da:da:c0:d7:02,74:da:da:c1:3c:11,74:da:da:c0:d9:3a,74:da:da:98:74:80,74:da:da:98:ea:55,0c:73:eb:d0:0e:c8,74:da:da:98:66:cc,74:da:da:c0:d6:ed,74:da:da:98:90:94,0c:73:eb:d0:13:b0,74:da:da:c1:4a:85,74:da:da:c1:4a:69,74:da:da:98:ea:65,0c:73:eb:d0:76:28,74:da:da:c1:3b:19,0c:73:eb:d0:13:c8,74:da:da:c1:3c:85,74:da:da:c1:3c:55,74:da:da:98:90:2c,50:3a:a0:ea:01:66,74:da:da:c0:d6:ee,74:da:da:c1:3d:35,74:da:da:c0:d7:e9,74:da:da:98:85:1c,74:da:da:c0:d7:9d,0c:73:eb:d0:19:90,0c:73:eb:d0:2a:90,74:da:da:c0:d7:12,74:da:da:c1:25:a1,0c:73:eb:d0:13:90,74:da:da:c0:e0:6d,74:da:da:c1:3d:09,0c:73:eb:d0:13:a0,74:da:da:c0:f3:05,0c:73:eb:d0:0e:b0,74:da:da:c1:3d:0d,74:da:da:98:ea:5c,74:da:da:c1:4a:6a,74:da:da:c1:3c:46,74:da:da:c1:25:e5,0c:73:eb:d0:2a:18,74:da:da:c0:f3:59,0c:73:eb:d0:2a:60,74:da:da:c1:25:69,74:da:da:c0:d7:81,0c:73:eb:d0:0e:d8,74:da:da:c1:3c:4d,0c:73:eb:d0:19:a0,0c:73:eb:d0:0e:90,74:da:da:98:8f:30,0c:73:eb:d0:2a:48,0c:73:eb:d0:0e:a8,74:da:da:c1:02:8d,0c:73:eb:d0:11:c8,0c:73:eb:d0:2a:40,74:da:da:c1:04:4d,0c:73:eb:d0:76:50,74:da:da:c0:d7:9e,0c:73:eb:d0:0e:c0,74:da:da:c0:d8:1d,74:da:da:c0:d8:25,0c:73:eb:d0:13:b8,0c:73:eb:d0:0e:a0,74:da:da:c0:d7:dd,0c:73:eb:d0:13:98,74:da:da:c1:25:d9,0c:73:eb:d0:7f:00,74:da:da:98:85:60
1526443764862,-41,-51,-53,-54,-54,-56,-59,-59,-60,-61,-62,-66,-68,-69,-69,-70,-74,-77,-78,-78,-78,-80,-83,-84,-84,-84,-85,-86,-86,-88,-88,-89,-91,-91,-92,-95,-96,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443767903,-68,-59,-53,-57,-57,-39,-59,-37,-40,-53,-52,-69,-48,-82,-77,-200,-73,-95,-52,-70,-75,-83,-80,-78,-81,-75,-81,-79,-200,-63,-200,-75,-85,-73,-87,-200,-200,-200,-63,-74,-75,-76,-79,-84,-88,-88,-89,-90,-91,-91,-92,-93,-93,-93,-95,-95,-96,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443770938,-54,-49,-56,-55,-59,-40,-56,-36,-41,-66,-48,-59,-58,-79,-80,-200,-74,-92,-50,-73,-80,-68,-78,-81,-83,-84,-78,-72,-97,-62,-200,-73,-87,-73,-87,-79,-200,-200,-56,-65,-77,-79,-80,-86,-88,-90,-86,-86,-94,-91,-92,-93,-93,-93,-95,-91,-90,-96,-62,-77,-90,-92,-93,-93,-93,-94,-96,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443773985,-54,-49,-55,-55,-58,-44,-59,-37,-41,-62,-49,-61,-55,-83,-78,-76,-71,-92,-52,-74,-78,-68,-77,-85,-82,-83,-76,-72,-99,-66,-200,-73,-85,-80,-93,-79,-80,-200,-58,-75,-74,-77,-77,-86,-88,-86,-86,-86,-94,-91,-97,-93,-93,-93,-95,-91,-93,-96,-63,-77,-89,-92,-93,-93,-94,-98,-96,-95,-83,-85,-86,-92,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443777037,-54,-50,-55,-61,-62,-43,-55,-35,-35,-62,-49,-60,-57,-90,-77,-74,-75,-92,-51,-71,-65,-67,-73,-81,-80,-86,-74,-74,-99,-68,-86,-73,-83,-77,-93,-88,-80,-200,-57,-75,-75,-77,-80,-85,-200,-87,-86,-87,-94,-200,-95,-200,-200,-200,-200,-93,-93,-200,-65,-77,-89,-92,-93,-93,-96,-98,-96,-95,-88,-85,-86,-93,-97,-68,-200,-200,-200,-200,-200,-200,-200,-200
1526443780084,-54,-51,-55,-49,-60,-43,-53,-35,-35,-62,-49,-58,-56,-81,-79,-74,-72,-200,-51,-70,-77,-67,-74,-83,-83,-83,-76,-69,-99,-65,-86,-75,-83,-76,-88,-86,-80,-200,-56,-67,-74,-78,-77,-89,-200,-87,-87,-87,-94,-91,-95,-200,-92,-94,-95,-91,-93,-200,-65,-74,-87,-200,-95,-93,-96,-98,-200,-95,-88,-85,-86,-93,-97,-75,-96,-100,-200,-200,-200,-200,-200,-200
1526443783131,-49,-49,-56,-65,-62,-41,-57,-36,-37,-64,-51,-59,-60,-82,-81,-74,-73,-200,-50,-73,-81,-64,-79,-81,-81,-83,-72,-69,-95,-56,-86,-75,-83,-75,-88,-79,-79,-200,-55,-67,-74,-77,-77,-89,-200,-92,-87,-87,-94,-91,-95,-200,-92,-95,-95,-91,-200,-200,-65,-73,-87,-200,-95,-94,-97,-200,-200,-93,-85,-200,-200,-92,-200,-78,-96,-100,-85,-200,-200,-200,-200,-200
1526443786179,-54,-49,-53,-49,-58,-46,-57,-37,-41,-61,-51,-57,-59,-76,-80,-74,-72,-92,-51,-69,-74,-60,-79,-85,-81,-79,-78,-68,-94,-63,-200,-76,-83,-58,-92,-79,-77,-200,-54,-70,-78,-80,-74,-89,-97,-92,-85,-90,-94,-93,-200,-200,-92,-95,-95,-91,-95,-200,-200,-73,-86,-200,-95,-94,-97,-200,-200,-94,-87,-200,-200,-92,-200,-78,-96,-100,-85,-97,-200,-200,-200,-200
1526443789228,-53,-48,-59,-52,-56,-40,-56,-37,-39,-69,-48,-61,-61,-81,-85,-63,-71,-93,-50,-72,-78,-60,-73,-88,-81,-81,-74,-74,-94,-63,-86,-75,-83,-76,-92,-79,-77,-200,-56,-67,-75,-77,-78,-89,-97,-86,-85,-90,-92,-93,-94,-97,-200,-95,-200,-91,-94,-200,-57,-73,-86,-200,-200,-94,-97,-200,-200,-94,-89,-200,-200,-92,-200,-77,-200,-200,-85,-97,-95,-200,-200,-200
