,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,DLINK_D02A68,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EB8,DLINK_D02A20,WHU-2018,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro
,0c:73:eb:d0:76:50,74:da:da:c0:f3:05,74:da:da:c0:d7:81,0c:73:eb:d0:13:a0,0c:73:eb:d0:0e:b0,74:da:da:c1:3d:0d,74:da:da:c0:d8:1d,74:da:da:c1:3d:05,74:da:da:c0:d7:82,74:da:da:c0:d7:9d,0c:73:eb:d0:19:88,74:da:da:c0:d7:c5,74:da:da:c1:3d:09,0c:73:eb:d0:0e:a8,74:da:da:c1:3d:85,0c:73:eb:d0:0e:d8,0c:73:eb:d0:0e:90,0c:73:eb:d0:76:28,74:da:da:c0:f3:06,74:da:da:98:ea:5c,74:da:da:c1:25:a1,74:da:da:c0:f3:59,0c:73:eb:d0:2a:18,74:da:da:98:ea:64,74:da:da:c1:3d:35,74:da:da:c0:d8:1e,0c:73:eb:d0:0e:a0,74:da:da:c0:de:2d,74:da:da:c1:3d:0e,74:da:da:c0:d7:e9,0c:73:eb:d0:2a:40,0c:73:eb:d0:76:38,74:da:da:c0:d7:dd,0c:73:eb:d0:2a:50,0c:73:eb:d0:19:a0,74:da:da:c1:3d:86,74:da:da:c0:d8:25,74:da:da:c0:d7:9e,74:da:da:c1:3d:06,0c:73:eb:d0:2a:10,74:da:da:c0:d8:3d,74:da:da:c1:25:d9,74:da:da:c0:d7:01,74:da:da:c0:d8:05,74:da:da:c1:4a:85,74:da:da:98:ea:54,0c:73:eb:d0:2a:90,0c:73:eb:d0:7e:f8,0c:73:eb:d0:76:10,74:da:da:c1:3d:36,74:da:da:c0:d7:ea,74:da:da:c1:03:61,0c:73:eb:d0:2a:98,74:da:da:c1:47:cd,74:da:da:c1:4a:7d,0c:73:eb:d0:7e:e0,74:da:da:c0:d7:02,74:da:da:c1:3b:29,74:da:da:c1:3b:85,0c:73:eb:d0:0e:98,74:da:da:c1:3b:45,74:da:da:c0:f6:15,c0:61:18:93:35:28,74:da:da:c1:3c:4d,0c:73:eb:d0:2a:58,74:da:da:c0:d7:c6,0c:73:eb:d0:19:90,74:da:da:c0:e0:6d,74:da:da:c0:f2:fd,74:da:da:c1:3c:cd,0c:73:eb:d0:2a:60,74:da:da:c0:d6:f5,74:da:da:c1:3c:ad,74:da:da:c1:25:e5,c0:61:18:93:3e:54,0c:73:eb:d0:2a:68,0c:73:eb:d0:76:30,74:da:da:c1:3b:65,74:da:da:c0:d8:59,0c:73:eb:d0:13:b0,74:da:da:c1:3b:cd,74:da:da:c1:3b:69,74:da:da:98:ea:65,74:da:da:c0:d7:de,74:da:da:98:8f:30,74:da:da:c1:5e:ed,0c:73:eb:d0:19:98,74:da:da:98:ea:50,0c:73:eb:d0:19:c8,74:da:da:c1:3b:19,0c:73:eb:d0:0e:b8,0c:73:eb:d0:2a:20,0c:73:eb:d0:7e:d0,0c:73:eb:d0:19:b8,0c:73:eb:d0:2a:48,74:da:da:c1:3d:0a,74:da:da:c1:3a:dd,74:da:da:c1:3c:85,74:da:da:c1:17:75,74:da:da:98:8f:3c,0c:73:eb:d0:19:80,0c:73:eb:d0:7e:d8,74:da:da:c1:25:9d,74:da:da:c1:25:69,0c:73:eb:d0:19:c0,74:da:da:98:66:cc,0c:73:eb:d0:7f:08,74:da:da:c1:3c:8d,74:da:da:c0:d8:26,74:da:da:98:ea:5d,74:da:da:c0:d7:b9
1526463875945,-36,-39,-42,-48,-48,-50,-53,-57,-58,-58,-59,-60,-61,-63,-64,-64,-64,-65,-67,-68,-68,-68,-69,-70,-71,-72,-73,-74,-75,-75,-75,-76,-76,-77,-77,-78,-78,-78,-79,-79,-80,-80,-81,-82,-83,-83,-84,-84,-85,-85,-87,-87,-87,-88,-88,-89,-90,-90,-90,-90,-90,-90,-91,-91,-91,-92,-92,-93,-93,-93,-94,-94,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463878977,-38,-58,-38,-53,-52,-44,-48,-60,-54,-53,-63,-68,-63,-52,-59,-61,-200,-63,-64,-74,-66,-70,-68,-200,-53,-64,-86,-81,-71,-77,-200,-74,-200,-200,-80,-89,-200,-83,-79,-83,-200,-83,-74,-200,-90,-82,-200,-200,-83,-93,-200,-89,-200,-200,-200,-200,-84,-90,-200,-200,-84,-88,-93,-87,-200,-200,-200,-81,-94,-200,-200,-85,-200,-74,-79,-80,-85,-87,-88,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463882015,-33,-55,-38,-55,-48,-43,-47,-56,-54,-65,-63,-60,-61,-55,-62,-59,-66,-58,-71,-84,-65,-72,-77,-200,-46,-65,-82,-79,-74,-77,-72,-77,-200,-79,-80,-89,-91,-85,-76,-79,-85,-82,-72,-87,-86,-82,-82,-84,-77,-90,-90,-89,-200,-200,-200,-200,-88,-92,-200,-200,-84,-88,-93,-87,-200,-200,-200,-81,-94,-200,-200,-85,-200,-81,-79,-76,-78,-87,-88,-94,-82,-84,-91,-93,-93,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463885073,-33,-62,-36,-55,-45,-46,-48,-56,-52,-65,-66,-69,-62,-56,-61,-58,-65,-62,-61,-84,-57,-74,-69,-200,-53,-63,-82,-79,-71,-71,-68,-82,-85,-73,-79,-93,-80,-81,-74,-96,-86,-80,-75,-87,-83,-83,-81,-82,-83,-90,-88,-87,-91,-200,-200,-200,-90,-89,-96,-200,-86,-200,-200,-200,-85,-200,-200,-82,-200,-200,-200,-86,-200,-80,-81,-76,-82,-85,-89,-95,-82,-87,-89,-93,-93,-93,-78,-78,-82,-82,-85,-93,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463888129,-33,-54,-41,-58,-54,-46,-48,-59,-54,-60,-65,-64,-62,-54,-62,-62,-64,-58,-70,-86,-63,-70,-68,-200,-50,-65,-89,-78,-69,-77,-65,-72,-85,-73,-82,-93,-83,-80,-75,-86,-79,-82,-75,-87,-83,-83,-81,-82,-82,-90,-89,-87,-90,-200,-200,-92,-87,-89,-96,-93,-85,-200,-200,-88,-86,-91,-200,-82,-200,-200,-200,-87,-200,-80,-81,-76,-82,-87,-89,-95,-82,-87,-92,-92,-93,-90,-80,-76,-83,-82,-85,-93,-94,-89,-93,-95,-96,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463891184,-32,-58,-39,-57,-52,-46,-47,-59,-54,-63,-66,-68,-62,-55,-62,-59,-73,-59,-71,-84,-59,-73,-68,-200,-53,-63,-89,-78,-70,-75,-66,-81,-85,-83,-79,-91,-83,-83,-75,-77,-79,-80,-75,-82,-87,-83,-81,-82,-82,-93,-89,-88,-89,-200,-200,-92,-86,-89,-96,-93,-84,-200,-200,-86,-86,-91,-200,-82,-200,-200,-200,-88,-200,-80,-77,-78,-82,-87,-89,-96,-81,-87,-92,-94,-200,-90,-86,-74,-83,-81,-85,-97,-91,-86,-93,-95,-96,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463894243,-37,-67,-38,-56,-47,-46,-45,-59,-53,-60,-66,-60,-64,-53,-58,-57,-65,-55,-61,-74,-63,-80,-69,-200,-58,-65,-82,-78,-70,-76,-66,-80,-200,-61,-79,-94,-83,-83,-77,-77,-86,-79,-76,-81,-87,-200,-79,-83,-79,-90,-89,-88,-89,-90,-200,-92,-92,-85,-94,-92,-85,-200,-200,-84,-85,-91,-200,-82,-93,-82,-93,-88,-95,-200,-77,-80,-82,-84,-200,-93,-83,-200,-92,-92,-200,-90,-87,-75,-83,-81,-89,-97,-91,-86,-93,-95,-96,-96,-60,-94,-96,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463897294,-37,-57,-39,-58,-45,-45,-45,-55,-54,-63,-68,-60,-63,-53,-65,-58,-52,-56,-63,-74,-63,-78,-67,-200,-59,-65,-83,-78,-71,-78,-69,-79,-200,-71,-82,-94,-79,-81,-79,-85,-86,-79,-75,-81,-87,-200,-80,-83,-79,-90,-87,-88,-89,-90,-200,-200,-92,-91,-94,-92,-85,-200,-95,-85,-83,-93,-200,-200,-93,-82,-93,-88,-95,-200,-77,-77,-77,-86,-200,-93,-83,-200,-93,-94,-200,-91,-87,-75,-83,-81,-89,-90,-91,-91,-200,-200,-200,-93,-60,-94,-96,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463900344,-35,-60,-37,-56,-48,-43,-44,-54,-52,-60,-64,-57,-62,-55,-65,-58,-66,-53,-64,-74,-63,-83,-78,-200,-49,-65,-82,-79,-70,-78,-68,-71,-200,-71,-78,-93,-80,-87,-79,-79,-86,-79,-75,-82,-86,-200,-77,-84,-83,-90,-85,-89,-200,-90,-90,-200,-92,-89,-94,-91,-87,-200,-95,-85,-86,-93,-200,-82,-94,-82,-91,-90,-95,-200,-80,-78,-78,-83,-200,-95,-83,-200,-94,-94,-71,-91,-89,-77,-83,-200,-89,-90,-200,-91,-200,-200,-200,-93,-62,-91,-96,-98,-96,-200,-200,-200,-200,-200,-200,-200,-200
