,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A60,DLINK_D02A98,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011309,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,DLINK_D02A30,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:2a:18,74:da:da:c0:d8:25,74:da:da:c1:3d:09,74:da:da:c1:3d:0d,74:da:da:c1:3b:65,74:da:da:c0:d7:e9,74:da:da:c0:d8:26,74:da:da:c1:17:75,74:da:da:c1:4a:7d,74:da:da:c1:3d:0a,0c:73:eb:d0:0e:c0,74:da:da:c1:3d:85,0c:73:eb:d0:19:98,74:da:da:c1:3d:05,74:da:da:c0:d7:dd,0c:73:eb:d0:0e:b8,74:da:da:c0:d8:05,0c:73:eb:d0:2a:10,74:da:da:c1:3d:35,0c:73:eb:d0:2a:58,74:da:da:98:8f:30,0c:73:eb:d0:0e:d8,0c:73:eb:d0:0e:b0,74:da:da:c0:d7:81,0c:73:eb:d0:0e:90,0c:73:eb:d0:76:30,74:da:da:c1:5e:ed,74:da:da:c1:47:cd,0c:73:eb:d0:2a:20,74:da:da:c0:d7:ea,74:da:da:c1:3d:06,74:da:da:c1:3b:45,74:da:da:c0:d8:59,74:da:da:c1:03:61,0c:73:eb:d0:76:58,0c:73:eb:d0:2a:60,0c:73:eb:d0:2a:98,74:da:da:98:8f:3c,0c:73:eb:d0:2a:28,74:da:da:c1:3d:0e,74:da:da:c1:25:9d,0c:73:eb:d0:2a:68,74:da:da:c0:de:2d,74:da:da:c1:3b:cd,74:da:da:c1:3c:cd,74:da:da:c1:3b:69,74:da:da:c0:f3:05,74:da:da:c0:d8:06,0c:73:eb:d0:2a:48,74:da:da:c1:3d:36,74:da:da:c1:17:76,0c:73:eb:d0:76:48,74:da:da:c0:d7:82,74:da:da:c1:3d:86,74:da:da:c1:14:99,74:da:da:c0:d8:1d,74:da:da:c0:d7:c5,74:da:da:98:ea:64,0c:73:eb:d0:76:38,74:da:da:98:8f:64,0c:73:eb:d0:2a:38,74:da:da:c1:4a:c9,74:da:da:c1:04:4d,0c:73:eb:d0:0e:98,74:da:da:c0:d8:7d,74:da:da:c0:f3:06,74:da:da:c0:d7:de,74:da:da:c1:3b:c9,74:da:da:c0:d7:ed,0c:73:eb:d0:13:a0,74:da:da:98:db:44,c0:61:18:93:35:28,74:da:da:c1:3b:49,74:da:da:c1:47:ce,74:da:da:c1:3b:66,0c:73:eb:d0:19:b8,74:da:da:c1:4a:7e,74:da:da:c1:3c:8d,74:da:da:c1:25:e5,0c:73:eb:d0:19:88,74:da:da:c1:25:a1,74:da:da:c0:d8:1e,74:da:da:c1:3b:19,74:da:da:98:91:d4,74:da:da:98:92:14,74:da:da:c1:61:69,74:da:da:c1:3c:51,74:da:da:c0:f3:59,0c:73:eb:d0:7e:f8,0c:73:eb:d0:76:20,0c:73:eb:d0:13:a8,74:da:da:c0:d8:3d,74:da:da:c1:04:49,74:da:da:c1:04:45,0c:73:eb:d0:76:50,c0:61:18:93:3e:54,74:da:da:c1:4b:59,0c:73:eb:d0:76:10,74:da:da:c1:4a:a5,0c:73:eb:d0:0e:d0,74:da:da:98:8f:3d,74:da:da:98:ea:4c,74:da:da:c1:3b:79,74:da:da:c1:3b:85,74:da:da:c0:d7:9d,0c:73:eb:d0:2a:88,74:da:da:c1:3c:6d,0c:73:eb:d0:2a:30,0c:73:eb:d0:76:28,0c:73:eb:d0:19:a8,0c:73:eb:d0:2a:40,74:da:da:c1:3b:4d,74:da:da:98:8f:34,74:da:da:c0:f3:01,74:da:da:98:8d:78,74:da:da:c1:02:95,74:da:da:98:ea:5c
1526454987544,-33,-35,-40,-43,-47,-50,-51,-51,-51,-52,-53,-54,-54,-57,-61,-61,-62,-63,-63,-64,-64,-65,-66,-66,-66,-66,-67,-67,-69,-70,-73,-73,-73,-74,-75,-76,-77,-77,-77,-78,-78,-78,-79,-79,-80,-81,-81,-81,-82,-82,-83,-83,-83,-83,-84,-84,-84,-84,-84,-85,-85,-85,-85,-85,-85,-85,-86,-86,-88,-88,-88,-88,-88,-89,-90,-91,-91,-92,-93,-93,-93,-93,-93,-94,-94,-95,-95,-95,-95,-97,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454990577,-27,-40,-45,-55,-56,-56,-54,-50,-68,-63,-48,-53,-52,-46,-65,-59,-68,-60,-200,-56,-68,-58,-63,-60,-64,-85,-79,-73,-200,-75,-76,-74,-200,-70,-200,-73,-200,-200,-69,-84,-80,-83,-81,-200,-85,-200,-79,-86,-86,-200,-78,-80,-200,-200,-79,-81,-200,-85,-200,-200,-94,-200,-80,-200,-200,-200,-200,-84,-200,-87,-200,-200,-200,-200,-94,-95,-200,-200,-91,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454993625,-26,-39,-48,-57,-53,-53,-56,-46,-68,-63,-48,-49,-59,-47,-68,-61,-65,-59,-52,-58,-66,-59,-62,-58,-62,-85,-76,-73,-200,-77,-78,-74,-200,-70,-200,-72,-66,-60,-69,-85,-82,-78,-81,-200,-85,-75,-79,-84,-87,-200,-78,-80,-200,-200,-79,-80,-200,-85,-86,-200,-94,-89,-80,-200,-200,-200,-200,-87,-80,-83,-200,-200,-200,-91,-92,-93,-200,-200,-93,-90,-91,-200,-95,-200,-200,-200,-91,-200,-200,-200,-200,-86,-90,-91,-81,-83,-93,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454996684,-26,-39,-68,-54,-53,-52,-56,-53,-69,-63,-53,-50,-52,-48,-71,-60,-66,-62,-52,-56,-72,-59,-56,-59,-62,-85,-76,-73,-200,-77,-77,-75,-77,-65,-78,-68,-78,-59,-69,-85,-78,-81,-81,-200,-83,-76,-80,-84,-87,-200,-79,-86,-200,-200,-82,-80,-200,-85,-85,-200,-94,-89,-82,-200,-200,-200,-87,-88,-83,-83,-200,-200,-90,-91,-91,-93,-200,-88,-93,-93,-91,-200,-95,-200,-200,-91,-91,-200,-200,-200,-87,-92,-90,-91,-76,-84,-93,-95,-86,-93,-94,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454999742,-25,-39,-53,-59,-55,-55,-55,-51,-69,-63,-52,-56,-52,-47,-69,-66,-66,-62,-52,-55,-72,-59,-57,-63,-62,-81,-77,-200,-200,-77,-76,-74,-77,-72,-78,-70,-78,-60,-200,-86,-81,-82,-83,-80,-83,-78,-80,-85,-89,-200,-79,-85,-200,-200,-80,-80,-92,-84,-86,-81,-200,-91,-82,-200,-200,-200,-89,-86,-84,-86,-200,-200,-90,-93,-90,-92,-200,-88,-93,-93,-200,-200,-95,-200,-86,-90,-92,-200,-200,-95,-87,-92,-90,-200,-76,-84,-93,-94,-86,-93,-93,-94,-77,-81,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455002798,-26,-39,-49,-57,-54,-52,-56,-52,-67,-64,-52,-53,-52,-48,-74,-66,-58,-57,-200,-58,-68,-63,-57,-58,-61,-80,-77,-200,-76,-77,-77,-76,-75,-74,-78,-71,-75,-60,-200,-87,-79,-81,-77,-81,-83,-77,-83,-83,-86,-200,-79,-80,-200,-200,-80,-78,-92,-89,-86,-80,-90,-91,-82,-200,-81,-200,-89,-86,-84,-85,-200,-200,-82,-93,-92,-95,-200,-88,-200,-90,-200,-200,-200,-200,-86,-90,-92,-200,-200,-95,-89,-92,-90,-200,-76,-84,-95,-94,-86,-93,-93,-94,-78,-81,-93,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455005851,-31,-37,-50,-60,-54,-57,-54,-50,-67,-63,-49,-52,-53,-46,-71,-62,-58,-62,-200,-58,-71,-59,-57,-62,-65,-80,-77,-200,-76,-77,-77,-77,-75,-69,-78,-71,-73,-59,-72,-86,-79,-84,-77,-81,-83,-76,-77,-84,-86,-200,-79,-85,-200,-200,-81,-84,-92,-89,-87,-80,-93,-91,-200,-200,-81,-200,-91,-89,-83,-89,-84,-200,-82,-93,-92,-92,-200,-89,-89,-88,-90,-200,-200,-200,-87,-91,-92,-200,-200,-95,-89,-200,-200,-200,-200,-84,-96,-94,-200,-200,-93,-94,-78,-83,-93,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455008912,-25,-38,-51,-58,-53,-55,-54,-53,-67,-63,-49,-54,-53,-46,-73,-60,-64,-60,-65,-59,-70,-56,-54,-62,-59,-82,-77,-62,-75,-78,-77,-76,-75,-68,-76,-71,-76,-60,-74,-86,-79,-76,-81,-81,-83,-75,-77,-84,-84,-200,-78,-85,-200,-200,-75,-81,-200,-89,-87,-84,-93,-89,-84,-86,-81,-200,-89,-86,-81,-92,-84,-200,-82,-92,-91,-94,-200,-89,-94,-88,-90,-200,-200,-200,-87,-91,-92,-200,-200,-200,-89,-200,-200,-200,-77,-84,-96,-94,-200,-91,-93,-93,-78,-70,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455011968,-30,-38,-49,-58,-56,-56,-54,-53,-71,-63,-48,-52,-58,-47,-74,-54,-67,-60,-58,-56,-69,-57,-55,-65,-59,-87,-76,-65,-75,-77,-77,-75,-76,-71,-78,-75,-77,-60,-73,-88,-80,-82,-81,-200,-83,-76,-82,-84,-85,-200,-77,-85,-200,-200,-80,-85,-200,-86,-85,-84,-95,-88,-84,-86,-82,-200,-90,-87,-81,-85,-84,-200,-90,-92,-91,-88,-200,-89,-89,-88,-90,-200,-95,-200,-87,-91,-92,-200,-200,-200,-90,-200,-200,-200,-77,-84,-96,-93,-200,-91,-92,-93,-200,-84,-93,-200,-99,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
