,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58,DLINK_D00EC0,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A60,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro
,74:da:da:c0:d8:25,0c:73:eb:d0:2a:18,74:da:da:c0:d7:e9,74:da:da:c1:3d:09,74:da:da:c0:d8:26,74:da:da:c1:3b:65,74:da:da:c1:3d:05,0c:73:eb:d0:19:98,74:da:da:c1:3d:0d,74:da:da:c1:3d:0a,74:da:da:c0:d7:dd,0c:73:eb:d0:0e:b0,74:da:da:c1:17:75,0c:73:eb:d0:2a:58,0c:73:eb:d0:0e:c0,0c:73:eb:d0:0e:90,0c:73:eb:d0:0e:d8,74:da:da:98:8f:30,74:da:da:c1:3d:35,74:da:da:c1:3d:85,0c:73:eb:d0:2a:10,74:da:da:c0:d8:05,0c:73:eb:d0:0e:b8,74:da:da:c1:5e:ed,74:da:da:c1:3b:69,74:da:da:c0:d7:81,74:da:da:c0:d7:ea,74:da:da:c1:3b:45,74:da:da:98:8f:3c,0c:73:eb:d0:2a:98,74:da:da:c1:14:99,74:da:da:c1:3d:0e,74:da:da:c1:3d:06,0c:73:eb:d0:76:50,74:da:da:c1:4a:7d,0c:73:eb:d0:2a:60,0c:73:eb:d0:2a:30,74:da:da:c1:47:cd,74:da:da:c1:3b:79,74:da:da:c1:25:9d,74:da:da:c0:d8:59,0c:73:eb:d0:7c:38,74:da:da:c1:03:61,74:da:da:c0:f3:05,0c:73:eb:d0:2a:68,0c:73:eb:d0:76:58,0c:73:eb:d0:76:48,74:da:da:c0:d8:06,74:da:da:c1:04:4d,74:da:da:c1:3b:c9,74:da:da:c1:4a:a5,0c:73:eb:d0:76:30,74:da:da:c1:17:76,74:da:da:c1:3b:85,c0:61:18:93:3e:54,0c:73:eb:d0:13:a0,74:da:da:c0:d8:1d,74:da:da:c0:d7:de,0c:73:eb:d0:76:38,74:da:da:c1:3c:cd,0c:73:eb:d0:2a:28,74:da:da:c0:de:2d,0c:73:eb:d0:2a:48,74:da:da:c1:3b:cd,0c:73:eb:d0:0e:a8,74:da:da:c1:3b:66,74:da:da:98:ea:64,c0:61:18:93:35:28,74:da:da:98:ea:5c,74:da:da:c0:d7:ed,74:da:da:c1:3d:86,74:da:da:c0:d7:82,0c:73:eb:d0:7e:d8,74:da:da:98:db:44,0c:73:eb:d0:7e:e0,0c:73:eb:d0:13:a8,74:da:da:98:8f:3d,0c:73:eb:d0:19:b8,74:da:da:c1:3d:36,74:da:da:c1:3c:51,0c:73:eb:d0:19:88,0c:73:eb:d0:76:20,74:da:da:c0:d7:9d,74:da:da:c1:04:45,74:da:da:c1:47:ce,74:da:da:98:ea:4c,74:da:da:c1:25:e5,74:da:da:c0:f3:06,74:da:da:c1:3b:49,74:da:da:c1:25:a1,74:da:da:c1:4b:59,74:da:da:c1:02:95,74:da:da:c1:3c:6d,74:da:da:98:ea:54,0c:73:eb:d0:7e:e8,0c:73:eb:d0:0e:a0,74:da:da:c0:d7:11,0c:73:eb:d0:19:c8,0c:73:eb:d0:19:a8,0c:73:eb:d0:2a:90,74:da:da:c1:61:69,74:da:da:c0:e0:6d,0c:73:eb:d0:76:10,0c:73:eb:d0:2a:20,74:da:da:c0:f4:69,74:da:da:98:8f:64,0c:73:eb:d0:0e:98,74:da:da:c0:d7:09,0c:73:eb:d0:11:d0,0c:73:eb:d0:7e:f8,74:da:da:98:92:14,0c:73:eb:d0:76:28,74:da:da:c0:f3:59,0c:73:eb:d0:2a:88,74:da:da:c1:48:bd
1526455426639,-36,-37,-45,-45,-46,-46,-47,-54,-54,-56,-56,-58,-58,-61,-61,-61,-62,-62,-64,-65,-65,-65,-66,-66,-68,-68,-71,-72,-72,-72,-72,-74,-74,-74,-75,-75,-75,-76,-77,-78,-78,-78,-79,-79,-79,-79,-79,-80,-80,-81,-81,-81,-82,-82,-82,-83,-83,-84,-84,-84,-84,-84,-85,-85,-85,-86,-86,-86,-86,-87,-88,-89,-89,-89,-90,-90,-91,-91,-91,-91,-91,-91,-92,-92,-92,-93,-93,-94,-94,-94,-95,-95,-95,-96,-96,-97,-97,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455429674,-26,-37,-47,-41,-52,-45,-50,-54,-53,-50,-71,-54,-55,-72,-61,-200,-64,-66,-77,-69,-64,-72,-64,-58,-71,-200,-68,-79,-68,-81,-200,-76,-77,-200,-82,-81,-200,-200,-200,-77,-80,-200,-80,-200,-81,-87,-200,-86,-200,-88,-84,-200,-88,-83,-84,-87,-84,-81,-77,-200,-74,-85,-87,-80,-200,-84,-200,-200,-200,-91,-92,-88,-200,-200,-85,-200,-200,-89,-200,-89,-200,-200,-93,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-92,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455432704,-31,-39,-49,-41,-52,-44,-53,-58,-52,-50,-72,-54,-62,-72,-59,-67,-65,-65,-79,-74,-63,-73,-64,-55,-75,-200,-68,-78,-68,-82,-80,-76,-77,-200,-80,-81,-200,-200,-200,-77,-81,-200,-81,-90,-83,-87,-200,-87,-200,-88,-84,-200,-87,-82,-83,-80,-84,-81,-77,-96,-74,-85,-87,-80,-200,-84,-200,-200,-200,-92,-92,-88,-200,-85,-86,-95,-200,-91,-94,-89,-200,-86,-93,-80,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-92,-96,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455435755,-26,-37,-48,-40,-52,-45,-47,-58,-54,-50,-68,-55,-65,-72,-53,-70,-65,-68,-74,-69,-63,-72,-62,-58,-77,-200,-68,-79,-69,-81,-80,-77,-77,-82,-80,-77,-74,-200,-200,-78,-80,-200,-81,-89,-79,-87,-84,-87,-84,-85,-83,-200,-86,-84,-84,-79,-83,-81,-80,-96,-73,-82,-87,-81,-200,-83,-91,-200,-200,-90,-92,-89,-91,-82,-85,-96,-97,-91,-93,-93,-97,-88,-93,-82,-90,-200,-200,-200,-200,-90,-200,-200,-200,-200,-97,-200,-200,-200,-92,-96,-94,-96,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455438810,-27,-41,-47,-41,-52,-45,-49,-55,-53,-50,-60,-53,-62,-75,-55,-67,-69,-68,-79,-72,-62,-72,-63,-59,-74,-200,-68,-78,-68,-77,-78,-76,-76,-77,-79,-74,-74,-64,-200,-77,-83,-200,-81,-84,-80,-80,-82,-87,-84,-85,-83,-200,-85,-83,-84,-78,-81,-82,-80,-96,-73,-83,-83,-80,-87,-85,-91,-200,-200,-90,-93,-89,-91,-85,-85,-96,-97,-94,-93,-93,-95,-88,-200,-81,-90,-200,-200,-200,-200,-90,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200,-94,-96,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455441862,-27,-29,-49,-40,-51,-45,-50,-59,-53,-53,-70,-53,-64,-75,-57,-67,-71,-68,-79,-74,-63,-72,-63,-57,-74,-62,-69,-77,-68,-83,-82,-77,-76,-77,-82,-73,-74,-64,-200,-76,-83,-200,-77,-85,-77,-80,-83,-88,-80,-87,-84,-200,-86,-80,-84,-86,-81,-82,-78,-200,-81,-84,-83,-80,-90,-84,-93,-200,-200,-200,-93,-93,-200,-85,-84,-96,-97,-94,-96,-91,-95,-88,-92,-82,-90,-200,-200,-200,-200,-90,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-94,-96,-75,-76,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455444913,-28,-37,-51,-41,-50,-45,-47,-56,-53,-49,-68,-53,-64,-68,-56,-67,-65,-69,-74,-70,-66,-78,-64,-58,-77,-62,-71,-81,-65,-79,-80,-78,-75,-77,-80,-72,-80,-64,-200,-76,-83,-200,-79,-84,-77,-80,-83,-84,-87,-88,-82,-200,-87,-80,-84,-79,-81,-80,-77,-91,-77,-84,-86,-80,-90,-84,-93,-200,-200,-200,-93,-90,-200,-84,-84,-94,-200,-91,-96,-95,-95,-88,-92,-82,-91,-200,-200,-200,-200,-90,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-89,-200,-75,-76,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455447960,-27,-42,-50,-40,-55,-45,-49,-59,-52,-49,-68,-52,-64,-70,-56,-200,-63,-69,-79,-72,-69,-74,-65,-55,-75,-62,-68,-82,-70,-83,-77,-77,-76,-200,-76,-73,-80,-200,-200,-77,-80,-200,-78,-86,-78,-88,-83,-84,-87,-88,-82,-200,-89,-80,-84,-79,-81,-81,-78,-91,-77,-83,-86,-77,-90,-85,-93,-200,-200,-200,-200,-87,-200,-84,-84,-94,-200,-91,-92,-93,-200,-200,-92,-82,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-89,-200,-75,-76,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455451011,-26,-42,-48,-41,-51,-44,-47,-54,-54,-50,-74,-56,-64,-70,-60,-200,-64,-68,-79,-76,-63,-72,-64,-58,-77,-61,-67,-81,-68,-80,-85,-76,-76,-75,-77,-73,-80,-200,-200,-79,-79,-200,-77,-85,-80,-84,-78,-88,-87,-88,-84,-200,-91,-83,-200,-88,-81,-82,-78,-92,-77,-84,-91,-77,-200,-84,-91,-88,-200,-91,-93,-89,-92,-84,-84,-94,-200,-91,-95,-93,-200,-200,-92,-82,-90,-200,-200,-200,-200,-90,-200,-200,-200,-97,-200,-200,-200,-200,-200,-200,-94,-200,-95,-73,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
