,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A48,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,WHU-2018,DLINK_D02A20,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,DLINK_D02A60,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro
,0c:73:eb:d0:2a:28,74:da:da:c0:d7:09,74:da:da:c1:47:cd,74:da:da:c1:14:99,74:da:da:c0:d7:ed,74:da:da:c1:17:75,74:da:da:c1:4a:a5,74:da:da:98:db:44,74:da:da:c1:14:9a,74:da:da:c1:3b:45,0c:73:eb:d0:2a:48,0c:73:eb:d0:0e:c0,74:da:da:c1:3b:79,74:da:da:c1:4a:7d,0c:73:eb:d0:2a:88,0c:73:eb:d0:76:20,0c:73:eb:d0:2a:20,0c:73:eb:d0:2a:38,74:da:da:c1:02:95,74:da:da:c0:d8:59,74:da:da:c1:3c:6d,0c:73:eb:d0:0e:d0,74:da:da:c0:d8:05,74:da:da:c1:3b:85,0c:73:eb:d0:2a:98,74:da:da:c1:47:ce,0c:73:eb:d0:2a:58,74:da:da:c1:17:76,74:da:da:c1:4a:c9,74:da:da:98:8f:64,74:da:da:c1:3d:09,74:da:da:c1:04:49,0c:73:eb:d0:76:58,74:da:da:c0:d7:0a,74:da:da:c0:d7:e9,0c:73:eb:d0:2a:30,74:da:da:c0:d8:25,74:da:da:c1:04:4d,74:da:da:c1:3b:49,0c:73:eb:d0:19:b0,74:da:da:c1:3b:e9,74:da:da:c1:3d:0d,74:da:da:c1:61:69,74:da:da:c1:4a:a6,74:da:da:c0:d7:dd,0c:73:eb:d0:76:40,74:da:da:c1:25:9d,74:da:da:c1:3c:51,74:da:da:c1:4a:7e,74:da:da:c0:de:2d,74:da:da:98:ea:4c,74:da:da:c0:d7:81,0c:73:eb:d0:2a:18,74:da:da:c1:3b:46,74:da:da:c1:5e:ed,74:da:da:c1:3d:05,74:da:da:98:91:d4,74:da:da:c1:3b:65,74:da:da:98:8d:78,0c:73:eb:d0:0e:d8,0c:73:eb:d0:2a:60,74:da:da:c1:04:45,0c:73:eb:d0:7e:d8,0c:73:eb:d0:19:a8,74:da:da:98:db:45,74:da:da:c0:d7:ea,74:da:da:98:ea:64,74:da:da:c1:3c:e1,74:da:da:c0:d8:7d,0c:73:eb:d0:7e:f8,74:da:da:c1:25:a1,0c:73:eb:d0:11:b0,74:da:da:c1:3c:d1,74:da:da:98:8f:30,74:da:da:c1:3b:7a,74:da:da:98:8f:3c,74:da:da:c1:3b:4d,0c:73:eb:d0:0e:b8,0c:73:eb:d0:76:48,74:da:da:c0:d7:ee,74:da:da:c0:f4:69,74:da:da:c1:4a:ca,0c:73:eb:d0:7c:10,74:da:da:c1:3b:29,74:da:da:98:92:14,74:da:da:c1:3b:9d,74:da:da:c1:3d:85,74:da:da:c1:3c:ad,0c:73:eb:d0:11:d0,74:da:da:c1:4b:05,74:da:da:c1:3c:91,74:da:da:c0:f3:59,0c:73:eb:d0:0e:b0,74:da:da:c0:d9:39,0c:73:eb:d0:0e:90,c0:61:18:93:3e:54,74:da:da:c1:3d:35,74:da:da:c0:d8:06,74:da:da:c1:3b:69,74:da:da:c0:f6:15,74:da:da:c1:02:96,bc:d1:77:5f:6a:b4,74:da:da:c1:48:bd,74:da:da:c1:25:e5,0c:73:eb:d0:0e:98,74:da:da:c0:f3:05
1526457807290,-41,-46,-50,-50,-50,-51,-51,-53,-55,-56,-58,-59,-59,-60,-61,-61,-63,-63,-67,-68,-70,-70,-71,-72,-73,-74,-75,-76,-76,-77,-78,-79,-79,-79,-80,-80,-81,-81,-81,-81,-83,-83,-83,-84,-84,-84,-84,-84,-85,-85,-86,-86,-86,-87,-87,-87,-87,-87,-88,-89,-89,-89,-91,-93,-93,-93,-94,-94,-94,-94,-94,-94,-94,-94,-95,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457810333,-34,-49,-47,-46,-55,-49,-47,-52,-54,-56,-59,-54,-58,-58,-73,-56,-61,-50,-75,-71,-70,-65,-68,-74,-73,-68,-200,-74,-76,-73,-80,-87,-73,-78,-200,-75,-80,-78,-88,-70,-86,-200,-82,-88,-84,-88,-84,-92,-92,-85,-87,-86,-86,-85,-80,-85,-95,-87,-88,-200,-87,-89,-91,-90,-91,-93,-94,-200,-200,-200,-94,-200,-94,-93,-94,-97,-82,-87,-89,-90,-91,-92,-95,-95,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457813367,-36,-49,-45,-43,-55,-51,-47,-56,-57,-57,-59,-56,-58,-58,-73,-57,-54,-61,-77,-69,-72,-66,-63,-75,-70,-68,-73,-73,-77,-71,-80,-87,-74,-78,-83,-75,-78,-75,-88,-71,-84,-200,-80,-87,-80,-87,-87,-92,-90,-200,-86,-200,-200,-86,-82,-78,-95,-200,-200,-200,-87,-200,-200,-89,-90,-200,-95,-200,-200,-200,-200,-200,-200,-93,-93,-200,-81,-85,-89,-90,-91,-94,-83,-95,-96,-84,-88,-92,-93,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457816418,-37,-47,-47,-48,-56,-51,-44,-58,-55,-59,-61,-55,-55,-52,-76,-56,-63,-61,-80,-69,-72,-69,-66,-76,-71,-67,-73,-77,-75,-75,-80,-88,-73,-80,-87,-75,-78,-77,-91,-75,-89,-200,-83,-87,-79,-84,-87,-92,-92,-200,-87,-200,-76,-84,-81,-85,-94,-200,-200,-200,-87,-200,-84,-89,-90,-200,-95,-200,-200,-200,-200,-200,-200,-92,-93,-200,-85,-86,-90,-91,-91,-93,-89,-95,-96,-84,-89,-92,-95,-94,-87,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457819467,-36,-46,-48,-46,-55,-51,-47,-61,-54,-57,-60,-53,-56,-59,-81,-59,-60,-52,-76,-74,-72,-67,-62,-76,-70,-69,-71,-74,-71,-76,-80,-88,-76,-83,-87,-76,-79,-76,-91,-75,-82,-200,-83,-84,-79,-85,-87,-86,-93,-200,-85,-93,-76,-82,-80,-83,-94,-200,-87,-200,-200,-200,-84,-83,-91,-200,-94,-200,-200,-200,-200,-200,-200,-93,-93,-200,-83,-87,-90,-88,-200,-93,-91,-200,-200,-84,-89,-92,-91,-94,-86,-92,-95,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457822518,-35,-45,-49,-48,-57,-51,-47,-63,-55,-57,-65,-51,-57,-60,-79,-55,-57,-54,-78,-75,-69,-67,-67,-75,-72,-69,-71,-75,-76,-78,-80,-87,-74,-84,-86,-83,-80,-77,-91,-71,-81,-200,-83,-84,-79,-87,-200,-86,-90,-200,-85,-93,-76,-85,-80,-83,-94,-88,-87,-200,-200,-200,-86,-88,-92,-200,-94,-200,-200,-200,-200,-200,-200,-92,-93,-200,-86,-87,-90,-88,-92,-93,-91,-200,-97,-200,-89,-200,-91,-94,-86,-92,-95,-98,-92,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457825545,-36,-46,-48,-46,-55,-50,-45,-61,-53,-48,-61,-52,-57,-59,-73,-58,-60,-56,-78,-74,-69,-67,-68,-76,-72,-69,-71,-76,-85,-78,-80,-87,-72,-85,-86,-83,-80,-76,-88,-73,-81,-200,-82,-83,-80,-86,-200,-83,-91,-200,-76,-93,-200,-85,-81,-83,-94,-89,-87,-200,-87,-200,-86,-90,-92,-200,-94,-200,-200,-200,-200,-200,-200,-92,-92,-200,-83,-87,-90,-90,-92,-93,-91,-200,-97,-200,-84,-200,-91,-200,-86,-200,-95,-98,-92,-94,-93,-94,-94,-200,-200,-200,-200,-200,-200,-200
1526457828595,-39,-46,-52,-47,-55,-51,-45,-53,-56,-59,-65,-54,-55,-60,-82,-54,-58,-54,-68,-71,-72,-64,-68,-76,-70,-67,-200,-71,-73,-75,-82,-81,-68,-77,-81,-83,-81,-76,-87,-73,-81,-200,-82,-80,-81,-86,-200,-83,-90,-200,-88,-200,-76,-87,-83,-88,-94,-89,-200,-200,-84,-200,-88,-90,-92,-200,-94,-200,-200,-200,-200,-200,-200,-96,-88,-200,-86,-87,-200,-88,-92,-93,-200,-200,-97,-200,-83,-200,-200,-200,-87,-200,-92,-200,-92,-94,-94,-94,-94,-93,-94,-96,-200,-200,-200,-200
1526457831648,-36,-49,-48,-42,-54,-52,-45,-57,-50,-59,-65,-54,-56,-56,-78,-57,-59,-61,-72,-72,-72,-65,-67,-75,-75,-66,-200,-76,-75,-74,-82,-89,-73,-82,-82,-200,-79,-76,-87,-70,-80,-77,-79,-82,-79,-87,-200,-85,-94,-200,-87,-200,-76,-85,-83,-88,-94,-89,-200,-200,-84,-200,-88,-90,-92,-93,-96,-95,-200,-200,-94,-200,-200,-94,-93,-200,-83,-88,-200,-88,-200,-200,-200,-200,-200,-200,-83,-200,-92,-94,-87,-89,-92,-200,-200,-200,-89,-92,-94,-93,-94,-96,-87,-100,-200,-200
