,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,DLINK_D02A98,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,NETWORK,D-Link_DIR-823Pro,DLINK_D00E98,DLINK_D02A10,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
,0c:73:eb:d0:2a:28,74:da:da:c1:14:99,74:da:da:c1:3b:45,74:da:da:c0:d7:09,74:da:da:c1:17:75,0c:73:eb:d0:2a:88,74:da:da:98:db:44,74:da:da:c1:4a:a5,74:da:da:c1:3b:79,0c:73:eb:d0:2a:38,74:da:da:c1:02:95,0c:73:eb:d0:76:20,74:da:da:c1:47:cd,74:da:da:c1:14:9a,0c:73:eb:d0:0e:c0,74:da:da:c0:d7:ed,74:da:da:c1:4a:7d,74:da:da:c1:3b:85,0c:73:eb:d0:2a:20,74:da:da:c0:d8:05,74:da:da:c1:4a:c9,74:da:da:c0:d8:59,74:da:da:c1:47:ce,0c:73:eb:d0:0e:d0,74:da:da:c1:3c:6d,74:da:da:c1:17:76,74:da:da:98:8f:64,74:da:da:c1:3b:e9,0c:73:eb:d0:19:b0,0c:73:eb:d0:2a:48,0c:73:eb:d0:2a:98,74:da:da:c0:d7:e9,0c:73:eb:d0:2a:30,74:da:da:98:8f:3c,74:da:da:c1:04:4d,0c:73:eb:d0:2a:58,74:da:da:c1:3d:09,0c:73:eb:d0:76:58,74:da:da:c0:d7:dd,74:da:da:c1:3d:85,74:da:da:c1:61:69,74:da:da:c1:04:49,74:da:da:c0:d7:0a,74:da:da:c1:3b:46,74:da:da:c1:3b:4d,74:da:da:c1:3c:91,74:da:da:c0:d8:25,74:da:da:c1:25:9d,74:da:da:c1:4a:a6,74:da:da:c1:3b:49,74:da:da:c1:5e:ed,74:da:da:c1:4a:7e,0c:73:eb:d0:19:a8,74:da:da:c1:3b:65,74:da:da:c1:3c:ad,0c:73:eb:d0:11:d0,0c:73:eb:d0:0e:b8,74:da:da:c1:04:45,0c:73:eb:d0:7e:d8,74:da:da:c1:4b:05,74:da:da:c1:3b:7a,74:da:da:98:ea:4c,74:da:da:c0:d7:ee,74:da:da:98:8d:78,74:da:da:c0:d7:ea,74:da:da:98:ea:64,74:da:da:c1:3c:e1,74:da:da:98:db:45,74:da:da:98:91:d4,74:da:da:c1:3c:51,74:da:da:98:8f:30,74:da:da:c0:f4:69,0c:73:eb:d0:2a:18,74:da:da:c1:4b:01,0c:73:eb:d0:76:40,74:da:da:c0:f3:05,74:da:da:c1:3c:92,0c:73:eb:d0:19:98,74:da:da:c1:3c:d1,74:da:da:98:92:14,0c:73:eb:d0:2a:68,0c:73:eb:d0:19:80,74:da:da:c1:3b:69,0c:73:eb:d0:0e:a8,74:da:da:c1:4b:59,74:da:da:c1:02:96,74:da:da:c0:d7:81,74:da:da:c1:03:61,74:da:da:c1:25:a1,0c:73:eb:d0:7c:48,74:da:da:c0:f3:59,74:da:da:c1:3c:dd,74:da:da:98:66:cc,0c:73:eb:d0:2a:60,74:da:da:c0:d8:7d,0c:73:eb:d0:7c:08,0c:73:eb:d0:7e:f8,0c:73:eb:d0:11:b0,74:da:da:c0:de:2d,74:da:da:c1:4a:ca,74:da:da:98:8f:34,0c:73:eb:d0:7c:10,bc:d1:77:5f:6a:b4,74:da:da:c0:d7:b9,0c:73:eb:d0:0e:98,0c:73:eb:d0:2a:10,0c:73:eb:d0:7f:10,0c:73:eb:d0:76:48,74:da:da:c0:e0:71,74:da:da:c1:3d:0d,74:da:da:c0:e0:6d,0c:73:eb:d0:19:88
1526457879716,-43,-45,-46,-48,-49,-49,-50,-53,-54,-56,-59,-60,-61,-61,-62,-62,-65,-67,-68,-69,-69,-71,-71,-71,-72,-73,-74,-74,-74,-76,-77,-78,-78,-78,-79,-79,-80,-81,-81,-81,-82,-83,-83,-84,-85,-85,-86,-86,-87,-87,-88,-88,-89,-89,-89,-90,-90,-90,-90,-90,-90,-91,-92,-92,-93,-93,-93,-94,-94,-94,-96,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457882754,-40,-35,-44,-59,-59,-64,-49,-90,-49,-55,-71,-63,-67,-61,-63,-200,-64,-200,-73,-74,-200,-81,-84,-200,-200,-82,-73,-200,-200,-68,-77,-83,-80,-200,-200,-200,-87,-79,-200,-200,-200,-200,-84,-79,-200,-200,-85,-200,-88,-200,-200,-90,-200,-200,-200,-200,-89,-200,-87,-87,-200,-200,-91,-200,-200,-200,-200,-200,-200,-90,-200,-200,-81,-84,-87,-91,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457885799,-41,-38,-44,-57,-60,-66,-51,-75,-47,-65,-44,-64,-60,-59,-70,-200,-63,-65,-70,-73,-200,-80,-82,-200,-72,-79,-73,-84,-200,-71,-77,-83,-80,-200,-90,-200,-86,-78,-200,-200,-92,-70,-84,-74,-200,-200,-85,-200,-91,-200,-200,-92,-95,-88,-200,-200,-89,-200,-86,-87,-93,-200,-90,-200,-200,-200,-200,-200,-200,-87,-95,-93,-81,-85,-87,-94,-92,-86,-89,-93,-94,-97,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457888846,-40,-37,-42,-55,-60,-65,-46,-64,-47,-65,-65,-65,-51,-58,-71,-200,-59,-71,-75,-73,-69,-76,-87,-200,-72,-79,-67,-86,-200,-61,-81,-84,-80,-200,-86,-79,-63,-78,-89,-200,-92,-73,-90,-77,-200,-87,-87,-84,-94,-87,-90,-93,-94,-90,-200,-88,-89,-200,-83,-88,-93,-89,-90,-83,-200,-200,-200,-200,-85,-86,-95,-92,-83,-84,-85,-95,-93,-88,-89,-92,-94,-97,-97,-86,-87,-93,-93,-93,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457891896,-38,-39,-44,-56,-60,-64,-46,-68,-49,-74,-63,-60,-50,-56,-61,-65,-59,-74,-72,-73,-78,-76,-80,-78,-72,-77,-71,-88,-77,-60,-81,-85,-83,-200,-84,-76,-87,-76,-89,-200,-92,-79,-83,-77,-200,-87,-87,-84,-94,-87,-90,-93,-90,-87,-200,-86,-85,-92,-83,-86,-91,-87,-92,-89,-200,-200,-200,-93,-85,-90,-93,-92,-78,-83,-85,-95,-94,-88,-89,-92,-94,-97,-97,-86,-87,-93,-93,-85,-95,-83,-87,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457894953,-41,-40,-41,-65,-59,-65,-47,-65,-51,-71,-69,-63,-42,-63,-60,-59,-66,-73,-76,-71,-65,-80,-85,-77,-74,-77,-73,-88,-84,-55,-67,-85,-83,-200,-84,-76,-87,-83,-87,-200,-87,-77,-81,-77,-200,-81,-80,-85,-90,-87,-90,-92,-90,-87,-200,-89,-90,-92,-87,-86,-93,-87,-89,-91,-200,-200,-200,-93,-86,-86,-93,-90,-78,-80,-85,-95,-94,-88,-200,-95,-200,-200,-200,-86,-87,-93,-89,-86,-95,-83,-87,-98,-89,-89,-94,-99,-99,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457898011,-50,-37,-42,-55,-61,-58,-52,-78,-52,-67,-71,-57,-58,-65,-64,-62,-66,-71,-71,-71,-68,-70,-80,-77,-70,-81,-73,-88,-84,-59,-76,-91,-83,-91,-82,-82,-87,-81,-87,-200,-92,-74,-80,-73,-84,-81,-87,-85,-84,-200,-200,-92,-90,-86,-83,-87,-90,-92,-87,-86,-93,-94,-89,-92,-200,-200,-93,-93,-89,-86,-94,-90,-78,-80,-85,-200,-93,-200,-95,-95,-83,-200,-200,-200,-200,-91,-89,-86,-200,-83,-87,-98,-89,-89,-91,-99,-99,-94,-94,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457901065,-41,-37,-41,-54,-60,-61,-43,-78,-52,-72,-68,-59,-61,-59,-59,-62,-65,-69,-73,-69,-68,-71,-87,-76,-70,-81,-70,-87,-76,-61,-61,-91,-200,-91,-84,-85,-84,-81,-94,-200,-92,-71,-89,-75,-84,-81,-89,-84,-85,-200,-200,-93,-97,-86,-83,-87,-88,-92,-87,-85,-93,-94,-89,-84,-200,-200,-94,-200,-89,-86,-94,-90,-200,-80,-85,-200,-93,-200,-95,-95,-83,-200,-200,-200,-200,-92,-89,-88,-200,-200,-81,-200,-89,-89,-92,-99,-99,-94,-96,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457904115,-39,-40,-42,-55,-64,-63,-43,-63,-50,-69,-67,-56,-62,-61,-61,-68,-68,-72,-77,-73,-68,-77,-85,-77,-77,-81,-68,-82,-76,-64,-74,-86,-200,-91,-84,-78,-84,-86,-94,-200,-90,-70,-89,-73,-81,-200,-87,-85,-90,-200,-200,-87,-97,-86,-86,-87,-88,-89,-87,-86,-93,-94,-92,-84,-200,-200,-94,-200,-89,-85,-94,-92,-200,-200,-200,-200,-93,-200,-95,-91,-83,-200,-200,-200,-200,-92,-200,-88,-200,-200,-81,-200,-200,-200,-92,-200,-200,-94,-96,-95,-80,-88,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200
