,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,DLINK_D02A20,DLINK_D02A30,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A60,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro
,0c:73:eb:d0:2a:98,74:da:da:c1:47:cd,74:da:da:c0:d8:59,74:da:da:c0:d7:ed,0c:73:eb:d0:2a:58,74:da:da:c0:d8:05,0c:73:eb:d0:2a:48,74:da:da:c1:17:75,0c:73:eb:d0:0e:c0,74:da:da:c0:d7:e9,74:da:da:c1:47:ce,0c:73:eb:d0:2a:18,74:da:da:c1:4a:7d,0c:73:eb:d0:2a:10,74:da:da:c0:d8:06,74:da:da:c1:04:49,0c:73:eb:d0:2a:28,74:da:da:c1:3b:9d,0c:73:eb:d0:19:a8,74:da:da:98:ea:4c,74:da:da:98:8f:34,74:da:da:c1:14:99,0c:73:eb:d0:2a:38,0c:73:eb:d0:76:48,74:da:da:c0:d7:09,74:da:da:c1:3b:4d,0c:73:eb:d0:0e:d0,74:da:da:c0:d7:81,0c:73:eb:d0:76:40,0c:73:eb:d0:0e:d8,0c:73:eb:d0:2a:20,0c:73:eb:d0:2a:30,0c:73:eb:d0:2a:88,74:da:da:c1:3d:09,74:da:da:c0:d7:dd,0c:73:eb:d0:13:c0,74:da:da:c0:d7:ee,74:da:da:c1:4a:a5,74:da:da:c1:4a:c9,74:da:da:c1:17:76,74:da:da:c1:3d:35,74:da:da:c0:e0:81,0c:73:eb:d0:11:b8,74:da:da:98:ea:64,74:da:da:c1:3d:85,74:da:da:c1:3c:8d,74:da:da:c1:04:4d,74:da:da:c0:d7:ea,74:da:da:c1:3b:45,74:da:da:c1:02:95,74:da:da:c1:04:45,0c:73:eb:d0:0e:90,74:da:da:c0:e0:69,0c:73:eb:d0:2a:60,0c:73:eb:d0:76:58,74:da:da:c1:61:69,74:da:da:c1:3d:05,74:da:da:98:8f:64,74:da:da:98:7a:60,74:da:da:c1:25:9d,74:da:da:c1:3d:0d,74:da:da:98:ea:4d,0c:73:eb:d0:76:20,0c:73:eb:d0:19:c8,74:da:da:c0:d7:11,0c:73:eb:d0:7c:30,0c:73:eb:d0:11:f0,74:da:da:98:db:44,74:da:da:c1:4a:a6,0c:73:eb:d0:7e:f0,74:da:da:c1:3c:99,74:da:da:c1:3b:85,74:da:da:c1:3c:6d,74:da:da:c1:14:9a,74:da:da:c0:d7:0a,0c:73:eb:d0:11:e8,0c:73:eb:d0:0e:b8,74:da:da:98:ea:5c,74:da:da:c0:e0:71,0c:73:eb:d0:7e:e8,74:da:da:98:8f:3c,74:da:da:c1:4a:ca,0c:73:eb:d0:76:30,74:da:da:98:7a:4c,74:da:da:c0:d7:9d,0c:73:eb:d0:76:50,74:da:da:c1:3b:49,0c:73:eb:d0:11:b0,74:da:da:c0:d7:82,74:da:da:c1:4a:7e,74:da:da:c0:d7:01,74:da:da:c0:d8:25,0c:73:eb:d0:0e:b0,74:da:da:c1:25:a1,74:da:da:c1:03:61,0c:73:eb:d0:76:10,74:da:da:98:8f:30,0c:73:eb:d0:19:b8,0c:73:eb:d0:19:c0,74:da:da:c0:d8:1d,74:da:da:c0:d7:de,74:da:da:98:ea:65,74:da:da:c1:3b:46,0c:73:eb:d0:19:b0,74:da:da:c1:25:69,0c:73:eb:d0:2a:90,74:da:da:98:ea:54,74:da:da:c1:3b:69,74:da:da:98:7a:68,74:da:da:c0:d8:26,74:da:da:c1:3c:e1
1526461639556,-33,-34,-35,-41,-50,-53,-54,-54,-55,-57,-62,-64,-64,-64,-65,-65,-66,-66,-67,-67,-68,-68,-69,-69,-70,-71,-71,-72,-72,-72,-73,-74,-74,-74,-75,-76,-77,-77,-78,-79,-79,-79,-79,-79,-80,-80,-80,-81,-81,-81,-81,-81,-82,-82,-83,-83,-84,-85,-86,-86,-86,-87,-87,-87,-87,-89,-90,-90,-90,-90,-91,-91,-92,-92,-92,-93,-93,-94,-94,-95,-95,-95,-96,-96,-96,-97,-97,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461642596,-26,-42,-44,-49,-45,-47,-55,-52,-51,-58,-58,-78,-65,-62,-68,-66,-200,-200,-70,-66,-66,-76,-69,-53,-72,-76,-65,-64,-200,-200,-68,-70,-75,-76,-59,-200,-74,-72,-72,-76,-68,-200,-200,-200,-70,-84,-71,-83,-75,-73,-200,-74,-200,-200,-80,-200,-87,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-79,-82,-93,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-88,-200,-200,-200,-94,-94,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461645638,-24,-42,-43,-49,-45,-47,-49,-52,-50,-56,-58,-77,-59,-62,-71,-72,-200,-83,-63,-61,-66,-72,-73,-52,-67,-72,-65,-68,-79,-75,-60,-57,-68,-76,-58,-80,-74,-72,-68,-70,-70,-200,-200,-200,-70,-84,-70,-82,-72,-73,-84,-74,-200,-80,-76,-200,-87,-84,-200,-200,-200,-92,-200,-90,-200,-200,-200,-85,-87,-93,-200,-200,-86,-85,-95,-200,-200,-200,-200,-200,-200,-88,-200,-200,-88,-200,-200,-200,-91,-91,-95,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461648696,-24,-37,-46,-50,-45,-45,-49,-46,-50,-57,-61,-68,-58,-54,-68,-66,-67,-81,-65,-62,-76,-69,-72,-66,-66,-74,-72,-69,-78,-67,-61,-69,-74,-68,-59,-83,-77,-200,-68,-70,-70,-90,-93,-200,-75,-84,-69,-82,-76,-72,-84,-79,-200,-80,-76,-200,-88,-84,-200,-85,-200,-200,-84,-86,-200,-93,-200,-86,-89,-200,-200,-200,-88,-91,-95,-200,-92,-90,-200,-200,-200,-200,-200,-200,-92,-92,-200,-200,-94,-91,-200,-77,-81,-87,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461651749,-25,-41,-41,-49,-42,-45,-57,-53,-53,-66,-58,-68,-59,-57,-67,-69,-65,-84,-61,-58,-67,-72,-72,-65,-72,-68,-72,-62,-78,-73,-60,-68,-74,-76,-58,-80,-79,-200,-64,-73,-72,-90,-93,-200,-76,-84,-66,-86,-74,-71,-84,-79,-200,-80,-79,-200,-88,-84,-200,-85,-200,-200,-84,-86,-200,-93,-200,-86,-89,-200,-200,-200,-86,-91,-93,-200,-92,-91,-200,-200,-200,-94,-200,-200,-92,-93,-200,-200,-94,-93,-200,-77,-83,-87,-91,-92,-69,-92,-99,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461654779,-23,-42,-43,-49,-42,-44,-56,-53,-52,-64,-58,-78,-59,-64,-67,-71,-65,-84,-62,-61,-67,-72,-71,-55,-73,-76,-72,-65,-78,-67,-60,-68,-68,-75,-58,-84,-78,-69,-65,-72,-71,-90,-93,-200,-76,-81,-65,-83,-74,-69,-200,-82,-200,-200,-79,-200,-88,-84,-93,-83,-200,-200,-85,-86,-92,-93,-200,-86,-87,-200,-200,-200,-87,-90,-94,-200,-92,-91,-200,-200,-200,-94,-200,-200,-92,-93,-200,-200,-95,-93,-200,-68,-83,-87,-91,-92,-61,-92,-99,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461657827,-25,-43,-38,-48,-46,-44,-49,-54,-55,-53,-60,-72,-58,-63,-73,-71,-61,-78,-65,-62,-66,-72,-64,-54,-76,-69,-200,-65,-74,-66,-71,-68,-72,-68,-57,-86,-78,-70,-66,-73,-70,-200,-89,-200,-73,-81,-65,-80,-74,-69,-200,-81,-200,-200,-79,-200,-200,-200,-93,-83,-200,-93,-84,-200,-92,-200,-200,-86,-87,-96,-200,-200,-84,-89,-92,-200,-200,-91,-200,-200,-200,-94,-200,-200,-92,-94,-200,-200,-97,-92,-200,-75,-84,-200,-91,-200,-77,-92,-99,-82,-87,-94,-95,-200,-200,-200,-200,-200,-200,-200,-200
1526461660884,-32,-47,-43,-50,-42,-43,-50,-53,-52,-53,-57,-73,-63,-64,-70,-67,-64,-78,-62,-66,-67,-78,-68,-58,-75,-69,-67,-65,-74,-63,-61,-70,-74,-72,-60,-86,-78,-70,-65,-71,-62,-90,-89,-200,-73,-86,-69,-84,-73,-72,-200,-83,-200,-200,-80,-200,-80,-200,-93,-83,-200,-93,-91,-200,-92,-200,-200,-86,-87,-96,-200,-200,-85,-90,-92,-200,-200,-200,-200,-200,-200,-94,-200,-200,-92,-94,-200,-200,-97,-92,-200,-75,-84,-200,-200,-200,-77,-200,-200,-82,-86,-94,-95,-200,-200,-200,-200,-200,-200,-200,-200
1526461663938,-32,-54,-40,-45,-43,-50,-47,-55,-55,-60,-56,-73,-63,-60,-74,-74,-70,-80,-63,-66,-69,-71,-69,-61,-75,-69,-66,-62,-74,-63,-61,-71,-71,-72,-56,-88,-74,-70,-62,-67,-73,-90,-89,-200,-73,-86,-65,-76,-79,-68,-200,-83,-200,-77,-80,-200,-78,-200,-200,-200,-200,-93,-91,-200,-200,-200,-200,-82,-85,-96,-200,-200,-86,-83,-91,-200,-88,-92,-200,-200,-200,-94,-200,-200,-92,-91,-200,-200,-97,-88,-200,-67,-81,-200,-200,-200,-77,-200,-200,-200,-86,-95,-95,-93,-200,-200,-200,-200,-200,-200,-200
