,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,DLINK_D00ED0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,DLINK_D02A88,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A30,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018
,0c:73:eb:d0:2a:48,74:da:da:c0:d7:ed,74:da:da:c0:d7:09,0c:73:eb:d0:2a:38,74:da:da:c1:47:cd,74:da:da:c1:4a:c9,0c:73:eb:d0:2a:20,0c:73:eb:d0:0e:d0,74:da:da:c0:d7:ee,74:da:da:c1:17:75,74:da:da:c1:4a:7d,0c:73:eb:d0:76:40,0c:73:eb:d0:2a:98,74:da:da:c0:d8:59,74:da:da:c1:3b:4d,0c:73:eb:d0:2a:28,0c:73:eb:d0:2a:88,74:da:da:c1:14:99,0c:73:eb:d0:0e:c0,74:da:da:c0:d8:05,74:da:da:c1:04:4d,0c:73:eb:d0:19:a8,74:da:da:c1:02:95,74:da:da:c1:47:ce,74:da:da:98:8f:64,74:da:da:c1:4a:ca,74:da:da:98:ea:4c,74:da:da:98:7a:68,74:da:da:c0:d7:e9,74:da:da:c0:d7:0a,74:da:da:c1:3b:e9,74:da:da:c1:3b:45,74:da:da:c0:d7:ea,74:da:da:98:7a:60,74:da:da:c1:61:69,74:da:da:c1:25:a1,0c:73:eb:d0:0e:b8,74:da:da:98:db:44,74:da:da:c1:3d:09,0c:73:eb:d0:13:c0,0c:73:eb:d0:2a:30,0c:73:eb:d0:0e:d8,74:da:da:c1:4a:7e,74:da:da:c1:04:49,0c:73:eb:d0:76:20,74:da:da:c1:4a:a6,74:da:da:98:7a:50,74:da:da:c1:17:76,74:da:da:c1:3c:99,74:da:da:c1:14:9a,0c:73:eb:d0:11:d0,74:da:da:c0:f3:59,0c:73:eb:d0:0e:98,74:da:da:c1:4a:a5,74:da:da:c1:3b:9d,74:da:da:c0:d7:dd,74:da:da:c1:3d:35,0c:73:eb:d0:76:58,74:da:da:98:8f:30,0c:73:eb:d0:2a:18,0c:73:eb:d0:11:b8,0c:73:eb:d0:76:30,74:da:da:c1:3b:4e,0c:73:eb:d0:2a:58,0c:73:eb:d0:2a:10,74:da:da:c1:3c:6d,74:da:da:c1:25:9d,74:da:da:98:ea:64,0c:73:eb:d0:2a:60,74:da:da:c1:04:45,74:da:da:c0:de:2d,74:da:da:c1:3b:79,74:da:da:c0:d8:06,74:da:da:c0:e0:71,0c:73:eb:d0:11:b0,0c:73:eb:d0:76:48,0c:73:eb:d0:0e:90,0c:73:eb:d0:76:50,74:da:da:98:7a:6c,74:da:da:c0:f3:05,0c:73:eb:d0:13:a0,74:da:da:c0:d8:1d,0c:73:eb:d0:19:b0,74:da:da:c1:3d:0d,74:da:da:c1:3c:ad,0c:73:eb:d0:0e:b0,74:da:da:c1:3d:85,0c:73:eb:d0:2a:68,74:da:da:c0:d8:25,74:da:da:c0:d7:81,74:da:da:98:ea:5c,0c:73:eb:d0:76:10,0c:73:eb:d0:11:f0,0c:73:eb:d0:19:98,74:da:da:98:8d:78,74:da:da:c1:04:4e,0c:73:eb:d0:11:e8,0c:73:eb:d0:2a:90
1526458234430,-35,-43,-46,-47,-49,-50,-51,-55,-56,-57,-60,-61,-62,-63,-65,-66,-68,-68,-69,-72,-72,-74,-75,-77,-77,-77,-77,-77,-80,-82,-83,-84,-84,-84,-85,-85,-85,-86,-86,-87,-87,-87,-89,-89,-90,-90,-91,-92,-93,-94,-96,-96,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458237471,-37,-42,-44,-69,-33,-51,-46,-58,-56,-52,-200,-200,-50,-56,-53,-58,-74,-72,-65,-68,-64,-67,-56,-75,-80,-70,-66,-200,-70,-72,-200,-78,-85,-200,-90,-84,-87,-83,-200,-84,-86,-200,-78,-89,-84,-81,-87,-82,-200,-85,-93,-200,-200,-67,-76,-79,-84,-86,-86,-89,-93,-94,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458240509,-41,-40,-44,-69,-34,-56,-47,-58,-57,-60,-59,-64,-50,-58,-57,-60,-74,-61,-70,-66,-63,-74,-63,-71,-82,-72,-66,-79,-65,-70,-88,-77,-86,-200,-81,-81,-93,-83,-200,-83,-90,-200,-79,-89,-88,-84,-85,-84,-200,-83,-96,-200,-200,-67,-76,-79,-83,-71,-89,-87,-96,-94,-94,-68,-78,-79,-83,-85,-86,-87,-89,-89,-92,-95,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458243548,-41,-44,-45,-63,-36,-51,-48,-62,-57,-57,-53,-67,-50,-59,-55,-59,-71,-69,-70,-66,-60,-75,-64,-83,-82,-73,-66,-77,-69,-72,-87,-79,-85,-200,-81,-82,-93,-84,-200,-84,-89,-200,-79,-90,-87,-82,-88,-84,-200,-88,-96,-200,-200,-68,-76,-81,-83,-71,-88,-90,-94,-95,-92,-68,-84,-79,-87,-87,-86,-87,-87,-89,-92,-95,-97,-93,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458246603,-40,-39,-44,-49,-35,-52,-47,-59,-56,-54,-51,-65,-53,-57,-54,-60,-69,-71,-70,-66,-63,-75,-61,-84,-82,-71,-90,-80,-68,-71,-70,-76,-85,-200,-89,-82,-93,-85,-200,-82,-86,-76,-79,-85,-84,-82,-89,-89,-200,-88,-93,-200,-95,-69,-200,-81,-85,-87,-86,-90,-94,-95,-93,-62,-84,-79,-86,-87,-86,-88,-87,-90,-92,-95,-95,-93,-94,-93,-94,-95,-96,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458249654,-37,-44,-43,-66,-35,-51,-49,-59,-56,-58,-56,-67,-50,-59,-54,-60,-72,-63,-71,-68,-64,-75,-61,-83,-82,-71,-88,-80,-70,-73,-70,-77,-85,-200,-89,-83,-200,-86,-89,-83,-86,-76,-79,-86,-82,-82,-89,-86,-200,-87,-93,-200,-90,-67,-200,-81,-85,-88,-87,-90,-94,-95,-93,-61,-84,-79,-86,-87,-200,-88,-87,-88,-92,-200,-96,-95,-94,-93,-94,-95,-96,-97,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458252704,-36,-39,-46,-67,-34,-49,-49,-61,-55,-54,-52,-66,-51,-56,-56,-61,-70,-63,-64,-67,-63,-67,-65,-85,-82,-71,-88,-72,-70,-73,-70,-78,-86,-87,-89,-83,-200,-86,-89,-83,-89,-69,-80,-86,-82,-82,-89,-84,-200,-88,-93,-200,-96,-67,-200,-200,-83,-88,-87,-86,-200,-200,-93,-63,-81,-76,-86,-87,-200,-88,-200,-88,-200,-200,-98,-95,-200,-93,-94,-94,-96,-97,-79,-77,-90,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458255756,-37,-46,-46,-63,-34,-50,-48,-58,-56,-61,-59,-71,-51,-50,-53,-59,-70,-72,-69,-67,-59,-73,-63,-83,-80,-70,-88,-72,-72,-72,-200,-73,-86,-87,-82,-82,-200,-84,-85,-83,-85,-72,-79,-88,-82,-82,-89,-90,-200,-90,-93,-200,-96,-71,-200,-81,-84,-92,-87,-86,-93,-93,-91,-68,-81,-76,-84,-87,-200,-90,-200,-88,-200,-200,-98,-95,-200,-200,-94,-91,-200,-200,-79,-82,-90,-94,-82,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458258808,-38,-41,-45,-59,-35,-52,-47,-56,-56,-57,-53,-71,-52,-55,-54,-58,-70,-68,-70,-69,-64,-75,-62,-83,-80,-71,-200,-79,-64,-75,-85,-77,-86,-87,-87,-84,-200,-84,-85,-83,-86,-78,-79,-86,-200,-83,-88,-84,-200,-88,-93,-200,-96,-61,-200,-80,-87,-87,-88,-81,-93,-93,-92,-68,-81,-80,-84,-87,-200,-87,-91,-87,-95,-200,-95,-200,-200,-200,-95,-91,-200,-200,-200,-82,-90,-94,-88,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
