,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A20,DLINK_D00EC0,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,DLINK_D00ED8,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018
,74:da:da:c1:47:cd,74:da:da:c0:d8:59,0c:73:eb:d0:2a:98,74:da:da:c1:17:75,74:da:da:c0:d7:09,0c:73:eb:d0:2a:28,74:da:da:c1:47:ce,74:da:da:c0:d8:05,0c:73:eb:d0:2a:48,74:da:da:c1:4a:a5,74:da:da:c1:02:95,74:da:da:98:8f:64,0c:73:eb:d0:2a:58,74:da:da:c1:3b:45,74:da:da:c1:4a:7d,74:da:da:c0:d7:ea,74:da:da:c1:14:99,0c:73:eb:d0:2a:20,0c:73:eb:d0:0e:c0,0c:73:eb:d0:2a:38,74:da:da:c1:3b:4d,74:da:da:98:db:44,74:da:da:98:ea:4c,0c:73:eb:d0:19:a8,74:da:da:c1:14:9a,74:da:da:c1:04:49,74:da:da:c0:d7:ee,74:da:da:c0:d8:06,0c:73:eb:d0:2a:88,74:da:da:c1:4a:7e,74:da:da:c1:17:76,0c:73:eb:d0:2a:10,74:da:da:c1:4a:c9,0c:73:eb:d0:0e:d0,74:da:da:c1:04:4d,0c:73:eb:d0:0e:d8,0c:73:eb:d0:2a:30,74:da:da:c0:d7:0a,74:da:da:98:8f:34,0c:73:eb:d0:76:58,74:da:da:c1:4a:a6,74:da:da:c0:d7:81,74:da:da:c1:3c:6d,0c:73:eb:d0:2a:18,74:da:da:98:8f:30,74:da:da:c0:d8:25,74:da:da:98:ea:65,0c:73:eb:d0:76:48,0c:73:eb:d0:13:c0,74:da:da:98:ea:64,74:da:da:c1:3b:9d,74:da:da:c1:3d:85,74:da:da:c1:3b:e9,74:da:da:c1:3d:0a,74:da:da:c1:3c:8d,74:da:da:98:ea:54,0c:73:eb:d0:0e:b8,74:da:da:c0:d8:26,0c:73:eb:d0:76:30,0c:73:eb:d0:76:50,74:da:da:c0:de:2d,74:da:da:c0:d8:1d,74:da:da:c1:3c:d1,74:da:da:c0:d7:ed,74:da:da:c0:d7:e9,74:da:da:c1:3d:35,74:da:da:c1:3d:0d,74:da:da:c0:d7:dd,0c:73:eb:d0:76:20,74:da:da:c1:61:69,74:da:da:c1:3d:09,74:da:da:98:ea:5c,74:da:da:c1:25:a1,74:da:da:c1:3b:85,0c:73:eb:d0:19:b0,74:da:da:c0:d7:de,74:da:da:c0:e0:71,74:da:da:c0:f3:05,0c:73:eb:d0:19:c8,74:da:da:c1:4a:ca,74:da:da:c0:d7:82,74:da:da:c1:4b:05,0c:73:eb:d0:2a:50,0c:73:eb:d0:13:a0,0c:73:eb:d0:7e:e8,0c:73:eb:d0:76:40,0c:73:eb:d0:76:10,74:da:da:c1:3d:05,0c:73:eb:d0:11:d0,0c:73:eb:d0:7e:f0,0c:73:eb:d0:76:28,74:da:da:c1:3b:79,0c:73:eb:d0:2a:60,74:da:da:c0:d8:7d,74:da:da:98:8f:3c,74:da:da:c1:3b:65,0c:73:eb:d0:0e:98,74:da:da:c1:3d:06,74:da:da:c1:3d:0e,74:da:da:c0:d7:01,0c:73:eb:d0:0e:a8,0c:73:eb:d0:19:c0,74:da:da:c0:e0:69,0c:73:eb:d0:19:98,0c:73:eb:d0:0e:b0,0c:73:eb:d0:2a:90
1526465267729,-38,-46,-49,-51,-54,-55,-56,-57,-58,-58,-59,-59,-61,-63,-64,-65,-65,-66,-67,-67,-67,-68,-69,-70,-70,-70,-71,-71,-72,-72,-73,-74,-75,-75,-76,-77,-79,-79,-79,-80,-80,-80,-82,-82,-83,-84,-84,-84,-86,-87,-87,-87,-89,-91,-91,-92,-92,-93,-93,-94,-94,-95,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465270791,-33,-47,-50,-46,-51,-55,-54,-61,-52,-54,-54,-66,-64,-79,-58,-67,-55,-64,-62,-54,-77,-200,-72,-75,-72,-75,-76,-86,-60,-73,-74,-70,-59,-68,-83,-74,-77,-78,-200,-76,-79,-200,-85,-200,-200,-79,-200,-200,-200,-81,-94,-77,-83,-200,-87,-85,-88,-92,-91,-96,-200,-95,-94,-46,-66,-73,-78,-78,-79,-80,-80,-82,-86,-86,-88,-88,-88,-89,-90,-91,-91,-96,-96,-97,-99,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465273847,-37,-48,-50,-44,-47,-55,-57,-56,-59,-59,-58,-67,-64,-76,-63,-64,-66,-64,-65,-54,-69,-75,-69,-59,-70,-75,-77,-79,-68,-79,-78,-70,-64,-71,-83,-67,-81,-75,-200,-75,-79,-200,-83,-76,-200,-79,-92,-200,-200,-81,-86,-77,-85,-200,-74,-85,-88,-96,-93,-96,-200,-92,-94,-58,-66,-73,-78,-75,-74,-80,-77,-85,-86,-86,-88,-92,-88,-88,-89,-89,-92,-96,-96,-94,-99,-82,-86,-86,-87,-92,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465276901,-38,-48,-51,-42,-48,-58,-56,-62,-56,-52,-57,-67,-63,-75,-57,-80,-60,-64,-58,-53,-69,-75,-69,-68,-71,-75,-72,-83,-65,-82,-77,-74,-63,-73,-73,-71,-76,-77,-200,-76,-78,-200,-82,-84,-200,-80,-92,-200,-200,-80,-85,-79,-85,-92,-74,-89,-89,-96,-93,-96,-200,-92,-94,-53,-66,-73,-76,-79,-74,-80,-80,-87,-86,-89,-88,-91,-88,-88,-89,-92,-89,-96,-96,-94,-99,-82,-86,-86,-91,-90,-94,-80,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465279948,-38,-44,-51,-43,-47,-58,-56,-63,-57,-57,-56,-66,-63,-75,-62,-74,-70,-65,-59,-56,-69,-75,-68,-66,-72,-200,-72,-82,-65,-82,-76,-69,-64,-74,-73,-73,-79,-76,-200,-75,-77,-62,-81,-77,-200,-82,-92,-200,-200,-83,-85,-82,-85,-95,-74,-89,-89,-93,-93,-200,-200,-92,-200,-56,-200,-76,-76,-77,-73,-200,-79,-85,-200,-91,-200,-88,-200,-90,-89,-91,-88,-101,-96,-92,-200,-82,-86,-87,-88,-91,-95,-70,-89,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465283005,-38,-44,-49,-45,-48,-58,-58,-58,-59,-53,-55,-68,-61,-72,-67,-77,-67,-74,-61,-56,-69,-75,-72,-66,-76,-200,-72,-82,-66,-82,-74,-71,-64,-72,-74,-68,-81,-75,-200,-73,-76,-62,-83,-77,-200,-78,-200,-89,-200,-83,-86,-78,-200,-94,-200,-88,-89,-93,-95,-94,-200,-200,-200,-58,-200,-73,-77,-77,-70,-200,-77,-85,-90,-91,-200,-89,-200,-90,-93,-92,-93,-101,-96,-93,-200,-200,-200,-84,-87,-91,-95,-77,-89,-98,-85,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465286059,-38,-50,-51,-44,-48,-48,-53,-60,-58,-55,-57,-68,-55,-74,-67,-71,-70,-75,-59,-57,-68,-77,-72,-74,-75,-200,-71,-86,-66,-79,-72,-69,-64,-72,-70,-72,-79,-78,-200,-73,-76,-62,-82,-85,-68,-80,-200,-89,-200,-85,-84,-78,-200,-95,-88,-88,-90,-94,-95,-94,-200,-97,-200,-52,-64,-73,-73,-79,-70,-200,-77,-85,-90,-91,-200,-90,-92,-90,-93,-91,-88,-101,-96,-93,-200,-200,-88,-84,-87,-91,-95,-77,-200,-98,-85,-93,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465289115,-38,-48,-50,-46,-51,-55,-55,-60,-59,-54,-57,-67,-56,-75,-65,-75,-63,-74,-64,-55,-64,-77,-73,-65,-77,-89,-72,-82,-64,-80,-72,-71,-64,-73,-72,-67,-80,-77,-200,-74,-76,-200,-81,-85,-68,-77,-200,-89,-78,-82,-86,-79,-200,-95,-85,-88,-91,-92,-95,-96,-200,-97,-95,-56,-67,-75,-73,-75,-81,-200,-77,-200,-88,-86,-200,-90,-90,-89,-94,-91,-88,-200,-200,-93,-200,-200,-88,-84,-87,-200,-96,-78,-83,-200,-88,-95,-93,-96,-200,-200,-200,-200,-200,-200,-200,-200
1526465292170,-44,-49,-53,-44,-47,-58,-55,-59,-54,-55,-56,-71,-58,-77,-63,-64,-65,-65,-59,-57,-66,-77,-70,-77,-77,-89,-72,-77,-72,-73,-74,-73,-64,-67,-80,-74,-82,-81,-200,-74,-79,-200,-80,-82,-74,-83,-200,-82,-73,-82,-86,-79,-89,-88,-85,-88,-91,-92,-95,-96,-200,-95,-95,-55,-67,-73,-75,-78,-68,-200,-77,-89,-97,-86,-200,-90,-90,-89,-91,-91,-88,-200,-200,-200,-200,-200,-88,-85,-88,-200,-94,-78,-83,-200,-88,-95,-93,-96,-200,-200,-200,-200,-200,-200,-200,-200
