,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,DLINK_D00EC0,DLINK_D02A28,DLINK_D02A88,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018
,74:da:da:c0:d8:05,74:da:da:c1:47:cd,74:da:da:c0:d8:59,74:da:da:c1:17:75,0c:73:eb:d0:2a:48,74:da:da:c0:d7:ed,0c:73:eb:d0:2a:98,74:da:da:c1:47:ce,0c:73:eb:d0:2a:58,74:da:da:c0:d7:81,0c:73:eb:d0:0e:d0,74:da:da:c0:d7:dd,0c:73:eb:d0:0e:c0,0c:73:eb:d0:2a:28,0c:73:eb:d0:2a:88,0c:73:eb:d0:76:58,74:da:da:c1:04:4d,0c:73:eb:d0:2a:20,74:da:da:c1:14:99,74:da:da:c1:4a:7d,74:da:da:c1:04:49,0c:73:eb:d0:2a:38,0c:73:eb:d0:19:a8,74:da:da:c0:d7:09,74:da:da:c0:d7:e9,74:da:da:98:ea:64,74:da:da:c1:4a:a5,0c:73:eb:d0:0e:d8,74:da:da:98:ea:4c,74:da:da:c1:17:76,74:da:da:c1:4a:c9,74:da:da:c1:02:95,74:da:da:c0:d7:ea,0c:73:eb:d0:2a:10,74:da:da:98:8f:64,74:da:da:c1:3d:09,74:da:da:c1:3b:4d,74:da:da:c0:d8:25,74:da:da:c1:3d:35,0c:73:eb:d0:2a:30,0c:73:eb:d0:2a:18,74:da:da:c1:3d:85,0c:73:eb:d0:76:40,0c:73:eb:d0:2a:60,74:da:da:c1:25:9d,74:da:da:98:db:44,74:da:da:c0:d7:ee,74:da:da:c1:25:a1,74:da:da:c1:3c:8d,74:da:da:c1:3c:6d,74:da:da:c1:4a:7e,0c:73:eb:d0:76:30,0c:73:eb:d0:76:48,74:da:da:c1:04:45,74:da:da:c0:d8:06,0c:73:eb:d0:76:20,0c:73:eb:d0:19:c8,74:da:da:98:ea:54,74:da:da:c1:3b:45,0c:73:eb:d0:0e:b8,74:da:da:c0:f3:05,74:da:da:c1:4a:a6,74:da:da:c1:3b:e9,0c:73:eb:d0:13:c0,74:da:da:c0:e0:71,74:da:da:c1:3d:05,74:da:da:c0:d8:1d,74:da:da:c0:d7:82,74:da:da:98:ea:65,74:da:da:c1:3b:9d,74:da:da:c0:d8:26,0c:73:eb:d0:0e:98,74:da:da:c1:3d:0a,0c:73:eb:d0:2a:50,74:da:da:c0:d7:0a,0c:73:eb:d0:2a:90,74:da:da:c1:14:9a,74:da:da:c1:4a:ca,74:da:da:c0:e0:69,74:da:da:c1:3b:46,0c:73:eb:d0:11:f0,74:da:da:c0:d7:de,74:da:da:98:7a:50,74:da:da:c1:3c:99,74:da:da:c0:d7:11,0c:73:eb:d0:0e:90,74:da:da:98:8f:30,74:da:da:c0:d7:01,0c:73:eb:d0:13:a0,0c:73:eb:d0:19:c0,74:da:da:c1:3b:65,74:da:da:98:ea:55,0c:73:eb:d0:7c:38,0c:73:eb:d0:76:28,0c:73:eb:d0:76:10,0c:73:eb:d0:19:a0,74:da:da:c0:de:2d,74:da:da:98:ea:4d,0c:73:eb:d0:0e:a8,74:da:da:c0:f3:06,74:da:da:c1:3d:0d,0c:73:eb:d0:19:b0,0c:73:eb:d0:2a:68,74:da:da:c0:d6:f5,74:da:da:c1:3b:85,0c:73:eb:d0:76:50,0c:73:eb:d0:0e:b0,74:da:da:98:7a:60,74:da:da:c1:3c:d1,0c:73:eb:d0:19:98,74:da:da:c1:3b:79,74:da:da:c1:25:e5,74:da:da:98:8f:34,0c:73:eb:d0:7e:e8,74:da:da:98:8f:3c,0c:73:eb:d0:0e:a0,0c:73:eb:d0:13:c8,74:da:da:98:ea:5c,0c:73:eb:d0:2a:40
1526465414272,-39,-40,-44,-47,-49,-49,-50,-53,-55,-55,-56,-56,-59,-59,-60,-63,-63,-63,-63,-64,-65,-66,-67,-67,-67,-68,-68,-69,-69,-69,-69,-70,-70,-71,-71,-72,-72,-74,-74,-75,-75,-76,-77,-78,-79,-79,-80,-81,-82,-82,-83,-83,-83,-83,-84,-84,-84,-84,-86,-86,-87,-88,-88,-88,-88,-89,-89,-90,-90,-91,-93,-93,-93,-93,-93,-93,-94,-94,-94,-94,-96,-96,-97,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465417310,-43,-47,-44,-56,-53,-53,-46,-53,-44,-46,-66,-75,-53,-200,-58,-73,-64,-58,-66,-65,-200,-60,-65,-200,-38,-62,-63,-51,-200,-78,-200,-61,-64,-64,-71,-70,-64,-200,-71,-200,-63,-80,-200,-200,-200,-200,-78,-200,-77,-82,-82,-76,-75,-200,-76,-200,-77,-74,-84,-200,-200,-79,-200,-80,-200,-200,-85,-200,-88,-82,-200,-95,-200,-200,-82,-200,-87,-95,-200,-200,-200,-200,-200,-200,-70,-71,-71,-80,-86,-88,-92,-95,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465420349,-45,-50,-40,-54,-53,-56,-42,-55,-46,-47,-68,-74,-61,-61,-57,-76,-69,-59,-70,-65,-200,-65,-61,-200,-36,-62,-63,-53,-74,-75,-64,-62,-63,-74,-71,-74,-68,-71,-73,-200,-70,-88,-73,-86,-200,-200,-77,-80,-78,-82,-83,-76,-75,-82,-75,-200,-75,-73,-89,-200,-200,-80,-89,-80,-200,-78,-87,-200,-91,-83,-200,-96,-200,-91,-82,-200,-87,-95,-200,-200,-200,-200,-200,-200,-70,-71,-76,-80,-86,-89,-92,-95,-96,-78,-78,-89,-90,-93,-94,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465423408,-43,-50,-43,-64,-52,-56,-38,-50,-43,-46,-62,-74,-59,-62,-63,-76,-68,-63,-82,-63,-200,-65,-64,-55,-37,-62,-62,-55,-68,-77,-62,-59,-63,-74,-77,-67,-65,-71,-72,-75,-80,-79,-73,-85,-200,-200,-80,-80,-78,-78,-88,-78,-79,-82,-80,-200,-76,-72,-90,-200,-200,-83,-89,-80,-200,-73,-88,-89,-91,-83,-200,-96,-91,-88,-84,-200,-87,-95,-200,-200,-200,-92,-200,-200,-70,-71,-76,-80,-86,-91,-92,-95,-96,-79,-78,-89,-90,-91,-94,-95,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465426458,-43,-42,-47,-62,-51,-55,-42,-50,-48,-46,-68,-75,-51,-56,-59,-75,-69,-56,-68,-64,-200,-59,-65,-55,-37,-62,-59,-55,-68,-76,-61,-58,-64,-66,-77,-63,-70,-71,-76,-78,-69,-77,-77,-87,-200,-73,-79,-80,-79,-78,-87,-76,-79,-78,-74,-85,-75,-75,-83,-88,-200,-78,-89,-74,-200,-73,-87,-93,-91,-83,-200,-96,-94,-88,-82,-200,-87,-93,-200,-200,-200,-92,-200,-200,-71,-71,-74,-200,-78,-89,-90,-200,-200,-79,-78,-89,-90,-90,-94,-95,-68,-85,-93,-93,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465429517,-42,-38,-43,-63,-52,-47,-38,-52,-42,-47,-61,-73,-52,-64,-59,-59,-73,-57,-63,-60,-200,-62,-69,-54,-33,-62,-64,-55,-69,-83,-61,-60,-62,-66,-77,-67,-63,-71,-73,-79,-68,-77,-77,-89,-200,-73,-76,-200,-80,-78,-90,-77,-79,-78,-75,-85,-75,-74,-89,-82,-200,-81,-200,-77,-200,-73,-87,-89,-82,-82,-95,-200,-95,-85,-82,-85,-89,-93,-200,-200,-200,-91,-95,-200,-71,-77,-72,-200,-78,-88,-90,-200,-95,-85,-76,-200,-200,-90,-200,-200,-68,-85,-93,-93,-95,-78,-82,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465432567,-39,-41,-43,-53,-49,-46,-38,-58,-43,-45,-61,-71,-53,-60,-57,-75,-73,-59,-63,-60,-200,-69,-58,-53,-36,-62,-64,-55,-68,-75,-63,-65,-63,-67,-200,-61,-63,-74,-74,-77,-69,-77,-77,-90,-200,-73,-81,-200,-78,-78,-88,-77,-77,-78,-76,-85,-68,-78,-80,-85,-200,-80,-86,-88,-200,-76,-88,-89,-83,-82,-95,-93,-95,-85,-82,-85,-90,-93,-200,-200,-200,-92,-95,-200,-69,-71,-68,-200,-78,-86,-90,-200,-95,-80,-74,-200,-200,-92,-200,-200,-65,-85,-93,-93,-95,-82,-82,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465435619,-39,-38,-45,-52,-48,-40,-39,-52,-42,-48,-63,-68,-61,-58,-59,-77,-72,-62,-60,-63,-200,-66,-61,-61,-37,-62,-67,-53,-68,-82,-68,-66,-64,-67,-84,-63,-66,-74,-69,-76,-75,-75,-69,-81,-200,-200,-77,-200,-81,-200,-88,-77,-77,-200,-74,-81,-76,-71,-85,-85,-200,-83,-84,-84,-200,-74,-88,-85,-83,-84,-95,-93,-95,-85,-81,-85,-93,-200,-200,-200,-200,-90,-95,-200,-69,-82,-72,-200,-83,-89,-90,-200,-95,-80,-82,-200,-200,-92,-94,-200,-65,-200,-200,-200,-200,-80,-82,-96,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465438673,-41,-46,-43,-53,-53,-55,-43,-53,-47,-46,-64,-71,-56,-63,-57,-76,-76,-58,-61,-64,-200,-60,-62,-56,-35,-61,-62,-53,-72,-77,-66,-65,-66,-66,-78,-62,-58,-73,-69,-73,-73,-75,-75,-81,-200,-200,-76,-86,-78,-80,-88,-77,-78,-200,-83,-81,-75,-73,-85,-85,-200,-81,-85,-84,-200,-74,-88,-89,-85,-83,-92,-93,-200,-85,-82,-200,-92,-94,-200,-200,-200,-91,-200,-200,-70,-80,-72,-200,-83,-89,-90,-200,-96,-77,-82,-200,-200,-92,-94,-97,-65,-200,-200,-200,-200,-80,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
