,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,DLINK_D02A28,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c0:d7:09,74:da:da:c1:17:75,74:da:da:c1:4a:7d,74:da:da:c1:4a:7e,0c:73:eb:d0:2a:48,0c:73:eb:d0:2a:38,74:da:da:c1:17:76,74:da:da:c0:d7:0a,74:da:da:c0:d7:ee,74:da:da:c0:d7:ed,74:da:da:c1:47:cd,0c:73:eb:d0:2a:20,0c:73:eb:d0:2a:88,74:da:da:c1:14:9a,0c:73:eb:d0:2a:98,0c:73:eb:d0:2a:28,74:da:da:c0:d8:59,0c:73:eb:d0:0e:d0,74:da:da:c1:4a:c9,74:da:da:c1:47:ce,0c:73:eb:d0:0e:c0,74:da:da:c1:4a:a6,74:da:da:c1:3c:6d,0c:73:eb:d0:2a:18,74:da:da:98:8f:64,74:da:da:c1:14:99,0c:73:eb:d0:19:b0,74:da:da:c1:4a:a5,74:da:da:c1:4a:ca,0c:73:eb:d0:2a:58,0c:73:eb:d0:76:58,0c:73:eb:d0:76:40,74:da:da:c1:3b:4d,74:da:da:c1:61:69,74:da:da:c1:3b:e9,74:da:da:c1:02:95,74:da:da:c0:d8:05,0c:73:eb:d0:76:20,74:da:da:c0:d7:ea,74:da:da:c1:3d:09,74:da:da:c1:3d:0a,74:da:da:c1:3b:9d,74:da:da:c1:04:4d,0c:73:eb:d0:2a:30,74:da:da:c1:25:9d,74:da:da:c1:02:96,74:da:da:c1:3b:45,74:da:da:98:db:44,0c:73:eb:d0:11:b0,74:da:da:c0:d7:dd,74:da:da:98:7a:68,74:da:da:c1:3d:05,0c:73:eb:d0:11:d0,74:da:da:c1:3c:91,74:da:da:c1:3c:d1,74:da:da:c1:04:49,74:da:da:c1:3b:79,74:da:da:c0:d8:06,0c:73:eb:d0:19:a8,0c:73:eb:d0:19:98,74:da:da:c1:3b:46,0c:73:eb:d0:2a:60,74:da:da:98:ea:64,74:da:da:98:7a:6c,74:da:da:c0:d7:e9,74:da:da:c0:d7:81,0c:73:eb:d0:0e:b8,74:da:da:c1:61:6a,74:da:da:98:ea:4c,0c:73:eb:d0:2a:10,74:da:da:98:8f:65,74:da:da:c1:3d:0d,74:da:da:c0:d8:25
1526463251930,-40,-45,-46,-47,-47,-49,-50,-50,-52,-56,-56,-57,-60,-60,-61,-62,-62,-63,-64,-64,-65,-66,-69,-69,-70,-70,-70,-72,-72,-75,-76,-77,-77,-79,-80,-81,-81,-81,-81,-81,-82,-83,-83,-84,-84,-84,-85,-85,-85,-86,-86,-88,-88,-89,-89,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463254938,-40,-46,-51,-46,-47,-52,-48,-52,-54,-60,-56,-47,-60,-62,-62,-66,-68,-72,-67,-70,-64,-60,-75,-69,-78,-70,-70,-72,-70,-83,-80,-75,-72,-79,-80,-81,-81,-200,-82,-80,-82,-83,-81,-83,-84,-84,-82,-85,-200,-87,-86,-88,-88,-200,-87,-90,-200,-84,-87,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463257947,-39,-46,-48,-50,-49,-51,-53,-47,-55,-53,-51,-52,-61,-64,-62,-66,-68,-70,-67,-54,-63,-65,-66,-77,-78,-68,-76,-72,-69,-83,-84,-76,-72,-200,-80,-85,-81,-200,-81,-80,-82,-200,-80,-83,-84,-84,-82,-83,-200,-87,-86,-88,-90,-200,-87,-90,-200,-82,-87,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463260960,-39,-46,-50,-50,-51,-48,-55,-47,-54,-53,-56,-48,-61,-59,-64,-68,-68,-70,-68,-67,-60,-64,-66,-73,-78,-68,-76,-72,-71,-83,-79,-76,-72,-200,-80,-81,-81,-200,-48,-80,-82,-200,-80,-83,-86,-84,-82,-83,-200,-87,-86,-88,-90,-200,-87,-90,-200,-82,-87,-88,-83,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463263996,-39,-45,-47,-50,-46,-50,-52,-47,-55,-53,-57,-48,-60,-59,-61,-68,-200,-72,-67,-67,-62,-62,-69,-72,-67,-67,-75,-74,-69,-77,-84,-76,-74,-200,-79,-80,-79,-92,-48,-200,-85,-200,-79,-86,-86,-84,-78,-82,-200,-200,-95,-84,-89,-90,-93,-88,-200,-82,-200,-200,-85,-86,-88,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463267033,-40,-46,-47,-47,-47,-48,-51,-48,-54,-55,-57,-51,-59,-59,-61,-67,-67,-71,-67,-64,-62,-66,-69,-72,-69,-66,-75,-69,-71,-77,-79,-78,-74,-200,-79,-78,-79,-86,-66,-200,-85,-200,-80,-86,-86,-200,-79,-85,-200,-90,-89,-86,-89,-90,-93,-88,-200,-200,-89,-200,-85,-86,-88,-92,-80,-81,-200,-200,-200,-200,-200,-200,-200
1526463270042,-39,-44,-48,-56,-47,-49,-53,-47,-50,-57,-60,-51,-63,-56,-60,-60,-71,-65,-67,-65,-63,-65,-66,-66,-73,-75,-75,-69,-68,-77,-84,-77,-74,-200,-79,-81,-82,-86,-66,-200,-85,-200,-77,-86,-200,-200,-75,-85,-200,-90,-89,-86,-89,-90,-93,-88,-200,-200,-89,-200,-86,-200,-88,-92,-80,-81,-200,-200,-200,-200,-200,-200,-200
1526463273052,-44,-43,-57,-56,-54,-48,-58,-51,-52,-47,-62,-45,-61,-65,-66,-61,-71,-67,-200,-65,-66,-62,-65,-66,-78,-69,-69,-47,-70,-81,-77,-74,-73,-200,-79,-71,-75,-89,-75,-81,-85,-200,-77,-86,-200,-200,-76,-83,-200,-90,-89,-81,-200,-90,-93,-88,-200,-200,-87,-200,-86,-200,-88,-200,-80,-81,-90,-200,-200,-200,-200,-200,-200
1526463276064,-43,-44,-49,-49,-53,-53,-60,-49,-55,-48,-61,-48,-67,-63,-67,-59,-71,-65,-200,-68,-61,-62,-69,-66,-78,-69,-69,-47,-73,-80,-79,-72,-73,-76,-78,-72,-78,-89,-75,-81,-200,-200,-79,-200,-200,-200,-78,-83,-200,-90,-89,-81,-200,-200,-200,-200,-200,-83,-87,-200,-86,-200,-200,-200,-80,-81,-90,-200,-200,-200,-200,-200,-200
