,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,whu2011314,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A30,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A20,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,WHU-2018,DLINK_D00E98,D-Link_DIR-823Pro
,0c:73:eb:d0:0e:d8,74:da:da:c0:d7:e9,74:da:da:c0:d7:81,74:da:da:c1:3d:0d,74:da:da:c1:3d:85,0c:73:eb:d0:0e:90,74:da:da:c0:d7:ea,74:da:da:c1:3d:05,0c:73:eb:d0:0e:b0,74:da:da:c1:3d:35,0c:73:eb:d0:2a:18,0c:73:eb:d0:76:30,74:da:da:c1:3d:09,74:da:da:c1:47:ce,74:da:da:98:ea:64,0c:73:eb:d0:2a:10,74:da:da:c0:d7:dd,74:da:da:c1:3d:86,74:da:da:c1:3d:36,0c:73:eb:d0:2a:48,74:da:da:c1:3b:69,0c:73:eb:d0:13:a0,0c:73:eb:d0:2a:98,74:da:da:c1:17:75,74:da:da:c0:f3:05,74:da:da:c0:d8:26,74:da:da:c1:25:a1,0c:73:eb:d0:0e:c0,74:da:da:c1:47:cd,74:da:da:c0:d7:de,0c:73:eb:d0:2a:58,74:da:da:98:ea:65,74:da:da:c1:3d:0a,74:da:da:c0:d8:7d,74:da:da:c0:d8:25,74:da:da:c1:3c:cd,0c:73:eb:d0:76:50,74:da:da:c0:d8:1d,74:da:da:c0:d8:06,0c:73:eb:d0:0e:b8,74:da:da:c1:17:76,74:da:da:c0:de:2d,74:da:da:c0:d8:05,74:da:da:98:8f:30,74:da:da:98:ea:5c,74:da:da:c0:d7:82,0c:73:eb:d0:2a:50,c0:61:18:93:35:28,0c:73:eb:d0:76:28,0c:73:eb:d0:76:38,0c:73:eb:d0:7c:38,0c:73:eb:d0:19:b8,74:da:da:c1:03:61,0c:73:eb:d0:2a:90,0c:73:eb:d0:0e:a8,74:da:da:c1:3d:0e,0c:73:eb:d0:76:10,74:da:da:98:8f:3c,74:da:da:c1:3b:cd,74:da:da:c1:3d:06,0c:73:eb:d0:19:98,74:da:da:c0:f3:06,0c:73:eb:d0:13:a8,0c:73:eb:d0:76:48,74:da:da:c0:f3:59,c0:61:18:93:3e:54,74:da:da:c1:25:69,0c:73:eb:d0:19:c0,74:da:da:c1:3b:65,0c:73:eb:d0:2a:30,0c:73:eb:d0:2a:40,74:da:da:c0:d7:9e,74:da:da:c1:25:9d,0c:73:eb:d0:2a:60,74:da:da:c0:d7:ee,74:da:da:c1:3c:8d,74:da:da:c0:d7:02,74:da:da:c0:d8:1e,0c:73:eb:d0:2a:20,74:da:da:98:ea:55,0c:73:eb:d0:19:c8,74:da:da:c1:25:d9,74:da:da:c0:d7:ed,74:da:da:c1:25:e5,74:da:da:c1:3b:45,74:da:da:c1:5e:ed,74:da:da:c1:04:4d,74:da:da:c0:d8:59,0c:73:eb:d0:2a:68,74:da:da:98:ea:54,74:da:da:c0:d7:c5,74:da:da:98:8f:64,0c:73:eb:d0:2a:28,74:da:da:c0:d7:b9,74:da:da:c0:d7:01,0c:73:eb:d0:2a:88,74:da:da:c0:d7:9d,74:da:da:c1:3b:c9,0c:73:eb:d0:0e:d0,74:da:da:c1:14:99,0c:73:eb:d0:76:58,0c:73:eb:d0:0e:98,74:da:da:c1:4a:7d
1526464097893,-25,-30,-32,-34,-40,-41,-42,-44,-47,-48,-48,-50,-53,-54,-54,-55,-55,-56,-56,-56,-56,-57,-57,-57,-58,-58,-58,-59,-60,-61,-61,-62,-62,-62,-63,-63,-64,-65,-65,-65,-66,-66,-67,-68,-69,-70,-70,-70,-71,-73,-73,-73,-73,-74,-74,-75,-75,-75,-75,-76,-77,-78,-78,-80,-80,-81,-81,-81,-82,-83,-83,-83,-85,-87,-87,-87,-88,-89,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464100575,-25,-30,-32,-34,-40,-41,-42,-44,-47,-48,-48,-50,-53,-54,-54,-55,-55,-56,-56,-56,-56,-57,-57,-57,-58,-58,-58,-59,-60,-61,-61,-62,-62,-62,-63,-63,-64,-65,-65,-65,-66,-66,-67,-68,-69,-70,-70,-70,-71,-73,-73,-73,-73,-74,-74,-75,-75,-75,-75,-76,-77,-78,-78,-80,-80,-81,-81,-81,-82,-83,-83,-83,-85,-87,-87,-87,-88,-89,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464100972,-28,-26,-36,-32,-43,-42,-43,-46,-47,-51,-47,-52,-51,-53,-56,-58,-61,-56,-55,-56,-56,-57,-57,-57,-58,-58,-58,-64,-60,-61,-65,-61,-64,-62,-63,-64,-62,-64,-62,-65,-69,-66,-67,-68,-69,-70,-70,-70,-71,-73,-73,-73,-73,-200,-74,-75,-200,-75,-75,-74,-77,-80,-78,-200,-80,-200,-81,-81,-82,-83,-83,-83,-85,-87,-83,-87,-88,-88,-89,-200,-78,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464103589,-28,-26,-36,-32,-43,-42,-43,-46,-47,-51,-47,-52,-51,-53,-56,-58,-61,-56,-55,-56,-56,-57,-57,-57,-58,-58,-58,-64,-60,-61,-65,-61,-64,-62,-63,-64,-62,-64,-62,-65,-69,-66,-67,-68,-69,-70,-70,-70,-71,-73,-73,-73,-73,-200,-74,-75,-200,-75,-75,-74,-77,-80,-78,-200,-80,-200,-81,-81,-82,-83,-83,-83,-85,-87,-83,-87,-88,-88,-89,-200,-78,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464103989,-28,-32,-33,-36,-40,-42,-43,-42,-48,-51,-50,-42,-47,-55,-56,-56,-57,-57,-55,-57,-56,-57,-58,-57,-58,-58,-61,-64,-60,-61,-60,-61,-63,-62,-63,-59,-61,-64,-66,-68,-68,-66,-67,-200,-69,-70,-200,-70,-67,-200,-73,-68,-73,-71,-70,-70,-200,-75,-75,-77,-77,-80,-78,-200,-80,-200,-81,-81,-82,-83,-83,-83,-73,-75,-83,-200,-89,-87,-89,-89,-78,-89,-66,-80,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464106610,-28,-28,-33,-36,-44,-44,-47,-42,-48,-44,-51,-46,-47,-55,-56,-59,-58,-59,-59,-57,-56,-57,-58,-57,-58,-59,-61,-58,-57,-63,-59,-61,-64,-65,-63,-60,-63,-64,-67,-68,-66,-67,-64,-200,-72,-70,-74,-70,-67,-77,-73,-76,-200,-71,-70,-71,-200,-200,-200,-77,-77,-80,-78,-200,-80,-200,-200,-81,-82,-83,-83,-79,-73,-75,-84,-200,-89,-87,-89,-89,-78,-89,-66,-80,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464107005,-28,-28,-33,-36,-44,-44,-47,-42,-48,-44,-51,-46,-47,-55,-56,-59,-58,-59,-59,-57,-56,-57,-58,-57,-58,-59,-61,-58,-57,-63,-59,-61,-64,-65,-63,-60,-63,-64,-67,-68,-66,-67,-64,-200,-72,-70,-74,-70,-67,-77,-73,-76,-200,-71,-70,-71,-200,-200,-200,-77,-77,-80,-78,-200,-80,-200,-200,-81,-82,-83,-83,-79,-73,-75,-84,-200,-89,-87,-89,-89,-78,-89,-66,-80,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464109643,-30,-28,-36,-37,-42,-52,-43,-42,-48,-46,-49,-44,-49,-54,-56,-55,-57,-56,-59,-53,-65,-57,-57,-200,-58,-57,-61,-58,-57,-61,-56,-62,-64,-65,-61,-60,-61,-60,-63,-68,-66,-67,-64,-200,-75,-67,-74,-74,-67,-73,-200,-77,-200,-71,-70,-70,-70,-200,-200,-75,-77,-80,-78,-200,-200,-73,-200,-81,-82,-83,-200,-79,-73,-58,-84,-200,-89,-86,-200,-89,-78,-89,-66,-80,-87,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464110022,-30,-28,-36,-37,-42,-52,-43,-42,-48,-46,-49,-44,-49,-54,-56,-55,-57,-56,-59,-53,-65,-57,-57,-200,-58,-57,-61,-58,-57,-61,-56,-62,-64,-65,-61,-60,-61,-60,-63,-68,-66,-67,-64,-200,-75,-67,-74,-74,-67,-73,-200,-77,-200,-71,-70,-70,-70,-200,-200,-75,-77,-80,-78,-200,-200,-73,-200,-81,-82,-83,-200,-79,-73,-58,-84,-200,-89,-86,-200,-89,-78,-89,-66,-80,-87,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464112712,-29,-26,-36,-33,-44,-41,-45,-43,-48,-70,-52,-44,-49,-55,-57,-58,-56,-57,-58,-53,-65,-200,-53,-62,-58,-57,-59,-59,-57,-61,-56,-61,-63,-65,-61,-60,-61,-61,-63,-69,-66,-67,-63,-200,-64,-68,-63,-74,-67,-73,-81,-77,-79,-71,-70,-73,-70,-200,-200,-76,-77,-78,-200,-200,-200,-73,-200,-200,-200,-200,-200,-79,-73,-58,-84,-200,-88,-85,-200,-89,-78,-89,-66,-80,-87,-81,-67,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464113074,-29,-26,-36,-33,-44,-41,-45,-43,-48,-70,-52,-44,-49,-55,-57,-58,-56,-57,-58,-53,-65,-200,-53,-62,-58,-57,-59,-59,-57,-61,-56,-61,-63,-65,-61,-60,-61,-61,-63,-69,-66,-67,-63,-200,-64,-68,-63,-74,-67,-73,-81,-77,-79,-71,-70,-73,-70,-200,-200,-76,-77,-78,-200,-200,-200,-73,-200,-200,-200,-200,-200,-79,-73,-58,-84,-200,-88,-85,-200,-89,-78,-89,-66,-80,-87,-81,-67,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464115782,-24,-26,-35,-33,-44,-42,-45,-44,-48,-47,-52,-44,-51,-55,-57,-55,-56,-57,-58,-53,-65,-200,-53,-62,-58,-57,-59,-58,-63,-62,-56,-61,-63,-66,-61,-66,-61,-61,-63,-69,-67,-67,-63,-200,-64,-70,-63,-74,-67,-74,-81,-73,-79,-71,-70,-73,-70,-200,-200,-76,-77,-79,-200,-200,-200,-73,-200,-200,-72,-200,-200,-79,-73,-56,-84,-200,-88,-85,-200,-92,-200,-200,-66,-80,-87,-81,-67,-79,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464116129,-24,-26,-35,-33,-44,-42,-45,-44,-48,-47,-52,-44,-51,-55,-57,-55,-56,-57,-58,-53,-65,-200,-53,-62,-58,-57,-59,-58,-63,-62,-56,-61,-63,-66,-61,-66,-61,-61,-63,-69,-67,-67,-63,-200,-64,-70,-63,-74,-67,-74,-81,-73,-79,-71,-70,-73,-70,-200,-200,-76,-77,-79,-200,-200,-200,-73,-200,-200,-72,-200,-200,-79,-73,-56,-84,-200,-88,-85,-200,-92,-200,-200,-66,-80,-87,-81,-67,-79,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464118839,-28,-26,-36,-34,-45,-38,-45,-44,-47,-41,-48,-44,-49,-55,-56,-56,-55,-57,-58,-56,-65,-200,-54,-62,-60,-56,-59,-60,-63,-60,-56,-61,-63,-60,-61,-65,-63,-62,-63,-68,-67,-67,-63,-200,-64,-70,-63,-74,-71,-74,-81,-73,-78,-72,-200,-73,-70,-200,-200,-76,-77,-78,-200,-200,-200,-73,-200,-200,-72,-200,-200,-79,-73,-61,-84,-200,-88,-84,-200,-90,-200,-200,-200,-200,-200,-81,-67,-79,-66,-72,-85,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464119195,-28,-26,-36,-34,-45,-38,-45,-44,-47,-41,-48,-44,-49,-55,-56,-56,-55,-57,-58,-56,-65,-200,-54,-62,-60,-56,-59,-60,-63,-60,-56,-61,-63,-60,-61,-65,-63,-62,-63,-68,-67,-67,-63,-200,-64,-70,-63,-74,-71,-74,-81,-73,-78,-72,-200,-73,-70,-200,-200,-76,-77,-78,-200,-200,-200,-73,-200,-200,-72,-200,-200,-79,-73,-61,-84,-200,-88,-84,-200,-90,-200,-200,-200,-200,-200,-81,-67,-79,-66,-72,-85,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464121906,-24,-26,-34,-32,-45,-41,-45,-43,-51,-38,-45,-44,-49,-56,-55,-57,-55,-57,-57,-49,-65,-200,-55,-62,-60,-57,-59,-56,-63,-60,-56,-61,-63,-63,-61,-69,-63,-60,-63,-68,-67,-200,-63,-200,-64,-68,-81,-74,-71,-73,-81,-73,-78,-72,-72,-73,-70,-200,-67,-75,-79,-78,-88,-76,-200,-73,-200,-200,-72,-200,-200,-200,-73,-61,-84,-200,-88,-84,-200,-90,-200,-200,-200,-200,-200,-81,-67,-79,-66,-72,-85,-92,-80,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
