,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c0:d7:01,74:da:da:c0:d6:f5,74:da:da:c0:d7:02,0c:73:eb:d0:2a:50,74:da:da:98:ea:64,74:da:da:c0:d9:3a,74:da:da:98:ea:54,0c:73:eb:d0:19:c8,74:da:da:c0:d6:f6,74:da:da:98:ea:55,74:da:da:c0:d9:39,0c:73:eb:d0:76:10,0c:73:eb:d0:19:80,0c:73:eb:d0:19:c0,74:da:da:98:ea:65,0c:73:eb:d0:0e:c8,74:da:da:c0:d6:ee,74:da:da:c0:d6:ed,0c:73:eb:d0:76:18,74:da:da:c1:4a:85,0c:73:eb:d0:13:b0,74:da:da:c0:d7:9d,74:da:da:c0:d7:12,74:da:da:c1:3c:85,0c:73:eb:d0:13:c8,74:da:da:c1:4a:69,74:da:da:c0:d7:11,74:da:da:c1:3c:11,0c:73:eb:d0:76:28,74:da:da:c1:3c:55,0c:73:eb:d0:19:90,74:da:da:c1:4a:6a,74:da:da:c0:d7:81,74:da:da:c1:3c:45,74:da:da:98:90:2c,74:da:da:c0:f3:05,74:da:da:c0:d7:9e,74:da:da:c0:d7:e9,74:da:da:c0:d7:82,0c:73:eb:d0:2a:40,74:da:da:c1:3b:19,0c:73:eb:d0:76:50,74:da:da:c0:e0:6d,74:da:da:c1:25:d9,74:da:da:98:66:cc,50:3a:a0:ea:01:66,0c:73:eb:d0:0e:a0,0c:73:eb:d0:2a:90,74:da:da:c1:3b:1a,74:da:da:c0:f3:06,74:da:da:c1:25:a1,74:da:da:c0:d8:1d,0c:73:eb:d0:0e:a8,0c:73:eb:d0:13:a0,0c:73:eb:d0:19:a0,74:da:da:c0:d8:3d,74:da:da:98:74:80,0c:73:eb:d0:0e:d8,0c:73:eb:d0:13:90,74:da:da:98:ea:5c,74:da:da:c1:3c:12,74:da:da:c0:f3:59,74:da:da:98:90:94,74:da:da:c1:3c:4d
1526464309697,-45,-47,-51,-51,-52,-52,-52,-53,-55,-58,-58,-59,-59,-62,-64,-65,-66,-68,-68,-70,-70,-70,-72,-75,-75,-76,-76,-77,-79,-80,-81,-82,-82,-83,-83,-85,-86,-86,-86,-86,-87,-88,-89,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464312725,-43,-54,-47,-48,-57,-57,-46,-48,-57,-55,-60,-68,-60,-62,-65,-75,-58,-68,-59,-74,-73,-70,-81,-83,-75,-76,-70,-73,-88,-82,-81,-82,-82,-83,-83,-85,-86,-200,-86,-85,-87,-88,-89,-200,-78,-81,-85,-85,-86,-86,-86,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464315751,-33,-57,-50,-42,-57,-56,-47,-56,-57,-58,-64,-59,-58,-67,-68,-63,-67,-69,-55,-74,-76,-68,-74,-83,-75,-71,-62,-74,-78,-83,-79,-200,-82,-200,-83,-200,-79,-84,-86,-85,-80,-200,-89,-200,-78,-81,-85,-85,-86,-86,-86,-91,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464318785,-33,-57,-48,-39,-57,-57,-51,-55,-54,-55,-66,-61,-60,-63,-69,-65,-72,-69,-57,-74,-77,-70,-77,-80,-200,-77,-61,-76,-74,-82,-79,-200,-200,-71,-200,-200,-79,-82,-200,-85,-80,-200,-86,-200,-78,-81,-91,-77,-84,-86,-86,-87,-91,-88,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526464321816,-35,-52,-49,-41,-62,-56,-48,-54,-53,-54,-68,-58,-60,-67,-67,-66,-54,-73,-57,-74,-77,-67,-82,-80,-200,-69,-58,-76,-80,-82,-79,-200,-200,-64,-200,-200,-80,-82,-84,-85,-80,-200,-84,-200,-78,-82,-91,-85,-84,-86,-86,-87,-89,-88,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526464324844,-34,-52,-50,-43,-59,-56,-48,-54,-53,-56,-68,-60,-64,-61,-68,-65,-69,-69,-58,-85,-74,-69,-78,-80,-200,-70,-61,-73,-78,-84,-88,-200,-200,-69,-200,-200,-80,-81,-83,-91,-82,-200,-84,-200,-200,-82,-91,-81,-84,-200,-200,-87,-89,-88,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526464327875,-34,-58,-51,-40,-57,-55,-49,-54,-53,-58,-68,-46,-62,-69,-68,-65,-69,-69,-61,-85,-74,-63,-78,-80,-76,-68,-60,-75,-75,-82,-88,-200,-200,-68,-200,-200,-80,-83,-83,-91,-82,-88,-84,-200,-88,-82,-86,-81,-85,-200,-200,-86,-89,-88,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526464330905,-33,-61,-49,-43,-56,-52,-50,-59,-53,-58,-66,-63,-64,-66,-67,-66,-68,-72,-58,-82,-74,-63,-78,-85,-76,-64,-63,-75,-75,-82,-86,-85,-200,-73,-200,-200,-80,-83,-83,-91,-82,-88,-85,-200,-86,-85,-91,-81,-85,-200,-200,-86,-200,-95,-200,-200,-90,-91,-94,-200,-200,-200,-200,-200
1526464333938,-33,-59,-49,-41,-59,-57,-49,-55,-54,-56,-67,-64,-62,-64,-69,-64,-69,-69,-60,-82,-200,-70,-78,-85,-76,-68,-63,-76,-73,-82,-86,-85,-200,-66,-89,-200,-79,-83,-200,-200,-82,-85,-85,-200,-86,-85,-91,-83,-85,-200,-200,-86,-200,-89,-200,-200,-90,-91,-94,-81,-88,-200,-200,-200
