,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018
,74:da:da:c0:d6:f5,74:da:da:c0:d6:f6,74:da:da:c0:d6:ee,0c:73:eb:d0:19:c0,0c:73:eb:d0:19:80,74:da:da:98:ea:54,74:da:da:98:ea:64,74:da:da:c0:d6:ed,74:da:da:c0:d7:02,0c:73:eb:d0:2a:50,74:da:da:c0:d7:11,0c:73:eb:d0:19:c8,0c:73:eb:d0:76:18,74:da:da:c0:d9:39,0c:73:eb:d0:0e:c8,74:da:da:c0:d7:01,74:da:da:98:90:2c,74:da:da:c1:4a:85,74:da:da:c0:d9:3a,74:da:da:c1:3c:45,74:da:da:c1:3c:11,74:da:da:c0:d7:12,0c:73:eb:d0:2a:90,0c:73:eb:d0:13:b0,0c:73:eb:d0:13:c8,0c:73:eb:d0:76:10,74:da:da:98:ea:55,74:da:da:c1:4a:69,74:da:da:98:ea:65,74:da:da:98:74:80,74:da:da:c1:3c:12,74:da:da:98:66:cc,0c:73:eb:d0:76:28,74:da:da:c0:d7:9d,0c:73:eb:d0:2a:40,74:da:da:c0:f3:06,74:da:da:c1:3c:55,74:da:da:c1:3c:85,0c:73:eb:d0:19:90,0c:73:eb:d0:0e:a0,74:da:da:c0:d8:1d,74:da:da:c1:25:d9,74:da:da:98:74:74,74:da:da:98:90:94,0c:73:eb:d0:11:c8,74:da:da:c1:3b:19,50:3a:a0:ea:01:66,74:da:da:c0:d7:82,0c:73:eb:d0:0e:d8,74:da:da:c0:f3:59,74:da:da:c0:d7:9e,74:da:da:98:90:2d,74:da:da:c0:e0:6d,74:da:da:c1:25:a1,74:da:da:c1:4a:6a,0c:73:eb:d0:13:98,74:da:da:c0:d7:81,0c:73:eb:d0:11:c0
1526464528434,-39,-44,-44,-49,-52,-55,-56,-58,-59,-60,-63,-64,-65,-66,-68,-69,-71,-71,-72,-72,-73,-73,-74,-75,-76,-77,-77,-79,-80,-83,-83,-85,-85,-86,-87,-87,-88,-88,-88,-89,-89,-91,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464531464,-38,-42,-61,-52,-51,-57,-67,-57,-60,-58,-62,-66,-78,-67,-68,-58,-71,-90,-73,-200,-68,-70,-200,-74,-80,-79,-79,-82,-80,-72,-200,-200,-200,-86,-200,-200,-88,-88,-88,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464534492,-37,-42,-60,-55,-49,-57,-67,-61,-60,-62,-61,-67,-78,-66,-69,-58,-70,-90,-74,-200,-73,-71,-200,-74,-80,-79,-80,-82,-79,-83,-200,-79,-200,-86,-90,-200,-88,-88,-88,-200,-200,-91,-200,-73,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464537499,-35,-45,-60,-45,-48,-56,-74,-62,-64,-58,-61,-54,-73,-61,-71,-59,-70,-85,-73,-200,-57,-71,-200,-74,-80,-84,-79,-82,-79,-86,-200,-79,-200,-86,-90,-200,-88,-88,-88,-90,-200,-91,-200,-73,-90,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464540507,-41,-48,-61,-43,-45,-58,-74,-57,-63,-59,-56,-55,-73,-63,-71,-50,-68,-85,-71,-200,-52,-68,-200,-72,-80,-61,-72,-82,-79,-68,-200,-79,-200,-79,-90,-200,-200,-88,-200,-90,-200,-200,-200,-79,-90,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464543515,-38,-45,-60,-46,-46,-60,-71,-56,-58,-51,-62,-56,-73,-63,-74,-48,-62,-86,-69,-200,-47,-68,-79,-72,-82,-78,-72,-82,-79,-68,-200,-79,-200,-79,-90,-200,-200,-200,-200,-90,-200,-200,-200,-72,-89,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464546544,-35,-45,-59,-49,-45,-68,-69,-54,-63,-58,-63,-61,-83,-65,-74,-49,-76,-84,-72,-200,-47,-67,-78,-72,-82,-76,-64,-85,-79,-91,-200,-73,-87,-79,-89,-200,-200,-200,-200,-90,-90,-200,-200,-72,-92,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464549554,-38,-43,-59,-53,-49,-62,-71,-58,-55,-49,-52,-64,-71,-72,-73,-59,-68,-81,-70,-200,-54,-65,-79,-75,-82,-77,-66,-76,-78,-87,-200,-73,-90,-85,-89,-200,-200,-200,-200,-200,-90,-91,-200,-82,-92,-83,-86,-87,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526464552565,-26,-44,-58,-50,-46,-55,-71,-57,-51,-54,-48,-55,-71,-64,-74,-46,-80,-81,-72,-200,-53,-67,-90,-70,-82,-74,-70,-76,-76,-85,-84,-80,-90,-85,-89,-200,-90,-86,-200,-200,-90,-92,-200,-82,-92,-83,-86,-87,-89,-90,-83,-200,-200,-200,-200,-200,-200,-200
1526464555585,-31,-45,-58,-59,-47,-54,-62,-48,-50,-52,-53,-65,-73,-60,-67,-46,-80,-84,-72,-200,-54,-67,-90,-72,-72,-76,-68,-78,-74,-88,-84,-80,-90,-85,-200,-200,-89,-86,-200,-200,-89,-92,-200,-82,-91,-86,-86,-88,-89,-90,-83,-86,-89,-200,-200,-200,-200,-200
1526464558596,-30,-41,-56,-52,-49,-55,-62,-52,-48,-58,-61,-59,-71,-62,-69,-50,-66,-78,-71,-200,-51,-66,-90,-72,-72,-74,-70,-75,-76,-89,-84,-80,-200,-77,-200,-200,-89,-81,-200,-89,-89,-92,-200,-77,-91,-86,-86,-88,-89,-200,-85,-86,-89,-85,-86,-200,-200,-200
1526464561604,-34,-45,-54,-48,-50,-60,-62,-53,-58,-58,-46,-52,-76,-65,-69,-55,-75,-80,-74,-200,-51,-71,-90,-78,-72,-77,-77,-87,-76,-89,-84,-76,-200,-77,-200,-200,-89,-81,-200,-89,-89,-92,-200,-80,-88,-86,-200,-88,-89,-200,-85,-86,-92,-85,-86,-89,-200,-200
1526464564634,-38,-44,-60,-47,-45,-61,-70,-69,-63,-59,-56,-51,-75,-62,-68,-51,-74,-81,-73,-200,-51,-74,-200,-74,-72,-77,-77,-84,-76,-82,-200,-78,-200,-77,-200,-200,-89,-82,-200,-90,-90,-200,-200,-85,-88,-86,-200,-88,-200,-200,-85,-86,-92,-85,-86,-89,-86,-200
1526464567641,-47,-51,-59,-45,-46,-61,-72,-69,-63,-58,-57,-64,-75,-62,-68,-46,-71,-87,-74,-200,-44,-70,-200,-76,-77,-80,-73,-84,-78,-82,-200,-76,-200,-77,-200,-200,-200,-79,-200,-90,-90,-200,-200,-85,-88,-200,-200,-200,-200,-200,-85,-200,-92,-85,-86,-90,-86,-200
1526464570667,-43,-45,-60,-45,-53,-60,-72,-65,-65,-60,-57,-60,-76,-60,-68,-52,-70,-81,-70,-80,-47,-69,-81,-72,-77,-80,-74,-82,-79,-88,-200,-76,-200,-85,-200,-200,-200,-79,-200,-90,-90,-200,-200,-85,-88,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-90,-86,-200
1526464573694,-40,-45,-62,-46,-53,-61,-68,-68,-60,-62,-57,-63,-76,-60,-72,-48,-71,-82,-73,-80,-47,-71,-81,-72,-80,-80,-72,-85,-79,-88,-200,-75,-200,-83,-200,-200,-88,-79,-200,-90,-90,-89,-200,-85,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-86,-200
1526464576704,-40,-46,-63,-46,-55,-59,-69,-65,-62,-62,-55,-58,-75,-59,-74,-51,-71,-84,-75,-80,-51,-71,-81,-72,-75,-80,-72,-85,-79,-91,-200,-75,-200,-83,-200,-200,-88,-81,-200,-200,-200,-89,-200,-200,-91,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200
1526464579714,-41,-46,-62,-46,-50,-59,-70,-69,-65,-62,-61,-64,-78,-61,-75,-52,-72,-84,-59,-80,-49,-72,-81,-72,-76,-79,-72,-85,-79,-91,-200,-75,-200,-83,-200,-200,-88,-81,-200,-200,-200,-88,-200,-200,-91,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464582720,-40,-44,-62,-49,-46,-51,-62,-54,-66,-61,-63,-57,-71,-66,-81,-48,-74,-84,-68,-80,-55,-70,-78,-67,-72,-71,-70,-85,-79,-78,-200,-77,-200,-75,-200,-200,-88,-81,-200,-200,-200,-88,-200,-77,-91,-90,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464585739,-40,-44,-61,-54,-47,-61,-72,-62,-65,-58,-54,-51,-66,-61,-71,-47,-74,-84,-67,-86,-55,-69,-78,-83,-72,-76,-65,-82,-84,-81,-82,-77,-200,-75,-200,-200,-200,-77,-86,-89,-200,-88,-200,-77,-200,-90,-93,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-91
1526464588767,-39,-46,-59,-50,-46,-62,-72,-56,-57,-56,-49,-57,-64,-60,-66,-45,-74,-88,-73,-86,-51,-65,-78,-74,-76,-77,-75,-76,-82,-81,-82,-79,-200,-80,-200,-200,-200,-79,-86,-89,-200,-88,-200,-77,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-91
