,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,MERCURY_0166,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
,74:da:da:c0:d6:f5,0c:73:eb:d0:19:80,74:da:da:c0:d7:01,74:da:da:c0:d6:f6,74:da:da:c1:3c:11,0c:73:eb:d0:19:c0,74:da:da:98:ea:54,74:da:da:c0:d7:11,0c:73:eb:d0:19:c8,74:da:da:c0:d9:39,74:da:da:c0:d6:ee,74:da:da:c0:d7:02,74:da:da:98:ea:64,0c:73:eb:d0:2a:50,74:da:da:c0:d6:ed,74:da:da:c0:d9:3a,74:da:da:c0:d7:12,74:da:da:98:90:2c,0c:73:eb:d0:13:b0,74:da:da:98:ea:55,74:da:da:98:66:cc,0c:73:eb:d0:76:10,0c:73:eb:d0:76:18,0c:73:eb:d0:13:c8,0c:73:eb:d0:0e:c8,74:da:da:98:ea:65,74:da:da:c1:3c:85,74:da:da:98:74:80,0c:73:eb:d0:2a:90,74:da:da:c1:3c:12,74:da:da:c1:4a:85,74:da:da:c0:d7:9d,74:da:da:c1:4a:69,0c:73:eb:d0:19:90,74:da:da:c0:d7:e9,74:da:da:c1:3c:55,0c:73:eb:d0:11:c0,0c:73:eb:d0:11:c8,0c:73:eb:d0:13:98,74:da:da:c1:25:d9,74:da:da:c0:f3:59,74:da:da:c1:3c:45,74:da:da:98:90:94,74:da:da:c1:4a:6a,50:3a:a0:ea:01:66,74:da:da:98:74:74,0c:73:eb:d0:2a:40,0c:73:eb:d0:76:28,74:da:da:c0:d8:1d,74:da:da:c1:3b:19,74:da:da:c0:e0:6d,74:da:da:98:74:34,74:da:da:c0:f3:05,0c:73:eb:d0:0e:a8
1526464599747,-35,-48,-51,-52,-52,-52,-56,-56,-57,-58,-59,-61,-66,-66,-66,-66,-66,-71,-72,-73,-73,-76,-76,-77,-78,-79,-79,-80,-81,-83,-84,-86,-88,-89,-90,-90,-91,-93,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464602776,-40,-47,-48,-41,-67,-55,-56,-58,-61,-64,-52,-57,-66,-62,-57,-68,-60,-79,-72,-70,-75,-76,-70,-77,-78,-79,-83,-80,-88,-83,-76,-86,-88,-89,-90,-89,-91,-91,-90,-89,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464605785,-40,-46,-49,-41,-64,-52,-200,-49,-59,-63,-54,-56,-66,-65,-58,-69,-57,-78,-72,-74,-75,-200,-74,-200,-200,-82,-83,-88,-82,-200,-76,-83,-78,-200,-90,-89,-200,-91,-90,-89,-90,-92,-74,-83,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526464608815,-41,-45,-46,-42,-62,-53,-58,-54,-67,-64,-53,-55,-66,-62,-59,-71,-60,-78,-75,-72,-74,-200,-74,-83,-72,-82,-86,-91,-82,-200,-75,-83,-77,-200,-90,-89,-200,-91,-90,-90,-88,-92,-65,-83,-88,-90,-90,-200,-200,-200,-200,-200,-200,-200
1526464611843,-41,-45,-46,-42,-62,-52,-44,-46,-64,-63,-51,-55,-66,-69,-58,-73,-59,-73,-72,-73,-74,-200,-72,-83,-72,-82,-86,-91,-80,-200,-79,-83,-77,-200,-90,-89,-200,-91,-90,-90,-88,-92,-75,-83,-85,-88,-90,-89,-90,-200,-200,-200,-200,-200
1526464614868,-40,-47,-47,-44,-57,-49,-54,-55,-63,-61,-54,-63,-64,-59,-57,-68,-61,-77,-69,-76,-79,-80,-70,-83,-72,-82,-86,-91,-80,-200,-77,-83,-82,-91,-200,-200,-200,-200,-90,-90,-88,-200,-75,-83,-85,-88,-90,-89,-90,-200,-200,-200,-200,-200
1526464617895,-42,-50,-52,-42,-56,-51,-55,-51,-64,-61,-56,-58,-65,-71,-62,-71,-63,-70,-67,-80,-79,-84,-73,-83,-72,-200,-86,-91,-80,-200,-77,-200,-85,-91,-200,-200,-200,-200,-90,-90,-88,-200,-75,-200,-85,-90,-90,-89,-90,-200,-200,-200,-200,-200
1526464620922,-44,-50,-53,-44,-61,-54,-56,-52,-66,-65,-58,-58,-65,-73,-59,-73,-59,-71,-65,-78,-81,-84,-70,-200,-69,-200,-200,-200,-84,-200,-79,-200,-86,-91,-200,-200,-200,-200,-90,-200,-89,-200,-76,-200,-85,-90,-200,-87,-90,-90,-90,-200,-200,-200
1526464623935,-41,-58,-49,-43,-57,-50,-56,-51,-61,-60,-55,-58,-65,-61,-64,-68,-62,-70,-68,-73,-81,-83,-68,-200,-73,-84,-200,-200,-84,-82,-79,-200,-83,-91,-200,-200,-200,-200,-90,-200,-89,-200,-73,-200,-200,-90,-200,-87,-200,-90,-90,-200,-200,-200
