,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
,0c:73:eb:d0:19:c0,74:da:da:c0:d6:f5,74:da:da:c0:d6:ed,74:da:da:c0:d6:f6,0c:73:eb:d0:19:80,74:da:da:c1:3c:11,74:da:da:c0:d7:01,74:da:da:c0:d7:11,74:da:da:c0:d7:12,0c:73:eb:d0:2a:50,74:da:da:c0:d6:ee,0c:73:eb:d0:19:c8,74:da:da:98:90:2c,74:da:da:98:ea:54,74:da:da:c0:d9:39,74:da:da:c0:d7:02,0c:73:eb:d0:13:c8,74:da:da:98:ea:55,0c:73:eb:d0:76:18,0c:73:eb:d0:76:10,74:da:da:c0:d9:3a,0c:73:eb:d0:13:b0,0c:73:eb:d0:0e:c8,74:da:da:c1:4a:69,74:da:da:98:90:94,74:da:da:c1:4a:85,74:da:da:98:ea:64,74:da:da:c1:4a:6a,74:da:da:98:74:80,74:da:da:98:ea:65,74:da:da:98:90:2d,74:da:da:c0:d7:9d,74:da:da:c1:3c:85,0c:73:eb:d0:76:28,0c:73:eb:d0:2a:90,74:da:da:98:66:cc,0c:73:eb:d0:76:50,74:da:da:c1:3b:1a,74:da:da:c0:d8:1d,0c:73:eb:d0:2a:40,74:da:da:c1:3b:19,0c:73:eb:d0:0e:a8,74:da:da:c1:04:4d,0c:73:eb:d0:11:c8,50:3a:a0:ea:01:66,74:da:da:c0:d7:e9,74:da:da:c1:3c:12,74:da:da:98:90:95,74:da:da:c0:e0:6d,74:da:da:98:74:74,74:da:da:c1:3c:55,0c:73:eb:d0:11:c0,0c:73:eb:d0:13:98,74:da:da:c0:d7:9e,74:da:da:c0:f3:59,0c:73:eb:d0:0e:a0,0c:73:eb:d0:13:90,74:da:da:c0:d7:82,74:da:da:c0:d7:81,74:da:da:c1:25:a1,0c:73:eb:d0:19:90
1526464697838,-33,-36,-45,-46,-48,-50,-51,-52,-52,-53,-55,-56,-56,-60,-61,-63,-70,-71,-71,-71,-72,-72,-72,-74,-74,-78,-79,-80,-81,-81,-83,-83,-85,-86,-87,-87,-88,-88,-89,-89,-90,-93,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464700844,-33,-36,-45,-46,-48,-50,-51,-52,-52,-53,-55,-56,-56,-60,-61,-63,-70,-71,-71,-71,-72,-72,-72,-74,-74,-78,-79,-80,-81,-81,-83,-83,-85,-86,-87,-87,-88,-88,-89,-89,-90,-93,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464703850,-33,-36,-45,-46,-48,-50,-51,-52,-52,-53,-55,-56,-56,-60,-61,-63,-70,-71,-71,-71,-72,-72,-72,-74,-74,-78,-79,-80,-81,-81,-83,-83,-85,-86,-87,-87,-88,-88,-89,-89,-90,-93,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464706857,-33,-36,-45,-46,-48,-50,-51,-52,-52,-53,-55,-56,-56,-60,-61,-63,-70,-71,-71,-71,-72,-72,-72,-74,-74,-78,-79,-80,-81,-81,-83,-83,-85,-86,-87,-87,-88,-88,-89,-89,-90,-93,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464709864,-33,-36,-45,-46,-48,-50,-51,-52,-52,-53,-55,-56,-56,-60,-61,-63,-70,-71,-71,-71,-72,-72,-72,-74,-74,-78,-79,-80,-81,-81,-83,-83,-85,-86,-87,-87,-88,-88,-89,-89,-90,-93,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464712871,-36,-36,-42,-46,-48,-62,-52,-52,-51,-60,-51,-58,-65,-62,-70,-60,-80,-65,-69,-81,-64,-80,-72,-74,-74,-76,-79,-80,-84,-81,-83,-83,-85,-86,-87,-87,-88,-88,-89,-89,-87,-93,-93,-88,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464715880,-41,-42,-49,-46,-44,-56,-50,-49,-60,-68,-44,-57,-66,-56,-59,-58,-72,-69,-69,-81,-68,-70,-76,-200,-76,-73,-70,-200,-78,-83,-200,-84,-82,-200,-200,-200,-200,-200,-90,-200,-87,-200,-200,-88,-89,-90,-79,-86,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464718899,-48,-39,-43,-48,-43,-58,-49,-49,-52,-56,-44,-59,-64,-56,-61,-65,-79,-74,-70,-74,-76,-69,-73,-83,-77,-78,-78,-200,-80,-83,-200,-81,-80,-200,-200,-86,-200,-200,-89,-200,-87,-200,-200,-88,-89,-90,-79,-86,-90,-88,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464721918,-38,-40,-51,-47,-44,-52,-54,-45,-53,-57,-46,-68,-64,-49,-60,-56,-79,-71,-71,-78,-67,-74,-73,-79,-74,-80,-78,-200,-80,-83,-200,-81,-80,-200,-200,-86,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-79,-84,-90,-88,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464724928,-44,-34,-45,-48,-44,-52,-49,-44,-53,-53,-48,-59,-67,-49,-58,-56,-73,-74,-71,-72,-56,-74,-73,-79,-63,-74,-78,-200,-80,-83,-83,-82,-80,-200,-200,-77,-200,-200,-91,-200,-200,-200,-200,-88,-89,-88,-200,-84,-200,-88,-88,-89,-89,-200,-200,-200,-200,-200,-200,-200,-200
