,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011314,D-Link_DIR-823Pro,whu2011309,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c0:d8:3e,74:da:da:c0:d8:3d,74:da:da:c1:3b:1a,74:da:da:c1:3b:19,74:da:da:c1:3c:85,74:da:da:c1:3c:86,74:da:da:c1:3b:29,74:da:da:c0:d7:01,74:da:da:c1:3c:4d,74:da:da:c1:3c:11,74:da:da:c1:3c:4e,0c:73:eb:d0:19:90,74:da:da:c1:3c:55,74:da:da:98:85:1c,74:da:da:98:ea:5c,0c:73:eb:d0:76:18,74:da:da:c0:e0:6d,0c:73:eb:d0:2a:50,74:da:da:c0:e0:6e,74:da:da:c0:d7:9d,74:da:da:c1:3b:2a,0c:73:eb:d0:19:a0,74:da:da:98:ea:51,0c:73:eb:d0:11:c0,74:da:da:c1:3c:45,74:da:da:c1:3c:12,74:da:da:c0:f6:15,74:da:da:98:ea:5d,74:da:da:c0:d7:02,0c:73:eb:d0:76:28,74:da:da:98:90:94,0c:73:eb:d0:19:88,74:da:da:c0:d7:c5,74:da:da:98:8f:30,74:da:da:c1:3b:cd,74:da:da:c1:4a:69,74:da:da:c1:3c:51,74:da:da:98:ea:64,0c:73:eb:d0:19:80,c0:61:18:93:35:28,74:da:da:c0:d7:81,c0:61:18:93:3e:54,50:3a:a0:ea:01:66,0c:73:eb:d0:76:38,74:da:da:c1:3c:8d,74:da:da:c0:d9:39,0c:73:eb:d0:0e:a8,74:da:da:c1:4a:85,74:da:da:c0:d7:9e,74:da:da:c0:d6:f5,0c:73:eb:d0:0e:a0,0c:73:eb:d0:76:10,0c:73:eb:d0:0e:c8,74:da:da:98:66:cc,74:da:da:c0:f3:05,0c:73:eb:d0:19:98,0c:73:eb:d0:13:98,0c:73:eb:d0:19:c8,74:da:da:c1:3b:49,0c:73:eb:d0:2a:90,0c:73:eb:d0:76:50,0c:73:eb:d0:7e:f8,74:da:da:c0:f2:fd,74:da:da:c0:f3:59,74:da:da:c1:3d:0d,0c:73:eb:d0:7c:08,0c:73:eb:d0:0e:d8,74:da:da:98:74:74,74:da:da:c1:3b:85,74:da:da:c1:3b:79,0c:73:eb:d0:76:30,74:da:da:c1:5e:ed,74:da:da:98:91:d4,74:da:da:c0:d8:1d,0c:73:eb:d0:7e:d8,0c:73:eb:d0:7e:e0,74:da:da:c0:d6:ed,0c:73:eb:d0:13:b0,74:da:da:c0:f4:69,0c:73:eb:d0:0e:b0,74:da:da:98:ea:50,74:da:da:c1:3b:45
1526460177728,-46,-49,-55,-58,-64,-64,-70,-70,-70,-71,-71,-73,-74,-75,-77,-77,-78,-78,-78,-79,-79,-80,-81,-82,-83,-84,-85,-85,-85,-86,-87,-88,-88,-88,-89,-89,-90,-90,-90,-90,-90,-90,-90,-91,-91,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460180743,-69,-53,-53,-37,-70,-74,-64,-58,-70,-71,-71,-73,-87,-75,-77,-85,-59,-63,-76,-81,-79,-80,-81,-82,-83,-84,-91,-200,-69,-86,-200,-79,-88,-88,-89,-89,-90,-90,-90,-200,-90,-90,-90,-200,-91,-88,-85,-73,-75,-77,-80,-82,-84,-85,-86,-88,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460183752,-70,-58,-50,-41,-77,-71,-67,-66,-90,-200,-84,-88,-86,-200,-87,-86,-61,-66,-73,-79,-200,-200,-200,-200,-200,-200,-79,-200,-72,-85,-200,-79,-74,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-89,-200,-88,-85,-76,-75,-77,-88,-82,-84,-85,-84,-88,-90,-91,-79,-82,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460186787,-73,-58,-50,-46,-76,-71,-66,-55,-88,-83,-84,-89,-86,-84,-87,-86,-62,-67,-69,-76,-200,-86,-200,-200,-200,-200,-80,-200,-74,-85,-200,-81,-74,-200,-200,-200,-87,-91,-88,-200,-93,-200,-200,-89,-200,-86,-85,-77,-71,-83,-88,-87,-84,-85,-84,-88,-90,-91,-79,-82,-85,-89,-87,-88,-89,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460189821,-70,-58,-50,-49,-75,-71,-67,-55,-88,-82,-84,-89,-86,-85,-87,-86,-61,-68,-71,-78,-200,-85,-200,-88,-200,-200,-80,-200,-75,-85,-200,-81,-75,-200,-200,-89,-87,-91,-88,-200,-93,-200,-200,-89,-200,-86,-85,-78,-75,-83,-88,-88,-84,-85,-84,-88,-90,-91,-80,-82,-82,-89,-87,-88,-89,-90,-90,-85,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460192860,-70,-53,-50,-46,-71,-71,-69,-60,-88,-81,-84,-89,-86,-85,-87,-86,-62,-68,-72,-73,-200,-85,-200,-88,-200,-200,-80,-200,-77,-85,-200,-83,-75,-200,-200,-89,-87,-91,-88,-200,-93,-200,-200,-89,-200,-87,-89,-74,-71,-83,-88,-88,-200,-200,-84,-91,-91,-200,-80,-82,-82,-89,-86,-88,-89,-90,-90,-85,-87,-89,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460195894,-67,-55,-49,-46,-74,-72,-69,-61,-87,-81,-84,-89,-88,-86,-85,-87,-62,-69,-72,-79,-200,-87,-200,-88,-200,-200,-80,-200,-77,-83,-200,-83,-75,-200,-200,-89,-88,-91,-88,-200,-200,-200,-200,-200,-200,-87,-89,-76,-71,-83,-87,-89,-200,-200,-86,-91,-91,-200,-78,-200,-84,-89,-86,-88,-89,-90,-90,-85,-88,-89,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460198919,-68,-59,-53,-39,-66,-76,-67,-58,-87,-81,-84,-200,-88,-86,-85,-87,-64,-65,-68,-79,-200,-84,-200,-88,-200,-200,-200,-200,-81,-85,-200,-85,-79,-200,-200,-89,-88,-200,-200,-200,-200,-200,-200,-93,-200,-87,-89,-78,-71,-200,-84,-89,-200,-79,-86,-91,-91,-200,-81,-78,-84,-89,-86,-88,-200,-200,-200,-85,-88,-89,-90,-91,-84,-90,-92,-200,-200,-200,-200,-200,-200,-200
1526460201928,-65,-61,-51,-38,-66,-76,-76,-69,-88,-81,-84,-90,-88,-86,-85,-87,-64,-63,-70,-78,-200,-84,-200,-200,-200,-200,-200,-200,-78,-84,-200,-86,-78,-200,-200,-200,-89,-88,-200,-200,-200,-200,-200,-89,-200,-86,-89,-74,-76,-200,-84,-80,-200,-79,-86,-91,-91,-200,-81,-78,-84,-89,-89,-87,-200,-200,-200,-200,-86,-89,-90,-91,-84,-90,-92,-91,-200,-200,-200,-200,-200,-200
1526460204961,-65,-56,-53,-38,-73,-74,-76,-73,-88,-72,-200,-90,-88,-86,-85,-88,-66,-65,-71,-80,-200,-83,-200,-200,-200,-200,-81,-200,-79,-84,-200,-86,-83,-200,-200,-200,-89,-88,-200,-200,-200,-200,-200,-89,-200,-86,-88,-72,-76,-200,-84,-80,-200,-79,-86,-90,-200,-200,-87,-83,-89,-89,-89,-87,-88,-200,-200,-200,-86,-200,-200,-200,-84,-90,-92,-91,-89,-200,-200,-200,-200,-200
1526460207969,-67,-55,-54,-41,-73,-73,-76,-65,-86,-72,-200,-90,-87,-86,-200,-88,-67,-66,-69,-78,-200,-85,-200,-200,-200,-200,-82,-200,-77,-84,-200,-86,-83,-200,-200,-200,-90,-90,-200,-200,-200,-200,-200,-89,-200,-86,-88,-72,-75,-200,-84,-80,-200,-83,-88,-90,-200,-200,-87,-83,-85,-200,-89,-89,-91,-200,-200,-200,-88,-200,-200,-200,-84,-90,-92,-86,-89,-88,-200,-200,-200,-200
1526460210999,-67,-58,-51,-39,-69,-73,-75,-63,-86,-72,-200,-90,-87,-87,-200,-88,-61,-64,-69,-77,-200,-82,-200,-200,-200,-200,-82,-200,-76,-84,-200,-86,-83,-200,-200,-200,-90,-90,-200,-200,-91,-200,-200,-89,-200,-86,-88,-74,-75,-200,-200,-85,-200,-83,-84,-90,-200,-200,-84,-82,-85,-200,-90,-89,-90,-200,-200,-200,-88,-200,-200,-200,-88,-200,-200,-91,-89,-86,-91,-200,-200,-200
1526460214029,-69,-58,-49,-42,-74,-74,-73,-58,-83,-75,-200,-90,-86,-87,-200,-85,-61,-63,-69,-76,-200,-82,-200,-200,-200,-200,-79,-200,-76,-83,-200,-86,-88,-200,-200,-200,-90,-90,-200,-200,-91,-200,-200,-200,-200,-86,-88,-71,-75,-87,-200,-85,-200,-83,-84,-90,-200,-200,-84,-77,-84,-200,-90,-89,-90,-200,-200,-200,-88,-200,-200,-200,-88,-200,-200,-91,-89,-86,-91,-200,-200,-200
1526460217061,-66,-56,-58,-38,-72,-72,-76,-58,-83,-81,-200,-200,-86,-87,-200,-83,-67,-65,-73,-76,-200,-84,-200,-200,-200,-200,-79,-200,-78,-85,-200,-87,-87,-200,-200,-200,-200,-90,-200,-200,-91,-200,-200,-91,-200,-87,-86,-73,-74,-87,-200,-85,-200,-200,-83,-200,-89,-200,-84,-75,-84,-200,-90,-200,-90,-200,-200,-90,-88,-200,-200,-200,-89,-200,-200,-91,-200,-86,-91,-90,-90,-200
1526460220071,-65,-56,-53,-37,-68,-72,-76,-65,-83,-83,-88,-200,-87,-87,-200,-83,-67,-64,-73,-78,-200,-84,-200,-200,-200,-200,-79,-200,-76,-85,-200,-83,-82,-200,-200,-200,-200,-90,-200,-200,-91,-90,-200,-91,-200,-87,-86,-70,-74,-87,-200,-85,-200,-82,-83,-87,-89,-200,-84,-74,-87,-200,-90,-88,-90,-200,-200,-90,-88,-200,-200,-90,-89,-200,-200,-91,-200,-87,-91,-90,-90,-200
