,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,WHU-2018,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A30,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,DLINK_D02A88,WHU-2018,WHU-2018,DLINK_D02A18,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:0e:a8,74:da:da:c0:f3:59,74:da:da:c1:25:a1,74:da:da:c1:25:a2,74:da:da:c0:f3:5a,0c:73:eb:d0:0e:a0,0c:73:eb:d0:2a:40,74:da:da:c0:de:2d,74:da:da:c1:25:6a,74:da:da:c0:f3:05,74:da:da:c1:25:69,74:da:da:c1:25:d9,0c:73:eb:d0:2a:68,74:da:da:c1:25:e5,0c:73:eb:d0:2a:90,0c:73:eb:d0:0e:98,74:da:da:c0:d7:81,74:da:da:c1:25:da,74:da:da:c1:03:61,74:da:da:c0:de:2e,74:da:da:c1:25:9d,74:da:da:c1:25:e6,74:da:da:c1:4a:86,74:da:da:c1:5e:ed,0c:73:eb:d0:76:50,74:da:da:c0:d8:7e,0c:73:eb:d0:2a:60,74:da:da:c0:d8:7d,74:da:da:c1:04:4e,74:da:da:c1:25:9e,0c:73:eb:d0:0e:b8,0c:73:eb:d0:13:a0,74:da:da:c0:e0:6d,0c:73:eb:d0:0e:c8,74:da:da:c1:3d:35,74:da:da:c1:3d:0d,74:da:da:c1:04:45,74:da:da:c1:3d:05,0c:73:eb:d0:0e:b0,0c:73:eb:d0:2a:30,0c:73:eb:d0:19:88,0c:73:eb:d0:19:c8,0c:73:eb:d0:76:28,74:da:da:c0:f3:06,74:da:da:c1:5e:ee,74:da:da:c0:d8:1d,74:da:da:c1:03:62,74:da:da:c0:d7:9d,74:da:da:c1:4a:69,74:da:da:c1:02:95,74:da:da:c0:d7:c5,74:da:da:c1:3b:79,74:da:da:c0:d7:e9,74:da:da:c0:d7:01,74:da:da:c1:3b:19,74:da:da:c1:3d:09,74:da:da:c1:3b:45,74:da:da:c1:3d:85,74:da:da:c1:4a:85,0c:73:eb:d0:0e:90,74:da:da:c1:04:49,74:da:da:98:ea:5c,74:da:da:c0:d8:3d,0c:73:eb:d0:0e:d8,74:da:da:c1:3b:69,0c:73:eb:d0:2a:88,0c:73:eb:d0:19:a0,0c:73:eb:d0:76:10,0c:73:eb:d0:2a:18,0c:73:eb:d0:2a:10,74:da:da:c1:3b:49,0c:73:eb:d0:19:98,74:da:da:c1:3c:85,0c:73:eb:d0:7e:e0,74:da:da:c1:3b:85,74:da:da:c1:4a:6a,74:da:da:c0:d7:82,0c:73:eb:d0:7c:08,0c:73:eb:d0:2a:48,0c:73:eb:d0:76:30,74:da:da:c1:04:4d,74:da:da:98:ea:50,74:da:da:98:ea:54,74:da:da:c1:3b:65,0c:73:eb:d0:2a:50,74:da:da:c1:3c:51,74:da:da:c1:48:bd,0c:73:eb:d0:76:38,74:da:da:c1:4a:a5,74:da:da:c1:3a:dd,74:da:da:c0:d9:39,0c:73:eb:d0:13:b0,74:da:da:c1:03:1d,74:da:da:98:66:cc
1526449267260,-34,-36,-43,-46,-47,-50,-51,-53,-57,-57,-59,-59,-63,-64,-65,-66,-66,-66,-67,-68,-69,-71,-71,-71,-72,-72,-72,-73,-73,-75,-77,-78,-78,-79,-79,-80,-80,-81,-82,-82,-82,-82,-82,-83,-83,-83,-84,-85,-85,-86,-87,-87,-87,-87,-88,-88,-88,-88,-88,-88,-88,-89,-89,-89,-89,-90,-90,-90,-90,-90,-90,-91,-91,-91,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449270284,-35,-54,-42,-47,-49,-52,-52,-64,-48,-57,-54,-65,-68,-59,-57,-69,-74,-74,-79,-71,-75,-70,-74,-77,-65,-77,-77,-60,-75,-75,-80,-78,-79,-84,-81,-81,-80,-81,-82,-86,-200,-88,-82,-81,-83,-200,-84,-68,-85,-86,-87,-87,-86,-87,-88,-88,-200,-88,-74,-88,-88,-87,-89,-83,-89,-87,-90,-90,-200,-90,-86,-91,-91,-200,-95,-83,-85,-89,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449273318,-34,-40,-49,-49,-49,-53,-59,-65,-59,-62,-54,-60,-65,-64,-67,-67,-73,-74,-75,-68,-72,-73,-82,-73,-60,-80,-73,-60,-72,-80,-81,-76,-76,-75,-85,-79,-200,-200,-87,-88,-84,-88,-82,-86,-200,-86,-200,-77,-77,-200,-89,-85,-87,-200,-91,-90,-87,-90,-78,-88,-200,-88,-89,-83,-200,-84,-200,-200,-91,-93,-86,-91,-200,-200,-200,-85,-85,-89,-89,-90,-75,-88,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449276329,-33,-37,-43,-49,-48,-50,-62,-59,-60,-61,-52,-63,-67,-74,-57,-67,-73,-73,-78,-69,-72,-73,-78,-72,-59,-78,-69,-60,-77,-80,-75,-75,-83,-77,-85,-84,-77,-200,-87,-88,-84,-85,-200,-86,-200,-87,-200,-78,-89,-200,-86,-85,-90,-200,-87,-90,-88,-90,-78,-87,-200,-84,-89,-81,-200,-84,-200,-91,-91,-93,-86,-91,-200,-91,-200,-85,-85,-88,-89,-90,-67,-88,-89,-90,-87,-90,-91,-200,-200,-200,-200,-200,-200,-200
1526449279349,-31,-40,-50,-54,-49,-53,-57,-59,-57,-62,-49,-58,-63,-72,-64,-69,-67,-72,-70,-71,-71,-69,-78,-77,-61,-83,-70,-70,-77,-80,-75,-79,-77,-76,-84,-81,-77,-200,-90,-91,-84,-85,-200,-86,-200,-87,-200,-77,-84,-88,-86,-85,-90,-200,-87,-90,-87,-90,-78,-87,-89,-86,-89,-82,-200,-88,-200,-90,-89,-88,-200,-91,-200,-91,-200,-85,-200,-88,-200,-90,-80,-88,-90,-90,-87,-90,-91,-200,-200,-200,-200,-200,-200,-200
1526449282363,-33,-34,-49,-46,-49,-59,-57,-59,-50,-62,-58,-60,-62,-73,-62,-68,-61,-75,-72,-70,-71,-71,-76,-77,-61,-79,-72,-72,-77,-80,-73,-77,-77,-79,-87,-76,-77,-200,-90,-87,-85,-85,-200,-86,-200,-87,-200,-77,-81,-91,-88,-85,-90,-200,-87,-90,-87,-90,-200,-87,-91,-85,-88,-86,-200,-89,-200,-90,-88,-88,-200,-91,-200,-91,-200,-85,-200,-89,-200,-200,-75,-90,-90,-90,-87,-89,-91,-90,-200,-200,-200,-200,-200,-200
1526449285403,-33,-40,-50,-47,-47,-52,-55,-61,-62,-53,-54,-58,-62,-71,-63,-64,-61,-74,-71,-68,-71,-69,-75,-75,-60,-78,-72,-68,-76,-80,-77,-79,-77,-78,-85,-79,-77,-200,-90,-88,-85,-84,-200,-87,-200,-87,-200,-79,-77,-91,-86,-87,-90,-200,-91,-200,-88,-200,-200,-90,-91,-85,-88,-83,-200,-89,-200,-90,-88,-88,-200,-200,-200,-91,-90,-86,-200,-89,-200,-200,-77,-90,-89,-200,-90,-89,-91,-92,-91,-91,-94,-200,-200,-200
1526449288423,-38,-41,-48,-48,-46,-53,-57,-60,-62,-63,-54,-57,-62,-69,-63,-66,-70,-75,-71,-66,-71,-70,-75,-74,-60,-76,-82,-68,-76,-80,-74,-79,-76,-77,-87,-80,-200,-200,-200,-90,-85,-85,-200,-87,-200,-86,-200,-76,-78,-89,-87,-87,-86,-200,-91,-200,-90,-200,-200,-90,-91,-85,-88,-82,-89,-90,-200,-91,-88,-89,-200,-200,-200,-200,-90,-85,-87,-89,-200,-200,-76,-90,-91,-200,-90,-89,-200,-91,-91,-91,-94,-88,-200,-200
1526449291457,-32,-41,-47,-51,-44,-52,-55,-60,-59,-63,-55,-58,-63,-67,-63,-66,-70,-70,-73,-72,-71,-71,-77,-75,-61,-76,-82,-67,-76,-82,-80,-74,-76,-78,-86,-75,-200,-200,-87,-90,-200,-86,-200,-87,-200,-86,-200,-78,-78,-89,-87,-87,-88,-200,-90,-89,-89,-200,-200,-90,-200,-85,-88,-82,-89,-88,-200,-91,-90,-89,-200,-88,-200,-200,-90,-86,-88,-89,-200,-200,-76,-89,-91,-91,-90,-87,-200,-91,-91,-91,-94,-88,-200,-200
