,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,DLINK_D02A30,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A28,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro
,0c:73:eb:d0:0e:b8,74:da:da:c1:5e:ee,74:da:da:c1:03:62,74:da:da:c1:5e:ed,74:da:da:c1:03:61,0c:73:eb:d0:2a:60,0c:73:eb:d0:2a:30,0c:73:eb:d0:2a:68,74:da:da:c1:04:4e,74:da:da:c0:d8:7d,74:da:da:c0:d8:25,74:da:da:c1:25:9d,74:da:da:c1:25:a1,74:da:da:c1:04:45,74:da:da:c0:d8:7e,74:da:da:c1:25:9e,74:da:da:c1:04:4d,0c:73:eb:d0:0e:98,74:da:da:c1:3b:79,74:da:da:c0:de:2e,74:da:da:c1:25:a2,74:da:da:c1:04:46,74:da:da:c1:04:4a,0c:73:eb:d0:2a:18,74:da:da:c1:02:95,74:da:da:c1:3b:65,0c:73:eb:d0:2a:88,0c:73:eb:d0:0e:a0,0c:73:eb:d0:2a:58,74:da:da:c0:de:2d,74:da:da:c1:3d:09,74:da:da:c0:f3:5a,0c:73:eb:d0:0e:d8,0c:73:eb:d0:2a:90,0c:73:eb:d0:0e:b0,0c:73:eb:d0:2a:40,74:da:da:c1:02:96,74:da:da:c1:3d:0d,0c:73:eb:d0:2a:10,74:da:da:c1:17:75,74:da:da:98:8f:3c,74:da:da:c1:3d:85,74:da:da:c1:47:cd,74:da:da:c1:25:e6,74:da:da:c1:14:99,0c:73:eb:d0:0e:90,0c:73:eb:d0:19:c8,74:da:da:c1:3b:85,0c:73:eb:d0:76:38,74:da:da:c0:d8:05,0c:73:eb:d0:19:98,0c:73:eb:d0:0e:a8,74:da:da:c1:3d:05,0c:73:eb:d0:2a:28,0c:73:eb:d0:2a:48,74:da:da:c0:f2:fd,74:da:da:c1:04:49,74:da:da:c1:3b:7a,74:da:da:c0:d7:e9,74:da:da:c0:f3:59,74:da:da:c0:d8:59,0c:73:eb:d0:13:a0,0c:73:eb:d0:0e:c0,74:da:da:c0:d7:81,74:da:da:c0:f3:05,74:da:da:98:db:44,74:da:da:c1:25:e5,74:da:da:c1:3b:69,74:da:da:c0:d8:3d,74:da:da:c1:3b:45,0c:73:eb:d0:19:88,74:da:da:c1:25:6a,0c:73:eb:d0:7e:e0,0c:73:eb:d0:2a:98,74:da:da:98:66:cc,74:da:da:c0:d7:09,74:da:da:98:90:2c,74:da:da:c1:25:69,74:da:da:98:8d:78,0c:73:eb:d0:2a:20,74:da:da:c0:d7:dd,74:da:da:c0:d8:26,74:da:da:c1:3c:6d
1526454050525,-32,-34,-40,-41,-44,-45,-49,-50,-51,-51,-51,-51,-52,-52,-54,-55,-55,-55,-57,-59,-60,-60,-61,-61,-64,-66,-67,-68,-69,-71,-71,-71,-71,-73,-74,-74,-74,-74,-76,-76,-80,-81,-81,-84,-84,-85,-86,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454053571,-30,-34,-42,-38,-39,-42,-52,-50,-56,-48,-50,-47,-59,-52,-53,-53,-55,-55,-57,-59,-62,-60,-60,-54,-64,-67,-75,-68,-72,-50,-64,-73,-75,-73,-74,-74,-74,-74,-72,-76,-80,-81,-81,-83,-84,-85,-86,-84,-91,-71,-72,-73,-73,-81,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454056589,-26,-34,-42,-40,-39,-39,-51,-51,-56,-45,-54,-47,-59,-54,-53,-53,-49,-52,-64,-55,-62,-58,-59,-57,-200,-67,-75,-74,-74,-43,-61,-73,-73,-63,-69,-63,-74,-74,-71,-200,-80,-81,-200,-81,-84,-85,-200,-84,-91,-71,-72,-65,-73,-81,-85,-89,-63,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454059644,-26,-34,-41,-38,-37,-43,-51,-50,-56,-49,-54,-48,-59,-51,-53,-53,-49,-55,-62,-55,-62,-59,-58,-51,-70,-66,-75,-72,-72,-43,-61,-73,-73,-63,-71,-75,-75,-74,-71,-200,-80,-81,-200,-81,-84,-85,-200,-84,-91,-68,-87,-63,-73,-81,-85,-82,-63,-92,-72,-79,-80,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454062682,-26,-34,-40,-37,-38,-43,-49,-45,-54,-50,-56,-54,-50,-55,-53,-57,-49,-58,-62,-55,-62,-60,-58,-52,-70,-65,-70,-67,-75,-49,-60,-74,-73,-65,-67,-68,-76,-74,-71,-200,-80,-81,-200,-81,-83,-85,-200,-84,-91,-68,-87,-60,-73,-80,-84,-82,-63,-90,-72,-79,-80,-83,-63,-80,-82,-87,-88,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454065743,-26,-31,-40,-34,-39,-40,-49,-44,-51,-50,-57,-50,-50,-55,-57,-57,-57,-58,-65,-57,-62,-60,-58,-52,-70,-65,-70,-67,-75,-46,-60,-73,-73,-65,-67,-66,-76,-200,-71,-200,-80,-81,-200,-81,-83,-200,-200,-84,-200,-68,-87,-60,-73,-80,-84,-82,-63,-92,-72,-79,-80,-83,-63,-80,-82,-87,-88,-88,-84,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454068805,-25,-33,-42,-36,-42,-40,-56,-48,-51,-50,-55,-47,-56,-55,-55,-55,-58,-57,-61,-57,-62,-60,-60,-55,-70,-65,-68,-72,-75,-46,-58,-73,-73,-65,-67,-66,-76,-80,-73,-200,-77,-81,-200,-77,-79,-200,-200,-84,-200,-75,-77,-60,-200,-80,-84,-89,-63,-92,-72,-76,-80,-83,-66,-80,-82,-87,-88,-88,-84,-89,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454071862,-25,-33,-43,-37,-42,-44,-56,-52,-51,-48,-54,-46,-56,-52,-55,-54,-62,-53,-60,-58,-62,-62,-60,-55,-69,-68,-65,-68,-75,-47,-60,-74,-80,-65,-72,-66,-76,-80,-77,-200,-77,-86,-200,-77,-79,-200,-200,-84,-200,-75,-77,-60,-71,-80,-84,-89,-200,-92,-72,-76,-80,-83,-66,-80,-82,-87,-88,-88,-83,-89,-80,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454074910,-21,-33,-43,-37,-43,-44,-52,-50,-51,-48,-54,-70,-56,-52,-57,-54,-62,-51,-58,-59,-62,-60,-60,-58,-69,-68,-65,-68,-67,-47,-61,-74,-79,-65,-72,-63,-73,-81,-77,-200,-75,-86,-200,-76,-79,-200,-200,-90,-200,-75,-85,-61,-71,-80,-84,-89,-200,-92,-200,-75,-200,-200,-66,-83,-82,-87,-88,-85,-85,-84,-80,-80,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
