,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED0,DLINK_D02A20,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,DLINK_D00E98,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro
,0c:73:eb:d0:2a:88,74:da:da:c1:02:95,74:da:da:c1:02:96,74:da:da:c1:04:49,0c:73:eb:d0:2a:30,74:da:da:c1:04:4d,74:da:da:c1:04:4e,74:da:da:c1:25:9d,0c:73:eb:d0:2a:28,74:da:da:c1:04:4a,0c:73:eb:d0:2a:38,74:da:da:c1:25:9e,74:da:da:c1:04:45,0c:73:eb:d0:0e:d0,0c:73:eb:d0:2a:20,0c:73:eb:d0:0e:b8,74:da:da:c1:4a:7d,74:da:da:c1:14:99,74:da:da:c1:25:a1,0c:73:eb:d0:2a:48,74:da:da:c1:4a:a5,74:da:da:c1:17:75,74:da:da:c1:25:a2,0c:73:eb:d0:2a:98,74:da:da:c1:3b:79,74:da:da:c1:04:46,74:da:da:c0:d7:ed,74:da:da:c0:de:2d,74:da:da:c0:d7:09,0c:73:eb:d0:2a:60,0c:73:eb:d0:0e:98,0c:73:eb:d0:2a:90,74:da:da:c1:47:cd,74:da:da:c1:03:62,74:da:da:c0:d8:7d,0c:73:eb:d0:2a:58,74:da:da:c1:03:61,74:da:da:c1:4a:c9,74:da:da:c1:3b:7a,74:da:da:c0:d8:59,74:da:da:c1:3b:45,74:da:da:98:ea:4c,74:da:da:c0:d8:05,0c:73:eb:d0:76:20,0c:73:eb:d0:0e:d8,0c:73:eb:d0:0e:a8,74:da:da:c0:d7:ee,74:da:da:c0:d7:e9,0c:73:eb:d0:0e:a0,0c:73:eb:d0:2a:10,74:da:da:c1:4a:a6,74:da:da:c1:5e:ee,74:da:da:c1:4a:ca,74:da:da:98:8f:64,74:da:da:c1:25:e5,0c:73:eb:d0:76:40,0c:73:eb:d0:2a:68,74:da:da:c0:f3:59,74:da:da:c1:3c:6d,0c:73:eb:d0:76:58,74:da:da:c1:25:e6,74:da:da:c1:14:9a,0c:73:eb:d0:2a:40,0c:73:eb:d0:19:b0,74:da:da:c0:d7:dd,0c:73:eb:d0:0e:c0,74:da:da:98:8f:34
1526455519798,-38,-45,-48,-54,-61,-62,-64,-65,-67,-70,-70,-71,-71,-72,-72,-72,-72,-73,-74,-74,-74,-75,-76,-76,-77,-78,-79,-79,-79,-80,-81,-82,-82,-83,-84,-84,-85,-86,-86,-87,-88,-88,-89,-89,-92,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455522818,-40,-55,-47,-49,-67,-61,-66,-62,-67,-70,-75,-72,-71,-79,-72,-72,-72,-71,-69,-70,-60,-74,-200,-72,-81,-200,-70,-74,-79,-69,-200,-82,-82,-83,-200,-82,-85,-86,-86,-89,-88,-91,-89,-200,-92,-94,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455525831,-39,-50,-42,-48,-58,-63,-65,-66,-66,-77,-69,-77,-71,-79,-74,-75,-79,-75,-82,-79,-79,-74,-83,-72,-74,-77,-70,-81,-82,-69,-76,-81,-73,-83,-200,-82,-90,-92,-86,-89,-88,-91,-89,-200,-92,-94,-87,-86,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455528840,-40,-56,-44,-53,-72,-64,-63,-64,-70,-77,-72,-74,-71,-74,-78,-75,-79,-73,-69,-73,-75,-74,-83,-72,-84,-81,-82,-74,-76,-68,-76,-82,-73,-82,-200,-82,-79,-89,-200,-89,-91,-91,-200,-200,-200,-200,-87,-86,-91,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455531865,-42,-58,-45,-51,-65,-73,-66,-64,-67,-77,-76,-70,-71,-74,-78,-75,-82,-65,-69,-73,-73,-76,-80,-72,-75,-76,-82,-74,-76,-66,-76,-82,-73,-82,-85,-83,-79,-89,-200,-89,-91,-91,-87,-200,-200,-200,-87,-86,-91,-87,-84,-84,-85,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455534887,-42,-58,-46,-48,-69,-73,-64,-64,-67,-76,-76,-70,-74,-74,-74,-79,-82,-73,-69,-73,-73,-76,-80,-200,-75,-77,-77,-74,-76,-71,-77,-82,-78,-82,-85,-83,-79,-89,-200,-200,-90,-91,-87,-200,-200,-200,-200,-86,-91,-87,-84,-84,-85,-88,-74,-81,-82,-89,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526455537908,-42,-61,-46,-51,-62,-71,-65,-64,-67,-71,-75,-72,-75,-74,-74,-77,-83,-71,-69,-72,-73,-77,-79,-85,-76,-82,-80,-74,-76,-66,-78,-81,-73,-82,-85,-83,-77,-87,-200,-200,-89,-91,-85,-200,-200,-200,-200,-86,-91,-87,-84,-84,-88,-88,-73,-81,-82,-89,-92,-91,-200,-200,-200,-200,-200,-200,-200
1526455540931,-42,-55,-45,-47,-62,-64,-73,-62,-67,-72,-74,-72,-75,-79,-77,-76,-83,-73,-70,-72,-73,-75,-79,-85,-73,-82,-77,-76,-77,-70,-78,-80,-77,-82,-85,-82,-78,-87,-200,-90,-89,-91,-85,-200,-200,-200,-200,-87,-90,-200,-84,-84,-88,-88,-73,-81,-83,-89,-88,-91,-87,-200,-200,-200,-200,-200,-200
1526455543963,-41,-60,-45,-50,-63,-69,-66,-62,-68,-73,-78,-73,-73,-79,-77,-76,-83,-71,-70,-72,-74,-72,-81,-85,-78,-83,-80,-75,-71,-66,-73,-79,-69,-82,-85,-82,-78,-87,-85,-90,-87,-91,-86,-200,-200,-200,-200,-87,-90,-200,-84,-83,-88,-88,-77,-81,-83,-89,-88,-91,-87,-87,-200,-200,-200,-200,-200
1526455546976,-39,-59,-47,-51,-66,-67,-64,-62,-67,-74,-76,-71,-74,-76,-76,-76,-80,-70,-69,-72,-72,-72,-81,-83,-82,-83,-79,-74,-71,-65,-73,-81,-74,-83,-87,-84,-78,-88,-85,-90,-88,-87,-86,-91,-200,-89,-200,-85,-90,-200,-84,-83,-88,-88,-77,-200,-83,-200,-88,-200,-87,-87,-90,-200,-200,-200,-200
1526455549985,-40,-58,-46,-52,-66,-64,-65,-62,-67,-74,-75,-71,-73,-76,-75,-76,-80,-70,-70,-72,-75,-71,-80,-83,-81,-82,-80,-74,-79,-71,-79,-81,-75,-83,-90,-84,-78,-88,-85,-90,-88,-87,-86,-91,-200,-89,-200,-86,-90,-200,-84,-83,-200,-200,-84,-82,-83,-200,-88,-200,-87,-88,-90,-200,-200,-200,-200
1526455553008,-41,-58,-46,-47,-70,-65,-66,-62,-66,-72,-74,-73,-72,-76,-75,-76,-82,-70,-69,-72,-75,-73,-80,-83,-72,-80,-79,-74,-79,-71,-75,-80,-75,-85,-90,-82,-78,-88,-85,-90,-88,-91,-86,-91,-200,-88,-200,-89,-200,-200,-84,-83,-200,-200,-84,-82,-200,-200,-200,-200,-200,-88,-90,-90,-91,-200,-200
1526455556032,-40,-57,-48,-50,-65,-66,-64,-62,-67,-73,-74,-71,-72,-73,-82,-76,-80,-71,-70,-73,-75,-72,-82,-83,-84,-80,-80,-74,-79,-65,-75,-82,-75,-85,-90,-82,-200,-87,-200,-90,-88,-91,-200,-91,-200,-88,-200,-89,-200,-200,-86,-87,-200,-90,-84,-82,-200,-200,-200,-200,-200,-88,-90,-90,-91,-200,-200
1526455559052,-40,-59,-47,-55,-66,-66,-69,-64,-66,-69,-74,-71,-70,-81,-82,-76,-78,-52,-69,-76,-75,-72,-82,-200,-86,-80,-80,-73,-76,-63,-74,-82,-75,-85,-90,-85,-78,-87,-200,-90,-90,-89,-200,-200,-200,-88,-200,-86,-200,-200,-86,-87,-200,-90,-84,-82,-200,-200,-89,-200,-88,-88,-200,-88,-91,-200,-200
1526455562066,-39,-58,-45,-49,-67,-59,-67,-66,-71,-71,-73,-73,-73,-82,-82,-77,-78,-69,-69,-74,-75,-72,-82,-200,-74,-79,-80,-76,-75,-63,-78,-81,-75,-85,-200,-84,-82,-87,-200,-90,-90,-89,-200,-200,-200,-88,-200,-85,-91,-88,-86,-87,-200,-89,-85,-200,-83,-200,-89,-200,-88,-200,-200,-88,-91,-89,-200
1526455565090,-39,-58,-45,-53,-66,-63,-67,-62,-71,-71,-73,-73,-73,-81,-82,-77,-78,-81,-69,-74,-76,-72,-82,-200,-85,-79,-81,-74,-75,-65,-78,-82,-75,-85,-200,-85,-81,-87,-200,-87,-90,-90,-200,-200,-200,-200,-87,-91,-90,-88,-86,-87,-200,-89,-85,-200,-84,-200,-89,-200,-88,-200,-91,-88,-200,-87,-200
1526455568106,-34,-55,-44,-54,-64,-65,-69,-62,-67,-70,-66,-73,-73,-81,-73,-77,-78,-69,-70,-73,-71,-67,-78,-200,-80,-83,-76,-76,-75,-67,-78,-81,-76,-85,-200,-85,-79,-200,-200,-87,-90,-90,-85,-200,-200,-200,-87,-91,-90,-88,-84,-200,-200,-87,-85,-200,-84,-200,-90,-200,-88,-90,-91,-88,-200,-87,-200
1526455571122,-39,-57,-47,-52,-63,-65,-68,-62,-68,-69,-72,-73,-71,-78,-77,-77,-78,-69,-70,-73,-77,-70,-78,-200,-82,-83,-80,-76,-75,-72,-80,-82,-77,-84,-200,-86,-78,-200,-200,-86,-200,-90,-85,-200,-89,-87,-85,-91,-90,-88,-84,-200,-200,-87,-85,-200,-85,-200,-90,-200,-87,-90,-91,-200,-200,-87,-200
1526455574150,-41,-57,-44,-52,-63,-64,-70,-62,-68,-71,-73,-75,-71,-78,-75,-76,-78,-71,-70,-72,-75,-72,-78,-76,-79,-83,-81,-77,-75,-66,-80,-81,-75,-84,-200,-86,-77,-200,-84,-86,-200,-90,-85,-200,-89,-87,-85,-91,-90,-88,-85,-86,-89,-87,-200,-84,-85,-200,-90,-200,-87,-90,-91,-200,-200,-87,-200
1526455577179,-42,-54,-44,-52,-64,-68,-71,-61,-68,-71,-73,-77,-73,-73,-75,-75,-78,-68,-70,-72,-73,-72,-78,-76,-79,-83,-81,-76,-77,-66,-75,-80,-75,-85,-200,-86,-79,-200,-84,-85,-88,-90,-85,-200,-89,-89,-85,-87,-200,-91,-85,-86,-89,-87,-200,-84,-85,-200,-90,-200,-86,-90,-91,-87,-200,-200,-200
