,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A68,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,0c:73:eb:d0:0e:c8,0c:73:eb:d0:2a:90,74:da:da:c1:4a:6a,74:da:da:c1:4a:69,0c:73:eb:d0:0e:a0,74:da:da:c1:4a:86,74:da:da:c1:25:a1,74:da:da:98:ea:64,0c:73:eb:d0:19:c8,74:da:da:c1:25:a2,74:da:da:c1:25:d9,74:da:da:c1:4a:85,74:da:da:c1:04:4e,74:da:da:c1:25:da,0c:73:eb:d0:2a:60,0c:73:eb:d0:76:10,0c:73:eb:d0:2a:50,0c:73:eb:d0:2a:40,74:da:da:98:ea:54,74:da:da:c1:25:e5,74:da:da:c0:d7:01,74:da:da:c1:04:4d,74:da:da:c0:f3:59,74:da:da:c0:d7:11,0c:73:eb:d0:19:80,74:da:da:c0:d6:f5,74:da:da:c1:25:69,0c:73:eb:d0:19:c0,74:da:da:c1:25:e6,74:da:da:c1:25:6a,74:da:da:c0:f3:5a,0c:73:eb:d0:76:28,74:da:da:c0:d9:39,74:da:da:c0:d6:ed,0c:73:eb:d0:0e:b8,74:da:da:c0:d7:9d,74:da:da:c0:de:2e,74:da:da:c1:03:61,74:da:da:c0:e0:6e,74:da:da:98:ea:55,0c:73:eb:d0:76:50,0c:73:eb:d0:2a:68,0c:73:eb:d0:19:90,0c:73:eb:d0:2a:30,74:da:da:c0:f3:05,74:da:da:c1:4a:c9,74:da:da:98:90:94,0c:73:eb:d0:0e:98,74:da:da:c1:25:9d,0c:73:eb:d0:13:b0,74:da:da:c1:04:45,74:da:da:c0:d8:7d,74:da:da:c1:3b:19,0c:73:eb:d0:0e:a8,0c:73:eb:d0:13:c8,74:da:da:c0:d6:ee,74:da:da:c0:d7:81,74:da:da:c0:d7:e9,74:da:da:c0:d8:7e,0c:73:eb:d0:13:a0,74:da:da:c0:e0:6d,74:da:da:c1:5e:ed,74:da:da:c0:de:2d,0c:73:eb:d0:0e:d8,0c:73:eb:d0:2a:48,74:da:da:c1:3d:35,0c:73:eb:d0:0e:d0,74:da:da:98:90:2c,74:da:da:c1:3c:11,0c:73:eb:d0:76:18,74:da:da:c1:3c:45
1526451674415,-41,-44,-51,-55,-58,-58,-59,-60,-64,-65,-67,-67,-70,-70,-70,-71,-71,-72,-72,-74,-75,-75,-76,-76,-77,-77,-77,-78,-79,-79,-80,-81,-81,-84,-84,-85,-85,-86,-86,-87,-87,-87,-87,-88,-89,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451677452,-48,-49,-62,-49,-59,-58,-60,-61,-66,-66,-61,-64,-68,-72,-70,-73,-71,-70,-62,-74,-89,-69,-76,-76,-70,-73,-75,-73,-79,-79,-75,-81,-82,-83,-84,-85,-200,-84,-86,-76,-87,-85,-87,-88,-89,-90,-90,-79,-80,-89,-89,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451680459,-49,-58,-65,-47,-61,-59,-61,-61,-64,-65,-61,-56,-70,-75,-75,-72,-69,-78,-69,-200,-81,-69,-200,-76,-72,-73,-77,-71,-87,-200,-75,-200,-81,-83,-200,-90,-84,-84,-200,-76,-200,-85,-200,-200,-200,-200,-200,-79,-80,-89,-89,-89,-90,-76,-82,-84,-87,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451683492,-50,-54,-58,-52,-61,-59,-58,-61,-65,-62,-62,-62,-65,-74,-75,-68,-69,-69,-68,-200,-81,-69,-200,-76,-73,-73,-80,-70,-87,-72,-77,-200,-81,-81,-200,-90,-84,-84,-200,-74,-200,-82,-200,-200,-200,-200,-200,-83,-80,-90,-89,-88,-90,-78,-82,-84,-87,-89,-85,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451686505,-48,-49,-65,-49,-73,-61,-54,-63,-66,-62,-64,-64,-68,-74,-76,-68,-73,-65,-68,-200,-87,-68,-200,-76,-78,-76,-78,-75,-87,-72,-77,-200,-81,-81,-200,-90,-84,-84,-200,-73,-88,-82,-200,-89,-200,-200,-200,-85,-80,-90,-89,-88,-90,-78,-81,-84,-90,-90,-85,-90,-80,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451689529,-49,-50,-61,-49,-62,-62,-54,-62,-65,-65,-64,-65,-68,-69,-76,-69,-73,-77,-68,-85,-85,-68,-200,-75,-72,-74,-78,-72,-87,-73,-79,-200,-79,-80,-200,-90,-84,-200,-200,-74,-88,-81,-88,-89,-200,-200,-200,-85,-200,-91,-200,-88,-200,-80,-81,-84,-90,-90,-85,-89,-81,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451692554,-49,-51,-68,-50,-63,-60,-54,-63,-68,-64,-64,-65,-73,-64,-77,-70,-72,-69,-69,-85,-76,-68,-200,-75,-77,-73,-80,-71,-200,-73,-79,-200,-84,-80,-200,-200,-200,-200,-200,-74,-87,-81,-88,-90,-200,-200,-200,-85,-200,-91,-200,-88,-200,-81,-84,-84,-88,-92,-85,-89,-81,-89,-81,-84,-200,-200,-200,-200,-200,-200,-200
1526451695585,-49,-50,-61,-48,-66,-63,-54,-64,-68,-64,-64,-62,-65,-64,-76,-69,-72,-69,-70,-83,-87,-68,-200,-75,-74,-74,-83,-71,-200,-73,-79,-200,-83,-83,-200,-200,-200,-200,-200,-74,-87,-84,-88,-90,-200,-200,-200,-83,-200,-89,-90,-90,-200,-81,-84,-84,-88,-92,-200,-89,-81,-89,-81,-84,-90,-200,-200,-200,-200,-200,-200
1526451698596,-51,-50,-57,-50,-60,-64,-59,-64,-64,-60,-64,-71,-68,-64,-77,-68,-76,-68,-68,-83,-90,-68,-85,-76,-76,-76,-75,-73,-200,-73,-79,-200,-83,-83,-87,-90,-200,-200,-200,-75,-87,-84,-88,-89,-200,-200,-200,-83,-200,-89,-90,-86,-200,-81,-82,-200,-87,-91,-200,-89,-82,-200,-81,-85,-90,-200,-200,-200,-200,-200,-200
